alert_adolescent_needs_focus_delayed;The following Children need an Education Focus:\n$LIST$;Les enfants suivants ont besoin d'un intérêt d'éducation :\n$LIST$;Folgende Kinder haben noch keinen Bildungsschwerpunkt:\n$LIST$;;A los niños siguientes les falta un Enfoque de educación:\n$LIST$;;;;;;;;;x
alert_adolescent_needs_focus_instant;§Y$NUM$ Children Lack an Education Focus§!;§YEnfants sans intérêt d'éducation ($NUM$)§!;§YKinder haben noch keinen Bildungsschwerpunkt: $NUM$§!;;§Y$NUM$ niños les falta un Enfoque de educación§!;;;;;;;;;x
alert_adolescent_needs_focus_name;Children lack an Edcuation Focus;Des enfants n'ont pas d'intérêt d'éducation;Es gibt Kinder ohne Bildungsschwerpunkt;;A los niños le falta un Enfoque de educación;;;;;;;;;x
alert_adult_sons_notitle_delayed;The following adult sons do not hold any land:\n$LIST$;Les fils adultes suivants n'ont pas de terres : \n$LIST$;Folgende erwachsene Söhne haben keinerlei Landbesitz:\n$LIST$;;Los siguientes hijos adultos no poseen ninguna tierra:\n$LIST$;;;;;;;;;x
alert_adult_sons_notitle_instant;§YUnlanded Sons§!;§YFils sans terres§!;§YLandlose Söhne§!;;§YHijos sin tierra§!;;;;;;;;;x
alert_adult_sons_notitle_name;Unlanded sons;Fils sans terres;Söhne besitzen kein Land;;Hijos sin tierras;;;;;;;;;x
alert_adventurer_threat_delayed;The following adventurers are targeting me:\n$LIST$;Ces aventuriers m'ont pris pour cible :\n$LIST$;Die folgenden Abenteurer haben mich zum Ziel auserkoren:\n$LIST$;;Los siguientes aventureros me han elegido como objetivo:\n$LIST$;;;;;;;;;x
alert_adventurer_threat_instant;§YAdventurer Threats§!;§YMenaces d'aventuriers§!;§YAbenteurerbedrohung§!;;Amenazas de Adventurero;;;;;;;;;x
alert_adventurer_threat_name;Adventurers Targeting me;Les aventuriers qui me ciblent;Abenteurer, die mich zum Ziel haben;;Los aventureros me tienen como objectivo;;;;;;;;;x
alert_allies_not_called_in_delayed;We can ask the following allies to support us:\n$LIST$;Nous pouvons demander aux alliés suivants de nous venir en aide : \n$LIST$;Wir können die folgenden Verbündeten um Hilfe bitten:\n$LIST$;;Podemos pedir ayuda a los siguientes aliados:\n$LIST$;;;;;;;;;x
alert_allies_not_called_in_instant;§YWe can Call in Allies§!;§YNous pouvons faire appel aux alliés§!;§YWir können Verbündete rufen§!;;§YPodemos llamar a aliados§!;;;;;;;;;x
alert_allies_not_called_in_name;We can call in allies;Nous pouvons solliciter de l'aide à nos alliés;Es können Verbündete um Beistand gebeten werden;;Podemos llamar a nuestros aliados;;;;;;;;;x
alert_at_peace_prestige_loss_delayed;As a §Y$RELIGION$ Pagan§!, you lose §R$PRESTIGE$§! Prestige every month for being at peace and doing no raiding.;Puisque vous êtes de religion païenne §Y$RELIGION$§!, vous perdez §R$PRESTIGE$§! de prestige chaque mois où vous êtes en paix et ne faites pas de pillages.;Als ein §Y$RELIGION$-Heide§! verliert Ihr §R$PRESTIGE$§! Prestige in jedem Monat, in dem Ihr Euch im Frieden befindet und niemanden plündert.;;Como Pagano §Y$RELIGION$§!, pierdes §R$PRESTIGE$§! prestigio cada mes por estar en paz y no hacer ningún ataque.;;;;;;;;;x
alert_at_peace_prestige_loss_instant;§YYou have been at peace for too long!§!;§YVous avez été en paix pendant trop longtemps !§!;§YIhr befindet Euch zu lange in Friedenszeiten!§!;;§YLlevas en paz demasiado tiempo!§!;;;;;;;;;x
alert_at_peace_prestige_loss_name;Long Peace;Longue paix;Langer Frieden;;Larga Paz;;;;;;;;;x
alert_available_decision_delayed;The following important Decisions are available:\n$LIST$;Les décisions importantes suivantes sont disponibles : \n$LIST$;Folgende wichtige Entscheidungen sind verfügbar:\n$LIST$;;Están disponibles las siguientes decisiones importantes:\n$LIST$;;;;;;;;;x
alert_available_decision_instant;§YNew Important Decisions are Available§!;§YDe nouvelles décisions importantes sont disponibles§!;§YNeue wichtige Entscheidungen verfügbar§!;;§YHay disponibles nuevas decisiones importantes§!;;;;;;;;;x
alert_available_decision_name;Important Decisions;Décisions importantes;Wichtige Entscheidungen;;Decisiones Importantes;;;;;;;;;x
alert_available_minor_title_delayed;The following Special Minor Titles can be granted:\n$LIST$;Les titres mineurs suivants peuvent être décernés :\n$LIST$;Folgende spezielle niedere Titel können vergeben werden:\n$LIST$;;Se pueden conceder los siguientes títulos menores especiales:\n$LIST$ ;;;;;;;;x
alert_available_minor_title_instant;§YSpecial Minor Titles Grantable§!;§YTitres mineurs spéciaux décernables§!;§YSpezielle niedere Titel zu vergeben§!;;§YTítulos menores especiales concedidos§!;;;;;;;;x
alert_available_minor_title_name;Available Minor Title;Titre mineur disponible;Niederer Titel verfügbar;;Título menor disponible;;;;;;;;;x
alert_available_plot_delayed;The following Plots have become available:\n$LIST$;Les complots suivants sont désormais disponibles : \n$LIST$;Folgende Verschwörungen sind jetzt verfügbar:\n$LIST$;;Están disponibles los siguientes complots:\n$LIST$;;;;;;;;;x
alert_available_plot_instant;§YNew Plots are Available§!;§YDe nouveaux complots sont disponibles.§!;§YNeue Verschwörungen verfügbar§!;;§YHay nuevos complots disponibles§!;;;;;;;;;x
alert_available_plot_name;New plots available;De nouveaux complots sont disponibles;Neue Verschwörung möglich;;Nuevos complots disponibles;;;;;;;;;x
alert_available_settlement_decision_delayed;The following Special Holding Actions are available:\n$LIST$;Les actions spéciales de propriété suivantes sont disponibles :\n$LIST$;Folgende Sonderaktionen sind verfügbar:\n$LIST$;;Están disponibles las siguientes acciones especiales de asentamiento: \n$LIST$;;;;;;;;;x
alert_available_settlement_decision_instant;§YSpecial Holding Actions Possible§!;§YActions spéciales de propriété possibles§!;§YSpezielle Besitztumsaktionen möglich§!;;¡§YPosibles acciones especiales de asentamiento§!;;;;;;;;;x
alert_available_settlement_decision_name;Special Holding Actions Possible;Actions spéciales de propriétés possibles;Spezielle Besitztumsaktionen möglich;;Acciones especiales de la posesión posibles;;;;;;;;;x
alert_available_targetted_decision_delayed;The following Special Character Actions are available:\n$LIST$;Les actions spéciales de personnage suivantes sont disponibles :\n$LIST$;Folgende Sonderaktionen sind verfügbar:\n$LIST$;;Están disponibles las siguientes acciones especiales de personaje: \n$LIST$;;;;;;;;;x
alert_available_targetted_decision_instant;§YSpecial Character Actions Possible§!;§YActions spéciales de personnage possibles§!;§YSpezielle Personenaktionen möglich§!;;¡§YPosibles acciones especiales de personaje§!;;;;;;;;;x
