ALT_AZTEC;The [aztec_pagan_reformed.GetName] Pontificate;Pontificat [aztec_pagan_reformed.GetName];Das [aztec_pagan_reformed.GetName]e Pontifikat;;El pontificado [aztec_pagan_reformed.GetName];;;;;;;;;x
ALT_AZTEC_ADJ;[aztec_pagan_reformed.GetName] Pontificate;Pontificat [aztec_pagan_reformed.GetName];[aztec_pagan_reformed.GetName]e Tempel;;temple[aztec_pagan_reformed.GetName];;;;;;;;;x
ALT_BON;The [bon_pagan_reformed.GetName] Paparchy;Paparchie [bon_pagan_reformed.GetName];Das [bon_pagan_reformed.GetName]e Pontifikat;;El pontificado [bon_pagan_reformed.GetName];;;;;;;;;x
ALT_BON_ADJ;[bon_pagan_reformed.GetName] Paparchy;Paparchie [bon_pagan_reformed.GetName];[bon_pagan_reformed.GetName]e Paparchie;;papal [bon_pagan_reformed.GetName];;;;;;;;;x
ALT_BOOK_THE_BLOOD_BOOK;The Blood Book;Livres de Sang;Blutiges Buch;;El Libro de sangre;;;;;;;;;x
ALT_BOOK_THE_BOOK_OF_FAITH;The Book of Faith;Livres de la Foi;Das Buch des Glaubens;;El Libro de la Fe;;;;;;;;;x
ALT_BOOK_THE_BOOK_OF_ILLUMINATION;The Book of Illumination;Livres de l'Illumination;Das Buch der Erleuchtung;;El Libro de la Iluminación;;;;;;;;;x
ALT_BOOK_THE_BOOKS_OF_BLESSED_VIRTUE;The Books of Blessed Virtue;Livres de la Sainte Vertu;Die Bücher der heiligen Tugend;;Los Libros de la virtud bendita;;;;;;;;;x
ALT_BOOK_THE_CHRONICLES_OF_REALITY;The Chronicles of Reality;Chroniques de la Réalité;Chroniken der Realität;;Las Crónicas de la realidad;;;;;;;;;x
ALT_BOOK_THE_CODE;The Code;Textes du Code;Der Codex;;El Código;;;;;;;;;x
ALT_BOOK_THE_DIAMOND_TABLET;The Diamond Tablet;Tablettes de Diamants;Diamantentafel;;La Tabla de diamante;;;;;;;;;x
ALT_BOOK_THE_EPISTLES_OF_WISDOM;The Epistles of Wisdom;Épîtres de la Sagesse;Die Episteln der Weisheit;;Las Epístolas de la Sabiduría;;;;;;;;;x
