# Slots
ceremonial_torso;Ceremonial Gown;Robe de cérémonie;Zeremonielles Kleid;;Vestimenta ceremonial;;;;;;;;;x
ceremonial_weapon;Ceremonial Weapon;Arme Cérémonielle;Zeremonienwaffe;;Arma Ceremonial;;;;;;;;;x
crown;Crown;Couronne;Krone;;Corona;;;;;;;;;x
library;Library;Bibliothèque;Bibliothek;;Biblioteca;;;;;;;;;x
mask;Mask;Masque;Maske;;máscara;;;;;;;;;x
neck;Neck;Cou;Hals;;Cuello;;;;;;;;;x
scepter;Scepter;Sceptre;Zepter;;Cetro;;;;;;;;;x
torso;Torso;Torse;Torso;;Torso;;;;;;;;;x
weapon;Weapon;Arme;Waffe;;Arma;;;;;;;;;x
wrist;Wrist;Poignet;Handgelenk;;Muñeca;;;;;;;;;x

# Artifacts
a_book_of_vegetables;A Book of Vegetables;Un livre sur les légumes;Mein Gemüse und ich;;Un libro de verduras;;;;;;;;;x
a_book_of_vegetables_desc;Few know about [From.OriginalOwner.GetTitledFirstName]'s love for vegetables. What a conversation starter!;Peu connaissent l'amour [From.OriginalOwner.Get_du_TitledFirstName] pour les légumes. Quel début de conversation !;Nur wenige wissen von [From.OriginalOwner.GetTitledFirstName] und [From.OriginalOwner.GetHerHis]er Liebe zum Gemüse. Was für ein Gesprächseinstieg!;;Pocos conocen el amor que [From.OriginalOwner.GetTitledFirstName] sentía por las verduras. ¡Qué modo de empezar una conversación!;;;;;;;;;x
a_history_of_armor;A History of Armor;Une histoire d'armures;Die Rüstung;;Historia de la armadura;;;;;;;;;x
a_history_of_armor_desc;An in-depth accounting of contemporary armor types and best practices.;Un recensement approfondi des types d'armures actuels et des meilleures pratiques.;Eine eingehende Statistik zeitgenössischer Rüstungstypen und den besten Anwendungsmöglichkeiten.;;Una explicación en profundidad de los tipos de armaduras actuales y las mejores técnicas.;;;;;;;;;x
a_history_of_churches;A History of Temples;Une histoire des temples;Über Tempel;;Una historia de templos;;;;;;;;;x
a_history_of_churches_desc;This tome is a historical chronicle of [From.OriginalOwner.Culture.GetName] religious buildings, written through a lens of aesthetic appreciation and artist's humility. It also contains some practical advice on construction methods and processes.;Ce volume est une chronique des bâtiments religieux [From.OriginalOwner.GetCultureMascPl], écrit sous un angle d'appréciation esthétique et d'humilité de l'artiste. Il contient aussi des conseils pratiques sur les méthodes de construction.;Dieses Buch ist eine historische Chronik religiöser [From.OriginalOwner.Culture.GetName]er Gebäude, das durch eine Linse ästhetischer Wertschätzung und Demut des Künstlers geschrieben ist. Es enthält außerdem praktische Ratschläge zu Bauweisen und Methoden.;;Este tomo es una crónica histórica de los edificios religiosos de [From.OriginalOwner.Culture.GetName], escrita con ojos de aprecio estético y humildad artística. También contiene consejos prácticos sobre métodos y procesos de construcción.;;;;;;;;;x
a_soldiers_life;A Soldier's Life;La vie d'un soldat;Das Leben eines Soldaten;;La vida de un soldado;;;;;;;;;x
