#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# councillor_events.txt

# Councillor helps liege manage titles
evt_18000_desc_a;Your [Root.GetChancellorName], [Root.job_chancellor.GetTitledFirstName], has offered to go through your newly acquired demesne titles and distribute them to existing or new vassals in order to ease your burden of government.;Votre [Root.GetChancellorName], [Root.job_chancellor.Get_le_TitledFirstName], vous propose de faire l'inventaire des titres nouvellement acquis et de les distribuer à des vassaux nouveaux ou existants afin d'alléger la charge pesant sur votre gouvernement.;Euer [Root.GetChancellorName], [Root.job_chancellor.GetTitledFirstName], bietet Euch an, die kürzlich erworbenen Domänentitel an alte und neue Vasallen zu verteilen, damit Euch die Regierungsgeschäfte nicht übermäßig belasten.;;Tu [Root.GetChancellorName], [Root.job_chancellor.GetTitledFirstName], se ha ofrecido para revisar tus recién adquiridos títulos de terratenencia y distribuirlos entre tus actuales vasallos o incluso nuevos vasallos para aligerar tu carga de gobierno.;;;;;;;;;x
evt_18000_desc_b;Your [Root.GetTreasurerName], [Root.job_treasurer.GetTitledFirstName], has offered to go through your newly acquired demesne titles and distribute them to existing or new vassals in order to ease your burden of government.;Votre [Root.GetTreasurerName], [Root.job_treasurer.Get_le_TitledFirstName], vous propose de faire l'inventaire des titres nouvellement acquis et de les distribuer à des vassaux nouveaux ou existants afin d'alléger la charge pesant sur votre gouvernement.;Euer [Root.GetTreasurerName], [Root.job_treasurer.GetTitledFirstName], bietet Euch an, die kürzlich erworbenen Domänentitel an alte und neue Vasallen zu verteilen, damit Euch die Regierungsgeschäfte nicht übermäßig belasten.;;Tu [Root.GetTreasurerName], [Root.job_treasurer.GetTitledFirstName], se ha ofrecido para revisar tus títulos de terratenencia recién adquiridos y distribuirlos entre tus actuales vasallos o incluso nuevos vasallos para aligerar tu carga de gobierno.;;;;;;;;;x
evt_18000_desc_c;Your [Root.GetLordSpiritualName], [Root.job_spiritual.GetTitledFirstName], has offered to go through your newly acquired demesne titles and distribute them to existing or new vassals in order to ease your burden of government.;Votre [Root.GetLordSpiritualName], [Root.job_spiritual.Get_le_TitledFirstName], vous propose de faire l'inventaire des titres nouvellement acquis et de les distribuer à des vassaux nouveaux ou existants afin d'alléger la charge pesant sur votre gouvernement.;Euer [Root.GetLordSpiritualName], [Root.job_spiritual.GetTitledFirstName], bietet Euch an, die kürzlich erworbenen Domänentitel an alte und neue Vasallen zu verteilen, damit Euch die Regierungsgeschäfte nicht übermäßig belasten.;;Tu [Root.GetLordSpiritualName], [Root.job_spiritual.GetTitledFirstName], se ha ofrecido para revisar tus títulos de terratenencia recién adquiridos y distribuirlos entre tus actuales vasallos o incluso nuevos vasallos para aligerar tu carga de gobierno.;;;;;;;;;x
evt_18000_option_a;Yes I would appreciate some help!;Oui, de l'aide serait appréciée !;Ja, ich würde etwas Unterstützung sehr schätzen!;;¡Sí, agradecería un poco de ayuda!;;;;;;;;x
evt_18000_option_b;No thanks I'm fine!;Non merci, ça va !;Nein danke, ich komme zurecht!;;¡No gracias, estoy bien!;;;;;;;;x
evt_18000_option_c;Stop bothering me about this nonsense!;Arrêtez de m'ennuyer avec des sottises !;Hört auf, mich mit diesem Unsinn zu belästigen!;;¡Deja de molestarme con esta nimiedad!;;;;;;;;x
evt_18000_option_c_tooltip;None of your council members will bother you about this matter in the near future.;Aucun membre de votre Conseil ne vous embêtera plus avec cela dorénavant.;Keines Eurer Ratsmitglieder wird Euch wegen dieser Sache in nächster Zeit belästigen.;;En un futuro cercano ningún miembro de tu cacareante consejo te molestará con este asunto.;;;;;;;;x
evt_18001_desc;My liege has agreed to give me the responsibility of handing out [From.GetHerHis] recently acquired titles.;M[From.GetOnA] [From.GetLordLady] lige a accepté de me donner la responsabilité de distribuer ses titres récemment acquis.;Mein Lehnsherr hat mir die Verantwortung für die Verteilung [From.GetHerHis] kürzlich erworbenen Titel übertragen.;;Mi señor ha aceptado darme la responsabilidad de entregar los títulos que consiguió hace poco.;;;;;;;;x
evt_18002_desc;My liege has denied to give me the responsibility of handing out [From.GetHerHis] recently acquired titles.;M[From.GetOnA] [From.GetLordLady] lige a refusé de me donner la responsabilité de distribuer ses titres récemment acquis.;Mein Lehnsherr hat mir die Verantwortung für die Verteilung [From.GetHerHis] kürzlich erworbenen Titel übertragen.;;Mi señor se ha negado a darme la responsabilidad de entregar los títulos que consiguió hace poco.;;;;;;;;x
evt_18004_desc;I've been given a title by my liege to hand out.;M[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige m'a donné[Root.Get_E] un titre à distribuer.;Mein Lehnsherr hat mir einen Titel zum Verleihen gegeben.;;Mi señor feudal me ha dado un título para que lo distribuya.;;;;;;;;;x
evt_18004_option_a;Give title to the best candidate.;Donner le titre au meilleur candidat.;Gebt dem besten Kandidaten den Titel.;;Dar el título al mejor candidato.;;;;;;;;;x
evt_18004_option_b;Give title to the second best candidate.;Donner le titre au second meilleur candidat.;Gebt dem zweitbesten Kandidaten den Titel.;;Dar el título al segundo mejor candidato.;;;;;;;;;x
evt_18004_option_c;Give title to the third best candidate.;Donner le titre au troisième meilleur candidat.;Gebt dem drittbesten Kandidaten den Titel.;;Dar el título al tercer mejor candidato.;;;;;;;;;x
evt_18004_option_d;Give title to an unknown noble.;Donner le titre à un noble inconnu.;Gebt einem unbekannten Adligen den Titel.;;Dar el título a un noble desconocido.;;;;;;;;;x
evt_18004_option_e;Give title to someone close to you.;Donner le titre à un de vos proches.;Gebt den Titel jemand anderem, den Ihr kennt.;;Dar el título a alguien próximo a ti.;;;;;;;;;x
