#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC37000;I should ask [Root.Liege.GetTitledFirstName] to grant me a title.;Je devrais demander [Root.Liege.Get_au_TitledFirstName] de me conférer un titre.;Ich sollte [Root.Liege.GetTitledFirstName] darum bitten, mir einen Titel zu verleihen. ;;Debo pedirle a [Root.Liege.GetTitledFirstName] que me conceda un título.;;;;;;;;;x
EVTDESC37001;Today, my [GetFromRelation] [From.GetFirstName] asked me for a fief of [From.GetPossPronoun] own to govern...;Aujourd'hui, m[From.GetOnA] [GetFromRelation], [From.GetFirstName], m'a fait part de son désir de gouverner un fief...;Heute bat mich [GetFromRelation] [From.GetFirstName] um ein Lehen ...;;Mi [GetFromRelation] [From.GetFirstName] me pidió un feudo propio para gobernarlo...;;;;;;;;;x
EVTDESC37002;[From.GetTitledFirstName] promised me a title!;[From.Get_Le_TitledFirstName] a promis de me conférer un titre !;[From.GetTitledFirstName] hat mir einen Titel versprochen!;;¡[From.GetTitledFirstName] me ha prometido un título!;;;;;;;;;x
EVTDESC37003;[From.GetTitledFirstName] refused to grant me a title!;[From.Get_Le_TitledFirstName] a refusé de me conférer un titre !;[From.GetTitledFirstName] weigerte sich, mir einen Titel zu verleihen! ;;[From.GetTitledFirstName] rehusó darme un título.;;;;;;;;;x
EVTDESC37004;'You are not ready yet...' was [From.GetTitledFirstName] excuse to refuse grant me a title!;Vous n'êtes pas encore prêt...' Voilà l'excuse que m'a servie [From.Get_le_TitledFirstName] pour ne pas me conférer un titre !;"Ihr seid noch nicht bereit...", war [From.GetTitledFirstName]s Entschuldigung, als er sich weigerte, mir einen Titel zu verleihen!;;Aún no estás preparado...' fue la excusa de [From.GetTitledFirstName] para negarse a darme el título;;;;;;;;;x
EVTDESC37005;[Root.Liege.GetTitledFirstName] must have forgotten [Root.Liege.GetSheHe] promised [Root.Liege.GetSheHe] would grant me a title.;[Root.Liege.Get_Le_TitledFirstName] a sans doute oublié qu'[Root.Liege.GetIlElle] m'avait promis de me conférer un titre.;[Root.Liege.GetTitledFirstName] muss vergessen haben, dass [Root.Liege.GetSheHe] versprochen hat, mir einen Titel zu verleihen. ;;[Root.Liege.GetTitledFirstName] ha debido olvidarse de que me ha prometido darme un título.;;;;;;;;;x
EVTDESC37006;My [GetFromRelation] [From.GetFirstName] is reminding me of my promise to grant [From.GetObjectPronoun] a fiefdom again...;M[From.GetOnA] [GetFromRelation], [From.GetFirstName], me rappelle que je lui ai promis un fief...;Mein [GetFromRelation] [From.GetFirstName] erinnert mich wieder an mein Versprechen, [From.GetObjectPronoun] ein Lehensgut zu übertragen ...;;Mi [GetFromRelation] [From.GetFirstName] me recuerda la promesa de concederle un feudo de nuevo...;;;;;;;;;x
EVTDESC37007;I asked [From.GetTitledFirstName] once again for a fiefdom but [From.GetTitledFirstName] refused to give me a title!;J'ai de nouveau demandé un fief [From.Get_au_TitledFirstName] mais [From.GetIlElle] refuse toujours de me conférer un titre !;Ich bat [From.GetTitledFirstName] erneut um einen Machtbereich, doch [From.GetTitledFirstName] weigerte sich, mir einen Titel zu verleihen! ;;De nuevo le he pedido a [From.GetTitledFirstName] un feudo pero se ha rehusado a darme un título.;;;;;;;;;x
EVTDESC37011;[From.GetBestName] - a disgruntled noble from the court of [From.Liege.GetTitledName] - has appeared in my realm, furious that [From.GetPossPronoun] [FromScope.GetLiegeRelation] would deny [From.GetObjectPronoun] a title of [From.GetPossPronoun] own. [From.GetTitledFirstName] intends to raise an army and take the [From.Liege.PrimaryTitle.GetFullName] by force!;[From.Get_only_Le_Title][From.GetBestName] - un[From.Get_E] noble mécontent[From.Get_E] de la cour [From.Liege.Get_du_TitledName] - est venu[From.Get_E] en mon Royaume, furieu[From.GetXSe] du refus de son [FromScope.GetLiegeRelation] de lui accorder un titre. [From.Get_Le_TitledFirstName] a l'intention de lever une armée pour s'emparer [From.Liege.PrimaryTitle.Get_du_RealmFull] par la force !;[From.GetBestName] - ein verärgerter Adliger vom Hofe von [From.Liege.GetTitledName] - ist in meinem Reich aufgetaucht, wütend, dass [From.GetPossPronoun] [FromScope.GetLiegeRelation] [From.GetObjectPronoun] einen Titel verweigerte. [From.GetTitledFirstName] hat vor, eine Armee auszuheben und [From.Liege.PrimaryTitle.GetFullName] mit Gewalt zu nehmen!;;[From.GetBestName] - un disgustado noble de la corte de [From.Liege.GetTitledName] - ha aparecido en mi reino, furioso porque su [FromScope.GetLiegeRelation] le ha denegado un título de su propiedad. ¡[From.GetTitledFirstName] pretende armar un ejército y tomar el [From.Liege.PrimaryTitle.GetFullName] por la fuerza!;;;;;;;;;x
EVTDESC37012;[FromFrom.GetTitledFirstName] is so furious over my refusal to grant [FromFrom.GetObjectPronoun] a title that [FromFrom.GetSubjectPronoun] has left the realm for the court of [From.GetTitledName], letting it be known that [FromFrom.GetSubjectPronoun] is hiring troops to take what is 'rightfully' [FromFrom.GetPossPronoun] by force of arms!;[FromFrom.Get_Le_TitledFirstName] est si en colère devant mon refus de lui accorder un titre qu'[FromFrom.GetIlElle] a quitté le pays pour rejoindre la Cour [From.Get_du_TitledName] en faisant savoir à tous qu'[FromFrom.GetIlElle] allait lever des troupes pour prendre par la force ce qui lui revenait « de droit ».;[FromFrom.GetTitledFirstName] ist so wütend über meine Weigerung, [FromFrom.GetObjectPronoun] einen Titel zu gewähren, dass [FromFrom.GetSubjectPronoun] das Reich verlassen und sich dem Hof von [From.GetTitledName] angeschlossen hat. [FromFrom.GetSubjectPronoun] ließ wissen, dass [FromFrom.GetSubjectPronoun] eine Armee aufstellt und sich mit Gewalt nehmen wird, was Recht ist.;;[FromFrom.GetTitledFirstName] está tan furioso con mi rechazo a darle un título que [FromFrom.GetSubjectPronoun] ha abandonado el reino por la corte de [From.GetTitledName], ¡dejando claro que [FromFrom.GetSubjectPronoun] contrata tropas para conseguir lo que es [FromFrom.GetPossPronoun] 'por derecho' por la fuerza de las armas!;;;;;;;;;x
EVTDESC37050;It is time for me to get married, or at least betrothed to a suitable match!;Il est temps pour moi de me marier, ou au moins de me fiancer !;Es wird Zeit für mich, zu heiraten oder zumindest mich mit einer passenden Partie zu verloben!;;¡Es hora de casarme o al menos prometerme a un buen partido!;;;;;;;;;x
EVTDESC37051;My beloved [target_relative.GetRootRelation] [target_relative.GetFirstName] is concerned that [target_relative.GetSubjectPronoun] is still not married.;M[target_relative.GetOnA] [target_relative.GetRootRelation], [target_relative.GetFirstName], s'inquiète de ne pas être encore marié[target_relative.Get_E].;[target_relative.GetRootRelation] [target_relative.GetFirstName] ist besorgt, dass [target_relative.GetSubjectPronoun] immer noch nicht verheiratet ist.;;A mi amado [target_relative.GetRootRelation] [target_relative.GetFirstName] le preocupa que [target_relative.GetSubjectPronoun] no se haya casado aún.;;;;;;;;;x
EVTDESC37052;My [GetFromRelation] has promised to arrange a marriage for me!;M[From.GetOnA] [GetFromRelation] a promis de m'arranger un mariage !;Mein [GetFromRelation] hat versprochen, eine Ehe für mich zu vermitteln!;;¡Mi [GetFromRelation] ha prometido arreglar un matrimonio para mí!;;;;;;;;;x
EVTDESC37053;[From.GetTitledFirstName] had forgotten [From.GetHerHis] promise, and told me [From.GetSheHe] would not help me find a suitable spouse!;[From.Get_Le_TitledFirstName] a oublié sa promesse et a déclaré qu'[From.GetIlElle] ne m'aiderait pas à trouver un bon parti.;[From.GetTitledFirstName] hat [From.GetHerHis] Versprechen vergessen und sagte mir, dass er mir nicht helfen würde, einen passenden Ehepartner zu finden! ;;¡[From.GetTitledFirstName] había olvidado su promesa y me ha dicho que no me ayudará a encontrar a una esposa!;;;;;;;;;x
EVTDESC37054;I am still not married nor betrothed! Surely [Root.Liege.GetTitledFirstName] has not forgotten about [Root.Liege.GetHerHis] promise to find me a suitable spouse?;Je ne suis toujours pas marié ni fiancé ! Pourtant, je suis sûr que [Root.Liege.Get_le_TitledFirstName] n'a pas oublié sa promesse de trouver la personne qui partagera sa vie avec moi !;Ich bin immer noch weder verheiratet noch verlobt! Bestimmt hat [Root.Liege.GetTitledFirstName] [Root.Liege.GetHerHis] Versprechen, mir einen passenden Ehepartner zu finden, nicht vergessen? ;;Todavía no me he casado o prometerme a alguien en matrimonio. Estoy seguro de que [Root.Liege.GetTitledFirstName] no ha olvidado su promesa de encontrarme una esposa de mi categoría, ¿verdad?;;;;;;;;;x
EVTDESC37055;[From.GetFirstName], my dear [GetFromRelation], clearly upset, is reminding me of my promise to get [From.GetObjectPronoun] married.;[From.GetFirstName], m[From.GetOnA] [GetFromRelation], manifestement en colère, me rappelle que je lui ai promis un mariage.;Sichtlich verärgert, erinnert [From.GetFirstName], m[From.Geteineine] [GetFromRelation], mich an mein Versprechen, [From.GetObjectPronoun] zu verheiraten.;;[From.GetFirstName], mi querido [GetFromRelation], claramente enojado, me recuerda mi promesa de casarle.;;;;;;;;;x
EVTDESC37056;An arranged marriage has been denied me, I will find me a wife without help!;On m'a refusé un mariage arrangé, mais je n'ai besoin de l'aide de personne pour me trouver une femme !;Eine arrangierte Ehe wurde mir verweigert - ich werde auch ohne Hilfe eine Frau finden! ;;Me han negado un matrimonio pactado, ¡encontraré una esposa por mí mismo!;;;;;;;;;x
EVTDESC37056_B;An arranged marriage has been denied me, I will find me a husband without help!;Un mariage arrangé m'a été refusé, donc je vais me trouver un mari sans aide !;Mir wurde eine arrangierte Ehe verweigert und ich werde ohne Hilfe einen Ehemann finden müssen!;;¡Como se me ha negado un matrimonio concertado, me encontraré marido sin ayuda!;;;;;;;;x
EVTDESC37057;My hopeless [GetFromRelation] has betrayed me and secretly gotten married to a lady-in-waiting.;M[From.GetOnA] [GetFromRelation] me trahit en épousant secrètement une dame d'honneur.;Mein hoffnungsloser [GetFromRelation] hat mich betrogen und im Geheimen eine Hofdame geheiratet.;;Mi desesperado [GetFromRelation] me ha traicionado y se ha casado en secreto con una dama de honor.;;;;;;;;;x
EVTDESC37057_B;My hopeless [GetFromRelation] has betrayed me and secretly gotten married to a servant.;Mon incorrigible [GetFromRelation] m'a trahi[Root.Get_E] et s'est secrètement mariée à un serviteur.;M[From.Geteineine] hoffungslose[From.GetrMale] [GetFromRelation] hat mich verraten und heimlich einen Diener geheiratet.;;Mi incorregible [GetFromRelation] me ha traicionado, casándose en secreto con un miembro del servicio.;;;;;;;;x

EVTOPTA37000;Please?;Pardon ?;Bitte?;;¿Por favor?;;;;;;;;;x
EVTOPTA37001;I promised to arrange it;J'ai promis de lui en confier un.;Ich versprach, es zu arrangieren;;Le prometí disponerlo;;;;;;;;;x
EVTOPTA37002;It had better not be hollow words...;J'ose espérer que ce ne sont pas des paroles en l'air...;Das waren besser nicht nur leere Worte... ;;Más vale que no sean palabras vacías...;;;;;;;;;x
EVTOPTA37003;This will not stand!;C'est inadmissible !;Das wird nicht von Dauer sein!;;¡Esto no ha de durar!;;;;;;;;;x
EVTOPTA37004;I'll ask again later...;Je lui redemanderai plus tard...;Ich werde ihn später noch einmal fragen...;;Se lo pediré más tarde...;;;;;;;;;x
EVTOPTA37005;Ask [Root.Liege.GetTitledFirstName] again;Demander [Root.Liege.Get_au_TitledFirstName] encore une fois.;Fragt [Root.Liege.GetTitledFirstName] erneut;;Pídeselo de nuevo a [Root.Liege.GetTitledFirstName].;;;;;;;;;x
EVTOPTA37006;Oh, very well!;Oh, très bien !;Oh, in Ordnung!;;¡Muy bien!;;;;;;;;;x
EVTOPTA37007;This is an outrage!;C'est une insulte à ma personne !;Das ist empörend!;;¡Esto es inaceptable!;;;;;;;;;x
EVTOPTA37011;I guess I can allow that...;Je peux fermer les yeux...;Ich schätze, das kann ich gestatten...;;Supongo que puedo permitirlo...;;;;;;;;;x
EVTOPTA37012;The traitorous git!;Quelle infâme trahison !;Dieser verräterische Narr!;;¡Cretino traidor!;;;;;;;;;x
EVTOPTA37050;I shall ask [Root.Liege.GetTitledFirstName] for a suitable spouse!;Je dois demander [Root.Liege.Get_au_TitledFirstName] de me trouver la personne avec qui partager ma vie.;Ich sollte [Root.Liege.GetTitledFirstName] nach einem passenden Ehepartner fragen! ;;¡Pediré a [Root.Liege.GetTitledFirstName] una esposa adecuada1;;;;;;;;;x
EVTOPTA37051;I will find [target_relative.GetObjectPronoun] someone nice!;Je vais lui trouver quelqu'un de bien !;Ich werde jemand Nettes für [target_relative.GetObjectPronoun] finden!;;¡Le buscaré a alguien agradable!;;;;;;;;;x
EVTOPTA37054;I must remind [Root.Liege.GetTitledFirstName] about [Root.GetHerHis] promise!;Je vais aller voir [Root.Liege.Get_le_TitledFirstName] et lui rappeler sa promesse !;Ich muss [Root.Liege.GetTitledFirstName] an [Root.GetHerHis] Versprechen erinnern!;;¡Debo recordarle a [Root.Liege.GetTitledFirstName] su promesa!;;;;;;;;;x
EVTOPTA37056;I'm getting married right now!;Je vais me marier sur-le-champ !;Ich werde jetzt sofort heiraten! ;;¡Me voy a casar ya!;;;;;;;;;x
EVTOPTA37055;I have just the person in mind!;J'ai justement quelqu'un en tête !;Ich kenne genau die richtige Person!;;¡Conozco a la persona perfecta!;;;;;;;;;x
EVTOPTA37057;Ah well, I wish them luck!;Très bien, je leur souhaite bonne chance !;Na ja, ich wünsche ihnen alles Gute!;;¡Bueno, les deseo suerte!;;;;;;;;;x

EVTOPTB37001;I told [From.GetObjectPronoun] [From.GetSubjectPronoun] is not ready;Je lui ai dit qu'[From.GetIlElle] manque de préparation.;Ich sagte [From.GetObjectPronoun], [From.GetSubjectPronoun] sei nicht bereit;;Le dije que no estaba preparado;;;;;;;;;x
EVTOPTB37004;Not again!;Encore !;Nicht noch einmal!;;¡Otra vez no!;;;;;;;;;x
EVTOPTB37006;I've had it with [From.GetPossPronoun] whining!;C'en est assez de ses jérémiades !;Ich habe die Nase voll von [From.GetPossPronoun]em Gejammer!;;¡Estoy harto de sus quejas!;;;;;;;;;x
