#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC2480;My liege has a child in need of a guardian and mentor...;M[Root.Liege.GetOnA] [Root.Liege.GetLordLady] a un enfant qui a besoin d'un tuteur et d'un mentor...;Mein Lehnsherr hat ein Kind, das einen Vormund und Mentor braucht ...;;Mi señor tiene un hijo que precisa un guardián y mentor...;;;;;;;;;x
EVTDESC2481;My liege, I hope fate finds you well! A child needs a proper guardian, and nothing would please me more than to offer my services as a mentor and tutor, if it pleases thee.\nYour humble vassal\n[From.GetTitledFirstName];M[Root.GetOnA][Root.GetLordLady], \nJ'espère que vous allez bien ! Un enfant a besoin d'un tuteur et rien ne me ferait plus plaisir que de vous offrir mes services en tant que mentor et tuteur, si cela vous sied.\n\nVotre humble vassal,\n[From.GetTitledFirstName];Mein Lehnsherr, ich hoffe, das Schicksal behandelt Euch gut! Ein Kind braucht einen guten Vormund, und nichts würde mich mehr ehren, als meine Dienste als Mentor und Privatlehrer anzubieten, so es Euch denn beliebt.\nEuer bescheidener Vasall,\n[From.GetTitledFirstName];;¡Mi señor, espero que te encuentres bien! Un niño precisa un guardián apropiado, y nada me gustaría más que ofrecer mis servicios como mentor y tutor, si ello te complace.\nTu humilde vasallo\n[From.GetTitledFirstName];;;;;;;;;x
EVTDESC2482;My dear [This.GetTitle], your offer is most reasonable. We trust the child will be safe in your hands and will receive a proper upbringing. May our friendship last forever!\n[From.GetTitledFirstName];Ch[This.GetErEre] [This.GetTitle], votre offre est la bienvenue. Nous savons que l'enfant sera en sécurité avec vous et qu'il recevra une bonne éducation. Que notre amitié soit éternelle !\n[From.GetTitledFirstName];Mein lieber [This.GetTitle], Euer Angebot ist höchst anständig. Wir sind überzeugt, dass das Kind in Eurer Obhut sicher sein und eine gute Erziehung genießen wird. Möge unsere Freundschaft ewig währen!\n[From.GetTitledFirstName];;Querido [This.GetTitle], tu oferta es muy razonable. Confiamos en que el niño estará seguro en tus manos y recibirá una educación adecuada. ¡Que nuestra amistad dure siempre!\n[From.GetTitledFirstName];;;;;;;;;x
EVTDESC2483;My dear [This.GetTitle], your offer is deeply appreciated. However, we have someone else in mind as a guardian for our child. Peace be with you!\n[From.GetTitledFirstName];Ch[This.GetErEre] [This.GetTitle], je vous remercie de votre offre. Toutefois, nous avons un autre tuteur en vue pour s'occuper de notre enfant. Que la paix soit avec vous !\n[From.GetTitledFirstName];Mein lieber [This.GetTitle], wir schätzen Euer Angebot sehr. Als Vormund für unser Kind haben wir jedoch jemand anderen im Sinne. Friede sei mit Euch!\n[From.GetTitledFirstName];;Querido [This.GetTitle], agradezco mucho tu oferta. No obstante, hemos pensado en otra persona para ser guardián de nuestro hijo. ¡La paz sea contigo!\n[From.GetTitledFirstName];;;;;;;;;x
EVTDESC2484;[From.GetTitledFirstName] becomes my Guardian.;[From.Get_Le_TitledFirstName] devient m[From.GetOnA] tut[From.GetEurRice].;[From.GetTitledFirstName] wird mein Vormund.;;[From.GetTitledFirstName] se convierte en mi guardián.;;;;;;;;;x

EVTOPTA2480;Offer the [Root.Liege.GetTitle] my services;J'offre mes services à notre [Root.Liege.GetTitle].;[Root.Liege.GetTitle] meine Dienste anbieten;;Ofrece mis servicios a [Root.Liege.GetTitle];;;;;;;;;x
EVTOPTA2481;[From.GetTitledFirstName] would make a good guardian;[From.Get_Le_TitledFirstName] ferait un[From.Get_E] bo[From.GetNNne] tut[From.GetEurRice].;[From.GetTitledFirstName] würde einen guten Vormund abgeben;;[From.GetTitledFirstName] sería un buen guardián;;;;;;;;;x
EVTOPTA2483;A slight to my honor!;C'est un affront !;Eine Besudelung meiner Ehre!;;¡Un desprecio a mi honor!;;;;;;;;;x
EVTOPTA2484;I don't like [From.GetHerHim]!;Je ne l'aime pas !;Ich mag [From.GetHerHim] nicht!;;¡No me gusta!;;;;;;;;;x

EVTOPTB2480;Leave it to someone else;Je laisse quelqu'un d'autre s'en charger.;Jemand anderem die Stelle überlassen;;Que se encargue otro;;;;;;;;;x
EVTOPTB2481;I can find someone better;Vous pouvez trouver mieux.;Ich kann einen Besseren finden;;Puedo hallar a alguien mejor;;;;;;;;;x

EVTTOOLTIP2481;Send a letter to my liege;J'envoie une lettre à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige.;Einen Brief an meinen Lehnsherrn schicken;;Envía una carta a mi señor;;;;;;;;;x
EVTTOOLTIP2482;Send a letter to the vassal gracefully accepting the offer;Vous envoyez une lettre à votre vassal pour l'informer que vous acceptez son offre.;Einen Brief an den Vasallen schicken und sein Angebot dankend annehmen;;Envía una carta al vasallo aceptando graciosamente la oferta;;;;;;;;;x
EVTTOOLTIP2483;Send a letter to the vassal gracefully declining the offer;Vous envoyez une lettre à votre vassal pour l'informer que vous refusez son offre.;Einen Brief an den Vasallen schicken und sein Angebot dankend ablehnen;;Envía una carta al vasallo declinando amablemente la oferta;;;;;;;;;x
EVTTOOLTIP2484;The child is tutored by a guardian.;L'enfant est instruit par son tuteur.;Das Kind wird von einem Vormund unterrichtet.;;Este niño esta siendo tutelado por un guardian;;;;;;;;;x
