#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME6301;The Turnip Act;La loi du navet;Der Rübenerlass;;La Ley de Nabos;;;;;;;;;x
EVTNAME6302;The Pants Act;La loi du pantalon;Der Hosenerlass;;La Ley de Pantalones;;;;;;;;;x
EVTNAME6303;The Hole in the Wall Act;La loi du trou dans le mur;Der Loch-in-der-Wand-Erlass;;La Ley de Huecos en la Pared;;;;;;;;;x
EVTNAME6304;The Cessation of Violence Act;La loi d'arrêt des violences;Der Erlass zum Stopp der Gewalt;;La Ley de Cese de Violencia;;;;;;;;;x

EVTDESC6000;A strange, reddish-pink rash appeared on my palms and soles not long ago along with a fever and headache. Some parts of the rash has developed abscesses and is both ugly and itchy.;Il y a peu, de drôles de boutons rougeâtres sont apparus sur mes paumes et sur la plante de mes pieds accompagnés de fièvre et de maux de tête. Certains boutons se sont transformés en affreux abcès qui me démangent.;Vor kurzem erschien ein seltsamer rötlicher Ausschlag auf meinen Handflächen und Fußsohlen. Außerdem hatte ich Fieber und Kopfschmerzen. An manchen Stellen des Ausschlags traten hässliche und juckende Abszesse hervor.;;Hace poco me salió un sarpullido en las palmas de las manos y las plantas de los pies, acompañado de fiebre y dolor de cabeza. En algunas zonas han salido feos abscesos que me pican.;;;;;;;;;x
EVTDESC6001;The rash disappeared and took the headache and fever with it.;Les boutons, les maux de tête et la fièvre ont disparu.;Der Ausschlag verschwand zusammen mit dem Fieber und den Kopfschmerzen.;;El sarpullido desapareció junto con el dolor de cabeza y la fiebre.;;;;;;;;;x
EVTDESC6010;First I lost my eyebrows and eyelashes, then my nose deformed. People fear me and I must hide my face as to not cause hysteria among others.;J'ai commencé par perdre mes sourcils et mes cils, puis mon nez s'est déformé. Je fais peur aux gens, à tel point que je dois me cacher le visage pour ne pas provoquer l'hystérie autour de moi.;Erst verlor ich Augenbrauen und Wimpern, dann verformte sich meine Nase. Die Menschen fürchten mich, und ich muss mein Gesicht verbergen, um bei ihnen keine Hysterie zu erzeugen.;;Primero perdí las cejas y las pestañas, luego se deformó mi nariz. La gente me teme y oculto mi cara para no asustar a los demás.;;;;;;;;;x
EVTDESC6011;A man approached me and I tried to duck away from him, not let him see my disfigurement. He told me he had a cure and sold me a potion for only 25 gold coins.;Un homme s'est approché de moi et j'ai essayé de me dérober pour qu'il ne voie pas mon visage. Il m'a dit qu'il avait un remède et m'a vendu une potion pour à peine 25 pièces d'or.;Ein Mann näherte sich, und ich versuchte, ihm aus dem Weg zu gehen, damit er meine Entstellung nicht sah. Er sagte mir, er habe ein Heilmittel und verkaufte mir einen Trank für nur 25 Goldstücke.;;Un hombre se acercó a mí y traté de evitarle para que no viera mi rostro desfigurado. Me dijo que tenía una cura y me vendió una poción por solo 25 monedas de oro.;;;;;;;;;x
EVTDESC6020;The voices in my head are telling me to do horrible things!;J'entends des voix qui me disent de faire des choses horribles !;Die Stimmen in meinem Kopf fordern mich auf, schreckliche Dinge zu tun!;;¡Oigo voces en mi mente que me dicen que haga cosas horribles!;;;;;;;;;x
EVTDESC6020_COMA;I awoke from my unending nightmare screaming. I have been in the abyss, an indescribable darkness. How long have I been asleep? Weeks, years?!;Je me suis réveillé de mon cauchemar en hurlant. Il ne voulait pas se terminer. J'étais dans les abysses. Les ténèbres y étaient indescriptibles. Combien de temps ai-je dormi ? Des semaines ? Des années !?;Schreiend wachte ich aus meinem schier endlosen Alptraum auf. Ich befand mich im Abgrund, in einer unbeschreiblichen Dunkelheit. Wie lange habe ich geschlafen? Wochen oder Jahre?!;;Me desperté de mi interminable pesadilla gritando. He estado en el abismo, una oscuridad indescriptible.¡¿Cuánto tiempo he dormido? ¿Semanas, años?!;;;;;;;;;x
