#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME8503;Castle of Krak des Chevaliers;Château de Krak des Chevaliers;Burg Krak des Chevaliers;;Castillo del Krak de los Caballeros;;;;;;;;;x
EVTNAME8508;Castle of Margat;Château de Margat;Burg Margat;;Castillo de Margat;;;;;;;;;x
EVTNAME8513;Castle of Belvoir;Château de Belvoir;Burg Belvoir;;Castillo de Belvoir;;;;;;;;;x
EVTNAME8518;Castle of Beth Gibelin;Château de Beth Gibelin;Burg Beth Gibelin;;Castillo de Beth Gibelin;;;;;;;;;x

EVTDESC8500;To help defend the Holy Land from the infidels, our order should establish castles there. The county of Archa seems like a good candidate for this. I should ask the ruling Count there for permission.;Pour contribuer à défendre la Terre sainte des infidèles, notre ordre doit y établir des châteaux. Le comté d'Archa semble parfait pour cela, mais je dois d'abord obtenir l'autorisation du comte local.;Zur Unterstützung der Verteidigung des Heiligen Landes vor den Ungläubigen sollte unser Orden dort Burgen errichten. Die Provinz Archa scheint dafür gut geeignet zu sein. Ich sollte den dort herrschenden Graf um Erlaubnis bitten.;;Para colaborar en la defensa de Tierra Santa, nuestra orden debería construir castillos allí. La provincia de Archa parece un buen lugar para ello. Debería pedir permiso al Conde que manda allí.;;;;;;;;;x
EVTDESC8501;To the Great [Root.GetTitledFirstName],\nYour wisdom and mercy are legendary. The Knights of St. John ask for your help in the Holy War against the infidels. To assist us in our struggle we humbly ask permission to establish a new castle in the County of Archa.;À l'éminent[Root.Get_E] [Root.GetTitledFirstName],\nVotre sagesse et votre miséricorde sont légendaires. Les Chevaliers de Saint Jean sollicitent votre aide dans le cadre de la guerre sainte menée contre les infidèles. Pour nous assister dans notre lutte, nous vous demandons humblement la permission d'établir un nouveau château dans le comté d'Archa.;Oh [Root.GetTitledFirstName],\nEure Weisheit und Gnade sind legendär. Die Ritter des Johanniterordens möchten Euch um Eure Hilfe im Krieg gegen die Ungläubigen bitten: Zur Unterstützung unseres Kampfes ersuchen wir Euch demütig um Erlaubnis, in der Grafschaft Archa eine neue Burg zu errichten.;;Al gran [Root.GetTitledFirstName],\nTu sabiduría y clemencia son legendarias. Los Caballeros de San Juan te piden ayuda en la Guerra Santa contra los infieles. Para ayudarnos en nuestra lucha pedimos permiso humildemente para construir un nuevo castillo en el Condado de Archa.;;;;;;;;;x
EVTDESC8502;The Knights of St. John have erected the castle of Krak des Chevaliers in [Root.GetName].;Les Chevaliers de Saint Jean ont érigé un château en [Root.GetName] : le Krak des Chevaliers.;Die Ritter des Johanniterordens haben in [Root.GetName] die Burg Krak des Chevaliers gebaut.;;Los Caballeros de San Juan han erigido el Krak de los Caballeros en [Root.GetName].;;;;;;;;;x
EVTDESC8503;The Knights of St. John have established a new holding in the [From.County.GetFullName]. Permission to settle there was granted to them by the noble [FromFrom.GetTitledName]. Their mighty castle will henceforth be known as Krak des Chevaliers.;Les Chevaliers de Saint Jean ont établi une nouvelle propriété dans [From.County.Get_le_RealmFull]. [FromFrom.GetLeLaCap] généreu[FromFrom.GetXSe] [FromFrom.GetTitledName] leur a donné la permission de s'y installer. Leur puissant château sera désormais connu sous le nom de Krak des Chevaliers.;Die Ritter des Johanniterordens haben in [From.County.GetFullName] ein neues Besitztum etabliert. Die Siedlungserlaubnis wurde ihnen vom edlen [FromFrom.GetTitledName] gewährt. Ihre mächtige Burg wird fürderhin unter dem Namen Krak des Chevaliers bekannt sein.;;Los Caballeros de San Juan han fundado una nueva posesión en el [From.County.GetFullName]. El noble [FromFrom.GetTitledName] les permitió establecerse ahí. Su poderoso castillo será conocido en adelante como el Krak de los Caballeros.;;;;;;;;;x
EVTDESC8505;To help defend the Holy Land from the infidels, our order should establish castles there. The county of Tortosa seems like a good candidate for this. I should ask the ruling Count there for permission.;Pour contribuer à défendre la Terre sainte des infidèles, notre ordre doit y établir des châteaux. Le comté de Tortosa semble parfait pour cela, mais je dois d'abord obtenir l'autorisation du comte local.;Zur Unterstützung der Verteidigung des Heiligen Landes vor den Ungläubigen sollte unser Orden dort Burgen errichten. Die Provinz Tortosa scheint dafür gut geeignet zu sein. Ich sollte den dort herrschenden Graf um Erlaubnis bitten.;;Para colaborar en la defensa de Tierra Santa, nuestra orden debería construir castillos allí. La provincia de Tortosa parece un buen lugar para ello. Debería pedir permiso al Conde que manda allí.;;;;;;;;;x
EVTDESC8506;To the Great [Root.GetTitledFirstName],\nYour wisdom and mercy are legendary. The Knights of St. John ask for your help in the Holy War against the infidels. To assist us in our struggle we humbly ask permission to establish a new castle in the County of Tortosa.;À l'éminent[Root.Get_E] [Root.GetTitledFirstName],\nVotre sagesse et votre miséricorde sont légendaires. Les Chevaliers de Saint Jean sollicitent votre aide dans le cadre de la guerre sainte menée contre les infidèles. Pour nous assister dans notre lutte, nous vous demandons humblement la permission d'établir un nouveau château dans le comté de Tortosa.;Oh [Root.GetTitledFirstName],\nEure Weisheit und Gnade sind legendär. Die Ritter des Johanniterordens möchten Euch um Eure Hilfe im Krieg gegen die Ungläubigen bitten: Zur Unterstützung unseres Kampfes ersuchen wir Euch demütig um Erlaubnis, in der Grafschaft Tortosa eine neue Burg zu errichten.;;Al gran [Root.GetTitledFirstName],\nTu sabiduría y clemencia son legendarias. Los Caballeros de San Juan te piden ayuda en la Guerra Santa contra los infieles. Para ayudarnos en nuestra lucha pedimos permiso humildemente para construir un nuevo castillo en el Condado de Tortosa.;;;;;;;;;x
EVTDESC8507;The Knights of St. John have erected the castle of Margat in [Root.GetName].;Les Chevaliers de Saint Jean ont érigé le château de Margat à [Root.GetName].;Die Ritter des Johanniterordens haben in [Root.GetName] die Burg Margat gebaut.;;Los Caballeros de San Juan han erigido el castillo de Margat en [Root.GetName].;;;;;;;;;x
EVTDESC8508;The Knights of St. John have established a new holding in the [From.County.GetFullName]. Permission to settle there was granted to them by the noble [FromFrom.GetTitledName]. Their mighty castle will henceforth be known as Margat.;Les Chevaliers de Saint Jean ont établi une nouvelle propriété dans [From.County.Get_le_RealmFull]. [FromFrom.GetLeLaCap] généreu[FromFrom.GetXSe] [FromFrom.GetTitledName] leur a donné la permission de s'y installer. Leur puissant château sera désormais connu sous le nom de Margat.;Die Ritter des Johanniterordens haben in [From.County.GetFullName] ein neues Besitztum etabliert. Die Siedlungserlaubnis wurde ihnen vom edlen [FromFrom.GetTitledName] gewährt. Ihre mächtige Burg wird fürderhin unter dem Namen Margat bekannt sein.;;Los Caballeros de San Juan han fundado una nueva posesión en el [From.County.GetFullName]. El noble [FromFrom.GetTitledName] les permitió establecerse ahí. Su poderoso castillo será conocido en adelante como Margat.;;;;;;;;;x
EVTDESC8510;To help defend the Holy Land from the infidels, our order should establish castles there. The county of Safed seems like a good candidate for this. I should ask the ruling Count there for permission.;Pour contribuer à défendre la Terre sainte des infidèles, notre ordre doit y établir des châteaux. Le comté de Safed semble parfait pour cela, mais je dois d'abord obtenir l'autorisation du comte local.;Zur Unterstützung der Verteidigung des Heiligen Landes vor den Ungläubigen sollte unser Orden dort Burgen errichten. Die Provinz Safed scheint dafür gut geeignet zu sein. Ich sollte den dort herrschenden Graf um Erlaubnis bitten.;;Para colaborar en la defensa de Tierra Santa, nuestra orden debería construir castillos allí. La provincia de Safed parece un buen lugar para ello. Debería pedir permiso al Conde que manda allí.;;;;;;;;;x
EVTDESC8511;To the Great [Root.GetTitledFirstName],\nYour wisdom and mercy are legendary. The Knights of St. John ask for your help in the Holy War against the infidels. To assist us in our struggle we humbly ask permission to establish a new castle in the County of Safed.;À l'éminent[Root.Get_E] [Root.GetTitledFirstName],\nVotre sagesse et votre miséricorde sont légendaires. Les Chevaliers de Saint Jean sollicitent votre aide dans le cadre de la guerre sainte menée contre les infidèles. Pour nous assister dans notre lutte, nous vous demandons humblement la permission d'établir un nouveau château dans le comté de Safed.;Oh [Root.GetTitledFirstName],\nEure Weisheit und Gnade sind legendär. Die Ritter des Johanniterordens möchten Euch um Eure Hilfe im Krieg gegen die Ungläubigen bitten: Zur Unterstützung unseres Kampfes ersuchen wir Euch demütig um Erlaubnis, in der Grafschaft Safed eine neue Burg zu errichten.;;Al gran [Root.GetTitledFirstName],\nTu sabiduría y clemencia son legendarias. Los Caballeros de San Juan te piden ayuda en la Guerra Santa contra los infieles. Para ayudarnos en nuestra lucha pedimos permiso humildemente para construir un nuevo castillo en el Condado de Safed.;;;;;;;;;x
EVTDESC8512;The Knights of St. John have erected the castle of Belvoir in [Root.GetName].;Les Chevaliers de Saint Jean ont érigé le château de Belvoir à [Root.GetName].;Die Ritter des Johanniterordens haben in [Root.GetName] die Burg Belvoir gebaut.;;Los Caballeros de San Juan han erigido el castillo de Belvoir en [Root.GetName].;;;;;;;;;x
EVTDESC8513;The Knights of St. John have established a new holding in the [From.County.GetFullName]. Permission to settle there was granted to them by the noble [FromFrom.GetTitledName]. Their mighty castle will henceforth be known as Belvoir.;Les Chevaliers de Saint Jean ont établi une nouvelle propriété dans [From.County.Get_le_RealmFull]. [FromFrom.GetLeLaCap] généreu[FromFrom.GetXSe] [FromFrom.GetTitledName] leur a donné la permission de s'y installer. Leur puissant château sera désormais connu sous le nom de Belvoir.;Die Ritter des Johanniterordens haben in [From.County.GetFullName] ein neues Besitztum etabliert. Die Siedlungserlaubnis wurde ihnen vom edlen [FromFrom.GetTitledName] gewährt. Ihre mächtige Burg wird fürderhin unter dem Namen Belvoir bekannt sein.;;Los Caballeros de San Juan han fundado una nueva posesión en el [From.County.GetFullName]. El noble [FromFrom.GetTitledName] les permitió establecerse ahí. Su poderoso castillo será conocido en adelante como Belvoir.;;;;;;;;;x
EVTDESC8515;To help defend the Holy Land from the infidels, our order should establish castles there. The county of Hebron seems like a good candidate for this. I should ask the ruling Count there for permission.;Pour contribuer à défendre la Terre sainte des infidèles, notre ordre doit y établir des châteaux. Le comté d'Hébron semble parfait pour cela, mais je dois d'abord obtenir l'autorisation du comte local.;Zur Unterstützung der Verteidigung des Heiligen Landes vor den Ungläubigen sollte unser Orden dort Burgen errichten. Die Provinz Hebron scheint dafür gut geeignet zu sein. Ich sollte den dort herrschenden Graf um Erlaubnis bitten.;;Para colaborar en la defensa de Tierra Santa, nuestra orden debería construir castillos allí. La provincia de Hebron parece un buen lugar para ello. Debería pedir permiso al Conde que manda allí.;;;;;;;;;x
