# Historical
alexander_bloodline_01;Immortal Blood of Alexander;Sang immortel d'Alexandre;Unsterbliches Blut von Alexander;;Sangre inmortal de Alejandro;;;;;;;;;x
alexander_bloodline_01_desc;Thanks to the efforts of [This.GetTitledFirstName], the [This.GetOnlyDynastyName] dynasty has been universally acknowledged as being directly descended from Alexander the Great.;Grâce aux efforts [This.Get_du_TitledFirstName], tout le monde considère que la dynastie [This.GetOnlyDynastyName] descend directement d'Alexandre le Grand.;Dank der Bemühungen von [This.GetTitledFirstName] wird die [This.GetOnlyDynastyName]-Dynastie nun allgemein als direkt von Alexander dem Großen abstammend anerkannt.;;Gracias al trabajo de [This.GetTitledFirstName], se reconoce universalmente a la dinastía [This.GetOnlyDynastyName] como descendiente directa de Alejandro Magno.;;;;;;;;;x
alexander_nevsky;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
alexander_nevsky_desc;A legendary military leader who won scores of military victories against invading Germans and Swedes. He was later canonized as a saint.;Un chef militaire légendaire qui a remporté des dizaines de victoires contre les envahisseurs allemands et suédois. Il a ensuite été canonisé en tant que saint.;Ein legendärer Militärführer, der viele Siege gegen die eindringenden Deutschen und Schweden errungen hat. Er wurde später heiliggesprochen.;;Legendario líder militar que logró múltiples victorias contra invasores alemanes y suecos. Más tarde fue canonizado santo.;;;;;;;;;x
alexios_komnenos;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
alexios_komnenos_desc;A great emperor who fought both the Seljuk Turks and the Normans. His reforms stopped the imperial decline, restoring much of the former glory.;Grand empereur qui a combattu à la fois les Turcs Seldjoukides et les Normands. Ses réformes ont arrêté le déclin impérial, restaurant une grande partie de la gloire passée.;Ein großer Kaiser, der sowohl die Seldschuken als auch Nomannen bekämpfte. Seine Reformen hielten den imperialen Niedergang auf uns stellten viel von dem früheren Ruhm wieder her.;;Gran emperador que luchó tanto contra los turcos selyúcidas como contra los normandos.;;;;;;;;;x
alfonso_portugal;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
alfonso_portugal_desc;Vanquisher of both Moors and Leonese in his campaigns for Portuguese independence, Alfonso cunningly battled many enemies to establish the roots of his own realm.;Vainqueur contre les Maures et les Léonais dans ses campagnes pour l’indépendance portugaise, Alfonso a combattu avec brio de nombreux ennemis pour établir son propre royaume.;Als Verteidiger der Mauren und Leonesen in seinem Bestreben Portugals Unabhängigkeit zu erlangen, kämpfte Alfonso geschickt gegen viele Feinde und begründete damit die Wurzeln seines eigenen Reiches.;;Vencedor de moros y leoneses en su campaña por la independencia de Portugal, Alfonso luchó con astucia contra sus muchos enemigos para poner los cimientos de su propio reino.;;;;;;;;;x
alfonso_spain;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
alfonso_spain_desc;Lord over half of Iberia, Alfonso claimed the title “Emperor of all Spain” and sought to unify the peninsula under his rule. He was also known as a patron of arts.;Seigneur de plus de la moitié de la péninsule ibérique, Alfonso a revendiqué le titre « d'Empereur de toute l'Espagne » et a cherché à unifier la péninsule sous son autorité. Il était également connu comme mécène.;Als Herrscher über die Hälfte der Iberischen Halbinsel beanspruchte Alfonso den Titel "Kaiser von ganz Spanien" und versuche damit die Halbinsel unter seiner Herrschaft zu vereinen. Zudem war er als Kunstmäzen bekannt.;;Señor de media Península, Alfonso reclamó el título de "Emperador de toda España" y quiso unirla toda bajo su poder. También fue famoso como mecenas de las artes.;;;;;;;;;x
alienor_of_aquitaine;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
