COMPL_AFFABLE;affable;affable;umgänglicher;;afable;;;;;;;;;x # male - gregarious
COMPL_ARCHITECT;architect;architecte;Architekt[Root.GetinFemale];;arquitecto;;;;;;;;;x # male female - architect
COMPL_AUDACIOUS;audacious;intrépide;waghalsige[Root.GetrMale];;audaz;;;;;;;;;x # male female - adventurer
COMPL_AUGUSTUS;Augustus;Auguste;Augustus;;Augusto;;;;;;;;;x # male female - augustus
COMPL_BEAUTY;beauty;beauté;Schönheit;;belleza;;;;;;;;;x # female - fair
COMPL_BERSERKER;berserker;berserk;Berserker[Root.GetinFemale];;berserker;;;;;;;;;x # male female - berserker
COMPL_BLADEMASTER;blademaster;fine lame;Schwertmeister;;maestro de la espada;;;;;;;;;x # male - duelist
COMPL_BRAVE;brave;brave;mutige[Root.GetrMale];;valiente;;;;;;;;;x # male female - brave
COMPL_BRILLIANT;brilliant;brillant[Root.Get_E];brillante[Root.GetrMale];;brillante;;;;;;;;;x # male female - genius
COMPL_CHAMPION;champion;championne;Schwertmeisterin;;campeón;;;;;;;;;x # female - duelist
COMPL_CHARMER;charmer;charmeur;Charmeur;;encantador/a;;;;;;;;;x # male - seducer
COMPL_CHARMING;charming;charmant;charmanter;;encantador/a;;;;;;;;;x # male seducer
COMPL_CHASTE;chaste;chaste;keusche[Root.GetrMale];;casto/a;;;;;;;;;x # male female - chaste
COMPL_CLEVER;clever;sagace;schlaue[Root.GetrMale];;inteligente;;;;;;;;;x # male female child - genius...
COMPL_CONQUEROR;conqueror;conquérant[Root.Get_E];Eroberer[GetinFemale];;conquistador;;;;;;;;;x # male female - adventurer
COMPL_CRUSADER;Crusader;croisé[Root.Get_E];Kreuzritter[Root.GetinFemale];;Cruzado;;;;;;;;;x # male female - crusader
COMPL_DEAR;dear;ch[Root.GetErEre];liebliche;;querido/a;;;;;;;;;x # male female
COMPL_DEMURE;demure;discrète;züchtige;;remilgado/a;;;;;;;;;x # female - shy
COMPL_DEVIL;devil;diablesse;Teuflin;;demonio;;;;;;;;;x # female - arbitrary
COMPL_DILIGENT;diligent;diligent[Root.Get_E];fleißige[Root.GetrMale];;diligente;;;;;;;;;x # male female - diligent
COMPL_ELOQUENT;eloquent;éloquent[Root.Get_E];redegewandte[Root.GetrMale];;elocuente;;;;;;;;;x # male female - (diplomacy)
COMPL_ENCHANTRESS;enchantress;enchanteresse;Verführerin;;seductora;;;;;;;;;x # female - seductress
COMPL_FAIR;fair;resplendissante;hübsche;;limpio/a;;;;;;;;;x # female - fair
COMPL_FAQIH;Faqih;faqih;Faqih;;Faqih;;;;;;;;;x # male female - faqih
COMPL_FETCHING;fetching;superbe;reizende;;atractivo/a;;;;;;;;;x # female - gregarious
COMPL_FORTHRIGHT;forthright;franche;aufrechte;;directo/a;;;;;;;;;x # female - honest
COMPL_FRUGAL;frugal;économe;genügsame[Root.GetrMale];;frugal;;;;;;;;;x
COMPL_GENIUS;genius;génie;[Root.GetÜberfliegerKoriphäe];;genio;;;;;;;;;x # male female - genius
COMPL_GOOD;good;bo[Root.GetNNne];gute[Root.GetrMale];;bueno/a;;;;;;;;;x # male female - timid charitable \ zealous honest child
COMPL_GREAT;great;éminent[Root.Get_E];große;;gran;;;;;;;;;x
COMPL_HAFIZ;Hafiz;hafiz;Hafiz;;Hafiz;;;;;;;;;x # male female - hafiz
COMPL_HAJJAJ;Hajjaj;hajjaj;Haddsch[Root.GetaFemale];;Hajjaj;;;;;;;;;x # male female - hajjaj
COMPL_HANDSOME;handsome;beau;stattlicher;;guapo/a;;;;;;;;;x # male - fair
COMPL_HERO;hero;héroïque;heldenhafte[Root.GetrMale];;héroe;;;;;;;;;x # child - gregarious
COMPL_HOLY_WARRIOR;holy warrior;guerri[Root.GetErEre] saint[Root.Get_E];Glaubenkrieger[Root.GetinFemale];;guerrero sagrado;;;;;;;;;x # male female - holy_warrior
COMPL_HUMBLE;humble;humble;demütige[Root.GetrMale];;humilde;;;;;;;;;x # male female - humble
COMPL_HUNTMASTER;huntmaster;maître-chasse;Jagdmeister;;cazador;;;;;;;;;x # male - hunter
COMPL_IMPISH;impish;espiègle;schelmische;;travieso;;;;;;;;;x # female - arbitrary
COMPL_JUST;just;juste;gerechte[Root.GetrMale];;justo/a;;;;;;;;;x # male female - just
COMPL_KAILASH_GUARDIAN_FEMALE;Guardian;gardienne;Wächterin;;Guardiana;;;;;;;;x
COMPL_KAILASH_GUARDIAN_MALE;Guardian;gardien;Wächter;;Guardián;;;;;;;;x
COMPL_KINDHEARTED;kindhearted;au grand coeur;gutherzige;;amable;;;;;;;;;x # female - kind
COMPL_KINDLY;kindly;bienveillant[Root.Get_E];netter;;amable;;;;;;;;;x # male - kind
COMPL_LADY;lady;dame;fürstliche;;señora;;;;;;;;;x
COMPL_LEARNED;learned;éduqué[Root.Get_E];gebildete[Root.GetrMale];;distinguido/a;;;;;;;;;x # male female - physician theologian
COMPL_LEVELHEADED;levelheaded;au tempérament calme;vernünftiger;;sensato/a;;;;;;;;;x # male - temperate
COMPL_LORD;lord;seigneur;fürstliche;;señor;;;;;;;;;x
COMPL_LOVELY;lovely;adorable;liebliche[Root.GetrMale];;encantador;;;;;;;;;x # male female - playful
COMPL_MAGNIFICENT;magnificent;magnifique;prachtvolle[Root.GetrMale];;magnífico;;;;;;;;;x
COMPL_MIRZA;mirza;mirza;Mirza;;mirza;;;;;;;;;x # male female - mirza
COMPL_MONK;monk;moine;Mönch;;monje;;;;;;;;;x # male
COMPL_MUJAHID;Mujahid;moudjahid;Mudschahedin;;Mujahid;;;;;;;;;x # male female - mujahid
COMPL_MYSTIC;mystic;mystique;Mystiker[Root.GetinFemale];;místico;;;;;;;;;x # male female - mystic
COMPL_NICE;nice;agréable;nette[Root.GetrMale];;agradable;;;;;;;;;x # shy gregarious just child (diplomacy) \ lustful female
COMPL_NUN;nun;nonne;Nonne;;monja;;;;;;;;;x # female
