baron_arabic;Wâli;Wâli;Wâli;;Valí;;;;;;;;;x
baron_dravidian_group;Damapati;Damapati;Damapati;;Damapati;;;;;;;;;x
baron_female;Baroness;Baronne;Baroness;;Baronesa;;;;;;;;;x
baron_female_arabic;Wâlia;Walia;Wâlia;;Valía;;;;;;;;;x
baron_female_dravidian_group;Damapatni;Damapatni;Damapatni;;Damapatní;;;;;;;;;x
baron_female_hellenic_pagan;Legata;Legata;Legata;;Legada;;;;;;;;;x
baron_female_hellenic_pagan_reformed;Legata;Legata;Legata;;Legada;;;;;;;;;x
baron_female_indo_aryan_group;Damapatni;Damapatni;Damapatni;;Damapatní;;;;;;;;;x
baron_female_iranian;Wâlia;Walia;Wâlia;;Valía;;;;;;;;;x
baron_female_nahua;Teuctli;Teuhtli;Teuctli;;Teuctli;;;;;;;;;x
baron_female_nepali;Damapatni;Damapatni;Damapatni;;Damapatní;;;;;;;;;x
baron_female_roman;Legata;Legata;Legata;;Legada;;;;;;;;;x
baron_female_turkish;Timariota;Timariota;Timarota;;Timariota;;;;;;;;;x
baron_hellenic_pagan;Legatus;Legatus;Legatus;;Legado;;;;;;;;;x
baron_hellenic_pagan_reformed;Legatus;Legatus;Legatus;;Legado;;;;;;;;;x
baron_indo_aryan_group;Damapati;Damapati;Damapati;;Damapati;;;;;;;;;x
baron_iranian;Argbadh;Argbadh;Argbadh;;Argbadh;;;;;;;;;x
baron_mongol;Taishi;Taishi;Taishi;;Taishi mongol;;;;;;;;;x
baron_nahua;Teuctli;Teuhtli;Teuctli;;Teuctli;;;;;;;;;x
baron_nepali;Damapati;Damapati;Damapati;;Damapati;;;;;;;;;x
baron_norse;Þegn;Þegn;Þegn;;Þegn;;;;;;;;;x
baron_norse_pagan;Þegn;Þegn;Þegn;;Þegn;;;;;;;;;x
baron_norse_pagan_reformed;Þegn;Þegn;Þegn;;Þegn;;;;;;;;;x
baron_pagan_group;Hetman;Hetman;Hetman;;Hetman;;;;;;;;;x
baron_roman;Legatus;Legatus;Legatus;;Legado;;;;;;;;;x
baron_turkish;Timariot;Timariote;Timariot;;Timariots;;;;;;;;;x
barony_arabic;Wilayah;Wilaya;Wilayah;;Vilayato;;;;;;;;;x
barony_dravidian_group;Dama;Dama;Dama;;Dama;;;;;;;;;x
barony_indo_aryan_group;Dama;Dama;Dama;;Dama;;;;;;;;;x
barony_iranian;Arg;Arg;Arg;;Arg;;;;;;;;;x
barony_mongol;Taishi;Taïshi;Taishi;;Taishi;;;;;;;;;x
barony_of_arabic;Wilayah of;Wilaya de;Wilayah von;;Vilayato de;;;;;;;;;x
barony_of_dravidian_group;Dama of;Dama de;Dama von;;Dama de;;;;;;;;;x
barony_of_indo_aryan_group;Dama of;Dama de;Dama von;;Dama de;;;;;;;;;x
barony_of_iranian;Arg of;Arg de;Arg von;;Arg de;;;;;;;;;x
barony_of_mongol;Taishi of;Taishi de;Taishi von;;Taishi de;;;;;;;;;x
barony_of_roman;Fortress of;Forteresse de;Festung von;;Fortaleza de;;;;;;;;;x
barony_of_turkish;Timar of;Timar de;Timar von;;Timariot de;;;;;;;;;x
barony_turkish;Timar;Timar;Timar;;Timar;;;;;;;;;x
city_baron;Mayor;Bourgmestre;Bürgermeister;;Alcalde;;;;;;;;;x
city_baron_female;Mayor;Bourgmestre;Bürgermeisterin;;Alcalde;;;;;;;;;x
city_baron_female_roman;Magistra;Magistra;Magistra;;Magistra;;;;;;;;;x
city_baron_roman;Magister;Magister;Magister;;Magister;;;;;;;;;x
city_barony;City;Cité;Stadt;;Ciudad;;;;;;;;;x
city_barony_of;City of;Cité de;Stadt;;Villa de;;;;;;;;;x
city_barony_of_roman;City of;Cité de;Stadt von;;Ciudad de;;;;;;;;;x
city_barony_roman;City;Cité;Stadt;;Ciudad;;;;;;;;;x
city_count;Lord Mayor;Bourgmestre;Oberbürgermeister;;Gran Alcalde;;;;;;;;;x
city_count_female;Lady Mayor;Bourgmestre;Oberbürgermeisterin;;Gran Alcalde;;;;;;;;;x
