north_germanic;North Germanic;germanique nordique;Nordgermanisch;;Norgermánica;;;;;;;;;x
north_germanic_FEATURES;§Y*§! Can raise Runestones up until the year 1150.;§Y*§! Peut édifier des pierres runiques jusqu'en 1150.;§Y*§! Kann bis zum Jahr 1150 Runensteine in Auftrag geben.;;§Y*§! Puede crear piedras rúnicas hasta 1150.;;;;;;;;;x

danish;Danish;danoise;Dänisch;;Danesa;;;;;;;;;x
norse;Norse;nordique;Nordisch;;Nórdica;;;;;;;;;x
norwegian;Norwegian;norvégienne;Norwegisch;;Noruega;;;;;;;;;x
swedish;Swedish;suédoise;Schwedisch;;Sueca;;;;;;;;;x



central_germanic;Central Germanic;germanique central;Zentralgermanisch;;Germánica Central;;;;;;;;;x

german;German;allemande;Deutsch;;Alemana;;;;;;;;;x
lombard;Lombard;lombarde;Lombardisch;;Lombarda;;;;;;;;;x
frankish;Frankish;franque;Fränkisch;;Franca;;;;;;;;;x
suebi;Suebi;suève;Suebisch;;Sueva;;;;;;;;;x



west_germanic;West Germanic;germanique occidental;Westgermanisch;;Germánica Occidental;;;;;;;;;x

dutch;Dutch;hollandaise;Holländisch;;Holandesa;;;;;;;;;x
english;English;anglaise;Englisch;;Inglesa;;;;;;;;;x
frisian;Frisian;frisonne;Friesisch;;Frisona;;;;;;;;;x
saxon;Saxon;saxonne;Sächsisch;;Sajona;;;;;;;;;x
anglo_saxon;Anglo-Saxon;anglo-saxonne;Angel-Sächsisch;;Anglosajona;;;;;;;;;x



latin;Latin;latin;Lateinisch;;Latina;;;;;;;;;x

french;French;française;Französisch;;Francesa;;;;;;;;;x
norman;Norman;normande;Normannisch;;Normanda;;;;;;;;;x
italian;Italian;italienne;Italienisch;;Italiana;;;;;;;;;x
occitan;Occitan;occitane;Okzitanisch;;Occitana;;;;;;;;;x
roman;Roman;romaine;Römisch;;Romana;;;;;;;;;x
dalmatian;Dalmatian;dalmate;Dalmatinisch;;Dálmata;;;;;;;;;x
outremer;Outremer;outremer;;;Ultramarina;;;;;;;;;x
sardinian;Sardinian;sarde;Sardinisch;;sardo;;;;;;;;;x



iberian;Iberian;ibérique;Iberisch;;Ibérica;;;;;;;;;x

basque;Basque;basque;Baskisch;;Vascona;;;;;;;;;x
basque_FEATURES;[GetBasqueFeatures];;;;;;;;;;;;;x
castilian;Castilian;castillane;Kastilisch;;Castellana;;;;;;;;;x
castilian_FEATURES;[GetIberianFeatures];;;;;;;;;;;;;x
catalan;Catalan;catalane;Katalanisch;;Catalana;;;;;;;;;x
catalan_FEATURES;[GetIberianFeatures];;;;;;;;;;;;;x
portuguese;Portuguese;portugaise;Portugiesisch;;Portuguesa;;;;;;;;;x
portuguese_FEATURES;[GetIberianFeatures];;;;;;;;;;;;;x
visigothic;Visigothic;wisigothe;Westgotisch;;Visigoda;;;;;;;;;x
visigothic_FEATURES;[GetIberianFeatures];;;;;;;;;;;;;x



byzantine;Byzantine;byzantin;Byzantinisch;;Bizantina;;;;;;;;;x
byzantine_FEATURES;§Y*§! Can Blind prisoners.\n§Y*§! Can Castrate prisoners.;§Y*§! Peut aveugler des prisonniers.\n§Y*§! Peut castrer des prisonniers.;§Y*§! Kann Gefangene blenden.\n§Y*§! Kann Gefangene kastrieren.;;§Y*§! Puede cegar prisioneros.\n§Y*§! Puede castrar prisioneros.;;;;;;;;;x

alan;Alan;alaine;Alanisch;;Alana;;;;;;;;;x
armenian;Armenian;arménienne;Armenisch;;Armenia;;;;;;;;;x
