# GetBookTheme
String_Drama;play;pièce de théâtre;Drama;;obra;;;;;;;;;x
String_Poetry;poem book;livre de poésie;Gedichtsbuch;;libro de poemas;;;;;;;;;x
String_Architecture;architecture book;livre d'architecture;Architekturbuch;;libro de arquitectura;;;;;;;;;x
String_Philosophy;philosophy book;livre de philosophie;Philosophiebuch;;libro de filosofía;;;;;;;;;x
String_History;history book;livre d'histoire;Geschichtsbuch;;libro de historia;;;;;;;;;x
String_Astronomy;astronomy book;livre d'astronomie;Astronomiebuch;;libro de astronomía;;;;;;;;;x
String_Medical;anatomy book;livre d'anatomie;Anatomiebuch;;libro de anatomía;;;;;;;;;x

# GetBookThemeWithArticle
String_aDrama;a play;une pièce de théâtre;ein Drama;;una obra;;;;;;;;;x
String_aPoetry;a poem book;un livre de poésie;ein Gedichtsbuch;;un libro de poemas;;;;;;;;;x
String_anArchitecture;an architecture book;un livre d'architecture;ein Architekturbuch;;un libro de arquitectura;;;;;;;;;x
String_aPhilosophy;a philosophy book;un livre de philosophie;ein Philosophiebuch;;un libro de filosofía;;;;;;;;;x
String_aHistory;a history book;un livre d'histoire;ein Geschichtsbuch;;un libro de historia;;;;;;;;;x
String_anAstronomy;an astronomy book;un livre d'astronomie;ein Astronomiebuch;;un libro de astronomía;;;;;;;;;x
String_aMedical;an anatomy book;un livre d'anatomie;ein Anatomiebuch;;un libro de anatomía;;;;;;;;;x

# GetBookThemeCap
String_ADrama;A play;pièce de théâtre;Ein Drama;;Una obra;;;;;;;;;x
String_APoetry;A poem book;livre de poésie;Ein Gedichtsbuch;;Un libro de poemas;;;;;;;;;x
String_AnArchitecture;Architecture book;livre d'architecture;Ein Architekturbuch;;Libro de arquitectura;;;;;;;;;x
String_APhilosophy;Philosophy book;livre de philosophie;Ein Philosophiebuch;;Libro de filosofía;;;;;;;;;x
String_AHistory;History book;livre d'histoire;Ein Geschichtsbuch;;Libro de historia;;;;;;;;;x
String_AnAstronomy;Astronomy book;livre d'astronomie;Ein Astronomiebuch;;Libro de astronomía;;;;;;;;;x
String_AMedical;Anatomy book;livre d'anatomie;Ein Anatomiebuch;;Libro de anatomía;;;;;;;;;x

# GetAuthorTitle
String_Writer;writer;écrivain;Schreibers;;escritor;;;;;;;;;x
String_Poet;poet;poète;Dichters;;poeta;;;;;;;;;x
String_Architect;architect;architecte;Architekten;;arquitecto;;;;;;;;;x
String_Philosopher;philosopher;philosophe;Philosophen;;filósofo;;;;;;;;;x
String_Historian;historian;historien;Historikers;;historiador;;;;;;;;;x
String_Astronomer;astronomer and philosopher;astronome et philosophe;Astronomen und Philosophen;;astrónomo y filósofo;;;;;;;;;x
String_Medic;physician;physicien;Arztes;;médico;;;;;;;;;x

# GetAuthorNationAdj
String_greek;Greek;grec;griechisch;;griego;;;;;;;;;x
String_roman;Roman;romain;römisch;;romano;;;;;;;;;x

# GetAuthorName
String_Euripedes;Euripedes;Euripide;;;Eurípides;;;;;;;;;x
String_Sophocles;Sophocles;Sophocle;Sophokles;;Sófocles;;;;;;;;;x
String_Aristophanes;Aristophanes;Aristophane;;;Aristófanes;;;;;;;;;x
String_Philemon;Philemon;Philémon;;;Filemón;;;;;;;;;x
String_Aeschylus;Aeschylus;Eschyle;Aischylos;;Esquilo;;;;;;;;;x
String_Archilochus;Archilochus;Archiloque;Archilochos;;Arquíloco;;;;;;;;;x
String_Alcman_of_Sparta;Alcman of Sparta;Alcman de Sparte;Alkman von Sparta;;Alcmán de Esparta;;;;;;;;;x
String_Theocritus;Theocritus;Théocrite;Theokritos;;Teocrito;;;;;;;;;x
String_Sappho;Sappho;;;;Safo;;;;;;;;;x
String_Asclepiades_of_Samos;Asclepiades of Samos;Asclépiade de Samos;Asklepiades von Samos;;Asclepíades de Samos;;;;;;;;;x
String_Hermodorus_of_Salamis;Hermodorus of Salamis;Hermodore de Salamine;Hermodoros von Salamis;;Hermodoro de Salamina;;;;;;;;;x
String_Vitruvius;Vitruvius;Vitruve;Vitruv;;Vitruvio;;;;;;;;;x
String_Rabirius;Rabirius;;;;Rabirio;;;;;;;;;x
String_Cocceius_Auctus;Cocceius Auctus;;;;Coceyo Aucto;;;;;;;;;x
String_Plato;Plato;Platon;Platon;;Platón;;;;;;;;;x
String_Aristotle;Aristotle;Aristote;Aristoteles;;Aristóteles;;;;;;;;;x
String_Pythagoras;Pythagoras;Pythagore;;;Pitágoras;;;;;;;;;x
String_Thales_of_Mileto;Thales of Mileto;Thalès de Milet;Thales von Milet;;Tales de Mileto;;;;;;;;;x
String_Zeno_of_Elea;Zeno of Elea;Zénon d'Élée;Zenon von Elea;;Zeno de Elea;;;;;;;;;x
String_Herodotus;Herodotus;Hérodote;Herodot;;Heródoto;;;;;;;;;x
String_Thucydides;Thucydides;Thucydide;Thukydides;;Tucídides;;;;;;;;;x
String_Polybius;Polybius;;Polybios;;Polibio;;;;;;;;;x
String_Strabo;Strabo;Strabon;Strabon;;Estrabón;;;;;;;;;x
String_Hypatia_of_Alexandria;Hypatia of Alexandria;Hipatie d'Alexandrie;Hypatia von Alexandria;;Hipatia de Alejandría;;;;;;;;;x
String_Ptolemy;Ptolemy;Ptolémée;Ptolemäus;;Ptolomeo;;;;;;;;;x
String_Aristarchus_of_Samos;Aristarchus of Samos;Aristarque de Samos;Aristarchos von Samos;;Aristarco de Samos;;;;;;;;;x
String_Hippocrates_of_Kos;Hippocrates of Kos;Hippocrate;Hippokrates von Kos;;Hipócrates de Cos;;;;;;;;;x
String_Virgil;Virgil;Virgile;Vergil;;Virgilio;;;;;;;;;x

# GetZweihanderSwordName
String_ZweihanderSword;Zweihander Sword;Épée Zweihander;Zweihandschwert;;Espada zweihander;;;;;;;;;x
String_TwoHandedSword;Two-Handed Sword;Épée à deux mains;Zweihandschwert;;Mandoble;;;;;;;;;x

# GetAlcoholContainerType
String_bottle;bottle;une bouteille;Flasche;;botella;;;;;;;;;x
String_case;case;une caisse;Kiste;;caja;;;;;;;;;x
String_cask;cask;un fût;Fass;;barrica;;;;;;;;;x
String_barrel;barrel;un tonneau;Fass;;barril;;;;;;;;;x

# GetAlcoholContainerTypeCap
String_Bottle;Bottle;une bouteille;Flasche;;Botella;;;;;;;;;x
String_Case;Case;une caisse;Kiste;;Caja;;;;;;;;;x
String_Cask;Cask;un fût;Fass;;Barrica;;;;;;;;;x
String_Barrel;Barrel;un tonneau;Fass;;Barril;;;;;;;;;x

# GetScaryCD
string_scary_cd; - you can try to intimidate a character again on: §Y[This.used_scary_upgrade_cd.GetExpiryDate]§!; – vous pouvez essayer d'intimider à nouveau un personnage le §Y[This.used_scary_upgrade_cd.GetExpiryDate]§!;- Ihr könnt einen Charakter erneut einschüchtern am: §Y[This.used_scary_upgrade_cd.GetExpiryDate]§!:;; - podrás intentar volver a intimidar un personaje en: §Y[This.used_scary_upgrade_cd.GetExpiryDate]§!;;;;;;;;;x

# GetSingularS
String_s;s;;;;n;;;;;;;;;x

# GetPoliteRefuse
String_politely;politely;poliment;Höflich;;educadamente;;;;;;;;;x

# GetBigBurialHaterSentence
big_burial_hater_Sentence;Those who hated [target_dead_ruler.GetHerHim] might not be pleased.; Ceux qui [target_dead_ruler.GetLeLa] détestaient pourraient ne pas être contents.;Diejenigen, die [target_dead_ruler.Getihnsie] hassten, können verärgert sein.;;Puede que los que [target_dead_ruler.GetRleRla] odiaban no estén contentos.;;;;;;;;;x

# GetUnfinished
String_unfinished;unfinished ; encore en construction;unvollendet ;;inacabado;;;;;;;;;x
