AbrahamDLC;Sons of Abraham;Les Fils d'Abraham (Sons of Abraham);Sons of Abraham;;Hijos de Abraham;;;;;;;;;x
AfricanPortraitsDLC;African Portraits;Portraits d'Afrique;African Portraits;;;;;;;;;;;x
AfricanUnitPackDLC;African Unit Pack;Pack d'unités africaines;African Unit Pack;;Pack de Unidades Africanas;;;;;;;;;x
ByzantineUnitsDLC;Byzantine Unit Pack;Pack d'unités byzantines;Byzantine Unit Pack;;;;;;;;;;;x
CelticPortraitsDLC;Celtic Portraits;Portraits celtiques;Celtic Portraits;;Perfiles Celtas;;;;;;;;;x
CelticUnitPackDLC;Celtic Unit Pack;Pack d'unités celtiques;Celtic Unit Pack;;Pack de Unidades Celtas;;;;;;;;;x
CharlemagneDLC;Charlemagne;Charlemagne;Charlemagne;;Carlomagno;;;;;;;;;x
CK2CoA2DLC;Dynasty Coat of Arms Pack 2;Pack d'armoiries 2;Dynasty Coat of Arms Pack 2;;;;;;;;;;;x
CK2CoA3DLC;Dynasty Coat of Arms Pack 3;Pack d'armoiries 3;Dynasty Coat of Arms Pack 3;;Pack 3 de Armas Dinásticas;;;;;;;;;x
CK2DLC001;Dynasty Coat of Arms Pack 1;Pack d'armoiries 1;Dynasty Coat of Arms Pack 1;;Caja 1 del Escudo heráldico de la dinastía;;;;;;;;;x
CK2DLC001_DESC;Description for Dynasty Coat of Arms Pack 1;Description du Pack d'armoiries 1;Description for Dynasty Coat of Arms Pack 1;;Descripción de la caja 1 del Escudo heráldico de la dinastía;;;;;;;;;x
CK2DLC002;Mongol Face Pack;Pack de portraits mongols;Mongol Face Pack;;Caja de máscara mongol;;;;;;;;;x
CK2DLC002_DESC;Description for Mongol Face Pack;Description du Pack de portraits mongols;Description for Mongol Face Pack;;Descripción de caja de máscara mongol;;;;;;;;;x
ConclaveDLC;Conclave;Le Conseil (Conclave);Conclave;;Cónclave;;;;;;;;;x
CustomizationPackDLC;Customization Pack;;Customization Pack;;;;;;;;;;;x
DynastyShieldsCharlemagneDLC;Dynasty Shields Charlemagne;Blasons dynastiques sous Charlemagne;Dynasty Shields Charlemagne;;Escudos de la Dinastía de Carlomagno;;;;;;;;;x
EarlyEasternClothingDLC;Early Eastern Clothing Pack;Pack de tenues orientales anciennes;Early Eastern Clothing Pack;;Primeros Paquetes de Tela Occidental;;;;;;;;;x
EarlyWesternClothingDLC;Early Western Clothing Pack;Pack de tenues occidentales anciennes;Early Western Clothing Pack;;Primeros Paquetes de Tela Occidental;;;;;;;;;x
EU4ConverterDLC;EUIV Converter;Convertisseur EUIV;EUIV Converter;;;;;;;;;;;x
HolyFuryDLC;Holy Fury;Fureur Sacrée (Holy Fury);Holy Fury;;Holy Fury;;;;;;;;;x
