#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

evt_CK2_247_desc_a;You have increased your Martial skill (§G+1§!) while leading troops in battle in §Y[Root.Location.GetName]§!.;Vous avez augmenté votre compétence martiale (§G+1§!) en menant des troupes dans la bataille en §Y[Root.Location.GetName]§!.;Ihr habt Eure Kriegskünste (§G+1§!) verbessert, während Ihr in §Y[Root.Location.GetName]§! Eure Truppen in der Schlacht führtet.;;Tu marcialidad ha aumentado (§G+1§!) al liderar a las tropas en la batalla de §Y[Root.Location.GetName]§!.;;;;;;;;;x
evt_CK2_250_desc_a;In spite of my efforts, I have been captured by the armies of [From.GetBestName]!;Malgré mes efforts, j'ai été capturé[Root.Get_E] par les hommes [From.Get_only_du_Title][From.GetBestName] !;Trotz meiner Bemühungen wurde ich von den Armeen von [From.GetBestName] gefangen genommen!;;¡A pesar de mis esfuerzos, me han capturado los ejércitos de [From.GetBestName]!;;;;;;;;;x
evt_CK2_261_desc_b;A soldier has distinguished himself on the battlefield. Such an asset! This must be what the vision was about!;Un soldat s'est distingué sur le champ de bataille. Quel atout ! Ce doit être ce que la vision disait !;Ein Soldat hat sich auf dem Schlachtfeld hervorgetan. Das ist ein großes Plus! Vielleicht war es diese Sache, um die es in meiner Vision ging!;;Un soldado ha sobresalido en el campo de batalla. ¡Su aportación es inestimable! ¡Esto es a lo que debía de estar refiriéndose mi visión!;;;;;;;;;x
evt_CK2_261_desc_c;A skillful soldier almost singlehandedly took down the enemy army in a battle today. It makes me doubt the troublesome vision I had.;Un soldat habile a abattu presque à lui seul l'armée ennemie dans une bataille aujourd'hui. Cela me fait douter de la vision pénible que j'ai eue.;Einem fähigen Soldaten gelang es heute beinahe im Alleingang, die feindliche Armee zu besiegen. Dies lässt Zweifel an meiner unguten Vision aufkommen.;;Hoy, un aguerrido soldado ha acabado con el ejército enemigo prácticamente sin ayuda. Esto me hace dudar sobre la visión alarmante que tuve.;;;;;;;;;x

EVTDESC242;Alas! [Root.GetBestName] has died bravely on the field of battle.;Hélas ! [Root.Get_only_Le_Title][Root.GetBestName] a perdu la vie, non sans bravoure, sur le champ de bataille.;Wehe! [Root.GetBestName] fiel tapfer auf dem Feld der Ehre.;;¡Qué desgracia! [Root.GetBestName] ha muerto con valor en el campo de batalla.;;;;;;;;;x
EVTDESC243;[Root.GetBestName] was wounded in the thick of battle.;[Root.Get_only_Le_Title][Root.GetBestName] sort du combat avec des blessures.;[Root.GetBestName] wurde im Schlachtengetümmel verwundet.;;[Root.GetBestName] fue herido en el fragor de la batalla.;;;;;;;;;x
EVTDESC244;[Root.GetBestName] was maimed in battle by a valiant foeman.;Un vaillant ennemi a mutilé [Root.Get_only_le_Title][Root.GetBestName] lors du combat.;[Root.GetBestName] wurde in der Schacht von einem tapferen Feind verstümmelt.;;[Root.GetBestName] fue mutilado en combate por un valiente enemigo.;;;;;;;;;x
EVTDESC245;[Root.GetBestName] received a crushing blow to the head in battle and will not stir from [Root.GetPossPronoun] repose.;[Root.Get_only_Le_Title][Root.GetBestName] ne se remettra pas du violent coup à la tête qu'[Root.GetIlElle] a reçu au combat.;[Root.GetBestName] erlitt einen schrecklichen Schlag an den Kopf und rührt sich nun nicht mehr.;;[Root.GetBestName] recibió en combate un fuerte golpe en la cabeza y no abandonará su reposo.;;;;;;;;;x
EVTDESC246;Combat is the best teacher! [Root.GetBestName] has become a more proficient commander.;Il n'y a rien de tel que le combat pour apprendre ! [Root.Get_only_Le_Title][Root.GetBestName] est désormais un[Root.Get_E] commandant[Root.Get_E] plus compétent[Root.Get_E].;Kampf ist der beste Ausbilder! [Root.GetBestName] ist ein kompetenterer Befehlshaber geworden.;;¡El combate es el mejor maestro! [Root.GetBestName] se ha convertido en un comandante más competente.;;;;;;;;;x
EVTDESC247;You have increased your Martial skill (§G+1§!) while leading troops in battle in §Y[Root.Location.GetName]§!.;Vous avez augmenté votre compétence martiale (§G+1§!) en menant des troupes dans la bataille en §Y[Root.Location.GetName]§!.;Ihr habt Eure Kriegskünste (§G+1§!) verbessert während Ihr in §Y[Root.Location.GetName]§! Eure Truppen in der Schlacht führtet.;;Tu marcialidad ha aumentado (§G+1§!) al liderar a las tropas en la batalla de §Y[Root.Location.GetName]§!.;;;;;;;;;x
EVTDESC248;We have gained a better understanding of military matters during this battle.;Cette bataille nous a permis de mieux comprendre les affaires militaires.;Während dieser Schlacht hat sich unser Verständnis militärischer Belange verbessert.;;En esta batalla hemos aumentado los conocimientos militares.;;;;;;;;;x
EVTDESC249;In the chaos of battle, your men have managed to corner [From.GetTitledFirstName]! [From.GetSheHeCap] resisted bravely before they slew [From.GetHerHim].;Dans le chaos de la bataille, vos hommes ont réussi à coincer [From.Get_le_TitledFirstName] ! [From.GetIlElleCap] s'est courageusement défendu[From.Get_E] avant d'être occis[From.Get_E].;Eure Mannen haben im Kampfgetümmel [From.GetTitledFirstName] gestellt! [From.GetSheHeCap] leistete tapfer Widerstand und dennoch fand [From.GetSheHeCap] den Tod.;;!En el caos de la batalla, tus hombres logran rodear a [From.GetTitledFirstName]! Resistió valientemente antes de que le mataran.;;;;;;;;;x
EVTDESC250;In spite of my efforts I have been captured by the armies of [From.GetBestName]!;Malgré mes efforts j'ai été capturé[Root.Get_E] par les hommes [From.Get_only_du_Title][From.GetBestName] !;Trotz meiner Bemühungen wurde ich von den Armeen von [From.GetBestName] gefangen genommen!;;¡A pesar de mis esfuerzos me han capturado los ejércitos de [From.GetBestName]!;;;;;;;;;x
EVTDESC251;Our enemy has died, the war has ended.;Notre adversaire n'est plus. La guerre s'arrête.;Unser Feind ist tot, der Krieg ist vorbei.;;Nuestro enemigo ha muerto, la guerra ha terminado.;;;;;;;;;x
EVTDESC253;My commander [From.GetTitledFirstName] was cornered and slain by the enemy on the battlefield. [From.GetSheHeCap] fought bravely right until the end.;M[From.GetOnA] commandant[From.Get_E], [From.Get_le_TitledFirstName], a été acculé[From.Get_E] et tué[From.Get_E] par les ennemis sur le champ de bataille. [From.GetIlElleCap] a combattu bravement jusqu'à la fin.;Meinem Kommandanten [From.GetTitledFirstName] wurde der Weg abgeschnitten und er wurde vom Feind auf dem Schlachtfeld erschlagen. [From.GetSheHeCap] kämpfte tapfer bis zum letzten Atemzug.;;Mi comandante[From.GetTitledFirstName] fue acorralad[From.GetOA] y muert[From.GetOA] por el enemigo en el campo de batalla. Luchó valientemente hasta el final.;;;;;;;;x
EVTDESC255;There are less cruel people who would say that my use of unnecessary violence is appalling. Then I would remind them that this is war and war means that there are no such thing as 'unnecessary violence'.;Des personnes moins cruelles condamneraient fermement mon recours à la violence. Mais j'aimerais leur rappeler qu'on est en guerre et que la guerre est synonyme de violence.;Weniger grausame Leute würden sagen, dass meine übertriebene Gewaltanwendung erschreckend ist. Dann würde ich sie aber daran erinnern, dass wir uns im Krieg befinden und dass es im Krieg keine "unnötige Gewalt" gibt.;;A la gente menos cruel le parecería espantoso usar tanta violencia innecesaria. Yo les recordaría que se trata de una guerra, lo cual significa que no existe eso de 'violencia innecesaria'.;;;;;;;;;x
