#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

bear.1.a;I shall request that [bear_character.GetFirstName] relocate.;Je vais lui demander de s'installer ailleurs.;Ich verlange, dass [bear_character.GetFirstName] umzieht.;;Pediré que se instale en otro lugar.;;;;;;;;;x
bear.1.b;It would be rude to insist.;Ce serait impoli d'insister.;Es wäre unhöflich, darauf zu bestehen.;;Sería descortés insistir.;;;;;;;;;x
bear.1.desc;I really must request that my [bear_character.GetRootRelation] [bear_character.GetFirstName] take up quarters not immediately adjacent to my own. I love [bear_character.GetHerHim] dearly, but the sheer volume of [bear_character.GetHerHis] snoring is becoming quite unbearable.;Je dois vraiment demander à m[bear_character.GetOnA] [bear_character.GetRootRelation] [bear_character.GetFirstName] de prendre ses appartements loin des miens. Je l'adore, mais l'intensité sonore de ses ronflements devient insupportable.;Ich muss wirklich verlangen, dass m[bear_character.Geteineine] [bear_character.GetRootRelation] [bear_character.GetFirstName] [bear_character.GetHerHis] Quartier nicht direkt neben meinem hat. Ich liebe [bear_character.GetHerHim] sehr, aber die Lautstärke [bear_character.GetHerHis]es Schnarchens wird immer unerträglicher.;;Debo solicitar que mi [bear_character.GetRootRelation] [bear_character.GetFirstName] no se instale junto a mis aposentos. Le aprecio profundamente, pero el volumen de sus ronquidos es insoportable.;;;;;;;;;x
bear.1.title;Troubled Sleep;Sommeil troublé;Unruhiger Schlaf;;Problemas de sueño;;;;;;;;;x
bear.2.a;Good thing it doesn't run in the family.;Une bonne chose que ce ne soit pas un trait de famille.;Gut, dass sich das nicht in der Familie verteilt.;;Menos mal que no es cosa de familia.;;;;;;;;;x
bear.2.b;Well, it must be practical in the winter season.;Eh bien, ce doit être pratique en hiver.;Nun, es muss wohl im Winter praktisch sein.;;Seguro que en invierno le resulta práctico.;;;;;;;;;x
bear.2.desc;I brushed past [bear_character.GetFirstName] on my way to the royal stables this afternoon. Though it was an impolite thought, the close contact left me struck with just how hirsute my [bear_character.GetRootRelation]'s figure is.;J'ai frôlé [bear_character.GetFirstName] en allant aux écuries royales cet après-midi. Bien que ce soit une pensée impolie, j'ai été frappé de constater à quel point m[bear_character.GetOnA] [bear_character.GetRootRelation] est poilu[bear_character.Get_E].;Ich streifte heute Nachmittag [bear_character.GetFirstName] auf meinem Weg zum königlichen Stall. Obwohl es ein unhöflicher Gedanke war, stellte sich mir nach dem engen Kontakt die Frage, wie behaart m[bear_character.Geteineine] [bear_character.GetRootRelation] ist.;;Pasé al lado de [bear_character.GetFirstName] esta mañana cuando iba camino a los establos reales. Aunque es un pensamiento maleducado, el contacto cercano hizo que me diera cuenta de lo peluda que es la figura de mi [bear_character.GetRootRelation];;;;;;;;;x
bear.2.title;A Hairy Situation;Une situation sensible;Eine haarige Angelegenheit;;Una situación peliaguda.;;;;;;;;;x
bear.3.a;I will seek [Root.Spouse.GetFirstName]'s company instead.;Je vais chercher la compagnie de [Root.Spouse.GetFirstName] à la place.;Ich suche stattdessen die Nähe zu [Root.Spouse.GetFirstName].;;Buscaré mejor la compañía de [Root.Spouse.GetFirstName].;;;;;;;;;x
bear.3.b;I will seek [family_member.GetFirstName]'s company instead.;Je vais chercher la compagnie de [family_member.GetFirstName] à la place.;Ich suche stattdessen die Nähe zu [family_member.GetFirstName].;;Buscaré mejor la compañía de [family_member.GetFirstName].;;;;;;;;;x
bear.3.c;I will seek the clergy's council instead.;Je vais chercher le conseil du clergé à la place.;Ich werde stattdessen den Klerus ersuchen.;;Buscaré mejor al clérigo del consejo.;;;;;;;;;x
