#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC1500;Every day, the cook chases me out of the kitchen, but not before I've stuffed myself and my pockets full of biscuits.;Tous les jours, la cuisinière me chasse de la cuisine, mais je ne m'en vais jamais avant de m'être rempli l'estomac et d'avoir bourré mes poches de biscuits.;Jeden Tag jagt mich der Koch aus der Küche, aber nicht, bevor ich mich und meine Taschen mit Keksen vollgestopft habe.;;Todos los días me echa el cocinero de la cocina, pero no antes de haberme atiborrado y llenado mis bolsillos de galletas.;;;;;;;;;x
EVTDESC1501;My [GetFromRelation], [From.GetTitledFirstName] thinks I eat far too much and has declared the kitchens off limits!;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], m'a interdit l'accès aux cuisines sous prétexte que je mange trop !;[GetFromRelation] [From.GetTitledFirstName] findet, ich esse viel zu viel und hat mir den Besuch der Küche verboten!;;¡Mi [GetFromRelation], [From.GetTitledFirstName] cree que como demasiado y me ha prohibido el acceso a la cocina!;;;;;;;;;x
EVTDESC1510;I had better eat with moderation, or I'll end up looking like my fat nanny...;Je ferais mieux de manger avec modération si je ne veux pas finir par ressembler à ma grosse nourrice...;Ich sollte beim Essen besser Mäßigung walten lassen, sonst sehe ich bald aus wie mein dickes Kindermädchen ...;;Mejor que coma con moderación o acabaré como mi gorda niñera...;;;;;;;;;x
EVTDESC1511;My [GetFromRelation] is worried about my health and wants me to eat more.;M[From.GetOnA] [GetFromRelation] s'inquiète pour ma santé et veut que je mange plus.;[GetFromRelation] macht sich Sorgen um meine Gesundheit und will, dass ich mehr esse.;;Mi [GetFromRelation] se preocupa por mi salud y quiere que coma más.;;;;;;;;;x
EVTDESC1520;No, you can't have them, they are mine!;Non, c'est à moi !;Nein, du kannst sie nicht haben, das sind meine!;;¡No puedes tenerlos, son míos!;;;;;;;;;x
EVTDESC1521;My [GetFromRelation] [From.GetTitledFirstName] won't have me turn into a 'mean and selfish little moneygrubber'.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], ne veut pas me voir devenir quelqu'un de 'pingre, méchant et égoïste'.;[GetFromRelation] [From.GetTitledFirstName] will nicht, dass ich zu einem "gemeinen, selbstsüchtigen kleinen Geldgeier" werde.;;Mi [GetFromRelation] [From.GetTitledFirstName] no permitirá que me convierta en un 'mezquino y egoísta amante del dinero'.;;;;;;;;;x
EVTDESC1530;If you play with me I'll let you play with my toys.;Si vous jouez avec moi, je vous prêterai mes jouets.;Wenn du mit mir spielst, lass ich dich mit meinen Spielzeugen spielen.;;Si juegas conmigo te dejaré jugar con mis juguetes.;;;;;;;;;x
EVTDESC1531;My [GetFromRelation] told me I should never let my lessers have what is mine... but my friend was just going to borrow some toys!;M[From.GetOnA] [GetFromRelation] veut m'emprunter des jouets, mais m[From.GetOnA] [GetFromRelation] m'a dit de ne jamais rien prêter aux personnes de rang inférieur...;[GetFromRelation] sagte mir, ich solle nie sozial niedriger Stehenden meine Sachen geben ... aber mein Freund wollte doch nur ein paar Spielzeuge ausborgen!;;Mi [GetFromRelation] me dijo que no debería dejar que mis inferiores poseyeran lo mío... ¡Pero mi amigo solo iba a pedirme prestados unos juguetes!;;;;;;;;;x
EVTDESC1540;I hate Latin, I hate History and I won't do my homework!;Je hais le latin, je déteste l'histoire et je n'ai pas envie de faire mes devoirs !;Ich hasse Latein, ich hasse Geschichte, und ich werde meine Hausaufgaben nicht machen!;;¡Odio el latín, odio la historia y no haré los deberes!;;;;;;;;;x
EVTDESC1541;My [GetFromRelation] is furious at my 'lazy nature' and will keep a closer eye on my studies from now on.;M[From.GetOnA] [GetFromRelation], en colère, dit que je suis d'une 'nature paresseuse' et va dorénavant suivre plus attentivement ma scolarité.;[GetFromRelation] ist wütend über meine "faule Natur" und wird ab sofort ein Auge auf meine Studien halten.;;Mi [GetFromRelation] está furiosa por mi 'carácter perezoso' y en adelante vigilará de cerca mis estudios.;;;;;;;;;x
EVTDESC1550;I always do my homework and my chores before I go and play.;Je fais toujours mes devoirs et mes corvées avant d'aller jouer.;Ich mache immer erst meine Schularbeiten und andere Aufgaben, bevor ich spielen gehe.;;Siempre hago los deberes y mis tareas antes de irme a jugar.;;;;;;;;;x
EVTDESC1551;My [GetFromRelation] explained to me that I am taking life far too seriously and need to relax.;D'après m[From.GetOnA] [GetFromRelation], je prends la vie beaucoup trop au sérieux et j'ai besoin de me détendre.;[GetFromRelation] erklärte mir, dass ich das Leben viel zu ernst nehme und mich entspannen sollte.;;Mi [GetFromRelation] me dijo que me tomaba la vida demasiado en serio y necesitaba relajarme.;;;;;;;;;x
EVTDESC1560;It's not fair, even peasant children have nicer things than I do!;Ce n'est pas juste, même les enfants de paysans ont de plus belles choses que moi !;Es ist nicht gerecht, selbst Bauernkinder haben schönere Sachen als ich!;;¡No es justo, hasta los hijos de campesinos hacen cosas más divertidas que yo!;;;;;;;;;x
EVTDESC1561;My [GetFromRelation] gave me a stern talking to about the deadly sin of envy.;J'ai eu droit à une sévère mise en garde de m[From.GetOnA] [GetFromRelation] sur le péché mortel qu'est l'envie.;[GetFromRelation] hielt mir eine Standpauke über die Todsünde Neid.;;Mi [GetFromRelation] me habló con severidad del pecado mortal de la envidia.;;;;;;;;;x
EVTDESC1570;Most people have good hearts. A stranger is just a friend I have yet to meet.;La plupart des gens sont bons. Un étranger n'est rien d'autre qu'un ami que nous ne connaissons pas encore.;Die meisten Menschen sind gutherzig. Fremde sind einfach Freunde, die ich noch nicht getroffen habe.;;La mayoría de la gente tiene buen corazón. Un desconocido es un amigo que aún debo conocer.;;;;;;;;;x
EVTDESC1571;My [GetFromRelation] [From.GetFirstName] took me over the knee and beat me with a stick for my trusting and weak nature.;Ma nature confiante et faible me vaut des coups de bâtons de la part de m[From.GetOnA] [GetFromRelation], [From.GetFirstName].;[GetFromRelation] [From.GetFirstName] hat mich wegen meiner treuherzigen und schwachen Natur übers Knie gelegt und mir den Hintern mit einem Stecken versohlt.;;Mi [GetFromRelation] [From.GetFirstName] me puso en su regazo y me pegó con una vara por mi naturaleza débil y confiada.;;;;;;;;;x
EVTDESC1580;That kid mocked me! I cannot be blamed for punching him in the face and giving him a nosebleed...;Ce garçon s'est moqué de moi ! C'est pour ça que je l'ai frappé au visage et qu'il a saigné du nez...;Das Kind hat mich nachgeäfft! Es ist nicht meine Schuld, dass ich ihm die Nase blutig gehauen habe ...;;¡Ese niño se burló de mí! No se me puede reprochar que le pegase en la cara provocándole una hemorragia nasal...;;;;;;;;;x
EVTDESC1581;My [GetFromRelation] [From.GetFirstName] is not pleased with my temper. [From.GetSubjectPronounCap] gave me the switch!;Mon tempérament déplaît à m[From.GetOnA] [GetFromRelation], [From.GetFirstName]. [From.GetIlElleCap] nous a donné des coups de fouet !;[GetFromRelation] [From.GetFirstName] ist nicht erbaut über meine kurze Lunte. [From.GetSubjectPronounCap] hat mir den Hintern versohlt!;;A mi [GetFromRelation] [From.GetFirstName] mi temperamento no le gusta. ¡[From.GetSubjectPronounCap] me dio con una vara!;;;;;;;;;x
EVTDESC1590;Let the little fools whisper and snigger behind my back. I can wait... revenge is a dish best served cold.;Ces imbéciles peuvent toujours chuchoter et ricaner derrière mon dos. J'attendrai... La vengeance est un plat qui se mange froid.;Sollen die kleinen Narren doch hinter meinem Rücken tuscheln und kichern. Ich kann warten ... Rache wird am besten kalt serviert.;;Dejemos que los bobos susurren y se rían a mis espaldas. Puedo esperar... la venganza es un plato que se sirve frío.;;;;;;;;;x
EVTDESC1591;[From.GetFirstName], my [GetFromRelation], chastised me for my cold patient nature. 'Show some spirit, damn you!' [From.GetSubjectPronoun] shouted.;Mon manque de caractère m'a valu une correction de la part de [From.GetFirstName], m[From.GetOnA] [GetFromRelation]. « Montrez que vous avez du caractère, bon sang ! » a-t-[From.GetIlElle] hurlé.;[GetFromRelation] [From.GetFirstName] schalt mich wegen meiner kalten, geduldigen Natur. "Zeig mal etwas Temperament, verflixt noch mal!", rief [From.GetSubjectPronoun].;;[From.GetFirstName], mi [GetFromRelation], me castigó por mi paciente naturaleza. '¡Ten un poco de genio, maldita sea!' Gritó [From.GetSubjectPronoun].;;;;;;;;;x
EVTDESC1600;I stand head and shoulders above the other children, and why should I pretend otherwise?;Les autres enfants ne m'arrivent pas à la cheville. Pourquoi devrais-je faire comme si ce n'était pas le cas ?;Ich stehe Meilen über den anderen Kindern, und warum sollte ich etwas anderes vortäuschen?;;Destaco entre los otros niños, ¿y por qué debería querer que fuese de otro modo?;;;;;;;;;x
EVTDESC1601;Today, my [GetFromRelation] [From.GetFirstName] called me an arrogant braggart and told me the story of Icarus and Daedalus.;Aujourd'hui, m[From.GetOnA] [GetFromRelation], [From.GetFirstName], a dénoncé mon arrogance et ma vantardise, et m'a raconté l'histoire d'Icare et Dédale.;Heute nannte mich [GetFromRelation] [From.GetFirstName] einen arroganten Angeber und erzählte mir die Geschichte von Dädalus und Ikarus.;;Hoy mi [GetFromRelation] [From.GetFirstName] me ha llamado fanfarrón arrogante y me ha contado la historia de Icaro y Dédalo.;;;;;;;;;x
EVTDESC1610;Why show off, when everything I have, I have been given?;Pourquoi parader alors qu'on m'a donné tout ce que j'ai ?;Warum soll ich angeben, wenn doch alles, was mein ist, mir gegeben wurde?;;¿Por qué alardear si todo lo que tengo me ha sido dado?;;;;;;;;;x
EVTDESC1611;My [GetFromRelation] [From.GetFirstName] is not impressed with my humility. 'Stand tall when you deserve it', [From.GetSubjectPronoun] explained.;Mon humilité n'impressionne pas m[From.GetOnA] [GetFromRelation], [From.GetFirstName]. [From.GetIlElleCap] m'a dit de garder la tête haute quand je le mérite.;[GetFromRelation] [From.GetFirstName] ist von meiner Bescheidenheit nicht beeindruckt. "Sei stolz, wenn du es verdient hast", erklärte [From.GetSubjectPronoun].;;A mi [GetFromRelation] [From.GetFirstName] no le impresiona mi humildad. 'Mantén la cabeza alta cuando lo merezcas', dijo [From.GetSubjectPronoun].;;;;;;;;;x
EVTDESC1620;People are so easy to manipulate! A smile, a tear, the right inflection, and they will rush to do my bidding.;Les gens sont si faciles à manipuler ! Un sourire, une larme, la bonne intonation, et ils se précipitent pour faire mes quatre volontés.;Die Leute sind so leicht zu manipulieren! Ein Lächeln, eine Träne, der richtige Ton, und schon beeilen sie sich, nach meiner Pfeife zu tanzen.;;¡La gente es tan fácil de manipular! Una sonrisa, una lágrima, el tono adecuado y corren a mi orden.;;;;;;;;;x
EVTDESC1621;My evil [GetFromRelation] [From.GetFirstName] promised that for every lie I tell, I'll get a rap from the rod.;M[From.GetOnA] terrible [GetFromRelation], [From.GetFirstName], m'a promis un coup de fouet pour chacun de mes mensonges.;[GetFromRelation] [From.GetFirstName], ein böser Mensch, versprach mir einen Stockschlag für jede Lüge.;;Mi malvada [GetFromRelation] [From.GetFirstName] me prometió que me dará un varazo por cada mentira que diga.;;;;;;;;;x
