#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC73000;A famous writer proposes to compose your family chronicles.;Un écrivain célèbre se propose de rédiger les chroniques de votre famille.;Ein berühmter Schreiber bietet an, Eure Familienchronik zu verfassen.;;Un escritor famoso propone compilar las crónicas de tu familia.;;;;;;;;;x
EVTDESC73001;My young wife has taken a passion for romantic poetry. She keeps reading any sort of romantic poetry she can get hold of.;Ma jeune épouse se passionne pour la poésie d'amour courtois. Elle lit tous les ouvrages du genre qu'elle peut trouver.;Meine junge Frau hat eine Vorliebe für romantische Gedichte. Sie liest jede Art romantischer Gedichte, die sie in die Finger bekommen kann.;;Mi joven esposa se ha apasionado por la poesía romántica. Sigue leyendo cualquier tipo de poesía romántica que le cae en sus manos.;;;;;;;;;x
EVTDESC73002;The church wants to organize a Miracle play for a local saint in our demesne. They seem to feel that it should fall on our shoulders to pay for it.;L'Église veut monter au théâtre un mystère rendant hommage à un saint originaire de notre domaine. Les ecclésiastiques semblent vouloir nous faire payer.;Die Kirche möchte in unserer Domäne ein Mysterienspiel für einen hiesigen Heiligen organisieren. Sie scheinen der Ansicht zu sein, dass wir für die Kosten aufkommen sollten.;;La iglesia quiere organizar la representación de un pasaje bíblico en nuestra propiedad. Creen que deberíamos sufragarlo nosotros.;;;;;;;;;x
EVTDESC73003;Peasants from the local countryside have sent a representative to petition for our support for one of their traditional carnivals.;Des paysans locaux ont dépêché un représentant pour nous demander de soutenir une de leurs fêtes traditionnelles.;Die hiesigen Bauern haben einen Repräsentanten geschickt, um unsere Unterstützung eines ihrer traditionellen Karnevals zu erbitten.;;Campesinos locales han enviado un representante a pedir nuestro patrocinio para una de sus ferias tradicionales.;;;;;;;;;x
EVTDESC73004;A young talented artist from [Root.Location.GetName] proposes to paint an iconic portrait of [Root.Father.GetBestName].;Un jeune et talentueux artiste de [Root.Location.GetName] se propose de faire le portrait iconique [Root.Father.Get_only_du_Title][Root.Father.GetBestName].;Ein junger begabter Künstler aus [Root.Location.GetName] bietet an, ein ikonisches Portrait von [Root.Father.GetBestName] zu malen.;;Un joven artista de gran talento de [Root.Location.GetName] propone pintar un retrato de [Root.Father.GetBestName].;;;;;;;;;x
EVTDESC73005;Luxury clothes are trendy at the moment. What about keeping your courtiers busy by changing the fashion at court?;Les vêtements luxueux sont à la mode en ce moment. Que diriez-vous d'occuper vos courtisans en changeant la mode à la Cour ?;Luxusgewänder sind momentan der letzte Schrei. Wie wäre es, Eure Höflinge durch einen Wechsel der Mode zu beschäftigen?;;Ahora se llevan las ropas lujosas. ¿Qué te parece hacer que tus cortesanos cambien la moda en la corte?;;;;;;;;;x
EVTDESC73006;My trusted and devoted chamberlain just brought to my attention that one of the serving maids have given birth to a child. According to him, my son is the father.;Mon fidèle et dévoué chambellan vient d'attirer mon attention sur le fait qu'une de mes servantes a donné naissance à un enfant. Selon lui, mon fils est le père de cet enfant.;Mein getreuer und ergebener Kammerherr hat mich darauf aufmerksam gemacht, dass eine der Dienerinnen ein Kind geboren hat. Er behauptet, dass mein Sohn der Vater sei.;;Mi leal y devoto chambelán me dijo que una criada había tenido un hijo. Según el, su padre es mi hijo.;;;;;;;;;x
EVTDESC73007;My beloved wife [Root.Spouse.GetFirstName] is constantly bored and keeps talking about the new fashion she has heard about. Now she wants me to introduce it at court...;Mon épouse bien-aimée, [Root.Spouse.GetFirstName], s'ennuie et passe son temps à parler de la nouvelle mode dont elle a entendu parler. Et voilà qu'elle me demande d'introduire cette mode à la Cour...;Meine geliebte Frau [Root.Spouse.GetFirstName] ist ständig gelangweilt und spricht ununterbrochen über diese neue Mode, von der sie gehört hat. Jetzt möchte sie, dass ich sie am Hof einführe ...;;Mi querida esposa [Root.Spouse.GetFirstName] me habla sin cesar de la nueva moda de la que ha oído hablar. Ahora quiere que la introduzca en la corte...;;;;;;;;;x
EVTDESC73008;A famous herald, well versed in the diplomatic protocol, has arrived at our court. He is proposing his services to us, and our chamberlain is saying that we can make good use of this man.;Un célèbre héraut, très au fait du protocole diplomatique, s'est présenté à votre Cour pour vous proposer ses services. Votre chambellan pense que cet homme pourrait nous être très utile.;Ein berühmter, bezüglich diplomatischer Protokolle sehr versierter Herold ist an unserem Hof eingetroffen. Er bietet uns seine Dienste an. Unser Kammerherr meint, wir könnten diesen Mann gut gebrauchen.;;Ha venido a la corte un famoso heraldo experto en protocolo diplomático. Nos ofrece sus servicios, y nuestro chambelán dice que puede sernos útil.;;;;;;;;;x
EVTDESC73009;A destitute noble from a former enemy court asks for permanent hospitality.;Un noble sans ressources issu de la cour d'un ancien ennemi vous demande l'hospitalité permanente.;Ein mittelloser Edelmann von einem ehemals verfeindeten Hof bittet um permanente Gastfreundschaft.;;Un noble empobrecido de una antigua corte enemiga pide asilo permanente.;;;;;;;;;x
EVTDESC73010;I have been reading 'Ars Moriendi', and it claims that death is not something a true Christian should be afraid of.;Je lis 'l'Ars moriendi' qui prétend qu'un vrai Chrétien ne doit pas avoir peur de la mort. ;Ich habe "Ars Moriendi" gelesen. Dort steht, dass sich ein wahrer Christ nicht vor dem Tod fürchten sollte. ;;He leído 'Ars Moriendi', que dice que un verdadero cristiano no debería temer a la muerte. ;;;;;;;;;x
EVTDESC73200;It is sad that [Root.Liege.GetTitledFirstName] is employing [Root.job_marshal.GetTitledFirstName] as [Root.Liege.GetHerHis] marshal. I am more competent and would be a better marshal!;C'est triste que [Root.Liege.Get_le_TitledFirstName] recrute [Root.job_marshal.Get_le_TitledFirstName] en tant que maréchal. Je suis plus compétent[Root.Get_E] et ferais un bien meilleur maréchal !;Es ist traurig, dass [Root.Liege.GetTitledFirstName] [Root.job_marshal.GetTitledFirstName] als [Root.Liege.GetHerHis]en Marschall einstellt. Ich verfüge über mehr Kompetenz und wäre ein besserer Marschall!;;Es una lástima que [Root.Liege.GetTitledFirstName] contrate a [Root.job_marshal.GetTitledFirstName] como Mariscal. ¡Yo soy más competente y sería mejor Mariscal!;;;;;;;;;x
EVTDESC73201;[From.GetBestName] claims that [From.GetSheHe] would be a better marshal than [Root.job_marshal.GetTitledFirstName], and petitions that [From.GetSheHe] should be given the title of Marshal of the [Root.PrimaryTitle.GetFullName].;[From.Get_only_Le_Title][From.GetBestName] prétend qu'[From.GetIlElle] ferait un meilleur maréchal que [Root.job_marshal.Get_le_TitledFirstName], et réclame le titre de maréchal [Root.PrimaryTitle.Get_du_RealmFull].;[From.GetBestName] behauptet, dass [From.GetSheHe] ein besserer Marschall als [Root.job_marshal.GetTitledFirstName] wäre, und ersucht darum, dass [From.GetSheHe] den Titel des Marschalls von [Root.PrimaryTitle.GetFullName] erhalten möge.;;[From.GetBestName] afirma que [From.GetSheHe] sería mejor Mariscal que [Root.job_marshal.GetTitledFirstName] y solicita que se le otorgue a [From.GetSheHe] el título de Mariscal de [Root.PrimaryTitle.GetFullName].;;;;;;;;;x
EVTDESC73202;My liege [From.GetBestName] is not entirely happy with our performance as Marshal of the [Root.PrimaryTitle.GetFullName], and is considering our replacement..;M[From.GetOnA] [From.GetLordLady] lige, [From.Get_only_le_Title][From.GetBestName], n'est pas satisfait[From.Get_E] de mes actions en tant que maréchal [Root.PrimaryTitle.Get_du_RealmFull] et envisage de me remplacer.;Unser Lehnsherr [From.GetBestName] ist nicht allzu glücklich mit unserer Leistung als Marschall von [Root.PrimaryTitle.GetFullName] und erwägt, uns zu ersetzen ...;;Mi señor [From.GetBestName] no está del todo satisfecho con nuestro rendimiento como Mariscal de [Root.PrimaryTitle.GetFullName] y está considerando sustituirnos...;;;;;;;;;x
EVTDESC73203;Enough time has passed, I deserve to become Marshal of the [Root.PrimaryTitle.GetFullName], and [Root.Liege.GetTitledFirstName] will make me it!;Assez d'eau a coulé sous les ponts ! Je mérite de devenir maréchal [Root.PrimaryTitle.Get_du_RealmFull], et [Root.Liege.Get_le_TitledFirstName] me conférera ce titre !;Es ist genug Zeit vergangen und ich verdiene es, Marschall von [Root.PrimaryTitle.GetFullName] zu werden, und [Root.Liege.GetTitledFirstName] wird mich dazu machen!;;Ha transcurrido tiempo suficiente, merezco convertirme en Mariscal de [Root.PrimaryTitle.GetFullName] ¡y [Root.Liege.GetTitledFirstName] lo hará!;;;;;;;;;x
EVTDESC73204;I promised [From.GetBestName] that [From.GetSheHe] had a chance to become Marshal of the [Root.PrimaryTitle.GetFullName]. Now [From.GetSheHe] is petitioning me again about it.;Nous avons dit [From.Get_only_au_Title][From.GetBestName] qu'[From.GetIlElle] avait une chance d'accéder au poste de maréchal [Root.PrimaryTitle.Get_du_RealmFull]. Et [From.GetIlElle] nous rappelle aujourd'hui notre promesse.;Ich hatte [From.GetBestName] versprochen, dass [From.GetSheHe] eine Chance hätte, Marschall von [Root.PrimaryTitle.GetFullName] zu werden. Jetzt bittet [From.GetSheHe] mich schon wieder darum.;;Prometí a [From.GetBestName] que tendría la oportunidad de ser mariscal del [Root.PrimaryTitle.GetFullName]. Ahora me lo pide de nuevo.;;;;;;;;;x
EVTDESC73205;My dear and trustworthy [This.GetBestName].\nI hereby grant you the title as Marshal of the [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];M[This.GetOnA] ch[This.GetErEre] [This.GetBestName], vous êtes digne de confiance.\nJe vous accorde le titre de maréchal [Root.PrimaryTitle.Get_du_RealmFull].\n\n[From.GetBestName];Mein lieber und vertrauenswürdiger [This.GetBestName].\nIch gewähre Euch hiermit den Titel des Marschalls von [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];;Mi querido y leal [This.GetBestName].\nPor la presente os concedo el título de Mariscal de [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];;;;;;;;;x
EVTDESC73210;It is sad that [Root.Liege.GetTitledFirstName] is employing [Root.job_spymaster.GetTitledFirstName] as [Root.Liege.GetHerHis] Spymaster. I am more competent and would be a better Spymaster!;C'est triste que [Root.Liege.Get_le_TitledFirstName] recrute [Root.job_spymaster.Get_le_TitledFirstName] en tant que maître-espion. Je suis plus compétent[Root.Get_E] et ferais un bien meilleur maître-espion !;Es ist traurig, dass [Root.Liege.GetTitledFirstName] [Root.job_spymaster.GetTitledFirstName] als [Root.Liege.GetHerHis]en Hofspitzel einstellt. Ich verfüge über mehr Kompetenz und wäre ein besserer Hofspitzel!;;Es una lástima que [Root.Liege.GetTitledFirstName] emplee a [Root.job_spymaster.GetTitledFirstName] como Maestro de Espías. ¡Yo soy más competente y sería mejor Maestro de Espías!;;;;;;;;;x
