#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC6500;Slaying the king of the forest demands proper celebration with wine, singing and...;Ce n'est pas tous les jours qu'on tue le roi de la forêt. Il faut fêter cela dignement avec du vin, des chants et...;Das Erschlagen des Waldkönigs verlangt nach einer Feier mit Wein, Gesang und ...;;Matar al rey del bosque exige una celebración adecuada con vino, canciones y...;;;;;;;;;x
EVTDESC6501;...Marco...;... Marco...;... Marco ...;;... Marco...;;;;;;;;;x
EVTDESC6502;A small kitty is demanding your attention.;Un chaton a besoin de votre attention.;Einem Kätzchen verlangt es nach Eurer Aufmerksamkeit.;;Un gatito demanda tu atención.;;;;;;;;;x

EVTOPTA6500;one woman;... une femme.;einer Frau;;una mujer;;;;;;;;;x
EVTOPTA6501;...Polo...;... Polo...;... Polo ...;;... Polo...;;;;;;;;;x
EVTOPTA6502;Pat the kitty;Caresser le chaton;Kätzchen streicheln;;Acaricia al gatito;;;;;;;;;x

EVTOPTB6500;two women;... deux femmes.;zwei Frauen;;dos mujeres;;;;;;;;;x
EVTOPTB6502;Kick the kitty;Donner un coup de pied au chaton;Tretet das Kätzchen;;Patea al gatito;;;;;;;;;x

EVTOPTC6502;Allow the kitten to follow you home;Permettre au chaton de vous suivre chez vous;Erlaubt dem Kätzchen, Euch nach Hause zu folgen;;Dejar que el gatito te siga a casa;;;;;;;x
