#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC_GBC_1;[GBC_dead_one.GetTitledFirstName] died from the plague. Oh noes!;Oh non ! L'épidémie a emporté [GBC_dead_one.Get_le_TitledFirstName] !;[GBC_dead_one.GetTitledFirstName] starb an der Pest. Oh nein!;;[GBC_dead_one.GetTitledFirstName] ha muerto de la peste. ¡Oh, no!;;;;;;;;;x
EVTDESC_GBC_2;It's been a while since [GBC_dead_one.GetTitledName] left this mortal world, but not a day goes by that [GBC_dead_one.GetSheHe] does not cross your mind. It can be in the morning, when you first put your feet on the cold floor - you pause as you suddenly remember the black blisters on [GBC_dead_one.GetHerHis] skin. It can be during supper, when [GBC_dead_one.GetHerHis] favorite food is being served, but what can you do? Should you demand the next child at court be named after [GBC_dead_one.GetHerHim]? \n\nYou shake your head. Most often the doubts come in the night. When the stars are out, the world is quiet and you are alone with your thoughts. Such a horrible fate [GBC_dead_one.GetSheHe] suffered, in the end. Was it truly the will of [Root.Religion.GetHighGodName]?;Cela fait un moment que [GBC_dead_one.Get_le_TitledName] a quitté ce monde mortel, mais pas un jour ne passe sans qu'[GBC_dead_one.GetIlElle] ne traverse votre esprit. Que ce soit le matin, lorsque vous mettez vos pieds sur le sol froid et que vous marquez un temps d'arrêt alors que vous vous souvenez soudainement des cloques noires sur sa peau. Que ce soit pendant le souper, lorsque sa nourriture préférée est servie. Cependant, que pouvez-vous faire ? Demander à ce que l'on donne son prénom au prochain enfant de la Cour ? \n\nVous secouez votre tête. Le plus souvent, les doutes surgissent durant la nuit. Quand les étoiles sont dans le ciel, le monde est calme et vous êtes seul[Root.Get_E] avec vos pensées. Quel destin tragique ! Était-ce vraiment ce que voulait [Root.Get_le_HighGod] ?;Es ist eine Weile her, dass [GBC_dead_one.GetTitledName] die Welt der Sterblichen verlassen hat, aber es vergeht kein Tag, an dem Ihr nicht an [GBC_dead_one.GetHerHim] denkt. Es kann morgens sein, wenn Eure Füße den kalten Fußboden berühren und Ihr an die schwarzen Blasen auf [GBC_dead_one.GetHerHis]er Haut denken müsst, oder während des Essens, wenn [GBC_dead_one.GetHerHis] Lieblingsgericht auf dem Speiseplan steht. Aber was könnt Ihr schon dagegen unternehmen? Sollt Ihr veranlassen, dass das nächste Kind nach [GBC_dead_one.Getihmihr] benannt wird? \n\nIhr schüttelt den Kopf. Die meisten Gedanken macht Ihr Euch nachts. Allein mit den Sternen, wenn es still wird, hängt Ihr Euren Gedanken nach. Was für ein schreckliches Schicksal [GBC_dead_one.GetSheHe] erlitt, als es dem Ende zuging. War dies wirklich der Wille von [Root.Religion.GetHighGodName]?;;Hace un tiempo que [GBC_dead_one.GetTitledName] dejó el mundo mortal, pero no pasa un día sin que pienses en [GBC_dead_one.GetElElla]. Puede ser por la mañana, cuando pones por primera vez los pies en el frío suelo, haciendo una pausa al recordar de repente las ampollas negras de su piel. Puede ser durante la cena, cuando se sirve su comida favorita, ¿pero qué puedes hacer? ¿Exigir que se ponga su nombre al siguiente niño que nazca en la corte?\n\nMueves la cabeza. Las dudas suelen venir de noche, cuando las estrellas han salido, el mundo está en silencio y te quedas a solas con tus pensamientos. Qué destino más horrible sufrió [GBC_dead_one.GetElElla] al final. ¿Fue de verdad la voluntad de [Root.Religion.GetHighGodName]?;;;;;;;;;x
EVTDESC_GBC_3_A;I've been thinking a lot on [GBC_dead_one.GetTitledName] and what happens when we die. My [Root.GetLordSpiritualName] has advised me to look inwards and let the wisdom of [Root.Religion.GetHighGodName] comfort me. Yet when I'm alone in the dark any divine presence fails me.;J'ai beaucoup pensé [GBC_dead_one.Get_au_TitledName] et à ce qu'il se passe lorsqu'on meurt. Mon [Root.GetLordSpiritualName] me conseille de me plonger en moi-même et de laisser [Root.Get_le_HighGod] me réconforter par sa sagesse. Pourtant, lorsque je suis seul[Root.Get_E] dans l'obscurité, aucune présence divine ne me vient en aide.;Ich habe viel über [GBC_dead_one.GetTitledName] nachgedacht und darüber, was passiert, wenn wir sterben. Mein [Root.GetLordSpiritualName] hat mich angewiesen, den Blick nach innen zu richten und Trost in der Weisheit von [Root.Religion.GetHighGodName] zu suchen. Doch wenn ich nachts allein in der Dunkelheit bin, will sich das Gefühl göttlichen Beistands partout nicht einstellen.;;He estado pensando mucho en [GBC_dead_one.GetTitledName] y lo que nos pasa al morir. Mi [Root.GetLordSpiritualName] me ha aconsejado que haga examen de conciencia y deje que la sabiduría de [Root.Religion.GetHighGodName] me consuele. Sin embargo, cuando estoy a solas en la oscuridad, no siento ninguna presencia divina.;;;;;;;;;x
EVTDESC_GBC_3_B;I've been thinking a lot on [GBC_dead_one.GetTitledName] and what happens when we die. I've tried looking inwards and let the wisdom of [Root.Religion.GetHighGodName] comfort me, yet when I'm alone in the dark any divine presence fails me.;J'ai beaucoup pensé [GBC_dead_one.Get_au_TitledName] et à ce qu'il se passe lorsqu'on meurt. J'ai essayé de me plonger en moi-même et de laisser [Root.Get_le_HighGod] me réconforter par sa sagesse. Pourtant, lorsque je suis seul[Root.Get_E] dans l'obscurité, aucune présence divine ne me vient en aide.;Ich habe viel über [GBC_dead_one.GetTitledName] nachgedacht und darüber, was passiert, wenn wir sterben. Ich habe versucht, den Blick nach innen zu richten und Trost in der Weisheit von [Root.Religion.GetHighGodName] zu suchen, doch wenn ich nachts allein in der Dunkelheit bin, will sich das Gefühl göttlichen Beistands partout nicht einstellen.;;He estado pensando mucho en [GBC_dead_one.GetTitledName] y lo que nos pasa al morir. He intentado hacer examen de conciencia y dejar que la sabiduría de [Root.Religion.GetHighGodName] me consuele. Sin embargo, cuando estoy a solas en la oscuridad, no siento ninguna presencia divina.;;;;;;;;;x
EVTDESC_GBC_5;[GBC_new_friend.GetTitledFirstName] approached me today. Apparently [GBC_new_friend.GetSheHe] has noticed the regularity with which I've been visiting the grave of [GBC_dead_one.GetTitledName], but [GBC_new_friend.GetSheHe] hasn't wanted to disturb me... "Surely a [Root.GetTitle] doesn't need to talk about [Root.GetHerHis] grief" [GBC_new_friend.GetSheHe] said, smiling awkwardly.;[GBC_new_friend.Get_Le_TitledFirstName] m'a approché[Root.Get_E] aujourd'hui. [GBC_new_friend.GetIlElleCap] a apparemment remarqué la régularité avec laquelle je me suis rendu[Root.Get_E] sur la tombe [GBC_dead_one.Get_du_TitledName], mais [GBC_new_friend.GetIlElle] n'a pas voulu me déranger... « Sûrement qu'un[Root.Get_E] [Root.GetTitle] n'a pas besoin de parler de son chagrin » m'a-t-[GBC_new_friend.GetIlElle] dit en souriant d'un air gêné.;[GBC_new_friend.GetTitledFirstName] sprach mich heute darauf an, weil [GBC_new_friend.Getihmihr] aufgefallen war, dass ich sehr häufig das Grab von [GBC_dead_one.GetTitledName] besuche, aber [GBC_new_friend.GetSheHe] wollte mir nicht zu nahe treten ... "Natürlich wird [Root.Geteineine] [Root.GetTitle] nicht über [Root.GetHerHis]e Trauer sprechen", sagte [GBC_new_friend.GetSheHe] und lächelte ein etwas gequältes Lächeln.;;[GBC_new_friend.GetTitledFirstName] se me acercó hoy. Al parecer, [GBC_new_friend.GetElElla] ha notado la regularidad con la que visito la tumba de [GBC_dead_one.GetTitledName], pero no quería molestarme… «Seguro que un[Root.GetXA] [Root.GetTitle] no necesita hablar sobre su pena», dijo [GBC_new_friend.GetElElla] sonriendo con torpeza.;;;;;;;;;x
EVTDESC_GBC_6;[GBC_new_friend.GetFirstName] tells me that our [GBC_dead_one.GetTitledName] had a way with birds. I had no idea! Noticing my astonished expression, [GBC_new_friend.GetFirstName] has now introduced me to Hedwig, an adorable little owl. Apparently it used to belong to [GBC_dead_one.GetFirstName]. "I think she likes you" [GBC_new_friend.GetSheHe] says, stroking its head.;[GBC_new_friend.GetFirstName] me dit que notre [GBC_dead_one.GetTitledName] savait y faire avec les oiseaux. Je n'en savais rien ! Remarquant mon expression étonnée, [GBC_new_friend.GetFirstName] m'a présenté à Hedwig, une adorable petite chouette. Apparemment, elle appartenait à [GBC_dead_one.GetFirstName]. « Je pense qu'elle vous aime bien », me dit-[GBC_new_friend.GetIlElle] en caressant sa tête.;[GBC_new_friend.GetFirstName] hat mir davon erzählt, dass [GBC_dead_one.GetTitledName] viel von Vogelkunde verstehe. Das wusste ich gar nicht! In Reaktion auf meine erstaunte Miene hat [GBC_new_friend.GetFirstName] mir nun Hedwig vorgestellt, eine wirklich niedliche, kleine Eule. Offenbar gehörte sie früher [GBC_dead_one.GetFirstName]. "Ich glaube, sie mag dich", sagt [GBC_new_friend.GetSheHe] und streichelt ihr über den Kopf.;;[GBC_new_friend.GetFirstName] me cuenta que [GBC_dead_one.GetTitledName] tenía mucha mano con las aves. ¡No tenía ni idea! Viendo mi expresión de asombro, [GBC_new_friend.GetFirstName] me presenta a Hedwig, una lechuza adorable. Al parecer, pertenecía a [GBC_dead_one.GetFirstName]. «Creo que le gustas», dice, acariciándole la cabeza.;;;;;;;;;x
EVTDESC_GBC_8;Alone in my chambers, having just fed my beloved bird, [GBC_new_friend.GetFirstName] bursts into the room, promptly marching over to Hedwig. "I've changed my mind!" [GBC_new_friend.GetSheHe] says belligerently, grabbing the cage.;Alors seul[Root.Get_E] dans mes appartements, à simplement nourrir mon oiseau chéri, [GBC_new_friend.GetFirstName] fit irruption dans la pièce, en marchant rapidement vers Hedwig. « J'ai changé d'avis ! », me dit-[GBC_new_friend.GetIlElle] sur un ton agressif tout en s'emparant de la cage.;Als ich allein in der Kammer bin und gerade meinen geliebten Vogel versorge, platzt [GBC_new_friend.GetFirstName] ins Zimmer und nimmt geradewegs Kurs auf Hedwig. "Ich habe es mir anders überlegt!", lässt [GBC_new_friend.GetSheHe] Euch mit barscher Stimme wissen und ergreift den Käfig.;;Solo en mis aposentos, acabo de dar de comer a mi adorada ave, cuando [GBC_new_friend.GetFirstName] irrumpe en la habitación, dirigiéndose directamente a Hedwig. «¡He cambiado de idea!», dice agresivamente, agarrando la jaula.;;;;;;;;;x
EVTDESC_GBC_9;[GBC_new_friend.GetFirstName] pauses and hides [GBC_new_friend.GetHerHis] face in [GBC_new_friend.GetHerHis] hands. "I'm sorry, [Root.GetFirstName]. I don't know what I'm doing." When [GBC_new_friend.GetSheHe] finally meets my eyes, tears stain [GBC_new_friend.GetHerHis] cheeks. "I think I'm dying. You're going to lose me, like we lost [GBC_dead_one.GetFirstName].";[GBC_new_friend.GetFirstName] marqua un temps d'arrêt et cacha son visage avec ses mains. « Je suis désolé[GBC_new_friend.Get_E], [Root.GetFirstName]. Je ne sais pas ce que je fais ». Lorsqu'[GBC_new_friend.GetIlElle] croisa finalement mon regard, les larmes se mirent à couler sur ses joues. « Je pense que je suis mourant[GBC_new_friend.Get_E]. Vous allez me perdre bientôt, comme nous avons perdu [GBC_dead_one.GetFirstName] ».;[GBC_new_friend.GetFirstName] hält inne und vergräbt dann das Gesicht in den Händen. "Es tut mir leid, [Root.GetFirstName]. Ich weiß nicht, was in mich gefahren ist. Als [GBC_new_friend.GetSheHe] schließlich Eurem Blick wieder begegnet", sind [GBC_new_friend.GetHerHis]e Wangen nass von Tränen. "Ich glaube, ich werde bald sterben. Ihr werdet mich ebenso verlieren, wie wir damals [GBC_dead_one.GetFirstName] verloren haben.";;[GBC_new_friend.GetFirstName] se detiene y esconde el rostro entre sus manos. «Lo siento, [Root.GetFirstName]. No sé lo que hago». Cuando me mira a los ojos, las lágrimas recorren sus mejillas. «Creo que me muero. Me perderás, como perdimos a [GBC_dead_one.GetFirstName]».;;;;;;;;;x
EVTDESC_GBC_10;[GBC_new_friend.GetFirstName] drops to [GBC_new_friend.GetHerHis] knees and starts to loudly sob, face in [GBC_new_friend.GetHerHis] hands. "Oh, [Root.GetFirstName], I shouldn't burden you with this. Nay, I should not even be here!" Hedwig tilts her head at you as [GBC_new_friend.GetFirstName] runs away, leaving you alone with the puzzled bird.;[GBC_new_friend.GetFirstName] tombe à genoux et commence à sangloter bruyamment, le visage enfui entre ses mains. « Oh, [Root.GetFirstName], je ne devrais pas vous accabler avec mes problèmes. Non, je ne devrais même pas être ici ! », vous dit-[GBC_new_friend.GetIlElle]. Hedwig incline sa tête sur le côté en vous regardant alors que [GBC_new_friend.GetFirstName] part en courant, vous laissant seul[Root.Get_E] avec l'oiseau perplexe.;[GBC_new_friend.GetFirstName] fällt auf die Knie und beginnt laut zu schluchzen, die Hände vor das Gesicht geschlagen. "Oh, [Root.GetFirstName], ich sollte Euch nicht damit belasten. Mehr noch, nicht einmal hier sein sollte ich!" Hedwig legt den Kopf schräg, als [GBC_new_friend.GetFirstName] davonläuft und Euch mit dem verwunderten Vogel alleinlässt.;;[GBC_new_friend.GetFirstName] cae de rodillas y empieza a sollozar con fuerza, con su cara en las manos. «Oh, [Root.GetFirstName], no debería preocuparte con esto. Qué digo, ¡ni siquiera debería estar aquí!». Hedwig ladea la cabeza hacia a ti cuando [GBC_new_friend.GetFirstName] sale corriendo, dejándote a solas con la confusa ave.;;;;;;;;;x
EVTDESC_GBC_11;[GBC_new_friend.GetFirstName] throws a fist into the wall and curses under [GBC_new_friend.GetHerHis] breath before turning to you. "You don't understand, do you, my [Root.GetLordLady]?! Everyone will disappear! You and me. Even this stupid bird!" [GBC_new_friend.GetSheHe] yells. The owl glances at you, indifference in her eyes.;[GBC_new_friend.GetFirstName] donne un coup de poing dans le mur et jure à mi-voix avant de se tourner vers vous. « Vous ne comprenez pas, n'est-ce pas, M[Root.GetOnA][Root.GetLordLady] ?! Tout le monde va disparaître ! Vous et moi. Même ce stupide oiseau ! », hurle-t-[GBC_new_friend.GetIlElle]. La chouette vous regarde avec un air indifférent.;[GBC_new_friend.GetFirstName] hämmert mit der Faust gegen die Wand und stößt einen unterdrückten Fluch aus. "Ihr versteht es einfach nicht, oder?! Alle werden verschwinden! Ihr, genauso wie ich. Ja, selbst dieser dumme Vogel!", [GBC_new_friend.GetSheHe]. Die Eule beäugt Euch wortlos, ihr scheint es gleichgültig zu sein.;;[GBC_new_friend.GetFirstName] golpea la pared y maldice gruñendo antes de volverte hacia ti. «¡¿No lo entiendes, mi [Root.GetLordLady]?! ¡Todos desapareceremos! Tú y yo. ¡Incluso este pájaro estúpido!», grita. El pájaro te mira con indiferencia.;;;;;;;;;x
EVTDESC_GBC_12_A;The idea that [GBC_new_friend.GetTitledName] would be taken from this world has had an effect on your posture. When [GBC_new_friend.GetSheHe] joins you for breakfast one morning, a spring in [GBC_new_friend.GetHerHis] step and a wide smile on [GBC_new_friend.GetHerHis] face, you unconsciously straighten your back. The usually pale countenance of your friend has even made your own appetite vanish on occasion. Yet there is something different about [GBC_new_friend.GetHerHim] now... \n\n"The physician tells me it was just a fever!" [GBC_new_friend.GetSheHe] says jubilantly, joining you at your table. "Oh, come on, [Root.GetFirstName]. You didn't think I'd abandon you, did you? Who'd look after the country? Alright, alright, but who would've looked after you?";L'idée que [GBC_new_friend.Get_le_TitledName] ne sera plus de ce monde a eu un effet sur votre posture. Lorsqu'[GBC_new_friend.GetIlElle] vous rejoint pour le petit-déjeuner un matin, le pas léger et un large sourire sur son visage, vous redressez votre dos inconsciemment. Le visage habituellement pâle de votre ami[GBC_new_friend.Get_E] a même pu vous faire perdre votre propre appétit à l'occasion. Pourtant, il y a quelque chose de différent chez [GBC_new_friend.GetLuiElle] à présent... \n\n« Le physicien me dit que c'était juste une fièvre ! » vous dit-[GBC_new_friend.GetIlElle] en jubilant, et en s'asseyant à votre table. « Oh, allez, [Root.GetFirstName]. Vous ne pensiez quand même pas que j'allais vous abandonner ? Qui aurait veillé sur le pays ? D'accord, d'accord, mais qui aurait veillé sur vous ? »;Der Gedanke, [GBC_new_friend.GetTitledName] könne von Euch gehen, hatte Auswirkungen auf Euer Gemüt. Als [GBC_new_friend.GetSheHe] Euch eines Morgens vergnügt beim Frühstück Gesellschaft leistet, verkrampft Ihr Euch unwillkürlich. Die typische Blässe Eures Freundes/Eurer Freundin hatte schon immer eine etwas beunruhigende Wirkung auf Euch gehabt. Doch nun gibt es eine Veränderung ... \n\n"Der Arzt meint, es sei bloß ein wenig Fieber!", sagt [GBC_new_friend.GetSheHe] freudig und setzt sich zu Euch an die Tafel. "Ach, [Root.GetFirstName]. Ihr habt doch nicht etwa wirklich geglaubt, ich würde Euch allein lassen? Wer würde denn dann auf das Land aufpassen? Okay, okay, dafür gibt es ja Euch, aber auch nach Euch muss doch jemand sehen, nicht wahr?";;La idea de que [GBC_new_friend.GetTitledName] se iría de este mundo ha tenido un efecto en tu postura. Una mañana que [GBC_new_friend.GetElElla] se une a ti para desayunar, entrando con paso ligero y una amplia sonrisa en el su rostro, te enderezas inconscientemente. Su semblante normalmente pálido solía hacerte que perdieses el apetito. Sin embargo, ahora ves algo distinto en [GBC_new_friend.GetElElla]…\n\n«¡El médico me dijo que solo era una fiebre!», dice [GBC_new_friend.GetElElla] con júbilo, uniéndose contigo a la mesa. «Oh, vamos, [Root.GetFirstName]. No creerías que te iba a abandonar, ¿verdad? ¿Quién iba a cuidar el país? Vale, vale, ¿pero quién cuidaría de ti?»;;;;;;;;;x
