#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC2000;My [GetFromRelation] [From.GetFirstName] practically lives in the kitchens, the little glutton!;M[From.GetOnA] [GetFromRelation], [From.GetFirstName], vit pour ainsi dire dans les cuisines, par goinfrerie !;[GetFromRelation] [From.GetFirstName] lebt buchstäblich in der Küche. Solch ein Vielfraß!;;¡Mi [GetFromRelation] [From.GetFirstName] prácticamente vive en la cocina, el muy glotón!;;;;;;;;;x
EVTDESC2010;My [GetFromRelation] [From.GetFirstName] hardly eats anything for fear of turning fat.;M[From.GetOnA] [GetFromRelation], [From.GetFirstName], ne mange presque rien de peur de grossir.;[GetFromRelation] [From.GetFirstName] isst aus Angst, dick zu werden, kaum etwas.;;Mi [GetFromRelation] [From.GetFirstName] apenas come por miedo a engordar.;;;;;;;;;x
EVTDESC2020;I watched my [GetFromRelation] [From.GetFirstName] at play with another child yesterday and noticed that [From.GetSheHe] didn't want to share [From.GetHerHis] toys.;J'ai observé m[From.GetOnA] [GetFromRelation] [From.GetFirstName] quand [From.GetIlElle] jouait avec un autre enfant et j'ai remarqué qu'[From.GetIlElle] ne voulait pas lui prêter ses jouets.;Gestern beobachtete ich [GetFromRelation] [From.GetFirstName] beim Spiel mit anderen Kindern und mir fiel auf, dass [From.GetSheHe] [From.GetHerHis] Spielzeug mit niemandem teilen wollte.;;Ayer, mientras miraba a mi [GetFromRelation] [From.GetFirstName] jugando con otro niño, noté que [From.GetSheHe] no quería compartir sus juguetes.;;;;;;;;;x
EVTDESC2030;My [GetFromRelation] [From.GetFirstName] is a charitable little rascal, [From.GetSheHe] just gave [From.GetHerHis] newest toy to the smith's son.;M[From.GetOnA] [GetFromRelation], [From.GetFirstName], est bien trop charitable. [From.GetIlElleCap] a donné son nouveau jouet au fils du forgeron.;[GetFromRelation] [From.GetFirstName] ist ein sehr großzügiges Kind, [From.GetSheHe] gab gerade dem Sohn des Schmieds [From.GetHerHis] neuestes Spielzeug.;;Mi [GetFromRelation] [From.GetFirstName] es un bribonzuelo caritativo, le dio su juguete nuevo al hijo del herrero.;;;;;;;;;x
EVTDESC2040;My [GetFromRelation] [From.GetFirstName] is not exerting [From.GetReflexivePronoun] in [From.GetPossPronoun] studies. I am starting to despair.;M[From.GetOnA] [GetFromRelation], [From.GetFirstName], ne fait aucun effort pour étudier. C'est désespérant.;[From.GetFirstName] strengt sich bei [From.GetPossPronoun]en Studien nicht an. Ich beginne, zu verzweifeln.;;Mi [GetFromRelation] [From.GetFirstName] no se esfuerza en sus estudios. Empiezo a desesperarme.;;;;;;;;;x
EVTDESC2050;My [GetFromRelation] [From.GetFirstName] does [From.GetHerHis] homework and is always on time for [From.GetHerHis] lessons.;M[From.GetOnA] [GetFromRelation], [From.GetFirstName], fait ses devoirs et sait toujours ses leçons en temps et en heure.;[GetFromRelation] [From.GetFirstName] macht [From.GetHerHis]e Hausaufgaben und ist immer pünktlich im Unterricht.;;Mi [GetFromRelation] [From.GetFirstName] hace sus deberes y siempre llega puntual a sus clases.;;;;;;;;;x
EVTDESC2060;I had to break up a fight between my [GetFromRelation] [From.GetFirstName] and another child today. [From.GetFirstName]'s heart is filled with envy...;Aujourd'hui, j'ai dû mettre fin à une bagarre entre m[From.GetOnA] [GetFromRelation], [From.GetFirstName], et un autre enfant. [From.GetFirstName] envie trop les autres...;Ich musste heute einen Zwist zwischen [GetFromRelation] [From.GetFirstName] und einem anderen Kind schlichten. [From.GetFirstName]s Herz ist voller Neid ...;;Hoy tuve que parar una pelea entre mi [GetFromRelation] [From.GetFirstName] y otro niño. El corazón de [From.GetFirstName] está lleno de envidia...;;;;;;;;;x
EVTDESC2070;My [GetFromRelation] [From.GetFirstName] has a tender and loving soul, trusting everyone in the castle. I fear [From.GetSheHe] will get hurt someday.;M[From.GetOnA] [GetFromRelation], [From.GetFirstName], a un coeur tendre et aimant, et fait confiance à tout le monde au château. Je crains qu'[From.GetIlElle] en souffre un jour.;[From.GetFirstName] ist ein echtes Seelchen, das allen in der Burg vertraut. Ich fürchte, [From.GetSheHe] wird das einst bereuen.;;Mi [GetFromRelation] [From.GetFirstName] tiene un alma tierna y cariñosa y confía en todos en el castillo. Temo que algún día hagan le daño.;;;;;;;;;x
EVTDESC2080;The cook complained to me about my [GetFromRelation] [From.GetFirstName]'s temper tantrums. Apparently [From.GetSubjectPronoun] punched her son in the face. Again.;La cuisinière s'est plainte des accès de colère de m[From.GetOnA] [GetFromRelation], [From.GetFirstName]. Apparemment, [From.GetIlElle] a frappé son fils au visage. Une fois de plus.;Die Köchin beschwerte sich bei mir über die Wutanfälle von [GetFromRelation] [From.GetFirstName]. [From.GetSubjectPronoun] scheint ihrem Sohn ins Gesicht geschlagen zu haben. Wieder mal.;;La cocinera se quejó a mí de las rabietas de mi [GetFromRelation] [From.GetFirstName]. Parece que [From.GetSubjectPronoun] pegó a su hijo en la cara. De nuevo.;;;;;;;;;x
EVTDESC2090;Patience is a virtue, but sometimes it gets on my nerves. My [GetFromRelation] [From.GetFirstName] never loses [From.GetPossPronoun] temper, always waiting patiently for a chance to retaliate.;La patience est une vertu, mais parfois cela m'exaspère. M[From.GetOnA] [GetFromRelation], [From.GetFirstName], ne perd jamais son calme, attendant toujours patiemment l'occasion de riposter.;Geduld ist eine Tugend, aber manchmal kann sie nerven. [GetFromRelation] [From.GetFirstName] verliert nie die Fassung und wartet immer geduldig auf eine Chance, Rache zu üben.;;La paciencia es una virtud, pero a veces me pone de los nervios. Mi [GetFromRelation] [From.GetFirstName] nunca pierde los nervios, siempre espera la oportunidad para vengarse.;;;;;;;;;x
