#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC36000;I am out in the woods, and I see a mighty stag while my party is hunting.;Je suis dans les bois et je vois un puissant cerf pendant que mon groupe chasse.;Ich bin im Wald und sehe einen prächtigen Hirsch, während meine Gesellschaft jagt.;;Estoy aislado y veo un gran ciervo mientras mi grupo está cazando.;;;;;;;;;x
EVTDESC36001;I know people are out to kill me, and they are after me while I hunt.;Je sais que quelqu'un veut me tuer et qu'il est à mes trousses pendant que je chasse.;Ich weiß, dass manche Leute mich umbringen wollen, und sie verfolgen mich, wenn ich auf der Jagd bin.;;Sé que quieren matarme y que me persiguen mientras cazo.;;;;;;;;;x
EVTDESC36002;I got him while he hunts.;Je l'ai eu pendant qu'il chassait.;Ich erwischte ihn, als er jagte.;;Le cogeré mientras caza.;;;;;;;;;x
EVTDESC36003;I managed to injure him on the latest hunt.;J'ai réussi à le blesser lors de la dernière partie de chasse.;Ich schaffte es, ihn auf seiner letzten Jagd zu verletzen.;;Logré herirle en la última cacería.;;;;;;;;;x
EVTDESC36004;I thought I was finally able to kill him.;Je pensais pouvoir enfin le tuer.;Ich dachte, ich hätte ihn endlich umbringen können.;;Creí que por fin podría matarle.;;;;;;;;;x
EVTDESC36005;What?? My Liege has killed me;Quoi ?? M[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige m'a tué[Root.Get_E].;Was?? Mein Lehnsherr hat mich umgebracht;;¿Qué? Mi señor me ha matado;;;;;;;;;x
EVTDESC36010;A white hart has been seen in the north of [Root.Location.GetName]. I am told it is a hart of ten and the biggest deer ever seen.;Un cerf blanc a été vu au nord de [Root.Location.GetName]. Il paraît qu'il a une dizaine d'années et qu'il s'agit du plus grand cerf jamais observé.;Ein weißer Hirsch wurde im Norden von [Root.Location.GetName] gesichtet. Man sagte mir, es sei ein Zehnender und der größte Hirsch, den man je sah.;;Han visto un ciervo en el norte de [Root.Location.GetName]. Me han dicho que es el mayor ciervo jamás visto.;;;;;;;;;x
EVTDESC36015;The dogs have caught scent of a boar in the forest. This is the chance of getting a mighty boar slain.;Les chiens ont flairé un sanglier dans la forêt. C'est l'occasion de tuer un de ces puissants animaux.;Die Hunde haben im Wald einen Eber gewittert. Dies ist die Gelegenheit, einen prächtigen Eber zu erlegen.;;Los perros huelen un jabalí en el bosque. Es la oportunidad de matar un poderoso jabalí.;;;;;;;;;x
EVTDESC36020;Our hunting party has cornered a large bear. A small argument amongst the hunters regarding who should get to kill the bear has nearly turned into a brawl.;Notre groupe a encerclé un gros ours. Une querelle entre chasseurs pour savoir qui devait le tuer a failli tourner à la bagarre.;Unsere Jagdgesellschaft hat einen großen Bären in die Enge getrieben. Eine kleine Meinungsverschiedenheit darüber, wer den Bären töten darf, ist unter den Jägern zu einer Schlägerei ausgeartet.;;Nuestra partida de caza ha acorralado a un gran oso. Una discusión entre los cazadores para decidir quién debería matarle casi se ha convertido en una pelea.;;;;;;;;;x
EVTDESC36025;The hounds were more alert this morning than I've ever seen before. Something stupendous must be awaiting us.;Je n'ai jamais vu les chiens autant à l'affût que ce matin. Un animal formidable nous attend sûrement.;Die Hunde waren heute morgen aufmerksamer, als ich sie je gesehen hatte. Irgendetwas Sagenhaftes muss auf uns warten.;;Los perros estaban más alerta esta mañana que nunca. Algo fabuloso nos aguarda.;;;;;;;;;x
EVTDESC36026;The hounds have torn a small child of a peasant to pieces. This may tarnish our reputation slightly.;Les chiens ont déchiqueté le petit garçon d'un paysan. Cela risque de ternir notre réputation.;Die Hunde haben ein kleines Bauernkind in Stücke gerissen. Dies könnte unseren Ruf etwas beflecken.;;Los perros han destrozado al hijo de un campesino. Esto puede empañar nuestra reputación.;;;;;;;;;x
EVTDESC36030;While chasing an agile deer my horse stumbled and broke his leg. Luckily, I was thrown off, but now my horse is in pain...;En poursuivant un cerf agile, mon cheval a trébuché et s'est cassé une patte. Par chance, j'ai été éjecté, mais mon cheval souffre...;Bei der Verfolgung eines flinken Hirschs stolperte mein Pferd und brach sich das Bein. Glücklicherweise wurde ich abgeworfen, aber nun hat mein Pferd Schmerzen ...;;Mientras perseguía a un ciervo mi caballo tropezó y se rompió la pata. Por suerte no me cayó encima, pero ahora sufre...;;;;;;;;;x
EVTDESC36035;The sighthounds thirsted for blood this gentle afternoon and they brought us many hares.;Les lévriers étaient assoiffés de sang cet après-midi. Ils nous ont rapporté beaucoup de lièvres.;Die Jagdhunde dürsteten an diesem linden Nachmittag nach Blut, und sie brachten uns viele Hasen.;;Los perros ansiaban sangre al mediodía y nos trajeron muchas liebres.;;;;;;;;;x
EVTDESC36040;My lack of hunting skill is becoming quite obvious. My court is talking about my failure in not so quite quiet voices.;Mon inaptitude pour la chasse commence à devenir évidente. Mes courtisans ne se cachent même plus pour critiquer mes échecs.;Meine mangelnden Jagdkünste werden mittlerweile offensichtlich. Mein Hof redet über meine Ungeschicklichkeit in nicht sehr leisen Tönen.;;Mi falta de habilidad para cazar se vuelve evidente. Mi corte habla de mi fracaso y no precisamente murmurando.;;;;;;;;;x
EVTDESC36045;I am such a good hunter that I do not always need my retinue when I hunt. There is a large pack of wolves ahead, and they look hungry.;Je chasse si bien que je n'ai pas forcément besoin de ma suite pour m'accompagner. Il y a une grande meute de loups là-bas, et ils ont l'air affamés.;Ich bin so ein guter Jäger, dass ich bei der Jagd nicht immer mein Gefolge brauche. Da vorne ist ein großes Rudel Wölfe, und sie sehen hungrig aus.;;Soy tan buen cazador que no siempre necesito a mi comitiva. Hay una gran manada de lobos delante, y parecen hambrientos.;;;;;;;;;x
EVTDESC36050;I've taken down a large deer on my own. My skill is legendary in [Root.Location.GetName], but my liege is not always as skillful as I am.;J'ai tué un grand cerf sans l'aide de personne. Mes talents sont légendaires à [Root.Location.GetName], mais m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige n'est pas toujours aussi habile que moi.;Ich habe ganz allein einen großen Hirsch erlegt. Meine Künste sind Legende in [Root.Location.GetName], aber mein Lehnsherr ist nicht immer so geschickt wie ich.;;He abatido un gran ciervo yo solo. Mi habilidad es legendaria en [Root.Location.GetName], pero mi señor no siempre es tan hábil como yo.;;;;;;;;;x
EVTDESC36051;[From.GetTitledFirstName] is boasting about how much better a hunter [From.GetSheHe] is, compared to you, just because [From.GetSheHe] killed a large deer on [From.GetHerHis] own.;[From.Get_Le_TitledFirstName] se targue d'être bien meilleur[From.Get_E] à la chasse que vous sous prétexte qu'[From.GetIlElle] a tué un grand cerf sans l'aide de personne.;[From.GetTitledFirstName] brüstet sich damit, ein wie viel besserer Jäger [From.GetSheHe] im Vergleich zu Euch ist, nur weil [From.GetSheHe] einen großen Hirsch ganz alleine erlegt hat.;;[From.GetTitledFirstName] alardea de lo buen cazador que es comparado contigo solo por que abatió un gran ciervo sin ayuda.;;;;;;;;;x
EVTDESC36052;[From.GetTitledFirstName] is such a humble vassal, giving me the honor of [From.GetHerHis] kill from the hunt. [From.GetSheHeCap] is a benefit to my rule, and [From.GetHerHis] humility is an example to us all.;[From.Get_Le_TitledFirstName] est un[From.Get_E] vassal[From.Get_E] d'une grande humilité. [From.GetIlElleCap] va même jusqu'à me gratifier de lui avoir permis de tuer sa proie à la chasse. C'est un atout pour mon règne et son humilité est un exemple pour nous tous.;[From.GetTitledFirstName] ist solch ein bescheidener Vasall, dass [From.GetSheHe] mir die Ehre [From.GetHerHis]er Jagdbeute gegeben hat. [From.GetSheHeCap] nützt meiner Herrschaft, und [From.GetSheHe] gereicht uns allen zum Vorbild.;;[From.GetTitledFirstName] es un humilde vasallo al cederme el honor de su pieza. Tenerle es bueno para mi reinado, y su humildad es un ejemplo para todos nosotros.;;;;;;;;;x
