#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# job_steward.txt

#########################
#
#	Steward events
#
#########################

# The Steward collects a tithe and sends it to his liege
evt_steward_001_title;Special Tithe Collected;Dîme spéciale collectée;Einforderung eines speziellen Zehnten;;Diezmo especial recolectado;;;;;;;;;x
evt_steward_001_desc_a;I have successfully collected a tithe in [Root.Location.GetName];J'ai réussi à collecter une dîme à [Root.Location.GetName];Ich habe es geschafft, in [Root.Location.GetName] einen Zehnten einzufordern;;He recolectado un diezmo en [Root.Location.GetName].;;;;;;;;;x
evt_steward_001_option_a;Good! Send it back to my liege;Parfait ! Apportez-la à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige.;Gut! Schickt das Geld zu meinem Lehnsherrn;;¡Bien! Mándaselo a mi señor.;;;;;;;;;x
evt_steward_001_option_a_tooltip;The money and a letter is sent to my liege;L'argent, accompagné d'une lettre, est envoyé à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige.;Das Geld ist mit einem Brief an meinen Lehnsherrn unterwegs;;Se ha enviado el dinero y una carta a mi señor.;;;;;;;;;x

# The liege is informed
evt_steward_002_desc_a;Your [Root.GetMyTreasurerName], [From.GetTitledFirstNameNoRegnal], has collected a special tithe in §Y[From.Location.GetName]§!.;Votre [Root.GetMyTreasurerName], [From.Get_le_TitledName], a collecté une dîme spéciale en §Y[From.Location.GetName]§!.;Euer [Root.GetMyTreasurerName], [From.GetTitledFirstNameNoRegnal], hat in §Y[From.Location.GetName]§! eine besondere Abgabe eingetrieben.;;[From.GetTitledFirstNameNoRegnal], tu [Root.GetMyTreasurerName], ha recolectado un diezmo especial en §Y[From.Location.GetName]§!.;;;;;;;;;x
evt_steward_002_option_a;Excellent news!;À la bonne heure !;Ausgezeichnete Nachrichten!;;¡Excelentes noticias!;;;;;;;;;x


# The peasants attempt to kill the Steward (Gets away, is wounded, is killed)
evt_steward_101_title;Peasants Attack the Steward;Des paysans attaquent l'intendant;Bauern greifen den Kämmerer an;;Los campesinos atacan al mayordomo;;;;;;;;;x
evt_steward_101_desc_a;A mob of angry peasants, aggravated by the harsh taxes I've been enforcing in [Root.Location.GetName], is trying to break into the inn where I'm staying!;Des paysans, exaspérés par les lourds impôts que j'exige à [Root.Location.GetName], tentent d'entrer dans l'auberge où je séjourne !;Aufgebracht durch die enormen Steuern, die ich in [Root.Location.GetName] eingetrieben habe, versucht eine Bande wütender Bauern in die Herberge einzubrechen, in der ich weile!;;¡Un grupo de campesinos enfurecidos, hartos de los desmesurados impuestos que he estado aplicando en [Root.Location.GetName], intenta entrar en la posada en la que me alojo!;;;;;;;;;x
evt_steward_101_option;Will I escape with my life?;Que va-t-il advenir de moi ?;Werde ich mit dem Leben davonkommen?;;¿Lograré salir de esta?;;;;;;;;;x
evt_steward_101_option_tooltip_1;[Root.GetTitledName] gets away;[Root.Get_Le_TitledName] s'enfuit;[Root.GetTitledName] kommt davon;;[Root.GetTitledName] huye.;;;;;;;;;x
evt_steward_101_option_tooltip_2;[Root.GetTitledName] gets wounded;[Root.Get_Le_TitledName] a une blessure;[Root.GetTitledName] wird verwundet;;[Root.GetTitledName] huye a pesar de las heridas.;;;;;;;;;x

# Steward gets away
evt_steward_102_desc_a;I managed to flee the angry peasants by borrowing a cloak from the innkeeper and slipping out through a side entrance.;J'ai réussi à échapper à la colère des paysans en empruntant un manteau à l'aubergiste et en m'enfuyant par une autre porte.;Ich schaffte es, den wütenden Bauern zu entkommen, indem ich einen weiten Mantel vom Wirt auslieh und aus einer Seitentür schlüpfte.;;Conseguí escapar de las campesinos enfurecidos tomando prestada una capa del posadero y escabulléndome por una de las puertas laterales.;;;;;;;;;x
evt_steward_102_option_a;My prestige however did not go unscathed by the incident...;Mais, mon prestige a souffert de cet incident...;Mein Prestige allerdings litt durch diesen Vorfall ...;;Sin embargo, mi prestigio no salió bien parado del incidente...;;;;;;;;;x

# Steward gets wounded
evt_steward_103_desc_a;I did manage to survive the peasants attacking me, but the incident has left me severely wounded.;J'ai réussi à survivre à l'attaque de ces paysans, mais je ressors de l'incident avec une blessure.;Ich schaffte es, den Angriff der Bauern zu überleben, wurde dabei aber schwer verwundet.;;Logré sobrevivir al ataque de esos campesinos, pero el incidente me ha provocado graves heridas.;;;;;;;;;x
