#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME10000;The Merry Men of [Root.Location.GetName];Les Joyeux Compères de [Root.Location.GetName];Die ‚Fröhlichen Strolche‘ von [Root.Location.GetName];;Los Hombres Alegres de [Root.Location.GetName];;;;;;;;;x
EVTNAME10001;The harassing of a noblewoman;Le harcèlement d'une noble;Das Erlebnis einer Edelfrau;;El acoso de una mujer noble;;;;;;;;;x
EVTNAME10002;The harassing of a nobleman;Le harcèlement d'un noble.;Überfall auf einen Edelmann;;El acoso de un noble;;;;;;;;;x
EVTNAME10003;It's a trap!;C'est un piège !;Das ist eine Falle!;;¡Es una trampa!;;;;;;;;;x
EVTNAME10010;Archery Contest;Concours de tir à l'arc;Wettbewerb der Bogenschützen;;Concurso de tiro con arco;;;;;;;;;x
EVTNAME10011;The green-clad stranger;L'inconnu vêtu de vert;Der grün gewandete Fremde;;El extranjero vestido de verde;;;;;;;;;x
EVTNAME10012;The Old Man;Le vieil homme;Der alte Greis;;El anciano;;;;;;;;;x
EVTNAME10013;That didn't work;Cela n'a pas fonctionné;Das hat nicht funktioniert;;No dio resultado;;;;;;;;;x
EVTNAME10020;Devil in Disguise;Sous un déguisement;Wolf im Schafspelz;;Diablo disfrazado;;;;;;;;;x
EVTNAME10021;Disguise revealed!;Déguisement mis au jour !;Tarnung aufgeflogen!;;¡Disfraz descubierto!;;;;;;;;;x
EVTNAME10022;Meet the Merry Men;Faites connaissance avec les Joyeux Compères;Treffen mit den ‚fröhlichen Strolchen‘;;Estos son los Hombres Alegres;;;;;;;;;x
EVTNAME10023;A stranger in green;Un inconnu vêtu de vert;Ein Fremder in Grün;;Un extranjero vestido de verde;;;;;;;;;x
EVTNAME10024;A stranger defeated;Un inconnu vaincu;Sieg über einen Unbekannten;;Un extraño derrotado;;;;;;;;;x
EVTNAME10025;A stranger victorious;Un inconnu victorieux;Der siegreiche Fremde;;Un extranjero victorioso;;;;;;;;;x
