#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

evt_CK2_209_desc_a;They declined our gift!;Notre présent a été refusé !;Sie haben unser Geschenk abgelehnt!;;¡Han rechazado nuestro obsequio!;;;;;;;;;x
evt_CK2_534_desc_a;The [From.Religion.GetCrusadeName] for [Root.GetBaseName] against [New.GetTitledName] has resulted in [New.GetTitledName] converting, and becoming a faithful [From.Religion.GetGroupName]. [From.Religion.GetRandomGodNameCap] will surely be pleased!;La [From.Religion.GetCrusadeName] pour [Root.GetBaseName] contre [New.Get_le_TitledName] se termine par la conversion de [New.GetCeluiCelle]-ci à la religion [From.GetReligiousGroupFem]. Cela plaira devrait plaire [From.Get_au_HighGod].;Der [From.Religion.GetCrusadeName] um [Root.GetBaseName] gegen [New.GetTitledName] hat dazu geführt, dass [New.GetTitledName] konvertiert ist und ein frommer [From.Religion.GetGroupName] wurde.;;La [From.Religion.GetCrusadeName] por [Root.GetBaseName] contra [New.GetTitledName] ha terminado en que [New.GetTitledName] se convierte en un [From.Religion.GetGroupName] fiel. ¡Seguro que [From.Religion.GetRandomGodNameCap] estará encantado!;;;;;x
evt_CK2_535_desc_a;I was remiss not to invite you in the first place. You may indeed join my plot to [From.GetPlot].;J'ai eu tort de ne pas vous inviter initialement. Vous pouvez en effet rejoindre mon complot visant à [From.GetPlot].;Es war ein Fehler, Euch nicht von Anfang an einzuladen. Ihr könnt Euch gerne meiner Verschwörung mit dem Ziel "[From.GetPlot]" anschließen.;;Fue un descuido no invitarte desde el primer momento. Por supuesto que puedes participar en el complot ([From.GetPlot]).;;;;;;;;;x
evt_CK2_536_desc_a;Why would I want the help of the likes of you with my plot to [From.GetPlot]?;Pourquoi aurais-je besoin de l'aide de gens comme vous dans mon complot visant à [From.GetPlot] ?;Warum sollte ich die Hilfe von jemandem wie Euch bei meiner Verschwörung mit dem Ziel "[From.GetPlot]" benötigen?;;¿Por qué iba a querer que alguien como tú metiese las narices en mi complot ([From.GetPlot])?;;;;;;;;;x
evt_CK2_537_desc_a;I accept your gracious offer. [Root.GetTitledFirstName] will make a fine [Root.GetConsortSexCap]!;J'accepte votre gracieuse offre. [Root.Get_Le_TitledFirstName] fera un[Root.Get_E] b[Root.GetEauElle] [Root.GetConsortSex] !;Ich nehme euer großzügiges Angebot an. [Root.GetTitledFirstName] wird eine(n) gute(n) [Root.GetConsortSexCap] hergeben!;;Agradezco tu generosa oferta. ¡[Root.GetTitledFirstName] será un[Root.GetXA] gran [Root.GetConsortSexCap]!;;;;;;;;x
evt_CK2_660_desc_b;That vile hag [From.GetBestName] has forced me to become her consort!;Cette mégère de [From.GetBestName] m'a forcé à devenir son concubin !;Diese alte Hexe [From.GetBestName] hat mich gezwungen, ihr Konkubinator zu werden!;;¡Esa bruja de [From.GetBestName] me ha obligado a convertirme en su concubino!;;;;;;;;;x
evt_CK2_662_desc_b;[FromFrom.GetBestName] has forced my husband [From.GetBestName] to become her consort!;[FromFrom.Get_only_Le_Title][FromFrom.GetBestName] a forcé mon mari à devenir son concubin !;[FromFrom.GetBestName] hat meinen Ehemann [From.GetBestName] dazu gezwungen, ihr Konkubinator zu werden.;;¡[FromFrom.GetBestName] ha obligado a mi marido, [From.GetBestName], a convertirse en su concubino!;;;;;;;;;x
evt_534_desc_b;The [From.Religion.GetCrusadeName] for [Root.GetBaseName] against [New.GetTitledName] has come to an end as [New.GetSheHe] has been overthrown. The [From.Religion.GetGroupName] faithful will be disappointed.;La [From.Religion.GetCrusadeName] pour [Root.GetBaseName] contre [New.Get_le_TitledName] a pris fin puisqu'[New.GetIlElle] a été renversé[New.Get_E]. Les fidèles [From.Religion.GetGroupName]s seront déçus.;Der [From.Religion.GetCrusadeName] für [Root.GetBaseName] gegen [New.GetTitledName] hat geendet, da [New.GetSheHe] bezwungen wurde. Die Anhänger der [From.Religion.GetGroupName] werden enttäuscht sein.;;El [From.Religion.GetCrusadeName] por [Root.GetBaseName] contra [New.GetTitledName] ha resultado en la conversión de [New.GetTitledName] al [From.Religion.GetName]. ¡[From.Religion.GetRandomGodNameCap] estará satisfecho!;;;;;;;x
evt_534_NAME;The [From.Religion.GetCrusadeName] for [Root.GetBaseName];La [From.Religion.GetCrusadeName] pour [Root.GetBaseName];Der [From.Religion.GetCrusadeName] um [Root.GetBaseName];;[From.Religion.GetCrusadeName] por [Root.GetBaseName];;;;;;;;;x
evt_534_opt_a;Praise [From.Religion.GetRandomGodName]!;Louons [From.Get_le_HighGod] !;Gepriesen sei [From.Religion.GetRandomGodName]!;;¡Alabemos a [From.Religion.GetRandomGodName]!;;;;;;;;;x
evt_534_opt_b;Cursed infidels!;Maudits infidèles !;Verfluchte Ungläubige!;;¡Malditos infieles!;;;;;x
evt_534_opt_c;Cursed Infidels!;Mort aux infidèles !;Verfluchte Ungläubige!;;¡Malditos infieles!;;;;;;;;;x

EVTDESC150;Narrowly avoiding capture by the forces of [From.GetTitledFirstName], I am now forced to raise the banner of rebellion.;Après avoir failli me faire capturer par les troupes [From.Get_du_TitledFirstName], je me retrouve contraint[Root.Get_E] de hisser la bannière de la rébellion.;Nachdem ich mit knapper Not den Truppen von [From.GetTitledFirstName] entkommen bin, bin ich nun gezwungen, das Banner der Rebellion zu hissen.;;Habiendo evitado por poco que me capturasen las fuerzas de [From.GetTitledFirstName], estoy obligado a enarbolar la bandera de la rebelión.;;;;;;;;;x
EVTDESC151;My liege has seen fit to throw me in the dungeon. My life might be forfeit.;Mon seigneur lige a jugé bon de me mettre au cachot. Je risque de le payer de ma vie.;Mein Lehnsherr fand es richtig, mich in den Kerker zu werfen. Mein Leben könnte verwirkt sein.;;Mi señor ha juzgado conveniente meterme en la mazmorra. Podría perder la vida.;;;;;;;;;x
EVTDESC152;I managed to flee from imprisonment but my escape from 'justice' caused me to become exiled and I cannot return to the country ever again.;J'ai réussi à échapper à l'emprisonnement, mais en fuyant la 'justice', j'ai dû m'exiler et je ne reverrai jamais mon pays.;Ich konnte aus der Gefangenschaft fliehen, aber meine Flucht vor der "Gerechtigkeit" brachte mir das Exil ein, und nun kann ich nie mehr in mein Land zurückkehren.;;Logré huir de la prisión pero ello me acarreó el exilio y nunca podré volver al país.;;;;;;;;;x
EVTDESC153;I have been released from the dungeons of [From.GetTitledFirstName]!;J'ai été libéré[Root.Get_E] des cachots [From.Get_du_TitledFirstName] !;Man entließ mich aus den Kerkern von [From.GetTitledFirstName]!;;¡He sido liberado de la mazmorra de [From.GetTitledFirstName]!;;;;;;;;;x
EVTDESC154;My neck rests uneasily on the headsman's block as I await eternity. [From.GetTitledFirstName] has seen fit to end my life.;Mon cou repose sur le billot du bourreau. [From.Get_Le_TitledFirstName] a jugé bon de me condamner à mort.;Mein Hals liegt unangenehm kalt auf dem Richtblock, während ich auf die Ewigkeit warte. [From.GetTitledFirstName] hat entschieden, mein Leben zu beenden.;;Mi cuello descansa incómodamente en el soporte del verdugo mientras aguardo la eternidad. [From.GetTitledFirstName] ha juzgado conveniente matarme.;;;;;;;;;x
EVTDESC155;[From.GetTitledFirstName] has decided to spare my wretched life and banish me from the realm.;[From.Get_Le_TitledFirstName] a choisi d'épargner ma misérable existence et de me bannir du Royaume.;[From.GetTitledFirstName] hat beschlossen, mein elendes Leben zu verschonen und mich aus dem Reich zu verbannen.;;[From.GetTitledFirstName] ha decidido perdonar mi triste vida y me ha desterrado del reino.;;;;;;;;;x
EVTDESC156;I woke up to loud shouts in the hallway outside my chambers. My guards had slain a would-be assassin, but another one got away.;J'ai été réveillé[Root.Get_E] par des cris venant du couloir menant à mes appartements. Mes gardes ont tué un des assassins présumés, mais un autre a pris la fuite.;Laute Schreie im Gang vor meinen Gemächern weckten mich auf. Meine Wachen haben einen Mörder erschlagen, aber einem weiteren gelang die Flucht.;;Desperté al oír gritos en el corredor exterior a mis aposentos. Mis guardias habían matado a un posible asesino, pero otro había huido.;;;;;;;;;x
EVTDESC157;Three assassins disguised as pages jumped me on my way to my chambers. The guards saved my life, but not before I was stabbed in the side.;Trois assassins déguisés en pages me sont tombés dessus alors que je regagnais mes appartements. Les gardes m'ont sauvé la vie, mais j'ai reçu un coup de couteau dans le flanc.;Drei als Pagen verkleidete Mörder überfielen mich auf dem Weg in meine Gemächer. Die Wachen retteten mir das Leben, aber ich bekam trotzdem einen Stich in die Seite ab.;;Tres asesinos disfrazados de pajes me atacaron cuando iba a mis aposentos. Los guardias me salvaron la vida, pero me apuñalaron en el costado.;;;;;;;;;x
EVTDESC158;The pain is almost too much to bear. [Root.Religion.GetRandomGodName] curse the assailant who maimed me and managed to escape!;La douleur est insupportable. Que [Root.Religion.GetRandomGodName] maudisse l'assaillant qui m'a estropié[Root.Get_E] avant de s'enfuir !;Die Schmerzen sind fast nicht zu ertragen. [Root.Religion.GetRandomGodName] verfluche den Mörder, der mich verstümmelte und fliehen konnte!;;El dolor es casi insoportable. ¡[Root.Religion.GetRandomGodName] maldiga al agresor que me hirió y logró escapar!;;;;;;;;;x
EVTDESC159;My trusty cook caught one of the kitchen staff poisoning my wine! Under torture, he admitted that [From.GetTitledFirstName] had paid him.;Ma fidèle cuisinière a surpris un serviteur en train de verser du poison dans mon vin ! Sous la torture, il a avoué avoir agi pour le compte [From.Get_du_TitledFirstName].;Mein treuer Koch erwischte einen der Küchenangestellten beim Vergiften meines Weins! Unter Folter gab er zu, dass [From.GetTitledFirstName] ihn dafür bezahlt hatte.;;¡Mi leal cocinero pilló a un criado de la cocina envenenando mi vino! Admitió bajo tortura que [From.GetTitledFirstName] le había pagado.;;;;;;;;;x
EVTDESC160;I woke up to find a shadowy figure climbing in through the window. I yelled for help and the guards burst in, seizing the assassin just as he stabbed me in the shoulder.;En me réveillant, j'ai vu une ombre à la fenêtre. J'ai juste eu le temps d'appeler à l'aide. Les gardes ont fait irruption et ont immobilisé l'assassin au moment où il me poignardait à l'épaule.;Ich wachte auf und sah einen dunklen Schemen durch mein Fenster einsteigen. Ich rief um Hilfe, und die Wachen kamen hereingerannt und ergriffen den Mörder gerade, als er mir in die Schulter stach.;;Me desperté y vi una enigmática figura entrando por la ventana. Pedí ayuda y llegaron los guardias, capturando al asesino cuando me acuchilló en el hombro.;;;;;;;;;x
EVTDESC161;My new chambermaid attacked me with a nasty little dagger. She took an eye out before the guards could subdue her. Before her speedy execution, she gave up the name of her employer - [From.GetBestName].;Ma nouvelle femme de chambre m'a attaqué[Root.Get_E] à coups de dague. Elle a eu le temps de m'arracher un oeil avant que les gardes ne parviennent à la maîtriser. Avant d'être exécutée, elle a donné le nom de son employeur : [From.GetBestName].;Meine neue Kammerzofe griff mich mit einem fiesen kleinen Dolch an. Sie stach mir ein Auge aus, bevor die Wachen sie überwältigen konnten. Vor ihrer schon bald darauf stattfindenden Hinrichtung verriet sie den Namen ihres Auftraggebers - [From.GetBestName].;;Mi nueva criada me atacó con una horrible daga. Perdió un ojo antes de que los guardias la sometieran. Antes de su rápida ejecución, reveló el nombre de quien le había pagado: [From.GetBestName].;;;;;;;;;x
EVTDESC162;The hooded assassin got me! My vision is fading fast. May my kin avenge me!;L'assassin encapuchonné m'a eu[Root.Get_E] ! Ma vision se trouble. J'espère que ma famille me vengera !;Der Mörder mit der Kapuze erwischte mich! Mein Augenlicht schwindet schnell dahin. Mögen meine Verwandten mich rächen!;;¡El asesino encapuchado me ha matado! Mi vista se desvanece rápidamente. ¡Que mi descendiente me vengue!;;;;;;;;;x
EVTDESC163;I am dying! The veal was laced with poison! Such excruciating pain... but I die knowing who murdered me.;Je me meurs ! Le veau était empoisonné ! La douleur est atroce... Mais je pars en sachant qui m'a assassiné[Root.Get_E].;Ich liege im Sterben! Das Kalbfleisch war vergiftet! Diese rasenden Schmerzen ... aber ich werde mit dem Wissen sterben, wer mich ermordete.;;¡Me muero! ¡La ternera estaba envenenada! Qué dolor tan atroz... Pero muero sabiendo quién me mató.;;;;;;;;;x
EVTDESC200;His Holiness, [Root.GetTitledFirstName], has been swayed by the cries for help from the Christian population in the [crusade_title.GetFullName]. He urges all able-bodied men of Europe to take up arms against the evil [crusade_character.GetTitledName] in order to secure [crusade_title.GetName] from the clutches of the Mahommedan infidels.\n\n God will grant the pilgrims remission of sins in Heaven!;Sa Sainteté [Root.Get_le_TitledFirstName], émue par les appels à l'aide des chrétiens [crusade_title.Get_du_RealmFull], appelle tous les hommes valides d'Europe à prendre les armes contre [crusade_character.GetLeLa] malfaisant[crusade_character.Get_E] [crusade_character.GetTitledName], afin de protéger [crusade_title.GetName] des griffes des mahométans impies.\n\n Dieu accordera aux pèlerins le pardon de leurs péchés et la vie éternelle !;Seine Heiligkeit, [Root.GetTitledFirstName], ist von den Hilferufen der christlichen Bevölkerung von [crusade_title.GetFullName] überzeugt worden. Er ruft alle tauglichen Männer Europas auf, ihre Waffen gegen die bösartigen [crusade_character.GetTitledName] zu erheben, um [crusade_title.GetName] aus den Fängen der mohammedanischen Ungläubigen zu befreien.\n\n Gott wird den Pilgern dafür ihre Sünden erlassen.;;Su Santidad, [Root.GetTitledFirstName], ha sido sacudido por los gritos de auxilio de la población Cristiana en el [crusade_title.GetFullName]. Se insta a todos los hombres sanos de Europa a tomar las armas en contra de los malvados [crusade_character.GetTitledName] con el fin de rescatar a [crusade_title.GetName] de las garras de los infieles Mahometanos.\n\n ¡Dios concederá a los peregrinos la remisión de sus pecados en el Cielo!;;;;;;;;;x
