custom_andalusian;South Iberia;Ibérie du Sud;Südliche Iberische Halbinsel;;Sur de Iberia;;;;;;;;;x
custom_aragon;Aragon;Aragon;Aragon;;Aragón;;;;;;;;;x
custom_balearic;Balearic Islands;Îles Baléares;Balearen;;Baleares;;;;;;;;;x
custom_beja;Western Coast of Iberia;Côte ouest de l'Ibérie;Westküste Iberiens;;Oeste de la península ibérica;;;;;;;;;x
custom_castille;Castille;Castille;Kastillien;;Castilla;;;;;;;;;x
custom_castillian;North Iberia;Ibérie du Nord;Nördliche Iberische Halbinsel;;Norte de Iberia;;;;;;;;;x
custom_catalan;East Iberia;Ibérie de l'Est;Östliche Iberische Halbinsel;;Oeste de Iberia;;;;;;;;;x
custom_chinese_invasion_target_region;Chinese Region of Influence;Région d'influence chinoise;Chinesischer Einflussbereich;;Región de influencia china;;;;;;;;;x
custom_cordoba;Central Iberia;Ibérie centrale;Zentraliberien;;Centro de la península ibérica;;;;;;;;;x
custom_danish;Denmark;Danemark;Dänemark;;Dinamarca;;;;;;;;;x
custom_eastern_access;Vicinity of China;Proximité de la Chine;Umland von China;;Cercanías de China;;;;;;;;;x
custom_eastern_baltic;Eastern Baltic;Région de la Baltique orientale;Ostbaltikum;;Báltico oriental;;;;;;;;;x
custom_eastern_edge_of_map;Eastern Edge;Bordure à l'Est;Östlicher Rand;;Borde oriental;;;;;;;;;x
custom_england;England;Angleterre;England;;Inglaterra;;;;;;;;;x
custom_frisia;Frisia;Frise;Friesland;;Frisia;;;;;;;;;x
custom_galicia;Galicia;Galice;Galicien;;Galicia;;;;;;;;;x
custom_granada;Southern Iberia;Ibérie du sud;Südiberien;;Sur de la península ibérica;;;;;;;;;x
custom_historical_plague_free_zone;Historical Plague Exclusion Zone;Zone d'exclusion historique de la peste;Historische Pestausnahmezone;;Zona histórica de exclusión de la Peste;;;;;;;;;x
custom_leon;León;León;León;;León;;;;;;;;;x
custom_navarra;Navarra;Navarre;Navarra;;Navarra;;;;;;;;;x
custom_norwegian;Norway;Norvège;Norwegen;;Noruega;;;;;;;;;x
custom_portuguese;North-West Iberia;Ibérie du Nord-Ouest;Nordwestliche Iberische Halbinsel;;Iberia noroccidental;;;;;;;;;x
custom_scotland;Scotland;Écosse;Schottland;;Escocia ;;;;;;;;;x
custom_swedish;Sweden;Suède;Schweden;;Suecia;;;;;;;;;x
custom_valencia;Eastern Coast of Iberia;Côte est de l'Ibérie;Ostküste Iberiens;;Este de la península ibérica;;;;;;;;;x
world_africa;Africa;Afrique;Afrika;;África;;;;;;;;;x
world_africa_central;Central Africa;Afrique centrale;Zentralafrika;;África Central;;;;;;;;;x
world_africa_east;East Africa;Afrique de l'Est;Ostafrika;;África Oriental;;;;;;;;;x
world_africa_north;North Africa;Afrique du Nord;Nordafrika;;África del Norte;;;;;;;;;x
world_africa_west;West Africa;Afrique de l'Ouest;Westafrika;;África occidental;;;;;;;;;x
world_europe;Europe;Europe;Europa;;Europa;;;;;;;;;x
world_europe_east;Eastern Europe;Europe orientale;Osteuropa;;Europa oriental;;;;;;;;;x
world_europe_north;Northern Europe;Europe du Nord;Nordeuropa;;Europa del Norte;;;;;;;;;x
world_europe_south;Southern Europe;Europe du Sud;Südeuropa;;Sur de Europa;;;;;;;;;x
world_europe_south_east;South-East Europe;Europe du Sud-Est;Südosteuropa;;Sudeste de Europa;;;;;;;;;x
world_europe_south_italy;Italia;Italie;Italien;;Italia;;;;;;;;;x
world_europe_west;Western Europe;Europe occidentale;Westeuropa;;Europa occidental;;;;;;;;;x
world_europe_west_germania;Germania;Germanie;Germanien;;Germania;;;;;;;;;x
world_europe_west_iberia;Iberia;Ibérie;Iberische Halbinsel;;Iberia;;;;;;;;;x
world_himalayas;Himalayas;Himalaya;Himalaya;;Himalaya;;;;;;;;;x
world_india;India;Inde;Indien;;India;;;;;;;;;x
world_india_bengal;Bengal;Bengale;Bengalen;;Bengala;;;;;;;;;x
world_india_deccan;Deccan;Deccan;Dekkan;;Decán;;;;;;;;;x
world_india_rajastan;Rajastan;Rajasthan;Rajastan;;Rajastán;;;;;;;;;x
world_middle_east;Middle East;Moyen-Orient;Mittlerer Orient;;Oriente Medio;;;;;;;;;x
world_middle_east_arabia;Arabian Peninsula;Péninsule arabique;Arabische Halbinsel;;Península Arábiga;;;;;;;;;x
world_near_east;Near East;Proche-Orient;Vorderer Orient;;Oriente Próximo;;;;;;;;;x
world_steppe;Steppes;Steppes;Steppe;;Estepas;;;;;;;;;x
world_steppe_east;Eastern Steppes;Steppes orientales;Östliche Steppe;;Estepas orientales;;;;;;;;;x
world_steppe_tarim;Tarim Basin;Bassin du Tarim;Tarimbecken;;Cuenca del Tarim;;;;;;;;;x
world_steppe_west;Western Steppes;Steppes occidentales;Westliche Steppe;;Estepas occidentales;;;;;;;;;x

# CleanSlate
# Replacements for obsolete regions below
world_middle_east_asia_minor;Asia Minor;Asie Mineure;Kleinasien;;Asia Menor;;;;;;;;;x
world_europe_west_british_isles;British Isles;Îles Britanniques;Britische Inseln;;Islas británicas;;;;;;;;;x
world_europe_west_gaul;Gaul;Gaule;Gallien;;Galia;;;;;;;;;x
world_middle_east_levant;The Levant;Le Levant;Die Levante;;El Levante;;;;;;;;;x
world_middle_east_persia;Persia;Perse;Persien;;Persia;;;;;;;;;x
world_europe_east_russia;Rus Region;Région de la Rus';Russische Region;;Región de la Rus;;;;;;;;;x

# New regions
world_europe_west_ireland;Ireland;Irlande;Irland;;Irlanda;;;;;;;;;x
world_europe_west_britain;Britain;Bretagne insulaire;Britannien;;Bretaña;;;;;;;;;x
world_europe_west_great_britain;Great Britain;Grande-Bretagne;Großbritannien;;Gran Bretaña;;;;;;;;;x
world_europe_south_sicily;Sicily;Sicile;Sizilien;;Sicilia;;;;;;;;;x
