action_administer_realm;Administer Realm;Administrer le pays;Reich verwalten;;Administrar el reino;;;;;;;;;x
action_administer_realm_desc;The [GetMyTreasurerName] will strive to improve your Demesne. Increases culture conversion chance and prosperity gain.;Votre [GetMyTreasurerName] oeuvrera à améliorer votre domaine en augmentant la probabilité de conversion culturelle et de gain en prospérité.;Der [GetMyTreasurerName] wird versuchen, Eure Domäne zu verbessern. Erhöht die Kulturkonvertierungschance sowie den Wohlstandsgewinn.;;La administración tratará de mejorar tu heredad. Aumenta las probabilidades de conversión de la cultura y la prosperidad.;;;;;;;;;x
action_advance_cul_tech;Research Cultural Tech;Rechercher des progrès culturels;Kulturforschung;;Investigación Cultural;;;;;;;;;x
action_advance_cul_tech_desc;Send your [GetMyLordSpiritualName] to work for the advancement of Culture in a county.;Envoyez votre [GetMyLordSpiritualName] propager le savoir dans un comté.;Entsendet Euren [GetMyLordSpiritualName], um an der Verbesserung Eurer Kultur in einer Provinz zu arbeiten.;;Enviar al capellán de tu corte a trabajar mejorando la Cultura en una provincia.;;;;;;;;;x
action_advance_eco_tech;Research Economy Tech;Rechercher des progrès économiques;Wirtschaftsforschung;;Investigación Económica;;;;;;;;;x
action_advance_eco_tech_desc;Have your [GetTreasurerName] research Economy advances in a county.;Demander à votre intendant d'effectuer des recherches en technologies économiques dans un comté.;Lasst Euren [GetTreasurerName] die Wirtschaftsfortschritte in einer Grafschaft erforschen.;;Haz que tu mayordomo investigue los avances económicos de un condado.;;;;;;;;;x
action_advance_mil_tech;Research Military Tech;Rechercher des progrès militaires;Militärforschung;;Investigación Militar;;;;;;;;;x
action_advance_mil_tech_desc;Have your [GetMarshalName] research Military advancements in a county.;Demander à votre maréchal de rechercher des technologies militaires dans un comté.;Lasst Euren [GetMarshalName] Militärfortschritte in einer Provinz erforschen.;;Haz que tu mariscal estudie los avances militares en una provincia.;;;;;;;;;x
action_assist_arrest;Suppress Revolts;Mater des révoltes;Revolten unterdrücken;;Suprimir revueltas;;;;;;;;;x
action_assist_arrest_desc;Send in your [GetMarshalName] with enough troops to suppress revolts and facilitate arrests of local vassals.;Demander à votre maréchal et à ses troupes de mater les révoltes et de faciliter l'arrestation de vassaux locaux.;Entsendet Euren [GetMarshalName] mit genug Truppen, um Revolten zu unterdrücken und Verhaftungen hiesiger Vasallen zu erleichtern.;;Envía a tu mariscal con hombres suficientes para suprimir revueltas y facilitar arrestar vasallos de una región.;;;;;;;;;x
action_build_legend;Build Legend;Faire naître une légende;Zur Legende machen;;Crear Leyenda;;;;;;;;;x
action_build_legend_desc;Have your [GetTreasurerName] build your legend among the people, increasing your Prestige and possibly even raising some eager warriors. If you don't use these troops and go to war, they will get angry at you and you will lose prestige.;Demander à votre [GetTreasurerName] de diffuser votre légende dans la populace, ce qui augmentera votre prestige et pourra même susciter quelques vocations militaires. Si vous n'utilisez pas ces troupes pour partir en guerre, elles perdront patience et vous perdrez du prestige.;Beauftragt Euren [GetTreasurerName] damit, Euren Namen zur Legende zu machen. So erhöht sich Euer Prestige und möglicherweise finden sich sogar kampfeswillige Recken. Wenn Ihr diese Truppen nicht in Kriegen einsetzt, werden sie wütend auf Euch und Ihr werdet Prestige verlieren.;;Haz que tu [GetTreasurerName] aumente tu leyenda entre la gente, aumentando tu prestigio e incluso consiguiendo algunos guerreros impacientes. Si no usas a estas tropas y vas a la guerra, se enfadarán contigo y perderás prestigio.;;;;;;;;;x
action_build_zeal;Build Zeal;Réveiller la ferveur;Fanatismus fördern;;Construir Celo;;;;;;;;;x
action_build_zeal_desc;Have your [GetLordSpiritualName] whip up religious zeal among the people, increasing your Piety and possibly even attracting some holy warriors. If you don't use these troops for religious wars, they will get angry at you and you will lose piety.;Demander à votre [GetLordSpiritualName] de réveiller le zèle religieux de la populace, ce qui augmentera votre piété et pourra même susciter quelques vocations militaires. Si vous n'utilisez pas ces troupes pour les guerres religieuses, elles perdront le moral et vous perdrez de la piété.;Beauftragt Euren [GetLordSpiritualName] damit, den religiösen Eifer in Eurem Volk anzufachen, um so Eure Pietät zu mehren und Glaubenskrieger anzuwerben. Wenn Ihr diese Truppen nicht in heiligen Kriegen einsetzt, werden sie wütend auf Euch und Ihr werdet Pietät verlieren.;;Haz que tu [GetLordSpiritualName] fustigue fervor religioso entre la gente, incrementando su piedad y posiblemente incluso atrayendo algunos guerreros sagrados. Si no usas estas tropas para las guerras de religión, se enfadarán contigo y perderás piedad.;;;;;;;;;x
action_charity;Perform Charity;Distribuer l'aumône;Verrichtet Wohltätiges;;Hacer Caridad;;;;;;;;;x
action_charity_desc;Send your [GetMyLordSpiritualName] to perform charity in a county, helping those in need.;Envoyez votre [GetMyLordSpiritualName] distribuer l'aumône dans un comté afin d'aider les personnes dans le besoin.;Sendet Euren [GetLordSpiritualName], um Wohltätiges in einer Provinz zu verrichten, um denen zu helfen, die es benötigen.;;Manda a tu [GetMyLordSpiritualName] a hacer caridad en la provincia, y a ayudar a los más necesitados.;;;;;;;;;x
action_clan_sentiment;Improve Clan Sentiment;Améliorer le sentiment envers le clan;Klanmeinung verbessern;;Mejorar el sentimiento de Clan;;;;;;;;;x
action_clan_sentiment_desc;Send your [GetChancellorName] to improve your clan's esteem in the eyes of another clan.;Envoyez votre [GetChancellorName] pour améliorer l'image de votre clan aux yeux d'un autre.;Sendet Euren [GetChancellorName] aus, um bei einem fremden Klan das Ansehen Eures eigenen Klans zu erhöhen.;;Envía tu [GetChancellorName] para mejorar la autoestima de su clan a los ojos de otro clan.;;;;;;;;;x
action_collect_tribute;Collect Tribute;Collecter un tribut;Tribut eintreiben;;Recaudar tributo;;;;;;;;;x
