b_aabenraa;Abenrå;Abenrå;Abenrå;;Abenrá;;;;;;;;;x
b_aachen;Aachen;Aix-La-Chapelle;Aachen;;Aquisgrán;;;;;;;;;x
b_aadel;Aadel;;Aadel;;;;;;;;;;;x
b_aakirkeby;Åkirkeby;Åkirkeby;Åkirkeby;;Akirkeby;;;;;;;;;x
b_aalborg;Aalborg;Aalborg;Aalborg;;Aalborg;;;;;;;;;x
b_aalst;Aalst;Alost;Aalst;;Aalst;;;;;;;;;x
b_aar;Aar;;;;;;;;;x
b_aarau;Aarau;;;;;;;;;x
b_aarau_augstgau;Aarau;;;;;;;;;x
b_aardenburg;Aardenburg;Aardenburg;Aardenburg;;Aardemburgo;;;;;;;;;x
b_aargau;Aargau;Argovie;Aargau;;Aargau;;;;;;;;;x
b_aarhus;Aarhus;Aarhus;Aarhus;;Arhus;;;;;;;;;x
b_aarschot;Aarschot;Aarschot;Aarschot;;Aarschot;;;;;;;;;x
b_aba;Aba;;Aba;;;;;;;;;;;x
b_abaatha;Abaatha;Abaatha;Abaatha;;Abaatha;;;;;;;;;x
b_abadan;Abadan;Abadan;Abadan;;Abadán;;;;;;;;;x
b_abadeh;Abadeh;Abadeh;Abadeh;;Abadeh;;;;;;;;;x
b_abadha;Abadha;;Abadha;;;;;;;;;;;x
b_abakan;Abakan;;;;;;;;;x
b_abalessa;Abalessa;Abalessa;Abalessa;;Abalessa;;;;;;;;;x
b_abanhagari;Abanhagari;;Abanhagari;;;;;;;;;;;x
b_abar;Abar;;;;;;;;;x
b_abarda;Abarda;Abarda;Abarda;;Abarda;;;;;;;;;x
b_abarkawan;Abarkawan;Abarkawan;Abarkawan;;Abarkawan;;;;;;;;;x
b_abarkuh;Abarkuh;Abarkuh;Abarkuh;;Abarkuh;;;;;;;;;x
b_abarquh;Abarquh;;Abarquh;;;;;;;;;;;x
b_abasan;Abasan;Abasan;Abasan;;Abasan;;;;;;;;;x
b_abauj;Abaúj;Abaúj;Abaúj;;Abaúj;;;;;;;;;x
b_abaul;Abaul;;;;;;;;;x
b_abaza;Abaza;Abaza;Abaza;;Abaza;;;;;;;;;x
b_abbayedemortemer;Abbaye de Mortemer;Abbaye de Mortemer;Abbaye de Mortemer;;Abbaye de Mortemer;;;;;;;;;x
b_abbeit;Abbeit;Abbeit;Abbeit;;Abbeit;;;;;;;;;x
b_abbeville;Abbeville;;Abbeville;;;;;;;x
b_abdanan;Abdanan;Abdanan;Abdanan;;Abdanan;;;;;;;;;x
b_abdannabi;Abd an Nabi;Abd An Nabi;Abd an Nabi;;Abd an Nabi;;;;;;;;;x
b_abdelliya;Abdelliya;Abdelliya;Abdelliya;;Abdelliya;;;;;;;;;x
b_abeche;Abeche;;;;;;;;;;;;;x
b_abenberg;Abenberg;;Abenberg;;;;;;;x
b_aberaeron;Aberaeron;;Aberaeron;;;;;;;x
b_abercorn;Abercorn;Abercorn;Abercorn;;Abercorn;;;;;;;;;x
b_aberdeen;Aberdeen;Aberdeen;Aberdeen;;Aberdeen;;;;;;;;;x
b_aberedw;Aberedw;;Aberedw;;;;;;;x
b_aberffraw;Aberffraw;Aberffraw;Aberffraw;;Aberffraw;;;;;;;;;x
b_abergavenny;Abergavenny;Abergavenny;Abergavenny;;Abergavenny;;;;;;;;;x
b_abergwesyn;Abergwesyn;;Abergwesyn;;;;;;;x
b_abergwyngregyn;Abergwyngregyn;;Abergwyngregyn;;;;;;;x
b_abernethy;Abernethy;Abernethy;Abernethy;;Abernethy;;;;;;;;;x
b_aberystwyth;Aberystwyth;;Aberystwyth;;;;;;;x
b_abeshkan;Abeshkan;Abeshkan;Abeschkan;;Abeshkan;;;;;;;;;x
b_abetam;Abetam;;;;;;;;;;;;;x
b_abeyek;Abeyek;Abyek;Abeyek;;Abeyek;;;;;;;;;x
b_abha;Abha;Abha;Abha;;Abha;;;;;;;;;x
b_abhar;Abhar;Abhar;Abhar;;Abhar;;;;;;;;;x
b_abingdon;Abingdon;Abingdon;Abingdon;;Abingdon;;;;;;;;;x
b_abiward;Abiward;Abiward;Abiward;;Abiward;;;;;;;;;x
b_abohar;Abohar;;Abohar;;;;;;;;;;;x
b_aboniteichos;Aboniteichos;Aboniteichos;Aboniteichos;;Aboniteichos;;;;;;;;;x
b_abonon;Abonon;;;;;;;;;x
b_abqaiq;Abqaoq;Abqaiq;Abqaoq;;Abqaoq;;;;;;;;;x
b_abrahamtelke;Ábrahámtelke;Ábrahámtelke;Ábrahámtelke;;Ábrahámtelke;;;;;;;;;x
b_abri;Abri;Abri;Abri;Abri;Abri;Abri;Abri;Abri;Abri;Abri;Abri;Abri;Abri;x
b_abrudbanya;Abrudbánya;Abrudbánya;Abrudbánya;;Abrudbánya;;;;;;;;;x
b_abs;Abs;Abs;Abs;;Abs;;;;;;;;;x
b_absheron;Absheron;Absheron;Absheron;;Absheron;;;;;;;;;x
b_abu;Abu;Abu;Abu;;Abu;;;;;;;;;x
b_abu_musa;Abu Musa;Abu Musa;Abu Musa;;Abu Musa;;;;;;;;;x
b_abu_ujayyijat;Abu Ujayyijat;Abu Ujayyijat;Abu Ujayyijat;;Abu Ujayyijat;;;;;;;;;x
b_abualhasan;Abu-al-Hasan;Abu-Al-Hasan;Abu-al-Hasan;;Abu-al-Hasan;;;;;;;;;x
b_abuaweigila;Abu-Aweigila;Abu Aweigila;Abu-Aweigila;;Abu-Aweigila;;;;;;;;;x
b_abudis;Abu Dis;Abu Dis;Abu Dis;;Abu Dis;;;;;;;;;x
b_abughorob;Abu Ghorob;Abu Ghorob;Abu Ghorob;;Abu Ghorob;;;;;;;;;x
b_abughusun;Abu Ghusun;Abu Ghusun;Abu Ghusun;;Abu Ghusun;;;;;;;;;x
b_abuhadi;Abu Hadi;Abu Hadi;Abu Hadi;;Abu Hadi;;;;;;;;;x
b_abuhadriya;Abu Hadriya;Abu Hadriya;Abu Hadriya;;Abu Hadriya;;;;;;;;;x
b_abukamal;Abu Kamal;Abou Kamal;Abu Kamal;;Abu Kamal;;;;;;;;;x
b_abukir;Abukir;Abukir;Abukir;;Abukir;;;;;;;;;x
b_abuminqar;Abu Minqar;Abu Minqar;Abu Minqar;;Abu Minqar;;;;;;;;;x
b_abunujaym;Abu Nujaym;Abu Nujaym;Abu Nujaym;;Abu Nujaym;;;;;;;;;x
b_aburowash;Abu Rowash;Abu Rowash;Abu Rowash;;Abu Rowash;;;;;;;;;x
b_abusir;Abusir;Abusir;Abusir;;Abusir;;;;;;;;;x
b_abuzqayqa;Abu-Zqayqa;Abu-Zqayqa;Abu-Zqayqa;;Abu-Zqayqa;;;;;;;;;x
b_abyaneh;Abyaneh;Abyaneh;Abyaneh;;Abyaneh;;;;;;;;;x
b_abydos;Abydos;Abydos;Abydos;;Abidos ;;;;;;;;;x
b_acalapura;Acalapura;;Acalapura;;;;;;;;;;;x
b_acenzera;Acenzera;Acenzera;Acenzera;;Acenzera;;;;;;;;;x
b_acerno;Acerno;Acerno;Acerno;;Acerno;;;;;;;;;x
b_acerra;Acerra;Acerra;Acerra;;Acerra;;;;;;;;;x
b_achalgarh;Achalgarh;;Achalgarh;;;;;;;;;;;x
b_achamayli;Achamayli;;;;;;;;;x
b_achim;Achim;Achim;Achim;;Achim;;;;;;;;;x
b_achit;Achit;Achit;Achit;;Achit;;;;;;;;;x
b_achit_tsambagarav;Achit;;;;;;;;;x
b_acinganorum;Acinganorum;;;;;;;;;x
b_acores;Açores;Açores;Açores;;Azores;;;;;;;;;x
b_acqui;Acqui;Acqui;Acqui;;Acqui;;;;;;;;;x
b_acre;Acre;Acre;Akkon;;Acre;;;;;;;;;x
b_acroma;Acroma;Acroma;Acroma;;Acroma;;;;;;;;;x
b_ad_dukaydik;Ad Dukaydik;;;;;;;;;;;;;x
b_adam;Adam;Adam;Adam;;Adam;;;;;;;;;x
b_adamclisi;Adamclisi;Adamclisi;Adamclisi;;Adamclisi;;;;;;;;;x
b_adana;Adana;Adana;Adana;;Adana;;;;;;;;;x
b_adapazari;Adapazari;Adapazari;Adapazari;;Adapazari;;;;;;;;;x
b_adar;Adar;;Adar;;;;;;;;;;;x
b_adare;Adare;Adare;Adare;;Adare;;;;;;;;;x
b_adavani;Adavani;;Adavani;;;;;;;;;;;x
b_addanki;Addanki;;Addanki;;;;;;;;;;;x
b_adelon;Adelon;Adelon;Adelon;;Adelon;;;;;;;;;x
b_aden;Aden;Aden;Aden;;Aden;;;;;;;;;x
b_adenna;Adenna;Adenna;Adenna;;Adenna;;;;;;;;;x
b_adhaman;Adhaman;Adhaman;Adhaman;;Adhaman;;;;;;;;;x
b_adhiwala;Adhiwala;;Adhiwala;;;;;;;;;;;x
b_adi_ramets;Adi Ramets;Adi Ramets;Adi Ramets;;Adi Ramets;;;;;;;;;x
b_adigrat;Adigrat;Adigrat;Adigrat;;Adigrat;;;;;;;;;x
b_adinapur;Adinapur;;Adinapur;;;;;;;;;;;x
b_adinatha_mandir;Adinatha Mandir;;Adinatha Mandir;;;;;;;;;;;x
b_adjud;Adjud;;;;;;;;;;;;;x
b_adony;Adony;Adony;Adony;;Adony;;;;;;;;;x
b_adra;Adra;Adra;Adra;;Adra;;;;;;;;;x
b_adramyttion;Adramyttion;Adramyttion;Adramyttion;;Adramyttion;;;;;;;;;x
b_adrar;Adrar;Adrar;Adrar;;Adrar;;;;;;;;;x
b_adraskan;Adraskan;Adraskan;Adraskan;;Adraskan;;;;;;;;;x
b_adrastea;Adrastea;Adrastea;Adrastea;;Adrastea;;;;;;;;;x
b_adria;Adria;Adria;Adria;;Adria;;;;;;;;;x
b_adrianopolis;Adrianopolis;Adrinopolis;Adrianopolis;;Adrianópolis;;;;;;;;;x
b_adrianutherai;Adrianutherai;Hadrianouthérai;Adrianutherai;;Adrianutherai;;;;;;;;;x
b_adulis;Adulis;Adulis;Adulis;;Adulis;;;;;;;;;x
b_aduo;Aduo;Aduo;Aduo;;Aduo;;;;;;;;;x
b_adwa;Adwa;Adwa;Adwa;;Adwa;;;;;;;;;x
b_aegae;Aegae;Aigéai;Aigai;;Aegae;;;;;;;;;x
b_aegyssus;Aegyssus;Aegyssus;Aegyssus;;Aegyssus;;;;;;;;;x
b_aetos;Aetos;Aetos;Aetos;;Aetos;;;;;;;;;x
b_aezani;Aezani;Aezani;Aezani;;Aezani;;;;;;;;;x
b_afambo;Afambo;Afambo;Afambo;;Afambo;;;;;;;;;x
b_affat;Affat;Affat;Affat;;Affat;;;;;;;;;x
b_afgilai;Afgilai;;;;;;;;;;;;;x
b_afif;Afif;Afif;Afif;;Afif;;;;;;;;;x
b_afoninskaya;Afoninskaya;Afoninskaya;Afoninskaja;;Afoninskaya;;;;;;;;;x
b_afra;Afra;Afra;Afra;;Afra;;;;;;;;;x
b_afragola;Afragola;Afragola;Afragola;;Afragola;;;;;;;;;x
b_afrasiyab;Afrasiyab;Afrasiab;Afrasiab;;Afrasiyab;;;;;;;;;x
b_aftout;Aftout;Aftout;Aftout;;Aftout;;;;;;;;;x
b_afza;Afza;;;;;;;;;;;;;x
b_ag_urpa;Ag-Urpa;;;;;;;;;x
b_agades;Agades;Agadez;Agades;;Agades;;;;;;;;;x
b_agadir;Agadir;Agadir;Agadir;;Agadir;;;;;;;;;x
b_agadirene;Agadirene;;;;;;;;;;;;;x
b_agalpur;Agalpur;;Agalpur;;;;;;;;;;;x
b_agar;Agar;Agar;Agar;;Agar;;;;;;;;;x
b_agarak;Agarak;;Agarak;;;;;;;;;;;x
b_agareb;Agareb;Agareb;Agareb;;Agareb;;;;;;;;;x
b_agde;Agde;Agde;Agde;;Agde;;;;;;;;;x
b_agelen;Agelen;Agelen;Agelen;;Agelen;;;;;;;;;x
b_agelinde;Agelinde;Agelinde;Agelinde;;Agelinde;;;;;;;;;x
b_agen;Agen;Agen;Agen;;Agen;;;;;;;;;x
b_aggius;Aggius;Aggius;Aggius;;Aggius;;;;;;;;;x
b_aghaboe;Aghaboe;Aghaboe;Aghaboe;;Aghaboe;;;;;;;;;x
b_aghata;Aghata;;Aghata;;;;;;;;;;;x
b_aghir;Aghir;Aghir;Aghir;;Aghir;;;;;;;;;x
b_aghmat;Aghmát;;;;;;;;;;;;;x
b_aghoud;Aghoud;;;;;;;;;;;;;x
b_aghtamar;Agh'tamar;Aghtamar;Agh'tamar;;Agh'tamar;;;;;;;;;x
b_agia;Agia;Agia;Agia;;Agia;;;;;;;;;x
b_agiasos;Agiasos;Agiasos;Agiasos;;Agiasos;;;;;;;;;x
b_agiosnikolaos;Agios Nikolaos;Agios Nikolaos;Agios Nikolaos;;Agios Nikolaos;;;;;;;;;x
b_aglal;Aglal;Aglal;Aglal;;Aglal;;;;;;;;;x
b_agmahl;Agmahl;;Agmahl;;;;;;;;;;;x
b_agnanta;Agnanta;Agnanta;Agnanta;;Agnanta;;;;;;;;;x
b_ago_adewale;Ago-Adewale;;;;;;;;;;;;;x
b_agouidir;Agouidir;Agouidir;Agouidir;;Agouidir;;;;;;;;;x
b_agra;Agra;;Agra;;;;;;;;;;;x
b_agramunt;Agramunt;Agramunt;Agramunt;;Agramunt;;;;;;;;;x
b_agricento;Girgenti;Girgenti;Girgenti;;Agrigento;;;;;;;;;x
b_agridi;Agridi;Agridi;Agridi;;Agridi;;;;;;;;;x
b_agrinio;Agrinio;;;;;;;;;x
b_agroha;Agroha;;Agroha;;;;;;;;;;;x
b_agropoli;Agropoli;Agropoli;Agropoli;;Agropoli;;;;;;;;;x
b_agruda;Agruda;Agruda;Agruda;;Agruda;;;;;;;;;x
b_agryz;Agryz;;;;;;;;;;;;;x
b_aguedal;Aguedal;Aguedal;Aguedal;;Aguedal;;;;;;;;;x
b_aguelhok;Aguelhok;Aguelhok;Aguelhok;;Aguelhok;;;;;;;;;x
b_aguilardecampo;Aguilar de Campo;Aguilar de Campo;Aguilar de Campo;;Aguilar de Campoo;;;;;;;;;x
b_agurto;Agurto;Agurto;Agurto;;Agurto;;;;;;;;;x
b_ahar;Ahar;Ahar;Ahar;;Ahar;;;;;;;;;x
b_aharji;Aharji;;Aharji;;;;;;;;;;;x
b_aheim;Åheim;;;;;;;;;x
b_ahemakha;Shemakha;Shemakha;Shemakha;;Shemakha;;;;;;;;;x
b_ahfir;Ahfir;Ahfir;Ahfir;;Ahfir;;;;;;;;;x
b_ahichatra;Ahichatra;;Ahichatra;;;;;;;;;;;x
b_ahichhatrapur;Ahichhatrapur;;Ahichhatrapur;;;;;;;;;;;x
b_ahlen;Ahlen;Ahlen;Ahlen;;Ahlen;;;;;;;;;x
b_ahmadabad;Ahmadabad;Ahmedabad;Ahmadabad;;Ahmadabad;;;;;;;;;x
b_ahmednagar;Ahmednagar;;Ahmednagar;;;;;;;;;;;x
b_ahnas;Ahnas;;;;;;;;;x
b_ahobalam;Ahobalam;;Ahobalam;;;;;;;;;;;x
b_ahrensberg;Ahrensberg;Ahrensberg;Ahrensberg;;Ahrensberg;;;;;;;;;x
b_ahvaz;Ahvaz;Ahvaz;Ahvaz;;Ahvaz;;;;;;;;;x
b_aibak;Aibak;;Aibak;;;;;;;;;;;x
b_aidabul;Aidabul;;;;;;;;;x
b_aigle;Aigle;Aigle;Aigle;;Aigle;;;;;;;;;x
