administration;Administration;Administration;Verwaltung;;Administración;;;;;;;;;x
administration_desc;An empire can be run according to the feudal system or with an imperial administration of the Roman model. The latter, however, is not easily available and may require extensive reforms.;Un empire peut être dirigé selon le système féodal ou selon une administration impériale inspirée du modèle romain. Cette dernière option, cependant, n'est pas facilement accessible et peut exiger des réformes en profondeur.;Ein Reich kann nach feudalem System regiert werden oder nach kaiserlich-imperialem System, d. h. nach römischem Vorbild. Letzteres ist jedoch meist nur dann möglich, wenn vorher umfassende Reformen durchgeführt wurden.;;Un imperio se puede organizar mediante un sistema feudal o con una administración imperial siguiendo el modelo romano. Esta segunda opción no siempre es posible y requiere profundas reformas.;;;;;;;;;x
agnatic_succession;Agnatic;Agnatique;Agnatisch;;Agnación;;;;;;;;;x
agnatic_succession_desc;Only males can inherit.;Seuls les hommes peuvent hériter.;Nur Männer können erben.;;Solo los hombres pueden heredar.;;;;;;;;;x
appointment;Appointment;Nomination;Verabredung;;Nombramiento;;;;;;;;;x
banish_voting_power;Banishment;Exil;Verbannung;;Destierro;;;;;;;;;x
banish_voting_power_0;Ruler Banishment Sovereignty;Souveraineté du dirigeant pour les exils;Herrscher entscheidet über Verbannungen;;Soberanía de destierro del gobernante;;;;;;;;;x
banish_voting_power_0_desc;The ruler has full authority on Banishments.\n;Le dirigeant décide seul des exils.\n;Der Herrscher hat bei Verbannungen die volle Entscheidungsbefugnis.\n;;El gobernante tiene autoridad plena en Destierros.\n;;;;;;;;;x
banish_voting_power_0_option;Ruler;Dirigeant;Herrscher;;Gobernante;;;;;;;;;x
banish_voting_power_1;Banishment Committee;Comité d'exil;Verbannungskomitee;;Comité de destierro;;;;;;;;;x
banish_voting_power_1_desc;Council members vote on Banishments.\n;Les membres du Conseil votent sur les exils.\n;Ratsmitglieder stimmen über Verbannungen ab.\n;;Los miembros del Consejo votan sobre Destierros.\n;;;;;;;;;x
banish_voting_power_1_option;Council;Conseil;Rat;;Consejo;;;;;;;;;x
banish_voting_power_desc;The Council's ability to influence banishment of characters from the realm.;La capacité du Conseil à influencer l'exil de personnes du royaume.;Die Möglichkeit des Rates, die Verbannung von Reichsangehörigen zu beeinflussen.;;Capacidad del Consejo para influir en el destierro de personajes del Reino.;;;;;;;;;x
byzantine_elective;Imperial Elective;Succession impériale élective;Kaiserwahl;;Electiva imperial;;;;;;x
catholic_bishopric;Investiture;Investiture;Investitur;;Investidura;;;;;;;;;x
centralization;Centralization;Centralisation;Zentralisierung;;Centralización;;;;;;;;;x
centralization_0;Decentralized;Pouvoir décentralisé;Dezentralisiert;;Descentralizado;;;;;;;;;x
centralization_0_desc;The realm is entirely decentralized, and can effectively handle many vassals.;Le pouvoir est entièrement décentralisé et de nombreux vassaux peuvent être efficacement gérés.;Das Reich ist ganz und gar dezentralisiert und kann zahlreiche Vasallen erfolgreich beherrschen.;;El reino está completamente descentralizado y puede gestionar de manera efectiva muchos vasallos.;;;;;;;;;x
centralization_0_option;Min;Min.;Min;;Mín.;;;;;;;;;x
centralization_1;Low Centralization;Faible centralisation;Niedrige Zentralisierung;;Baja centralización;;;;;;;;;x
centralization_1_desc;The realm is somewhat decentralized, and can effectively handle several vassals.;Le pouvoir assez décentralisé et plusieurs vassaux peuvent être efficacement gérés.;Das Reich ist eher dezentralisiert und kann erfolgreich mehrere Vasallen beherrschen.;;En cierto modo, el reino está descentralizado y puede gestionar de manera efectiva varios vasallos;;;;;;;;;x
centralization_1_option;Low;Faible;Niedrig;;Baja;;;;;;;;;x
centralization_2;Medium Centralization;Centralisation moyenne;Mittlere Zentralisierung;;Centralización Media;;;;;;;;;x
centralization_2_desc;The realm is neither centralized nor decentralized, a balance between effective handling of vassals and a powerful demesne for the top liege.;Le pouvoir est à mi-chemin entre la centralisation et la décentralisation, un équilibre entre une gestion efficace des vassaux et un puissant domaine pour le seigneur au rang le plus élevé.;Das Reich ist weder zentralisiert noch dezentralisiert, es herrscht ein Gleichgewicht zwischen wirksamer Herrschaft über Vasallen und einer starken Domäne für den obersten Lehnsherrn.;;El reino no está ni centralizado ni descentralizado, existe un equilibrio entre una gestión efectiva de los vasallos y una terratenencia poderosa para el señor feudal supremo.;;;;;;;;;x
centralization_2_option;Medium;Moyenne;Mittel;;Media;;;;;;;;;x
centralization_3;High Centralization;Forte centralisation;Starke Zentralisierung;;Centralización Alta;;;;;;;;;x
centralization_3_desc;The realm is somewhat centralized, and allows a big demesne for the top liege.;Le pouvoir est assez centralisé et permet un grand domaine pour le seigneur au rang le plus élevé.;Das Reich ist eher zentralisiert und erlaubt eine große Domäne für den obersten Lehnsherrn.;;En cierto modo, el reino está centralizado y permite una gran terratenencia para el señor feudal supremo.;;;;;;;;;x
centralization_3_option;High;Forte;Stark;;Alta;;;;;;;;;x
centralization_4;Centralized;Pouvoir entièrement centralisé;Zentralisiert;;Centralizado;;;;;;;;;x
centralization_4_desc;The realm is entirely centralized, and allows a much bigger demesne for the top liege.;Le pouvoir est entièrement centralisé et permet un immense domaine pour le seigneur au rang le plus élevé.;Das Reich ist ganz und gar zentralisiert und erlaubt eine viel größere Domäne für den obersten Lehnsherrn.;;El reino está completamente centralizado y permite una terratenencia mucho mayor para el señor feudal supremo.;;;;;;;;;x
centralization_4_option;Max;Max.;Max;;Máx.;;;;;;;;;x
centralization_desc;A centralized state is important for the liege to grow powerful, but a decentralized state might be easier to maintain.;Un état centralisé apporte un pouvoir grandissant au seigneur, mais un état décentralisé est plus facile à entretenir.;Ein zentralisiertes Reich begünstigt den Machtzuwachs des Lehnsherrn, doch ein dezentralisiertes Reich könnte leichter zu handhaben sein.;;Para el señor feudal es importante un estado centralizado para incrementar su poder, pero un estado descentralizado puede ser más fácil de mantener.;;;;;;;;;x
city_contract;City Levies;Levée citadine;Stadtaufgebote;;Levas de la Villa;;;;;;;;;x
city_contract_0;Minimal City Levies;Levée citadine minimale;Minimale Stadtaufgebote;;Leva mínima de la villa;;;;;;;;;x
city_contract_0_desc;The Burghers are expected to provide half their troops for the defense of the realm.;Les bourgeois sont tenus d'affecter une petite partie de leurs troupes à la défense du Royaume.;Die Bürger müssen die Hälfte ihrer Truppen zur Verteidigung des Reichs stellen.;;Se espera que los burgueses ofrezcan la mitad de sus tropas para defender el reino.;;;;;;;;;x
city_contract_0_option;Min;Min.;Min;;Mín.;;;;;;;;;x
city_contract_1;Normal City Levies;Levée citadine normale;Normale Stadtaufgebote;;Leva mediana de la villa;;;;;;;;;x
city_contract_1_desc;The Burghers are expected to provide the majority of their troops for the defense of the realm.;Les bourgeois sont tenus d'affecter la moitié de leurs troupes à la défense du Royaume.;Die Bürger müssen einen Großteil ihrer Truppen zur Verteidigung des Reichs stellen.;;Se espera que los burgueses ofrezcan la mayoría de sus tropas para defender el reino.;;;;;;;;;x
city_contract_1_option;Normal;Normale;Normal;;Mediana;;;;;;;;;x
city_contract_2;Large City Levies;Levée citadine forte;Große Stadtaufgebote;;Leva numerosa de la villa;;;;;;;;;x
