plot_assassins_collect_debt_desc;By the order of the Grand Master of the Assassins, §Y[From.GetTitledFirstName]§! is responsible for collecting the debt of §Y[Root.GetTitledFirstName]§!. §Y[From.GetTitledFirstName]§! must infiltrate the target's residence and threaten [Root.GetHerHim] to give the money back.;Par ordre du Grand Maître des Assassins, [From.Get_le_TitledFirstNameJ] a pour mission de récupérer la dette [Root.Get_du_TitledFirstNameJ]. [From.Get_Le_TitledFirstNameJ] doit s'infiltrer dans la résidence de sa cible et la menacer afin de récupérer l'argent.;Der Großmeister der Assassinen hat beschlossen, dass es §Y[From.GetTitledFirstName]§! obliegt, die Schulden von §Y[Root.GetTitledFirstName]§! einzutreiben. §Y[From.GetTitledFirstName]§! muss in die Residenz des Ziels eindringen und [Root.GetHerHim] dazu auffordern, das Geld zurückzugeben.;;Por orden del gran maestre de los Asesinos, §Y[From.GetTitledFirstName]§! es responsable de recaudar la deuda de §Y[Root.GetTitledFirstName]§!. §Y[From.GetTitledFirstName]§! debe infiltrarse en la residencia del objetivo y hacer que devuelva el dinero.;;;;;;;;;x
plot_assassins_collect_debt_short;Collect Debt;Récupérer la dette;Schulden eintreiben;;Cobrar deuda;;;;;;;;;x
plot_assassins_collect_debt_title;Collect Debt from [Root.GetFirstName];Récupérer la dette de [Root.GetFirstName];Schulden von [Root.GetFirstName] eintreiben;;Cobrarle la deuda a [Root.GetFirstName];;;;;;;;;x
plot_gain_fellow_vassal_title_desc;Rally support amongst the other vassals of [This.Holder.Liege.GetTitledName] in an attempt to fabricate a claim on the [This.GetFullBaseName]. God willing, you may some day rightfully take the title from [This.Holder.GetTitledFirstName].;Demandez le soutien des vassaux [This.Holder.Get_du_TitledName] afin de revendiquer le titre de [This.GetFullBaseName]. Avec l'aide de Dieu, vous parviendrez peut-être un jour à récupérer légitimement ce titre.;Sammelt Unterstützung unter den anderen Vasallen von [This.Holder.Liege.GetTitledName] in dem Versuch, einen Anspruch auf den Titel [This.GetFullBaseName] zu fingieren. So Gott es will, werdet Ihr eines Tages den Titel rechtmäßig von [This.Holder.GetTitledFirstName] erhalten.;;Buscar apoyo entre los vasallos de [This.Holder.GetTitledName] en un intento de elaborar una demanda contra el [This.GetFullBaseName]. Dios quiera que algún día puedas ser su nuevo señor.;;;;;;;;;x
plot_gain_fellow_vassal_title_short;Plot for Claim;Comploter pour revendiquer;Verschwörung für Besitzanspruch;;Complot para reclamar;;;;;;;;;x
plot_gain_fellow_vassal_title_title;Fabricate a claim on the [This.GetFullBaseName];Revendiquer [This.GetFullBaseName];Anspruch auf [This.GetFullBaseName];;Elaborar una reclamación contra el [This.GetFullBaseName];;;;;;;;;x
plot_gain_indie_title_desc;Rally support amongst the vassals of [This.Holder.GetTitledName] in an attempt to fabricate a claim on the [This.GetFullBaseName]. God willing, you may some day become their new liege.;Demandez le soutien des vassaux [This.Holder.Get_du_TitledName] pour revendiquer le titre de [This.GetFullBaseName]. Avec l'aide de Dieu, vous deviendrez peut-être un jour leur nouveau seigneur.;Sammelt Unterstützung unter [This.Holder.GetTitledName]s Vasallen und fingiert einen Anspruch auf den Titel [This.GetFullBaseName]. So Gott es will, werdet Ihr eines Tages ihr neuer Lehnsherr sein.;;Buscar apoyo entre los vasallos de [This.Holder.GetTitledName] en un intento de elaborar una demanda contra el [This.GetFullBaseName]. Dios quiera que algún día puedas ser su nuevo señor.;;;;;;;;;x
plot_gain_indie_title_title;Fabricate a claim on the [This.GetFullBaseName];Revendiquer [This.GetFullBaseName];Anspruch auf [This.GetFullBaseName];;Elaborar una reclamación contra el [This.GetFullBaseName];;;;;;;;;x
plot_gain_liege_title_desc;Rally support amongst the other vassals of [This.Holder.GetTitledName] in an attempt to fabricate a claim on the [This.GetFullBaseName]. God willing, you may some day become their new liege.;Demandez le soutien des vassaux [This.Holder.Get_du_TitledName] afin de revendiquer le titre de [This.GetFullBaseName]. Avec l'aide de Dieu, vous deviendrez peut-être un jour leur nouveau seigneur.;Sammelt Unterstützung unter den anderen Vasallen von [This.Holder.GetTitledName] in dem Versuch, einen Anspruch auf den Titel [This.GetFullBaseName] zu fingieren. So Gott es will, werdet Ihr eines Tages ihr neuer Lehnsherr sein.;;Buscar apoyo entre los vasallos de [This.Holder.GetTitledName] en un intento de elaborar una demanda contra el [This.GetFullBaseName]. Dios quiera que algún día puedas ser su nuevo señor.;;;;;;;;;x
plot_gain_liege_title_short;Plot for Claim;Comploter pour revendiquer;Verschwörung für Besitzanspruch;;Complot para reclamar;;;;;;;;;x
