religion_adventuring;Daring;Hardiesse;Kühnheit;;Atrevido;;;;;;;;;x
religion_adventuring_desc;The gods praise bravery and a free spirit. They encourage even the smallest man to reach for the stars.;Les dieux aiment la bravoure et les esprits libres. Ils encouragent même les plus petits hommes à viser les étoiles.;Die Götter loben Tapferkeit und einen freien Geist. Sie ermutigen sogar den kleinsten Mann, nach den Sternen zu greifen.;;Los dioses alaban la valentía y el espíritu libre, y animan hasta al hombre más pequeño a alcanzar las estrellas.;;;;;;;;;x
religion_animistic;Animistic;Animiste;Animistisch;;Animista;;;;;;;;;x
religion_animistic_desc;Spirits and magic are all around us, hiding inside every tree, under every river, flying above our heads and beneath the very earth we walk on.;Les esprits et la magie sont tout autour de nous, cachés dans chaque arbre, dans chaque rivière, sous la terre sur laquelle nous marchons et volant au-dessus de nos têtes.;Geister und Magie existieren überall um uns herum und verstecken sich in jedem Baum, unter jedem Fluss, fliegen über unsere Köpfe und kriegen unter der Erde.;;Los espíritus y la magia nos rodean, se ocultan dentro de cada árbol, dentro de cada río, nos sobrevuelan y se hallan bajo la misma tierra que pisamos.;;;;;;;;;x
religion_animistic_feature;Upon reaching adulthood, characters perform a rite of passage.;À l'âge adulte, les personnages effectuent un rite de passage.;Beim Erreichen des Erwachsenenalters führen Charaktere den Übergangsritus durch.;;Los personajes realizan un rito de iniciación al llegar a la edad adulta.;;;;;;;;;x
religion_astrology;Astrology;Astrologie;Astrologie;;Astrología;;;;;;;;x
religion_astrology_desc;The gods wrote our Fate in the stars. We only need to look up to know what lies within us.;Les dieux écrivent notre Destin dans les étoiles. Nous avons seulement besoin de lever les yeux pour savoir ce qui se trouve en nous.;Die Götter schrieben unser Schicksal in die Sterne. Wir müssen nur hinaufschauen, um zu wissen, was vor uns liegt.;;Los dioses escriben nuestro destino en las estrellas. Solo necesitamos mirar hacia arriba para saber qué nos espera.;;;;;;;;x
religion_astrology_feature;Characters are born under specific Zodiac signs;Les personnages naissent sous des signes spécifiques du zodiaque;Charaktere werden unter spezifischen Sternzeichen geboren;;Los personajes nacen bajo signos zodiacales específicos;;;;;;;;;x
religion_autocephaly;Autocephalous;Autocéphale;Autokephal;;Autocéfala;;;;;;;;;x
religion_autocephaly_desc;Every realm shall have its High Priest, working alongside its ruler and fulfilling the needs of the gods and their followers.;Chaque pays aura son grand prêtre, travaillant aux côtés de son seigneur lige et répondant aux besoins des dieux et de leurs fidèles.;Jedes Reich sollte neben seinem König einen Hohepriester haben, der die Bedürfnisse der Götter und ihrer Anhänger erfüllt.;;Todo reino tendrá su Sumo Sacerdote, trabajando junto a su Rey y satisfaciendo las necesidades de los dioses y sus seguidores.;;;;;;;;;x
religion_beatification;Ancestor Veneration;Vénération des ancêtres;Ahnenverehrung;;Veneración a los antepasados;;;;;x
religion_beatification_desc;Our pious ancestors deserve our respect and veneration, it is only right for us to remember them fittingly.;Nos pieux ancêtres méritent notre respect et notre vénération, il est juste que nous nous en souvenions convenablement.;Unsere frommen Vorfahren verdienen unseren REspekt und unsere Verehrung und daher ist es nur richtig, dass wir uns an sie erinnern.;;Nuestros piadosos antepasados merecen respeto y veneración,. Es justo que los recordemos como es debido.;;;;;x
religion_beatification_feature;Can venerate ancestors;Peut vénérer les ancêtres;Kann Vorfahren verehren;;Puede adorar antepasados;;;;;x
religion_cosmopolitan;Cosmopolitan;Cosmopolite;Weltoffen;;Cosmopolita;;;;;;;;;x
religion_cosmopolitan_desc;We must acknowledge that every group of people has its own protectors and that more often than not we all worship the same gods, but with different names and in different ways.;Nous reconnaissons que chaque personne a ses propres protecteurs et que souvent nous adorons les mêmes dieux, sous différents noms et de différentes façons.;Wir müssen anerkennen, dass jedes Volk seine eigenen Beschützer hat und dass wir oft alle die gleichen Götter verehren, auch wenn sie verschiedene Namen haben oder wir sie auf unterschiedliche Weise anbeten.;;Debemos reconocer que cada pueblo tiene sus propios protectores y que la mayoría de las veces todos adoramos a los mismos dioses, solo que con nombres diferentes y de maneras distintas.;;;;;;;;;x
religion_defensive;Unyielding;Forte résistance;Unnachgiebig;;Inflexible;;;;;;;;;x
religion_defensive_desc;We might never spread the worship of our gods to all the corners of the worlds, but we are committed to make our ancestral lands impregnable to missionaries and infidels.;Nous pourrions ne jamais étendre le culte de nos dieux aux quatre coins du monde, mais nous nous sommes engagés à rendre nos terres ancestrales imprenables aux missionnaires et aux infidèles.;Wir mögen zwar die Anbetung unserer Götter nicht bis in alle Ecken der Welt ausbreiten können, sind aber dazu verpflichtet zumindest unser Land für Missionare und Ungläubige uneinnehmbar zu machen.;;Puede que nunca difundamos la adoración de nuestros dioses a todos los rincones del mundo, pero estamos comprometidos en hacer de nuestras tierras ancestrales inexpugnables para misioneros e infieles.;;;;;;;;;x
religion_dogmatic;Dogmatic;Dogmatique;Dogmatisch;;Dogmática;;;;;;;;;x
