#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
SUB_MESSAGES_HEADER;Offers and Gifts;Offres et cadeaux;Angebote und Geschenke;;Ofertas y regalos;;;;;;;;;
SUB_MESSAGES_CLOSE;Close;Fermer;Schließen;;Cerrar;;;;;;;;;
SUB_MESSAGES_OPEN;Open;Ouvrir;Öffnen;;Abrir;;;;;;;;;
SUB_MESSAGES_TOOLTIP;§YOffers And Gifts§!;§YOffres et cadeaux§!;§YAngebote und Geschenke§!;;§YOfertas y regalos§!;;;;;;;;;
SUB_MESSAGES_TOOLTIP_DELAYED;Past offers and gifts you have received for being a subscriber.;Les offres et cadeaux antérieurs que vous avez reçus en tant qu'abonné.;Frühere Angebote und Geschenke, die Ihr als Abonnent erhalten habt.;;Ofertas pasadas y regalos que has recibido por suscribirte.;;;;;;;;;
DISCOUNT_MESSAGE_TITLE;Subscriber Exclusive Discount;Remise exclusive aux abonnés;Exklusiver Rabatt für Abonnenten;;Descuento exclusivo de suscripción;;;;;;;;;
DISCOUNT_HEADER;But wait, there's more...;Mais attendez, ce n'est pas tout...;Aber halt! Da ist noch mehr ...;;Pero espera, aún hay más…;;;;;;;;;
DISCOUNT_TEXT;Did you know that Crusader Kings II subscribers get a discount on other games from the Paradox portfolio?\n\nFor example: You get an exclusive 24% discount on Age of Wonders III!;Saviez-vous que les abonnés de Crusader Kings bénéficient d'une réduction sur d'autres jeux du catalogue Paradox ?\n\nPar exemple : vous bénéficiez d'une remise exclusive de 24 % sur Age of Wonders III !;Wusstet Ihr, dass Abonnenten von Crusader Kings II einen Rabatt auf andere Spiele aus dem Paradox-Portfolio erhalten?\n\nEin Beispiel: Ihr erhaltet einen exklusiven Rabatt von 24 % auf Age of Wonders III!;;¿Sabías que quienes se suscriben a Crusader Kings II se llevan un descuento en otros juegos del catálogo de Paradox?\n\nPor ejemplo: ¡Un descuento exclusivo del 24 % en Age of Wonders III!;;;;;;;;;
DISCOUNT_DISMISS;Close;Fermer;Schließen;;Cerrar;;;;;;;;;
GIFT1_MESSAGE_TITLE;One Month of Subscription;Un mois d'abonnement;Einmonatiges Abonnement;;Un mes de suscripción;;;;;;;;;
GIFT_SCREEN1_HEADER;Thank you!;Merci !;Vielen Dank!;;¡Gracias!;;;;;;;;;
GIFT_SCREEN1_TEXT;You have been with us for over a month!\n\nAs a thank you, we have compiled a commemorial gift. A library of never before released wallpapers. Feel free to share these with your friends!;Vous êtes avec nous depuis plus d'un mois !\n\nPour vous remercier, nous avons préparé un cadeau spécial. Une collection de fonds d'écran jamais publiés auparavant. N'hésitez pas à les partager avec vos amis !;Ihr seid bereits seit über einem Monat bei uns!\n\nAls Dankeschön haben wir ein Geschenk zusammengestellt. Eine Reihe noch nie zuvor veröffentlichter Hintergrundbilder. Ihr könnt diese auch gern mit Euren Freunden teilen!;;¡Llevas más de un mes con nosotros!\n\nEn agradecimiento, hemos preparado un regalo conmemorativo. Una librería de fondos de pantalla nunca antes publicados. ¡No dudes en compartirlos con tus amistades!;;;;;;;;;
GIFT_SCREEN1_OPEN;Get Access;Accéder;Zugang erhalten;;Conseguir acceso;;;;;;;;;
GIFT_SCREEN1_DISMISS;Close;Fermer;Schließen;;Cerrar;;;;;;;;;
GIFT2_MESSAGE_TITLE;Two Months of Subscription;Deux mois d'abonnement;Zweimonatiges Abonnement;;Dos meses de suscripción;;;;;;;;;
GIFT_SCREEN2_HEADER;Thank you!;Merci !;Vielen Dank!;;¡Gracias!;;;;;;;;;
GIFT_SCREEN2_TEXT;You have been with us for over two months!\n\nAs a thank you, we have compiled a commemorial gift. Here's a Spotify playlist of the best Crusader Kings II soundtracks. Feel free to share it with your friends!;Vous êtes avec nous depuis plus de deux mois !\n\nPour vous remercier, nous avons préparé un cadeau spécial. Voici une playlist Spotify des meilleures bandes-son de Crusader Kings II. N'hésitez pas à la partager avec vos amis !;Ihr seid bereits seit über zwei Monaten bei uns!\n\nAls Dankeschön haben wir ein Geschenk zusammengestellt. Hier ist eine Spotify-Playlist mit den besten Crusader Kings II-Soundtracks. Ihr könnt diese auch gern mit Euren Freunden teilen!;;¡Llevas más de dos meses con nosotros!\n\nEn agradecimiento, hemos preparado un regalo conmemorativo. Una lista de reproducción de Spotify de los mejores temas de Crusader Kings II. ¡No dudes en compartirla con tus amistades!;;;;;;;;;
GIFT_SCREEN2_OPEN;Get Access;Accéder;Zugang erhalten;;Conseguir acceso;;;;;;;;;
GIFT_SCREEN2_DISMISS;Close;Fermer;Schließen;;Cerrar;;;;;;;;;
DLC_ATTENTION_SCREEN_HEADER;Have you played...;Avez-vous joué...;Habt Ihr schon Folgendes gespielt:;;¿Has jugado?…;;;;;;;;;
