#CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x

# Uncomment lines here to enable languages in-game
ENGLISH_SUPPORTED;Yes;Oui;Ja;Tak;Sí;Sì;Ja;Ano;Igen;Ja;Sim;Da;Kyllä;x
FRENCH_SUPPORTED;Yes;Oui;Ja;Tak;Sí;Sì;Ja;Ano;Igen;Ja;Sim;Da;Kyllä;x
GERMAN_SUPPORTED;Yes;Oui;Ja;Tak;Sí;Sì;Ja;Ano;Igen;Ja;Sim;Da;Kyllä;x
#POLISH_SUPPORTED;Yes;Oui;Ja;Tak;Sí;Sì;Ja;Ano;Igen;Ja;Sim;Da;Kyllä;x
SPANISH_SUPPORTED;Yes;Oui;Ja;Tak;Sí;Sì;Ja;Ano;Igen;Ja;Sim;Da;Kyllä;x
#ITALIAN_SUPPORTED;Yes;Oui;Ja;Tak;Sí;Sì;Ja;Ano;Igen;Ja;Sim;Da;Kyllä;x
#SWEDISH_SUPPORTED;Yes;Oui;Ja;Tak;Sí;Sì;Ja;Ano;Igen;Ja;Sim;Da;Kyllä;x
#CZECH_SUPPORTED;Yes;Oui;Ja;Tak;Sí;Sì;Ja;Ano;Igen;Ja;Sim;Da;Kyllä;x
#HUNGARIAN_SUPPORTED;Yes;Oui;Ja;Tak;Sí;Sì;Ja;Ano;Igen;Ja;Sim;Da;Kyllä;x
#DUTCH_SUPPORTED;Yes;Oui;Ja;Tak;Sí;Sì;Ja;Ano;Igen;Ja;Sim;Da;Kyllä;x
#PORTUGESE_SUPPORTED;Yes;Oui;Ja;Tak;Sí;Sì;Ja;Ano;Igen;Ja;Sim;Da;Kyllä;x
#RUSSIAN_SUPPORTED;Yes;Oui;Ja;Tak;Sí;Sì;Ja;Ano;Igen;Ja;Sim;Da;Kyllä;x
#FINNISH_SUPPORTED;Yes;Oui;Ja;Tak;Sí;Sì;Ja;Ano;Igen;Ja;Sim;Da;Kyllä;x

ENGLISH;English;Anglais;Englisch;Angielski;Inglés;Inglese;Engelska;Anglictina;Angol;Engels;Inglês;Anglijskij;Englannin;x
FRENCH;French;Français;Französisch;Francuski;Francés;Francese;Franska;Francouzština;Francia;Frans;Francês;Francuzskij;Ranskan;x
GERMAN;German;Allemand;Deutsch;Niemiecki;Alemán;Tedesco;Tyska;Nemcina;Német;Duits;Alemão;Nemeckij;Saksan;x
POLISH;Polish;Polonais;Polnisch;Polski;Polaco;Polacco;Polska;Polština;Lengyel;Pools;Polaco;Ispanskij;Puolan;x
SPANISH;Spanish;Espagnol;Spanisch;Hiszpanski;Español;Spagnolo;Spanska;Španelština;Spanyol;Spaans;Espanhol;Pol'skij;Espanjan;x
ITALIAN;Italian;Italien;Italienisch;Wloski;Italiano;Italiano;Italienska;Italština;Olasz;Italiaans;Italiano;Ital'janskij;Italian;x
SWEDISH;Swedish;Suédois;Schwedisch;Szwedzki;Sueco;Svedese;Schwedisch;Švédština;Svéd;Zweeds;Sueco;Švedskij;Ruotsin;x
CZECH;Czech;Tchèque;Tschechisch;Czeski;Checo;Ceca;Tjeckiska;Ceština;Cseh;Tsjechisch;Checo;Cešskij;Tšekin;x
HUNGARIAN;Hungarian;Hongrois;Ungarisch;Wegierski;Húngaro;Ungherese;Ungerska;Mad'arština;Magyar;Hongaars;Húngaro;Vengerskij;Unkarin;x
DUTCH;Dutch;Néerlandais;Niederländisch;Niderlandzki;Neerlandés;Neerlandese;Nederländska;Nizozemština;Németalföldi;Nederlands;Holandês;Niderlandskij;Hollanti;x
PORTUGESE;Portuguese;Portugais;Portugiesisch;Portugalski;Portugués;Portoghese;Portugisiska;Portugalština;Portugál;Portugees;Português;Portugal'skij;Portugalin;x
RUSSIAN;Russian;Russe;Russisch;Rosyjski;Ruso;Russo;Ryska;Ruština;Orosz;Russisch;Russo;Russkij;Venäjän;x
FINNISH;Finnish;Finnois;Finnisch;Finski;Finés;Finlandese;Finska;Finština;Finn;Fins;Finlandês;Finskij;Suomen;x
