amateurish_plotter;Amateurish Plotter;Comploteur amateur;Dilettantischer Verschwörer;;Complotador amateur;;;;;;;;;x
amateurish_plotter_desc;The Amateurish Plotter has received an education emphasizing intrigue skills. Unfortunately, it didn't stick.;Ce personnage a reçu une éducation axée sur la compétence d'intrigue. Mais cela n'a pas donné grand-chose.;Der dilettantische Verschwörer hat eine auf intrigante Fähigkeiten setzende Ausbildung genossen. Leider konnte er sich nicht aber nicht allzu viel merken.;;El complotador amateur ha recibido una educación centrada en sus habilidades para la intriga pero, desafortunadamente, no da la talla.;;;;;;;;;x
ambitious;Ambitious;Forte ambition;Ehrgeizig;;Ambicioso;Ambizione;;;;;;;;x
ambitious_desc;Ambitious characters work harder, making them better at everything. However, their drive to reach the top means that they tend to make poor vassals...;Obsédé par sa réussite, ce personnage est souvent meilleur que les autres. Et comme il en est conscient, il fait rarement un bon vassal.;Ehrgeizige Charaktere arbeiten härter, weswegen sie bei allem besser sind. Ihr Streben an die Spitze macht sie allerdings zu dürftigen Vasallen ...;;Los personajes ambiciosos trabajan duro y mejoran en aquello que se propongan. Sin embargo, este anhelo por llegar a la cima los convierte en malos vasallos...;;;;;;;;;x
arbitrary;Arbitrary;Partialité;Willkürlich;;Arbitrario;Arbitrarietà;;;;;;;;x
arbitrary_desc;This character could not care less about justice - a character flaw that is not appreciated by vassals and courtiers.;Ce personnage se moque de la justice, ce qui exaspère ses vassaux et ses courtisans.;Dieser Charakter schert sich nicht um Gerechtigkeit – ein Charaktermakel, der von Vasallen und Höflingen nicht geschätzt wird.;;A este personaje no le podría importar menos la justicia, un defecto no apreciado entre vasallos y cortesanos.;;;;;;;;;x
bastard;Bastard;Bâtard;Bastard;;Bastardo;;;;;;;;;x
bastard_desc;This character was born out of wedlock and has not been legitimized - and is thus disqualified from the line of succession.;Ce personnage est né hors mariage et n'a pas été légitimé. Il est donc exclu de la ligne de succession.;Dieser Charakter wurde außerehelich geboren und nicht legitimiert. Demzufolge ist er von der Erbfolge ausgeschlossen.;;Este personaje nació fuera del matrimonio y no ha sido legitimado, por lo que no es apto como sucesor.;;;;;;;;;x
brave;Brave;Bravoure;Tapfer;;Valiente;Coraggio;;;;;;;;x
brave_desc;This character never shies from personal danger, enjoying the respect of vassals but the envy of cravens.;Ce brave ne baisse jamais les bras face au danger. Il suscite le respect des vassaux, tout comme l'envie des lâches.;Dieser Charakter scheut niemals vor Gefahren für das eigene Leben zurück. Dies bringt ihm den Respekt der Vasallen und den Neid der Feiglinge ein.;;Este personaje nunca elude el peligro. Los vasallos lo respetan y los cobardes lo envidian.;;;;;;;;;x
brilliant_strategist;Brilliant Strategist;Brillant stratège;Brillanter Stratege;;Brillante estratega;;;;;;;;;x
brilliant_strategist_desc;The Brilliant Strategist has an almost preternatural understanding of all things martial, having the perfect makings for a Marshal or a military tutor.;Ce personnage a des prédispositions naturelles pour tout ce qui touche à la guerre et possède toutes les qualités pour devenir maréchal ou enseigner les arts militaires.;Der brillante Stratege hat ein fast übernatürliches Verständnis für alle kriegerischen Dinge. Dies macht ihn zur perfekten Wahl für das Marschallsamt oder als Militärausbilder.;;El brillante estratega tiene un conocimiento casi sobrenatural sobre las artes de la guerra, tiene lo necesario para ser mariscal o tutor militar.;;;;;;;;;x
celibate;Celibate;Célibat;Zölibat;;Célibe;;;;;;;;;x
celibate_desc;This character has chosen a life of celibacy.;Ce personnage a choisi une vie de célibat.;Dieser Charakter hat ein Leben im Zölibat gewählt.;;Este personaje ha elegido una vida de celibato.;;;;;;;;;x
charismatic_negotiator;Charismatic Negotiator;Négociateur charismatique;Charismatischer Verhandlungsführer;;Negociador carismático;;;;;;;;;x
charismatic_negotiator_desc;The Charismatic Negotiator is an excellent diplomat, impressing dignitaries with elegant dress and persuasive rhetoric.;Ce personnage est un excellent diplomate qui impressionne les dignitaires par sa rhétorique persuasive et son élégance vestimentaire.;Der charismatische Verhandlungsführer ist ein hervorragender Diplomat. Er beeindruckt Würdenträger mit eleganter Kleidung und überzeugender Rhetorik.;;El negociador carismático es un diplomático excelente e impresiona a los dignatarios con sus elegantes trajes y su persuasiva retórica.;;;;;;;;;x
charitable;Charitable;Charité;Wohltätig;;Generoso;;;;;;;;;x
charitable_desc;This character is famously charitable. 'Caritas' is the third of the seven virtues and a most chivalrous trait.;La charité, 'caritas' en latin, est la troisième vertu. Ce personnage est connu pour sa bienveillance et sa générosité.;Dieser Charakter ist für seine Wohltätigkeit berühmt. "Caritas" ist die dritte der sieben Tugenden und eine höchst ritterliche Eigenschaft.;;Este personaje es famoso por su generosidad. 'Caritas' es la tercera de las siete virtudes y un rasgo de caballerosidad.;;;;;;;;;x
chaste;Chaste;Chasteté;Keusch;;Casto;Castità;;;;;;;;x
chaste_desc;Chastity, or 'Castitas' is the first of the seven virtues. Chaste characters are admired for their virtue and are unlikely to have extramarital affairs.;À l'opposé de la luxure, la chasteté, 'castitas' en latin, est vue d'un bon oeil et permet d'éviter les aventures extraconjugales.;Keuschheit, bzw. "Castitas", ist die erste der sieben Tugenden. Keusche Charaktere werden für ihre Tugend bewundert und haben eher weniger außereheliche Affären.;;La castidad o 'castitas' es la primera de las siete virtudes. Los personajes castos son admirados por su virtud y es improbable que tengan relaciones extramatrimoniales.;;;;;;;;;x
clubfooted;Clubfooted;Pied bot;Klumpfüßig;;Zambo;;;;;;;;;x
clubfooted_desc;This character was born with a clubfoot - an unattractive disability.;Ce personnage est né avec un pied bot, une infirmité plutôt disgracieuse.;Dieser Charakter wurde mit einem Klumpfuß geboren, einer unansehnlichen Behinderung.;;Este personaje nació con pie zambo, una minusvalía nada atractiva.;;;;;;;;;x
content;Content;Contentement;Zufrieden;;Alegre;Appagamento;;;;;;;;x
content_desc;Content characters are satisfied with their lot in life. They make loyal vassals but are unsuited to intrigue.;Ce personnage se contente de la vie qu'il mène, ce qui en fait un vassal loyal, mais le rend inapte à l'intrigue.;Zufriedene Charaktere sind mit ihrem Leben zufrieden. Sie geben gute Vasallen ab, sind aber nicht für Intrigen geeignet.;;Un personaje contento estará satisfecho con su suerte en la vida. Eso los convierte en vasallos leales, aunque inadecuados para asuntos de intriga.;;;;;;;;;x
craven;Craven;Lâcheté;Feige;;Cobarde;;;;;;;;;x
craven_desc;This character is a craven and a coward.;Ce personnage est un pleutre.;Dieser Charakter ist ein ängstlicher Feigling.;;Este personaje es un gallina y un cobarde.;;;;;;;;;x
cruel;Cruel;Cruauté;Grausam;;Cruel;;;;;;;;;x
cruel_desc;This character is an evil sadist, taking pleasure in the suffering of others.;Ce personnage aime voir souffrir ses semblables.;Dieser Charakter ist ein boshafter Sadist und genießt es, andere zu quälen.;;Este personaje es un sádico malvado que siente placer haciendo sufrir a los demás.;;;;;;;;;x
crusader;Crusader;Croisé;Kreuzritter;;Paladín;;;;;;;;;x
crusader_desc;This character is a veteran Crusader.;Ce personnage est un vétéran des croisades;Dieser Charakter ist ein erfahrender Kreuzritter.;;Este personaje es un paladín veterano.;;;;;;;;;x
cynical;Cynical;Cynisme;Zynisch;;Cínico;;;;;;;;;x
cynical_desc;This character is a cynical unbeliever, disliked by the clergy but good at intrigue.;Ce personnage est un incrédule cynique, peu apprécié du clergé, mais très doué pour l'intrigue.;Dieser Charakter ist ein zynischer Ungläubiger, den der Klerus nicht mag. Bei Intrigen ist er aber gut.;;Este personaje es un cínico incrédulo y, aunque desagrade al clero, es bueno en cuestiones de intriga.;;;;;;;;;x
deceitful;Deceitful;Fourberie;Hinterlistig;;Engañoso;Embustero;;;;;;;;x
deceitful_desc;This character has a manipulative and dishonest nature - an excellent trait for spymasters... as long as they remain loyal.;Ce personnage est malhonnête et manipulateur à la fois. Il peut faire un excellent maître-espion, à condition qu'il vous apprécie.;Dieser Charakter ist manipulativ und unehrlich - eine hervorragende Eigenschaft für Hofspitzel ... so lange sie loyal bleiben.;;Este personaje es manipulador y poco honrado por naturaleza, es un rasgo excelente para un jefe de espías... siempre que guarde lealtad.;;;;;;;;;x
depressed;Depressed;Dépression;Depressiv;;Deprimido;;;;;;;;;x
depressed_death;of depression;d'une dépression;an Depression;;de depresión;;;;;;;;;x
depressed_desc;Life has lost its luster to this character.;Pour ce personnage, la vie a perdu tout son sens.;Für diesen Charakter hat das Leben allen Reiz verloren.;;Para este personaje, la vida no tiene ningún encanto.;;;;;;;;;x
detached_priest;Detached Priest;Prêtre désinvolte;Wanderpriester;;Sacerdote indiferente;;;;;;;;;x
detached_priest_desc;The Detached Priest received a clerical education but displays no talent beyond basic literacy.;Ce personnage a reçu une éducation religieuse, mais à part apprendre à lire, il n'en a rien retenu.;Der Wanderpriester hat zwar eine kirchliche Ausbildung genossen, aber dabei hat er nur halbwegs Lesen und Schreiben gelernt.;;El sacerdote indiferente ha recibido educación eclesiástica, pero no muestra talento más allá de su cultura básica.;;;;;;;;;x
digambara_jain;Digambara [jain.GetName];[jain.GetName] digambara;Digambara-[jain.GetName];;Digambara [jain.GetName];;;;;;;;;x
digambara_jain_desc;This character follows the Digambara branch of [jain.GetName]ism.;Ce personnage suit la branche digambara de la foi [jain.GetName].;Dieser Charakter folgt dem Digambarazweig  des [jain.GetName]en Glaubens.;;Este personaje sigue la rama digambara del credo [jain.GetName].;;;;;;;;;x
diligent;Diligent;Diligence;Fleißig;;Aplicado;;;;;;;;;x
diligent_desc;This character is dutiful and diligent, the fourth of the seven virtues - 'Industria'.;Le travail, 'industria' en latin, est la quatrième vertu. Ce personnage ne ménage pas sa peine pour travailler durement et remplir les devoirs de son rang.;Diesem Charakter ist Pflicht und Fleiß wichtig - "Industria", die vierte der sieben Tugenden.;;Este personaje es responsable y trabajador, y representa la cuarta de las siete virtudes: 'industria'.;;;;;;;;;x
drunkard;Drunkard;Ivrognerie;Säufer;;Borracho;;;;;;;;;x
drunkard_desc;This character is a drunken sot.;Ce personnage est un véritable poivrot.;Dieser Charakter ist völlig versoffen.;;Este personaje es un borrachín.;;;;;;;;;x
duelist;Duelist;Duelliste;Duellant;;Duelista;;;;;;;;;x
duelist_desc;This character is a masterful fencer and duelist - a dangerous lifestyle to be sure.;Ce personnage maîtrise parfaitement l'épée et le duel, un style de vie résolument dangereux.;Dieser Charakter ist ein meisterhafter Fechter und Duellant - er führt ein wahrlich gefährliches Leben.;;Este personaje es un maestro de esgrima y duelista, sin duda, un estilo de vida arriesgado.;;;;;;;;;x
dwarf;Dwarf;Nanisme;Zwerg;;Enano;;;;;;;;;x
dwarf_desc;This unfortunate character was born a dwarf.;Ce personnage est né nain.;Dieser bedauernswerte Charakter wurde als Zwerg geboren.;;Este personaje tuvo la desdicha de nacer enano.;;;;;;;;;x
elusive_shadow;Elusive Shadow;Ombre insaisissable;Flüchtiger Schatten;;Sombra esquiva;;;;;;;;;x
elusive_shadow_desc;The Elusive Shadow has mastered the art of Intrigue and should make a perfect Spymaster - as well as an ideal mentor for prospective schemers.;Ce personnage est un véritable maître de l'intrigue et fait un parfait maître-espion, de même que le mentor idéal des amateurs d'intrigues.;Der flüchtige Schatten hat die Kunst der Intrige gemeistert und sollte einen perfekten Hofspitzel abgeben. Auch als Mentor für aufstrebende Verschwörer wäre er ideal.;;Una sombra esquiva ha dominado el arte de la Intriga y sería un jefe de espías perfecto, así como un mentor ideal para futuros complotadores.;;;;;;;;;x
envious;Envious;Envie;Neidisch;;Envidioso;;;;;;;;;x
