SUZERAIN_DEFAULT_NAME;Suzerain;Suzerain;Suzerän;;Soberano;;;;;;;;;x
SUZERAIN_NOMADIC_NAME;Nomad Suzerain;Suzerain nomade;Stammessuzerän;;Soberano nómada;;;;;;;;;x
SUZERAIN_OFFMAP_NAME;Imperial Suzerain;Suzerain impérial;Kaiserlicher Suzerän;;Soberano imperial;;;;;;;;;x
SUZERAIN_PERMANENT_NAME;Permanent Suzerain;Suzerain permanent;Dauerhafter Suzerän;;Soberano permanente;;;;;;;;;x
TRIBUTARY_DEFAULT_NAME;Tributary;Tributaire;Tributstaat;;Tributario;;;;;;;;;x
TRIBUTARY_DEFAULT_PLURAL;Tributaries;Tributaires;Tributstaaten;;Tributarios;;;;;;;;;x
TRIBUTARY_NOMADIC_NAME;Nomad Tributary;Tributaire nomade;Stammestributstaat;;Tributario nómada;;;;;;;;;x
TRIBUTARY_NOMADIC_PLURAL;Nomad Tributaries;Tributaires nomades;Stammestributstaaten;;Tributarios nómadas;;;;;;;;;x
TRIBUTARY_OFFMAP_NAME;Imperial Tributary;Tributaire impérial;Kaiserlicher Tributstaat;;Tributario imperial;;;;;;;;;x
TRIBUTARY_OFFMAP_PLURAL;Imperial Tributaries;Tributaires impériaux;Kaiserliche Tributstaaten;;Tributarios imperiales;;;;;;;;;x
TRIBUTARY_PERMANENT_NAME;Tributary State;État tributaire;Tributstaat;;Estado tributario;;;;;;;;;x
TRIBUTARY_PERMANENT_PLURAL;Tributary States;États tributaires;Tributstaaten;;Estados tributarios;;;;;;;;;x
