#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

GAIN;gains;gagne;gewinnt;;gana;;;;;;;;;x
GAINS;gains;gagne;gewinnt;;gana;;;;;;;;;x
LOSE;loses;perd;verliert;;pierde;;;;;;;;;x
LOSES;loses;perd;verliert;;pierde;;;;;;;;;x

ABANDON_HERESY_EFFECT;Abandons the §Y$HERESY$§! heresy\n;Renonce à l'hérésie §Y$HERESY$§!\n;Nimmt von der §Y$HERESY$en§! Ketzerei Abstand\n;;Abandona la herejía §Y$HERESY$§!\n;;;;;;;;;x
BECOME_HERETIC_EFFECT;Embraces the §Y$HERESY$§! heresy\n;Embrasse l'hérésie §Y$HERESY$§!\n;Unterstützt die §Y$HERESY$e§! Ketzerei\n;;Adopta la herejía §Y$HERESY$§!\n;;;;;;;;;x

ACTIVATE_TITLE_EFFECT;§Y$TITLE$§! now exists\n;§Y$TITLE$§! existe désormais\n;§Y$TITLE$§! existiert jetzt\n;;§Y$TITLE$§! ya existe\n;;;;;;;;;x
DEACTIVATE_TITLE_EFFECT;§Y$TITLE$§! no longer exists\n;§Y$TITLE$§! n'existe plus\n;§Y$TITLE$§! existiert nicht mehr\n;;§Y$TITLE$§! ya no existe\n;;;;;;;;;x

ADD_BUILDING;Gain $NAME|Y$ in $WHERE|Y$\n;Ajout du bâtiment '$NAME|Y$' à $WHERE|Y$\n;$NAME|Y$ in $WHERE|Y$ erhalten\n;$NAME|Y$ w $WHERE|Y$ - zyskane\n;Ganancia de un(a) $NAME|Y$ en $WHERE|Y$\n;$WHERE|Y$: ottieni $NAME|Y$\n;$WHERE|Y$ $NAME|Y$-t kapott\n;;;;;;;x
REM_BUILDING;Lose $NAME|Y$ in $WHERE|Y$\n;Perte du bâtiment '$NAME|Y$' à $WHERE|Y$\n;$NAME|Y$ in $WHERE|Y$ verlieren\n;$NAME|Y$ w $WHERE|Y$ - stracone\n;Pérdida de un(a) $NAME|Y$ en $WHERE|Y$\n;$WHERE|Y$: perdi $NAME|Y$\n;$WHERE|Y$ $NAME|Y$-t veszített\n;;;;;;;x

ADDTRAITEFFECT;§Y$WHO$§! gains the trait '§Y$TRAIT$§!'\n;§Y$WHO$§! obtient le trait '§Y$TRAIT$§!'\n;§Y$WHO$§! erhält die Eigenschaft §Y$TRAIT$§!\n;;§Y$WHO$§! gana el rasgo '§Y$TRAIT$§!'\n;§Y$WHO$§! acquista il tratto: '§Y$TRAIT$§!ì\n;;;;;;;;x

ALLOW_GENDER_LAWS_OFF;Revoke allowing change of Gender Preference Laws\n;Révoquer l'autorisation de modifier les lois basées sur le sexe\n;Die Änderung der Gleichberechtigungsgesetze zurücknehmen\n;;Anular permiso de cambio de leyes de preferencia de sexo\n;;;;;;;;;x
ALLOW_GENDER_LAWS_ON;Allow change of Gender Preference Laws\n;Autoriser la modification les lois basées sur le sexe\n;Änderung der Gleichberechtigungsgesetze erlauben\n;;Permitir cambio de leyes de preferencia de sexo\n;;;;;;;;;x

ALLOW_FREE_DUCHY_REVOKATION_OFF;Revocation of duchy titles no longer free\n;Pénalités applicables pour la révocation des titres de duché\n;Keine weitere freie Aberkennung von Herzogstiteln\n;;No permite la revocación de títulos de ducados;;;;;;;;;x
ALLOW_FREE_DUCHY_REVOKATION_ON;Revocation of duchy titles free\n;Aucune pénalité pour la révocation des titres de duché\n;Freie Aberkennung von Herzogstiteln\n;;Permite revocación de títulos de ducados;;;;;;;;;x

ALLOW_FREE_INFIDEL_REVOKATION_OFF;Revocation of infidel titles no longer free\n;L'annulation des titres des infidèles n'est plus libre\n;Entzug von Ungläubigentiteln nicht mehr frei\n;;Revocación de títulos de infieles ya no gratuita\n;;;;;;;;;x
ALLOW_FREE_INFIDEL_REVOKATION_ON;Revocation of infidel titles free\n;L'annulation des titres des infidèles est libre\n;Entzug von Ungläubigentiteln frei\n;;Revocación de títulos de infieles gratuita\n;;;;;;;;;x

ALLOW_FREE_REVOKATION_OFF;Revocation of titles no longer free\n;L'annulation des titres n'est plus libre\n;Titelentzug nicht mehr frei\n;;Revocación de títulos ya no gratuita\n;;;;;;;;;x
ALLOW_FREE_REVOKATION_ON;Revocation of titles free\n;L'annulation des titres est libre\n;Titelentzug frei\n;;Revocación de títulos gratuita\n;;;;;;;;;x

ALLOW_FREE_VICEROY_REVOKATION_OFF;Revocation of viceroyalty duchy titles no longer free\n;La révocation des titres des duchés vice-royaux n'est plus libre\n;Kein freier Entzug Vizeherzogtümern\n;;Revocación de títulos de ducado de virreinato ya no son gratis;;;;;;;;;x
ALLOW_FREE_VICEROY_REVOKATION_ON;Revocation of viceroyalty duchy titles free\n;La révocation des titres des duchés vice-royaux est libre\n;Freier Entzug von Vizeherzogtümern\n;;Revocación de títulos de ducado de virreinato gratis;;;;;;;;;x

ALLOW_REVOKATION_OFF;Revocation of titles Disallowed\n;Annulation des titres non autorisée\n;Entzug gewährter Titel nicht gestattet\n;;Revocación de títulos no permitida\n;;;;;;;;;x
ALLOW_REVOKATION_ON;Revocation of titles Allowed\n;Annulation des titres autorisée\n;Entzug gewährter Titel gestattet\n;;Revocación de títulos permitida\n;;;;;;;;;x

TRIBAL_VASSAL_LEVY_CONTROL_OFF;Tribal vassals will no longer provide you with levies\n;Les vassaux tribaux ne vous fourniront plus de troupes.\n;Stammesvasallen stellen keine Wehrpflichtige\n;;Los vasallos tribales no seguirán aportándote sus tropas\n;;;;;;;;;x
TRIBAL_VASSAL_LEVY_CONTROL_ON;Tribal vassals will now provide you with levies\n;Les vassaux tribaux vous fourniront maintenant des troupes\n;Stammesvasallen stellen Wehrpflichtige\n;;Ahora los vasallos tribales pueden aportarte sus tropas\n;;;;;;;;;x

TRIBAL_VASSAL_TAX_INCOME_OFF;Tribal vassals will no longer provide you with taxes\n;Les vassaux tribaux ne paieront plus d'impôt\n;Stammesvasallen zahlen keine Steuern\n;;Los vasallos tribales no seguirán aportándote parte de sus impuestos\n;;;;;;;;;x
TRIBAL_VASSAL_TAX_INCOME_ON;Tribal vassals will now provide you with taxes\n;Les vassaux tribaux vous paieront désormais un impôt\n;Stammesvasallen zahlen Steuern\n;;Ahora los vasallos tribales pueden aportarte parte de sus impuestos\n;;;;;;;;;x

APPOINT_GENERALS_OFF;You can no longer appoint army leaders\n;Vous ne pouvez plus nommer de chefs militaires\n;Ihr könnt keine Armeeführer mehr ernennen\n;;Ya no puedes nombrar jefes militares\n;;;;;;;;;x
APPOINT_GENERALS_ON;You can now appoint army leaders\n;Vous pouvez maintenant nommer des chefs militaires\n;Ihr könnt jetzt Armeeführer ernennen\n;;Ya puedes nombrar jefes militares\n;;;;;;;;;x

APPOINT_REGENTS_OFF;You can no longer nominate Regents\n;Vous ne pouvez plus nommer de régents\n;Ihr könnt keine Regenten mehr ernennen\n;;Ya no puedes nombrar regentes\n;;;;;;;;;x
APPOINT_REGENTS_ON;You can now nominate Regents\n;Vous pouvez maintenant nommer des régents\n;Ihr könnt jetzt Regenten ernennen\n;;Ya puedes nombrar regentes\n;;;;;;;;;x

APPROVE_LAW;Approve ;Approuver ;Genehmigen ;;Aprobar;;;;;;;;;x
DECLINE_LAW;Decline ;Refuser ;Ablehnen ;;Declinar;;;;;;;;;x
VOTE_ON_LAW;Vote on ;Voter ;Abstimmen über ;;Votar por;;;;;;;;;x

BECOMES_EXCOMMUNICATED_EFFECT;Becomes Excommunicated\n;Est excommunié\n;Wird exkommuniziert\n;;Es excomulgado\n;;;;;;;;;x

BETROTHAL_EFFECT;$WHO|Y$ gets betrothed to $SPOUSE|Y$\n;$WHO|Y$ se fiance à $SPOUSE|Y$\n;$WHO|Y$ wird mit $SPOUSE|Y$ verlobt\n;;$WHO|Y$ se promete a $SPOUSE|Y$\n;;;;;;;;;x
BREAK_BETROTHAL_EFFECT;$WHO|Y$ breaks the betrothal with $SPOUSE|Y$\n;$WHO|Y$ rompt ses fiançailles avec $SPOUSE|Y$\n;$WHO|Y$ bricht das Verlöbnis mit $SPOUSE|Y$\n;;$WHO|Y$ rompe el compromiso con $SPOUSE|Y$\n;;;;;;;;;x

CHANGECULTUREEFFECT;§Y$WHERE$§! becomes §Y$NAME$§!\n;La culture de §Y$WHERE$§! devient §Y$NAME$§!\n;$WHERE$ wird $NAME$\n;;§Y$WHERE$§! se convierte en §Y$NAME$§!\n;;;;;;;;;x

CHARACTER_CREATED;$TYPE$ appears at the court of §Y$EMPLOYER$§!\n;$TYPE$ fait son apparition à la Cour de §Y$EMPLOYER$§!\n;$TYPE$ erscheint am Hof von §Y$EMPLOYER$§!\n;;$TYPE$ se presenta en la corte de §Y$EMPLOYER$§!\n;;;;;;;;;x

CHARBANISHEFFECT;§Y$NAME$§! is banished to §Y$TARGET$§!\n;§Y$NAME$§! est banni(e) et s'en va trouver refuge à la cour de §Y$TARGET$§!\n;§Y$NAME$§! wird verbannt nach §Y$TARGET$§!\n;;§Y$NAME$§! es desterrado a §Y$TARGET$§!\n;;;;;;;;;x

CHARDEATHEFFECT;§Y$NAME$§! dies!\n;§Y$NAME$§! trouve la mort !\n;§Y$NAME$§! stirbt!\n;;§Y$NAME$§! muere!\n;;;;;;;;;x

CHARIMPRISONEFFECT;§Y$WHO$§! is imprisoned by §Y$KEEPER$§!\n;§Y$KEEPER$§! emprisonne §Y$WHO$§!\n;§Y$WHO$§! wird eingekerkert von §Y$KEEPER$§!\n;;§Y$WHO$§! es encarcelado por §Y$KEEPER$§!\n;;;;;;;;;x

CHARRELEASEEFFECT;is released from prison\n;sort de prison\n;wird aus dem Gefängnis entlassen\n;;es liberado de la prisión\n;;;;;;;;;x

CLEARREVOLT_EFFECT;The rebels disperse\n;Les rebelles se dispersent\n;Die Zerstreuung der Rebellen\n;;Los rebeldes se dispersan\n;;;;;;;;;x

CREATEHOLDING_EFFECT;Establish the $NAME|Y$\n;Établir $NAME|Y$\n;Etablieren: $NAME|Y$\n;;Establece el $NAME|Y$\n;;;;;;;;;x

CURE_ILLNESS_EFFECT;Is cured of all illness!\n;N'est plus malade !\n;Ist von sämtlichen Krankheiten genesen!\n;;¡Está curado de todas las enfermedades!\n;;;;;;;;;x

DIPLOMACYEFFECT;$WHO|Y$ $DIRECTION$ $VALUE$ Diplomacy\n;$WHO|Y$ $DIRECTION$ $VALUE$ de compétence en diplomatie\n;$WHO|Y$ $DIRECTION$ $VALUE$ Diplomatie\n;;$WHO|Y$ $DIRECTION$ $VALUE$ Diplomacia\n;;;;;;;;;x

DISBAND_FLEET;Fleet in $PROV|Y$ will disband;La flotte de la province $PROV|Y$ sera démobilisée;Flotte in $PROV|Y$ wird aufgelöst;Flota w prowincji $PROV|Y$ zostanie rozwi?zana;La flota en $PROV|Y$ se disolverá;;;;;;;;;x

DISEASE_DECREASED;Duration of Disease reduced by $VAL|Y$ months\n;Durée de la maladie réduite de $VAL|Y$ mois\n;Dauer der Krankheit um $VAL|Y$ verkürzt\n;;Duración de enfermedad reducida en $VAL|Y$ meses\n;;;;;;;;;x
DISEASE_INCREASED;Duration of Disease increased by $VAL|Y$ months\n;Durée de la maladie prolongée de $VAL|Y$ mois\n;Dauer der Krankheit um $VAL|Y$ verlängert\n;;Duración de enfermedad aumentada en $VAL|Y$ meses\n;;;;;;;;;x

END_WAR_EFFECT;War ends with the following peace terms:\n;La guerre se termine avec les conditions de paix suivantes : \n;Krieg endet mit den folgenden Friedensbedingungen:\n;;Fin de la guerra con las siguientes condiciones de paz:\n;;;;;;;;;x

EXCOMMUNICATION_LIFTED_EFFECT;Excommunication Lifted\n;Absolution\n;Exkommunikation aufgehoben\n;;Excomunión levantada\n;;;;;;;;;x

FATHER_EFFECT;§Y$FATHER$§! adopts §Y$WHO$§!\n;§Y$FATHER$§! adopte §Y$WHO$§!\n;§Y$FATHER$§! adoptiert §Y$WHO$§!\n;;§Y$FATHER$§! adopta a §Y$WHO$§!\n;;;;;;;;;x
MOTHER_EFFECT;§Y$MOTHER$§! adopts §Y$WHO$§!\n;§Y$MOTHER$§! adopte §Y$WHO$§!\n;§Y$MOTHER$§! adoptiert §Y$WHO$§!\n;;§Y$MOTHER$§! adopta a §Y$WHO$§!\n;;;;;;;;;x

FERTILITY_EFFECT;§Y$WHO$§! $DIRECTION$ $PERC$ Fertility\n;§Y$WHO$§! $DIRECTION$ $PERC$ en fertilité\n;§Y$WHO$§! $DIRECTION$ $PERC$ Fruchtbarkeit\n;;§Y$WHO$§! $DIRECTION$ $PERC$ Fertilidad\n;;;;;;;;;x

GAIN_ALL_OCCUPIED_TITLES_EFFECT;Takes occupied titles from $HOLDER|Y$;Prend tous les titres de $HOLDER|Y$ dont les terres sont occupées;Von $HOLDER|Y$ beanspruchte Titel in besetzen Provinzen nehmen;;Toma los títulos ocupados de $HOLDER|Y$;;;;;;;;;x

HEALTH_EFFECT;$WHO|Y$ $DIRECTION$ $VALUE|Y$ Health\n;$WHO|Y$ $DIRECTION$ $VALUE|Y$ en santé\n;$WHO|Y$ $DIRECTION$ $VALUE|Y$ Gesundheit\n;;$WHO|Y$ $DIRECTION$ $VALUE|Y$ Salud\n;;;;;;;;;x

INHERIT_EFFECT;§Y$ABDICATOR$§! abdicates to §Y$HEIR$§!\n;§Y$ABDICATOR$§! abdique en faveur de §Y$HEIR$§!\n;§Y$ABDICATOR$§! dankt zugunsten von §Y$HEIR$§! ab\n;;§Y$ABDICATOR$§! abdica en favor de §Y$HEIR$§!;;;;;;;;;x
INHERIT;Inherit $WHO|Y$\n;Vous héritez de $WHO|Y$\n;$WHO|Y$ erben\n;$WHO|Y$ - dziedziczenie\n;Heredar $WHO|Y$\n;Eredita $WHO|Y$\n;$WHO|Y$ örökli\n;;;;;;;x
INHERIT_EFFECT_UNKNOWN;§Y$ABDICATOR$§! abdicates\n;§Y$ABDICATOR$§! abdique\n;§Y$ABDICATOR$§! dankt ab\n;;§Y$ABDICATOR$§! abdica\n;;;;;;;;;x

IMPLEMENT_LAW;Implement ;Promulgue ;Einführen ;;Aplicar ;;;;;;;;;x

IMPREGNATE_EFFECT;$WHO|Y$ becomes pregnant with $FATHER|Y$'s child\n;$WHO|Y$ porte l'enfant de $FATHER|Y$\n;$WHO|Y$ wurde von $FATHER|Y$ geschwängert\n;;$WHO|Y$ se queda embarazada de $FATHER|Y$\n;;;;;;;;;x

INTRIGUEEFFECT;$WHO|Y$ $DIRECTION$ $VALUE$ Intrigue\n;$WHO|Y$ $DIRECTION$ $VALUE$ de compétence en intrigue\n;$WHO|Y$ $DIRECTION$ $VALUE$ Intrige\n;;$WHO|Y$ $DIRECTION$ $VALUE$ Intriga\n;;;;;;;;;x

KINGS_FULL_PEACE_OFF;Vassals can now wage war\n;Les vassaux peuvent déclarer des guerres\n;Vasallen können jetzt Kriege führen\n;;Los vasallos ya pueden hacer la guerra\n;;;;;;;;;x
KINGS_FULL_PEACE_ON;Vassals can no longer wage war\n;Les vassaux ne peuvent plus déclarer de guerre\n;Vasallen können keine Kriege mehr führen\n;;Los vasallos ya no pueden hacer la guerra\n;;;;;;;;;x
KINGS_PEACE_OFF;Vassals can now fight each other\n;Les vassaux peuvent se combattre\n;Vasallen können sich jetzt gegenseitig bekämpfen\n;;Los vasallos ya pueden luchar entre sí\n;;;;;;;;;x
KINGS_PEACE_ON;Vassals can no longer fight each other\n;Les vassaux ne peuvent plus se combattre\n;Vasallen können sich nicht mehr gegenseitig bekämpfen\n;;Los vasallos ya no pueden luchar entre sí\n;;;;;;;;;x

LEARNINGEFFECT;$WHO|Y$ $DIRECTION$ $VALUE$ Learning\n;$WHO|Y$ $DIRECTION$ $VALUE$ de compétence en érudition\n;$WHO|Y$ $DIRECTION$ $VALUE$ Bildung\n;;$WHO|Y$ $DIRECTION$ $VALUE$ Aprendizaje\n;;;;;;;;;x

LEAVE_PLOT_EFFECT;$BACKER|Y$ abandons $PLOTTER|Y$'s plot to $TITLE|Y$\n;$BACKER|Y$ abandonne $PLOTTER|Y$ et son complot pour $TITLE|Y$\n;$BACKER|Y$ nimmt von der Verschwörung $TITLE|Y$ von $PLOTTER|Y$ Abstand\n;;$BACKER|Y$ abandona el complot de $PLOTTER|Y$ para el $TITLE|Y$\n;;;;;;;;;x

GAIN_CLAIM_ON;§Y$WHO$§! gets a Strong Claim on $TITLE|Y$\n;§Y$WHO$§! a une revendication forte sur '$TITLE|Y$'\n;§Y$WHO$§! erhebt einen Starken Anspruch auf den Titel $TITLE|Y$\n;;§Y$WHO$§! obtiene una reclamación fuerte al $TITLE|Y$\n;;;;;;;;;x
GAIN_WEAK_CLAIM_ON;§Y$WHO$§! gets a Weak Claim on §Y$TITLE$§!\n;§Y$WHO$§! a une revendication faible sur '§Y$TITLE$§!'\n;§Y$WHO$§! erhebt einen Schwachen Anspruch auf §Y$TITLE$§!\n;;§Y$WHO$§! obtiene una reclamación débil al §Y$TITLE$§!\n;;;;;;;;;x
LOSE_CLAIM_ON;§Y$WHO$§! loses the claim on the §Y$TITLE$§!\n;§Y$WHO$§! perd sa revendication sur §Y$TITLE$§!\n;§Y$WHO$§! verliert den Anspruch auf §Y$TITLE$§!\n;;§Y$WHO$§! pierde la reclamación de §Y$TITLE$§!\n;;;;;;;;;x
PRESS_CLAIM_ON;§Y$WHO$§! presses the claim on §Y$TITLE$§!\n;§Y$WHO$§! appuie la revendication sur §Y$TITLE$§!\n;§Y$WHO$§! treibt den Anspruch auf §Y$TITLE$§! voran\n;;§Y$WHO$§! insta la reclamación de §Y$TITLE$§!\n;;;;;;;;;x

MANPOWER_EFFECT;$DIRECTION|U$ $VALUE$ Manpower\n;$DIRECTION|U$ $VALUE$ en effectifs;$DIRECTION|U$ $VALUE$ Mannstärke;$DIRECTION|U$ $VALUE$ si³y Ludzkiej;$DIRECTION|U$ $VALUE$ en Soldadesca;Potenziale di Reclutamento: $DIRECTION|U$ $VALUE$;$DIRECTION|U$ $VALUE$ Munkaerõ;;;;;;;x

MARRIAGEEFFECT;§Y$WHO$§! marries §Y$SPOUSE$§!\n;§Y$WHO$§! épouse §Y$SPOUSE$§!\n;§Y$WHO$§! heiratet §Y$SPOUSE$§!\n;;$WHO|Y$ se casa con $SPOUSE|Y$\n;;;;;;;;;x
MARRIAGEEFFECT_MAT;§Y$WHO$§! marries §Y$SPOUSE$§! matrilineally\n;§Y$WHO$§! épouse §Y$SPOUSE$§! matrilinéairement\n;§Y$WHO$§! heiratet §Y$SPOUSE$§! matrilinear\n;;§Y$WHO$§! se casa con §Y$SPOUSE$§! de forma matrilineal\n;;;;;;;;;x
DIVORCEEFFECT;§Y$WHO$§! divorces §Y$SPOUSE$§!\n;§Y$WHO$§! divorce de §Y$SPOUSE$§!\n;§Y$WHO$§! verlässt §Y$SPOUSE$§!\n;;$WHO|Y$ se divorcia de $SPOUSE|Y$\n;;;;;;;;;x

MARTIALEFFECT;$WHO|Y$ $DIRECTION$ $VALUE$ Martial\n;$WHO|Y$ $DIRECTION$ $VALUE$ de compétence martiale\n;$WHO|Y$ $DIRECTION$ $VALUE$ Kriegskunst\n;;$WHO|Y$ $DIRECTION$ $VALUE$ Marcial\n;;;;;;;;;x

MOVE_CHARACTER;$WHO|Y$ joins $WHERE|Y$\n;$WHO|Y$ rejoint $WHERE|Y$\n;$WHO|Y$ schließt sich $WHERE|Y$ an\n;;$WHO|Y$ se une a $WHERE$\n;$WHO|Y$ passa a $WHERE|Y$\n;;;;;;;;x

OPINION_CHANGE;§Y$ACTIVE$'s§! opinion of §Y$PASSIVE$§! changes by $MUCH$;L'opinion de §Y$ACTIVE$§! envers §Y$PASSIVE$§! change de $MUCH$;§Y$ACTIVE$s§! Meinung von §Y$PASSIVE$§! ändert sich um $MUCH$;;La opinión de §Y$ACTIVE$'s§! acerca de §Y$PASSIVE$§! cambia por $MUCH$;;;;;;;;;x
OPINION_CHANGE_TIMER;for §Y$TIME$§! $TIMEUNIT$;pendant §Y$TIME$§! $TIMEUNIT$;für §Y$TIME$§! $TIMEUNIT$;;para §Y$TIME$§! $TIMEUNIT$;;;;;;;;;x

PROTECTED_INHERITANCE_OFF;Vassal titles can now pass outside the Realm through inheritance\n;Les titres des vassaux peuvent désormais quitter le pays lors des successions\n;Vasallentitel können außerhalb des Reichs vererbt werden\n;;Los títulos de los vasallos ya pueden salir del reino mediante herencia\n;;;;;;;;;x
PROTECTED_INHERITANCE_ON;Vassal titles can no longer pass outside the Realm through inheritance\n;Les titres des vassaux ne peuvent plus quitter le pays lors des successions\n;Vasallentitel können nicht mehr außerhalb des Reichs vererbt werden\n;;Los títulos de los vasallos ya no pueden salir del reino mediante herencia\n;;;;;;;;;x

PRESTIGE_EFFECT;$WHO|Y$ $DIRECTION$ $VALUE$ Prestige\n;$WHO|Y$ $DIRECTION$ $VALUE$ en prestige\n;$WHO|Y$ $DIRECTION$ $VALUE$ Prestige\n;$WHO|Y$ $DIRECTION$ $VALUE$ presti¿u\n;$WHO|Y$ $DIRECTION$ $VALUE$ en prestigio\n;Prestigio: $DIRECTION$ $VALUE$\n;$DIRECTION|U$ $VALUE$ presztizs\n;;;;;;;x
PART_SCALED_PRESTIGE_EFFECT;$WHO|Y$ $DIRECTION$ $VALUE$ Prestige from war contribution\n;$WHO|Y$ $DIRECTION$ $VALUE$ points de prestige pour la contribution à l'effort de guerre\n;$WHO|Y$ $DIRECTION$ $VALUE$ Prestige durch Kriegsbeitrag\n;;$WHO|Y$ $DIRECTION$ $VALUE$ Prestigio por su contribución bélica\n;;;;;;;;;x

RANDOM_EFFECT;§Y$CHANCE$%§! chance of ;§Y$CHANCE$%§! de chance de ;§Y$CHANCE$%§! Chance auf ;;Probabilidad de un §Y$CHANCE$%§! ;§Y$CHANCE$%§! di probabilità di ;;;;;;;;x
RANDOM_LIST_EFFECT;§YOne of $SIZE$ options will happen:§!\n;§YUne des $SIZE$ options va avoir lieu :§!\n;§YEine von $SIZE$ Optionen wird eintreten:§!\n;;§YOcurrirá una de las $SIZE$ opciones:§!\n;§YSi verificherà una di $SIZE$ opzioni:§!\n;;;;;;;;x

REBEL_DEFECTION_EFFECT;The §Y$TITLE$§! defects to §Y$CHAR$§!\n;Le §Y$TITLE$§! revient à §Y$CHAR$§!\n;§Y$TITLE$§! desertiert zu §Y$CHAR$§!\n;;El §Y$TITLE$§! deserta al §Y$CHAR$§!\n;;;;;;;;;x

REL_AUTHORITY_CHANGE;$PERC$ §Y$RELIGION$§! Moral Authority for §Y$TIME$§! $TIMEUNIT$\n;Religion §Y$RELIGION$§! : $PERC$ en autorité morale pendant §Y$TIME$§! $TIMEUNIT$\n;§Y$RELIGION$er§! Glaube: $PERC$ Autorität für §Y$TIME$§! $TIMEUNIT$\n;;Autoridad Moral de §Y$RELIGION$§!: $PERC$ para §Y$TIME$§! $TIMEUNIT$\n;;;;;;;;;x

REMOVE_TITLE_EFFECT;§Y$CHAR$§! is no longer $TITLE|Y$\n;§Y$CHAR$§! n'est plus $TITLE|Y$\n;§Y$CHAR$§! ist nicht länger $TITLE|Y$\n;;§Y$CHAR$§! ya no es $TITLE|Y$\n;;;;;;;;;x

REMOVETRAITEFFECT;§Y$WHO$§! loses the trait '§Y$TRAIT$§!'\n;§Y$WHO$§! perd le trait '§Y$TRAIT$§!'\n;§Y$WHO$§! verliert die Eigenschaft §Y$TRAIT$§!\n;;§Y$WHO$§! pierde el rasgo '§Y$TRAIT$§!'\n;§Y$WHO$§! perde il tratto: '§Y$TRAIT$§!'\n;;;;;;;;x

SENDAASSSINEFFECT;§Y$WHO$§! will send assassins after §Y$TARGET$§!\n;§Y$WHO$§! va envoyer des assassins contre §Y$TARGET$§!\n;§Y$WHO$§! wird §Y$TARGET$§! Mörder auf den Hals hetzen\n;;§Y$WHO$§! enviará asesinos tras §Y$TARGET$§!\n;;;;;;;;;x

SET_FAMILY_EFFECT;$CHAR|Y$ becomes a member of the $FAMILY|Y$ dynasty\n;$CHAR|Y$ devient membre de la dynastie $FAMILY|Y$\n;$CHAR|Y$ wird ein Mitglied der $FAMILY|Y$-Dynastie\n;;$CHAR|Y$ se convierte en miembro de la dynastía $FAMILY|Y$\n;;;;;;;;;x

SET_GUARDIAN_EFFECT;$GUARDIAN|Y$ becomes the guardian of $WHO|Y$\n;$GUARDIAN|Y$ prend la tutelle de $WHO|Y$\n;$GUARDIAN|Y$ wird Vormund von $WHO|Y$\n;;$GUARDIAN|Y$ se convierte en guardián de $WHO|Y$\n;;;;;;;;;x

SET_NAME_EFFECT;$OLD_NAME|Y$ changes name to $NEW_NAME|Y$\n;$OLD_NAME|Y$ prend le nouveau nom de : $NEW_NAME|Y$\n;$OLD_NAME|Y$ ändert Name zu $NEW_NAME|Y$\n;;$OLD_NAME|Y$ pasa a llamarse $NEW_NAME|Y$\n;;;;;;;;;x

