#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#text1.csv

OWNS;Owns ;Possède ;Besitz von ;;Tiene en propiedad ;Possiede ;;;;;;;;x
DO_NOT_OWN;Does not own ;Ne possède pas ;Kein Besitz von ;;No tiene en propiedad ;Non possiede ;;;;;;;;x

AGGRESSOR_IS;Attacker is §Y$CHAR$§!;L'attaquant est §Y$CHAR$§!;Angreifer ist §Y$CHAR$§!;;El atacante es §Y$CHAR$§!;;;;;;;;;x
AGGRESSOR_IS_NOT;Attacker is NOT §Y$CHAR$§!;L'attaquant n'est pas §Y$CHAR$§!;Angreifer ist NICHT §Y$CHAR$§!;;El atacante NO es §Y$CHAR$§!;;;;;;;;;x

CAN_BE_GIVEN_AWAY;Can be given away;Le titre peut être donné;Kann verschenkt werden;;Puede ofrecerse;;;;;;;;;x
CANNOT_BE_GIVEN_AWAY;Cannot be given away;Ne peut pas être donné;Kann nicht verschenkt werden;;No puede ofrecerse;;;;;;;;;x

CAN_CALL_CRUSADE;Can Call for Holy War;Peut appeler à une guerre sainte;Kann zum Heiligen Krieg aufrufen;;Se puede llamar a una guerra santa;;;;;;;;;x
CANNOT_CALL_CRUSADE;Cannot Call for Holy War;Ne peut pas appeler à une guerre sainte;Kann nicht zum Heiligen Krieg aufrufen;;No se puede llamar a una guerra santa;;;;;;;;;x

CAN_CHANGE_RELIGION;Can change Religion;Peut changer de religion;Kann Religion ändern;;Puede cambiar de religión;;;;;;;;;x
CANNOT_CHANGE_RELIGION;Cannot change Religion;Ne peut pas changer de religion;Kann Religion nicht ändern;;No puede cambiar de religión;;;;;;;;;x

CAN_HOLD_TITLE;Can hold the title ;Peut posséder le titre ;Kann den Titel halten;;Puede poseer el título;;;;;;;;;x
CANNOT_HOLD_TITLE;Cannot hold the title ;Ne peut pas posséder le titre;Kann den Titel nicht halten;;No puede poseer el título;;;;;;;;;x

CANNOT_MARRY;Can get married;Peut se marier;Kann heiraten;;Puede casarse;;;;;;;;;x
CAN_MARRY_OTHER;Can marry §Y$OTHER$§!;Peut épouser §Y$OTHER$§!;Kann §Y$OTHER$§! heiraten;;Puede casarse con §Y$OTHER$§!;;;;;;;;;x
