wonder_amphitheater;Grand Amphitheater;Grand amphithéâtre;Großes Amphitheater;;Gran anfiteatro;;;;;;;;;x
wonder_amphitheater_colosseum;Colosseum;Colisée;Kolosseum;;Coliseo;;;;;;;;;x
wonder_amphitheater_colosseum_desc;The amphitheater has seen many uses throughout the centuries, including gladiatorial and animal fights, and later even serving as market stalls for city merchants.;L'amphithéâtre a connu de nombreux usages au cours des siècles, notamment les combats de gladiateurs et d'animaux, et plus tard, il a même servi d'étals de marché pour les marchands de la ville.;Das Amphitheater hat im Laufe der Jahrhunderte viele Anwendungen erlebt, darunter Gladiator- und Tierkämpfe und später sogar als Marktstand für Großhändler in der Stadt.;;El anfiteatro ha tenido muchos usos a lo largo de los siglos, incluyendo luchas de gladiadores y animales e incluso sirvió como puestos de mercado para mercaderes.;;;;;;;;;x
wonder_amphitheater_construction_desc;An epitome of popular culture, it serves to entertain with great spectacles, lowering the revolt risk. It can also allow for the recruitment of specially trained individuals.;Incarnation de la culture populaire, il sert à divertir avec des grands spectacles, réduisant ainsi le risque de révolte. Cela peut également permettre le recrutement de personnes particulièrement formées.;Als Inbegriff der Kultur dient es dazu, mit großartigen Schauspielen zu unterhalten und das Revoltenrisiko zu senken. Es kann auch die Rekrutierung von speziell ausgebildeten Personen ermöglichen.;;La personificación de la cultura popular, sirve para entretener con grandes espectáculos, reduciendo el riesgo de revueltas. También puede servir para reclutar individuos especialmente entrenados.;;;;;;;;;x
wonder_amphitheater_desc;The epitome of high culture, the amphitheater is a unique attraction in the realm.;Incarnation de la haute culture, l'amphithéâtre est une attraction unique dans le pays.;Das Amphitheater ist der Inbegriff von Hochkultur und eine einzigartige Attraktion im Reich.;;El epítome de la alta cultura, el anfiteatro es una atracción única del reino.;;;;;;;;;x
wonder_apostolic_palace;Apostolic Palace;Palais apostolique;Apostolischer Palast;;Palacio apostólico;;;;;;;;x
wonder_apostolic_palace_desc;The palace of the Pope himself, sitting at the heart of Rome.;Le palais du pape au coeur de Rome.;Der Palast des Papstes selbst steht im Herzen Roms.;;El palacio del mismo papa, asentado en el corazón de Roma.;;;;;;;;x
wonder_artifact_bells;Cathedral Bells;Cloches de cathédrale;Kathedralglocken;;Campanas de catedral;;;;;;;;;x
wonder_artifact_bells_desc;Bells that once stood on a Christian Cathedral.;Des cloches qui se trouvaient autrefois dans une cathédrale chrétienne.;Glocken, die einst in einer christlichen Kathedrale hingen.;;Campanas que en el pasado estuvieron en una catedral cristiana;;;;;;;;;x
wonder_aztec_pyramid;Aztec Pyramid;Pyramide aztèque;Aztekenpyramide;;Pirámide azteca;;;;;;;;;x
wonder_aztec_pyramid_construction_desc;A testament to your §YPiety§! and §YPrestige§!, it can help  improve opinion of you, help protect your treasures, and can even be used for sacrifices to the Gods.;Témoignage de votre §Ypiété§! et de votre §Yprestige§!, elle peut aider à améliorer l'opinion envers vous, à protéger vos trésors et peut même être utilisée pour faire des sacrifices aux dieux.;Als Zeugnis Eurer §YPietät§! und §YPrestige§! hilft dies dabei die Meinung über Euch zu verbessern, Eure Schätze zu schützen und kann sogar für Opfer an die Götter benutzt werden.;;Un legado de tu §Ypiedad§! y §Yprestigio§!, puede ayudar a mejorar la opinión sobre ti, proteger tus tesoros, e incluso usarse para sacrificios a los dioses.;;;;;;;;;x
wonder_aztec_pyramid_desc;The house of the Gods, an Aztec Pyramid is the holy place where messengers can be sent to the Them, by decapitating the victims' heads.;Cette pyramide aztèque est la maison sacrée des dieux où des messagers peuvent être envoyés avec des têtes décapitées en offrande.;Die aztekische Pyramide ist das Haus der Götter und ein heiliger Ort, an den Abgesandte geschickt werden können, um ihnen die Köpfe abzuschlagen.;;Una pirámide azteca, la casa de los dioses, es un lugar sagrado donde se les pueden enviar mensajeros cortando la cabeza de las víctimas.;;;;;;;;x
wonder_cathedral;Grand Cathedral;Grande cathédrale;Große Kathedrale;;Gran catedral;;;;;;;;;x
wonder_cathedral_construction_desc;A testament to the §YPiety§! and §YPrestige§! of its builder, it can be used to store relics, and in times of trouble its bells can even warn the people of danger.;Témoignage de la §Ypiété§! et du §Yprestige§! de son constructeur, elle peut être utilisée pour conserver des reliques et, en cas de problème, ses cloches peuvent même avertir la population en cas de danger.;Dies ist ein Zeugnis für die §YPietät§! und §YPrestige§! seines Erbauers. Es dient zur Aufbewahrung von Relikten und in schwierigen Zeiten können seine Glocken die Menschen vor Gefahren warnen.;;Un legado de la §Ypiedad§! y el §Yprestigio§! de su constructor, se puede usar para guardar reliquias y, en tiempos de problemas, sus campanas pueden avisar a la gente del peligro.;;;;;;;;;x
wonder_cathedral_desc;A testament to the piety of its builder, the church stretches to the sky.;Témoignage de la piété de son constructeur, l’église s’étend vers le ciel.;Diese Kirche ist ein Zeugnis für die Frömmigkeit ihres Erbauers und reicht bis zum Himmel.;;Un legado de la piedad de su constructor, la iglesia se extiende hasta el cielo.;;;;;;;;;x
wonder_cathedral_hagia_sophia;Hagia Sophia;Sainte-Sophie;Hagia Sophia;;Santa Sofía;;;;;;;;;x
