#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME88000;Birth of the Assassins;Naissance des Assassins;Die Geburt der Assassinen;;El nacimiento de los Asesinos;;;;;;;;;x
EVTNAME88001;The Assassins Spread to Syria;Les Assassins jusqu'en Syrie;Die Assassinen breiten sich aus;;Los Asesinos se extienden a Siria;;;;;;;;;x
EVTNAME88002;The Assassins Scatter!;L'ordre des Assassins n'est plus !;Untergang der Assassinen!;;¡Los Asesinos se dispersan!;;;;;;;;;x
EVTNAME88003;The Assassins Resurface!;Les Assassins sont de retour !;Die Assassinen tauchen auf!;;¡Los Asesinos reaparecen!;;;;;;;;;x
EVTNAME88004;The Assassins are Destroyed!;L'ordre des Assassins est anéanti;Die Assassinen sind vernichtet!;;¡Los Asesinos son destruidos!;;;;;;;;;x
EVTNAME88007;The [From.GetTitle] is Dead!;[From.Get_only_Le_Title][From.GetTitle] est mort[From.Get_E] !;[From.GetTitle] ist tot!;;¡El [From.GetTitle] ha muerto!;;;;;;;;;x
EVTNAME88009;The [From.GetTitle] Foils Assassins!;[From.Get_only_Le_Title][From.GetTitle] a contrecarré le plan des Assassins !;[From.GetTitle] macht die Assassinen zunichte!;;¡El [From.GetTitle] frustra a los Asesinos!;;;;;;;;;x

EVTDESC88000;Word is spreading that a [Root.Religion.GetName] missionary, Hassan-i Sabbah, has founded a religious order known as the 'Hashshashin' somewhere in western Persia. Using trickery and guile, this mysterious cult of trained killers has seized control of the mountain fortress of Alamut and converted it into their headquarters. Already a string of violent murders can be traced back to Hassan's devoted and fearless disciples...;Une rumeur court voulant qu'un missionnaire [Root.GetReligionMasc], Hassan-i Sabbah, ait créé un ordre religieux du nom de « Hashshâshîns » quelque part en Perse occidentale. A force de ruse et de fourberie, cette secte de mystérieux assassins a pris le contrôle d'Alamut, une forteresse au sud de la mer Caspienne, et en a fait son siège.\nUne série de spectaculaires meurtres publiques leur a déjà été attribué, et l'on ne peut que craindre que les intrépides dévots d'Hassan-i ne continuent, l'Ordre aillant juré de défendre la foi chiite.;Es spricht sich herum, dass ein [Root.Religion.GetName]er Missionar, Hassan-i Sabbah, einen religiösen Orden, "Hashshashin" genannt, irgendwo in West-Persien, gegründet hat. Dieser mysteriöse Kult ausgebildeter Mörder hat, mit Hilfe von Betrügereien und Tücke, die Kontrolle über die Bergfestung von Alamut erlangt und sie zu ihrem Hauptquartier erklärt. Schon jetzt kann eine Reihe gewalttätiger Morde zu Hassans treuen und furchtlosen Jüngern zurückverfolgt werden.;;Se comenta que un misionero [Root.Religion.GetName], Hassan-i Sabbah, ha fundado una orden religiosa conocida como los 'Hassasin' en algún lugar al oeste de Persia. Utilizando la astucia y el engaño, este misterioso culto de entrenados asesinos ha tomado el control de la fortaleza de Alamut y la ha convertido en su cuartel general. Ya puede apreciarse el reguero de crímenes violentos de los devotos e intrépidos discípulos de Hassan...;;;;;;;;;x
EVTDESC88000_ASSASSIN;Finally, a new era of righteousness has begun. For many years we have worked in the shadows, but the rumors are no longer whispered. The name of 'Hassan-i Sabbah', the conqueror of our mountain fortress of Alamut, is known throughout [Root.PrimaryTitle.GetName] and beyond. The faithful and meek shall find shelter under our wings while the impious and infidels shall fear our fury!;Enfin, une nouvelle ère de justice a commencé. Pendant de nombreuses années, nous avons oeuvré dans l'ombre, mais ce ne sont plus des rumeurs murmurées. Le nom de 'Hassan-i Sabbah', le conquérant de notre forteresse montagneuse d'Alamut, est connu dans tout le pays et même au-delà. Les fidèles et les débonnaires trouveront refuge sous nos ailes, tandis que les impies et les infidèles craindront notre fureur !;Endlich hat eine neue Ära der Rechtschaffenheit begonnen. Viele Jahre lang operierten wir im Verborgenen, doch nun sollen die Gerüchte von uns zur Legende werden. Der Name von "Hassan-i Sabbah", des Eroberers der Bergfestung Alamut, ist in [Root.PrimaryTitle.GetName] und darüber hinaus bekannt. Wer fromm und in Demut lebt, den werden wir schützen! Doch wer unfromm ist oder ein Ketzer, der soll das Fürchten lernen.;;Al fin ha comenzado una nueva era de rectitud. Durante muchos años hemos trabajado en la clandestinidad, pero los rumores ya no se susurran. El nombre de Hassan-i Sabbah, el conquistador de nuestra fortaleza montañosa de Alamut, es conocido en todo [Root.PrimaryTitle.GetName] y más allá. ¡Los fieles y mansos se refugiarán bajo nuestras alas, y los impíos e infieles temerán nuestra ira!;;;;;;;;;x
EVTDESC88001;The Hashshashin, the elusive Order of Assassins, have expanded their influence into Syria. A branch of their sect has established itself in the mountain fortress of Masyaf, from where they control the surrounding countryside. All across the Holy Land, the Assassins are now hunting those they see as obstacles to their obscure plans...;Les Hashshashin, l'insaisissable Ordre des Assassins, ont étendu leur influence jusqu'en Syrie. Une branche de leur secte s'est établie dans la forteresse montagneuse de Masyâf, d'où elle contrôle la campagne environnante. À présent, les Assassins traquent à travers toute la Terre sainte tous ceux qu'ils considèrent comme des obstacles à leurs obscurs desseins...;Die Hashshashin, der trügerische Orden der Assassinen, haben ihren Einfluss in Syrien ausgeweitet. Ein Zweig ihrer Sekte ist in der Bergfestung von Masyaf gegründet worden, von wo aus sie die umliegende Landschaft kontrollieren. Über das gesamte Heilige Land jagen die Assassinen nun alle, die sie als Hindernisse für ihre obskuren Pläne betrachten...;;Los Hassasin, la esquiva orden de asesinos, han expandido su influencia hasta Siria. Una rama de su secta se ha establecido en la fortaleza de Masyaf, desde donde controlan las tierras adyacentes. Por toda la Tierra Santa, los Asesinos cazan a aquellos que ven como un obstáculo para sus oscuros planes...;;;;;;;;;x
EVTDESC88001_ASSASSIN;News of our Order's successful occupation of the mountain fortress of Masyaf in Syria is spreading. Our enemies, the infidels and the impious, have begun to realize what they are dealing with. May they cower in fear!;Les nouvelles de l'occupation réussie de la forteresse de la montagne de Masyaf en Syrie se multiplient. Nos ennemis, les infidèles et les impies, commencent à réaliser à qui ils ont à faire. Qu'ils aient peur !;Die Kunde von unserer erfolgreichen Eroberung der Bergfestung von Masyaf in Syrien verbreitet sich. Unsere Feinde, die Ungläubigen und die Unfrommen, erkennen allmählich, mit wem sie es zu tun haben. Mögen sie zittern und beben vor Furcht!;;Se está difundiendo la exitosa ocupación de la fortaleza de Masyaf en Siria. Nuestros enemigos, los infieles y los impíos han comenzado a darse cuenta de con quién están tratando. ¡Que se acobarden de miedo!;;;;;;;;;x
EVTDESC88002;With the fall of their last fortress, the Hashshashin - the notorious Assassin Order - has been scattered to the winds. The few remaining members of the order have gone into hiding, biding their time in the vain hope that they will one day be able to resume their work.;Avec la chute de leur dernière forteresse, les Hashshashin - le sinistre ordre des Assassins - ont été éparpillés aux quatre vents. Les quelques membres restants ont pris la fuite et se cachent, dans l'espoir de pouvoir un jour reprendre leur mission.;Mit dem Fall der letzten Festung sind die Hashshashin - der berüchtigte Assassinen-Orden – in alle Winde zerstreut. Die wenigen verbliebenen Mitglieder des Ordens haben sich versteckt und warten mit vergeblicher Hoffnung, dass sie eines Tages wieder in der Lage sein werden, mit ihrer Arbeit fortzufahren.;;Con la caída de la última de sus fortalezas, los Hassasin -la famosa orden de asesinos- ha sido dispersada. Los pocos miembros restantes de la orden se han ocultado y albergan la vana esperanza de poder retomar su trabajo algún día.;;;;;;;;;x
EVTDESC88002_ASSASSIN;With the fall of our last fortress, our Order has been forced into hiding. Some may think this is the end, but they are fools. We have worked from the shadows before and will do so again. One day we shall rise again, mightier than ever!;Avec la chute de notre dernière forteresse, notre Ordre a été obligé de se cacher. Certains pourraient penser que c'est la fin, mais ils se trompent. Nous avons déjà par le passé oeuvré dans l'ombre, et nous le ferons encore. Un jour, nous reviendrons, plus puissants que jamais !;Nach dem Fall unserer letzten Festung ist unser Orden zur Tätigkeit im Geheimen gezwungen. Doch das dies unser Ende sei, nur ein Tor würde dies denken! Auch früher schon schlugen wir aus dem Verborgenen zu, und nun werden wir es wieder tun. Eines Tages werden wir zurückkehren, in nie gekannter Stärke!;;Con la caída de nuestra última fortaleza, nuestra orden se ha visto obligada a esconderse. Algunos creen que es el fin, pero son unos necios. Ya hemos trabajado antes en la clandestinidad, y volveremos a hacerlo otra vez. ¡Un día nos alzaremos de nuevo, más fuertes que nunca!;;;;;;;;;x
EVTDESC88003;The Hashshashin have returned! Somehow, throughout the years, their surviving members have managed to rebuild a measure of their order's former strength. Striking from the shadows, they have retaken one of their old mountain fortresses and now their trained killers are once again hounding those who would act against their interests...;Les Hashshashin sont de retour ! Au fil des années, les membres survivants ont réussi à ressusciter, dans une certaine mesure, la puissance passée de leur Ordre. Agissant dans l'ombre, ils ont repris l'une de leurs vieilles forteresses montagnardes et leurs tueurs espérimentés s'acharnent impitoyablement contre tout ceux qui agissent contre leurs intérêts...;Die Hashshashin sind zurückgekehrt! Irgendwie, im Laufe der Jahre, haben ihre überlebenden Mitglieder es geschafft, ihre alte Stärke wieder aufzubauen. Mit ihren Angriffen wie aus dem Schatten haben sie eine ihrer alten Bergfestungen zurückerobert und nun werden wieder einmal jene, die gegen ihre Interessen handeln, von ihren ausgebildeten Mördern gejagt...;;¡Los Hassasin han vuelto! De algún modo, con el paso de los años, los miembros supervivientes han logrado recuperar el antiguo poder de su orden. Golpeando desde las sombras, han retomado una de sus antiguas fortalezas de montaña y ahora sus expertos asesinos vuelven a acosar a quienes podrían oponerse a sus intereses...;;;;;;;;;x
EVTDESC88003_ASSASSIN;Praised be Allah! The Assassins will never be broken! We have suffered in the shadows for many years, but now, a new era begins. We rebuilt our strength and recaptured the mountain fortresses of old. Our enemies will sleep with one eye open from now on...;Loué soit Allah ! Les Assassins ne seront jamais brisés ! Nous avons souffert dans l'ombre pendant de nombreuses années, mais maintenant, une nouvelle ère commence. Nous avons reconstruit nos forces et possédons comme autrefois les forteresses des montagnes. Nos ennemis dorment avec un oeil ouvert à partir de maintenant...;Gelobt sei Allah! Die Assassinen können nicht zerschlagen werden! Nach vielen harten Jahren im Untergrund beginnt nun eine neue Ära. Nun haben wir zu neuer Stärke gefunden und die Bergfestungen, die uns einst gehörten, zurückerobert. Keine Nacht mehr kann unser Feind ein Auge zutun, ohne um sein Leben zu fürchten.;;¡Alabado sea Alá! ¡Los Asesinos nunca se disolverán! Llevamos muchos años sufriendo en la clandestinidad, pero ahora comienza una era nueva. Hemos recuperado nuestra fuerza y nuestras fortalezas de antaño. Nuestros enemigos dormirán con un ojo abierto a partir de ahora...;;;;;;;;;x
