#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC88750;Your master, [Root.Liege.GetTitledName], has come forward in private with a suggestion that you, as [Root.Liege.GetHerHis] [Root.Liege.GetLordSpiritualName], issue a fatwa against [From.GetTitledName]. No doubt the [Root.Liege.GetTitle] has [Root.Liege.GetHerHis] own motives for this, but it cannot be denied that [From.GetFirstName] leads a decadent lifestyle with little room for piety.;Votre Maître, [Root.Liege.Get_le_TitledName], s'est entretenu avec vous en privé pour suggérer que vous, en tant que [Root.Liege.GetLordSpiritualName], prononciez une fatwa à l'encontre [From.Get_du_TitledName]. [Root.Liege.Get_only_Le_Title][Root.Liege.GetTitle] a sans doute des griefs personnels à régler mais on ne peut ignorer le fait que [From.GetFirstName] mène une vie décadente qui laisse peu de place à la piété.;Euer Meister, [Root.Liege.GetTitledName], ist im Vertrauen mit einem Vorschlag auf mich zugekommen, dass Ihr, als [Root.Liege.GetHerHis] [Root.Liege.GetLordSpiritualName], ein Fatwa gegen [From.GetTitledName] anweisen solltet. Kein Zweifel, der [Root.Liege.GetTitle] hat [Root.Liege.GetHerHis]e eigenen Motive dafür, doch ich kann nicht leugnen, dass [From.GetFirstName] einen dekadenten Lebenswandel, mit wenig Platz für Frömmigkeit, führt. ;;Tu maestro, [Root.Liege.GetTitledName], te ha sugerido durante una reunión privada que tú, como su [Root.Liege.GetLordSpiritualName], deberías emitir una fatua contra [From.GetTitledName]. No hay duda de que el [Root.Liege.GetTitle] cuenta con sus propios motivos para ello, pero no puede negarse que [From.GetFirstName] lleva un estilo de vida decadente que no deja cabida para la piedad.;;;;;;;;;x
EVTDESC88751;Esteemed [Root.GetTitle], I have taken your suggestion into consideration, and after much thought I have arrived at the same conclusion as you. A fatwa will be issued.\n\nYour faithful servant,\n[From.GetTitledName];Très estimé[Root.Get_E] [Root.GetTitle], j'ai pris votre requête en considération et après une longue réflexion, j'en suis arrivé aux même conclusions que vous. Une fatwa va être prononcée.\n\nVotre fidèle serviteur,\n[From.GetTitledName];Angesehener [Root.GetTitle], ich habe über Euren Vorschlag nachgedacht und nach langer Überlegung bin ich zu demselben Ergebnis gekommen wie Ihr. Ein Fatwa wird angewiesen.\n\nEuer treuer Diener,\n[From.GetTitledName];;Estimado [Root.GetTitle]: he tenido en cuenta vuestra sugerencia y, tras un largo período de reflexión, he llegado a vuestra misma conclusión. Emitiré una fatua.\n\nVuestro fiel servidor,\n[From.GetTitledName];;;;;;;;;x
EVTDESC88752;Your decadent ways and lack of devotion to Allah (glorified and exalted be He) can no longer be tolerated. After consulting with my master, [From.Liege.GetTitledFirstName], I have reached the conclusion that a fatwa must be issued against you. May you return to the path of righteousness before it is too late.\n\n[From.GetTitledName];Votre vie de décadence et votre manque de dévouement envers Allah (que la paix soit avec Lui) ne sont plus tolérables. Après consultation avec mon Maître [From.Liege.GetTitledFirstName], je suis arrivé à la conclusion qu'une fatwa doit être prononcée à votre encontre. Puissiez-vous retrouver le droit chemin avant qu'il ne soit trop tard.\n\n[From.GetTitledName];Eure dekadenten Wege und die fehlende Hingabe zu Allah (verherrlicht sei Er) können nicht länger toleriert werden. Nachdem ich mich mit meinem Meister, [From.Liege.GetTitledFirstName], beraten habe, bin ich zu dem Entschluss gekommen, dass ein Fatwa gegen Euch angewiesen werden muss. Mögest du auf den Weg der Rechtschaffenheit zurückkehren, bevor es zu spät ist.\n\n[From.GetTitledName];;Tus formas decadentes y tu falta de devoción a Alá (glorificado y exaltado sea) no pueden seguir tolerándose. Tras consultar con mi maestro, [From.Liege.GetTitledFirstName], he llegado a la conclusión de que es necesario emitir una fatua contra ti. Ojalá regreses a la senda correcta antes de que sea demasiado tarde.\n\n[From.GetTitledName];;;;;;;;;x
EVTDESC88753;My [Root.GetTitle], I must object to this shameful attempt on your part to invoke the will of Allah (glorified and exalted be He) in your petty feud. There will be no fatwa that you can take advantage of to further your own ambitions.\n\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady], je me dois de protester contre cette tentative honteuse qu'est la vôtre d'invoquer la volonté d'Allah (qu'Il soit exalté) dans votre querelle insignifiante. Je ne prononcerai aucune fatwa dont vous pourriez tirer avantage pour parvenir à vos fins.\n\n[From.GetTitledName];Mein [Root.GetTitle], ich muss Einwand gegen diesen schändlichen Versuch erheben, von Eurer Seite den Willen Allahs (verherrlicht sei Er) in Eurer engstirnigen Fehde zu erflehen. Es wird kein Fatwa geben, das Euch einen Vorteil für Eure zukünftigen Ambitionen geben würde.\n\n[From.GetTitledName];;Mi [Root.GetTitle]: debo objetar ante este lamentable intento por vuestra parte de invocar la voluntad de Alá (glorificado y exaltado sea) en vuestro penoso feudo. No habrá ninguna fatua de la cual podáis aprovecharos para colmar vuestras ambiciones personales.\n\n[From.GetTitledName];;;;;;;;;x
EVTDESC88754;You put forward the name of [From.GetTitledName] to your [Root.GetMyLordSpiritualName], with the not so subtle suggestion that [From.GetSheHe] may be deserving of a fatwa.;Vous glissez le nom [From.Get_du_TitledName] à l'oreille de votre [Root.GetMyLordSpiritualName], en suggérant de façon peu subtile qu'[From.GetIlElle] pourrait faire l'objet d'une fatwa.;Ihr tragt den Namen von [From.GetTitledName] an Euren [Root.GetMyLordSpiritualName] heran, mit dem nicht so geschickten Vorschlag, dass [From.GetSheHe] ein Fatwa verdient. ;;Mencionas el nombre de [From.GetTitledName] a tu [Root.GetMyLordSpiritualName], dejándole claro que bien merece una fetua en su contra.;;;;;;;;;x

EVTOPTA88750;Very well, the fatwa shall be issued.;Très bien, une fatwa sera prononcée à son encontre.;Nun gut, das Fatwa soll angewiesen werden. ;;Muy bien, emitiré la fetua.;;;;;;;;;x
EVTOPTA88752;This is an outrage!;C'est un scandale !;Das ist empörend!;;¡Esto es un escándalo!;;;;;;;;;x
EVTOPTA88753;You will come to regret this.;Vous regretterez cette décision.;Das werdet Ihr bereuen. ;;Os arrepentiréis de esto.;;;;;;;;;x
EVTOPTA88754;For the sake of our children, if nothing else.;Pour l'amour de nos enfants, au moins.;Um unserer Kinder willen, wenn sonst schon für nichts. ;;Que al menos sea por el bien de nuestros hijos.;;;;;;;;;x

EVTOPTB88750;No, their squabbling does not concern me.;Non, leurs querelles ne me concernent pas.;Nein, ihre Zänkereien interessieren mich nicht. ;;No, sus desacuerdos no me conciernen.;;;;;;;;;x

EVTTOOLTIP88750;You suggest someone deserving of a fatwa to your [From.GetMyLordSpiritualName].;Vous suggérez à votre [From.GetMyLordSpiritualName] d'émettre une fatwa à l'encontre d'une personne qui le mérite.;Ihr schlagt Eurem [From.GetLordSpiritualName] jemanden vor, der ein Fatwa verdient.;;Sugieres a alguien merecedor de una fatua a tu [From.GetMyLordSpiritualName].;;;;;;;;;x
EVTTOOLTIP88751;Informed about fatwa.;Est informé qu'une fatwa a été émise.;Über Fatwa informiert. ;;Informó acerca de la Fetua;;;;;;;;;x
EVTTOOLTIP88753;Informed fatwa will not be issued.;Est informé que la fatwa ne sera finalement pas prononcée.;Informiert, dass kein Fatwa angewiesen wird. ;;Informó acerca de que la Fetua no sería emitida;;;;;;;;;x

