#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAMELoR.400;An Innocent Proposal;Une innocente proposition;Ein Unschuldiger Antrag;;Una Propuesta Inocente;;;;;;;;;x
EVTNAMELoR.401;Practise Makes Perfect;L'entraînement mène à la réussite;Ohne Fleiß kein Preis;;La Práctica Hace al Maestro;;;;;;;;;x
EVTNAMELoR.402;The Day of the Race;Le Jour de la Course;Der Tag des Rennens;;El Dia de la Carrera;;;;;;;;;x
EVTNAMELoR.403;The Day of the Race;Le Jour de la Course;Der Tag des Rennens;;El día de la Competición;;;;;;;;;x
EVTNAMELoR.404;The Day of the Race;Le Jour de la Course;Der Tag des Rennens;;El día de la Competición;;;;;;;;;x
EVTNAMELoR.405;Another Proposal...;Une autre proposition...;Ein weiterer Vorschlag;;Otra propuesta ...;;;;;;;;;x
EVTNAMELoR.406;Training Resumes;Reprise de l'entraînement;Beharrlichkeit führt zum Ziel;;Entrenamiento Reanudado;;;;;;;;;x
EVTNAMELoR.407;The Day of the Second Race;Le jour de la seconde course;Der Tag des Zweiten Rennens;;El Día de la Segunda Competición;;;;;;;;;x
EVTNAMELoR.408;The Day of the Second Race;Le jour de la seconde course;Der Tag des Zweiten Rennens;;El Día de la Segunda Competición;;;;;;;;;x
EVTNAMELoR.409;The Day of the Second Race;Le Jour de la Seconde Course;Der Tag des Zweiten Rennens;;El Día de la Segunda Competición;;;;;;;;;x
EVTNAMELoR.410;One Sunny Afternoon...;Un après-midi ensoleillé...;Eines sonnigen Nachmittags;;Una tarde soleada ...;;;;;;;;;x
EVTNAMELoR.411;The Chariot;Le char;Der Streitwagen;;El Carro;;;;;;;;;x
EVTNAMELoR.412;The Day of the Third Race;Le Jour de la Troisième Course;Der Tag des Dritten Rennens;;El Día de la Tercera Competición;;;;;;;;;x
EVTNAMELoR.413;Aftermath;Conséquences;Nachspiel;;Consequencias;;;;;;;;;x
EVTNAMELoR.414;The Chase Is On;La Chasse à l'homme;Die Jagd ist eröffnet;;Empieza la Caza;;;;;;;;;x
EVTNAMELoR.415;No Quarter Given;Pas de quartier;Kein Erbarmen;;Sin Cuartel.;;;;;;;;;x
EVTNAMELoR.416;Quarter Is Given;Un peu de pitié;Gnade vor Recht;;Se Da una Tregua;;;;;;;;;x
EVTNAMELoR.417;Riots in Constantinople;Émeutes à Constantinople;Unruhen in Konstantinopel;;Motines en Constantinopla;;;;;;;;;x

EVTNAMELoR.860;Meanwhile at the Imperial Palace...;Pendant ce temps au Palais impérial;In der Zwischenzeit im Palast;;Mientras tanto, en el Palacio Imperial ...;;;;;;;;;x
EVTNAMELoR.861;Sifting Through the Ashes;Passer les cendres au tamis;Die Asche durchsieben;;Buscando Entre las Cenizas;;;;;;;;;x
EVTNAMELoR.862;Pirates sighted!;Pirates en vue !;Piraten in Sicht!;;¡Piratas a la vista!;;;;;;;;;x
EVTNAMELoR.863;Battle off the Crimean coast!;Bataille de la côte de Crimée !;Kampf vor der Krimküste!;;Batalla en la costa de Crimea!;;;;;;;;;x
EVTNAMELoR.866;Word from your spies!;Un message de vos espions !;Nachricht von unseren Spionen!;;¡Mensaje de tus espías!;;;;;;;;;x
EVTNAMELoR.869;The Letter;La lettre;Der Brief;;La Carta;;;;;;;;;x
EVTNAMELoR.872;The Deal;Le Marché;Der Handel;;El Acuerdo;;;;;;;;;x
EVTNAMELoR.878;Returning Home;Le retour à la maison;Heimkehr;;Volviendo a casa;;;;;;;;;x

EVTDESCLoR.400;One day in the Imperial Palace, while surrounded by shouting advisors waving decrees and edicts that demand your signature, a small man approaches claiming to be a representative of the Venetoi - the "Blues," one of the two major chariot teams racing in Constantinople. They no longer have the political influence they enjoyed in the days of Justinian the Great, but they are still popular with the broad masses. You wave your advisors away and decide to hear him out.\n\nThe man introduces himself as Anaximandros and explains that he has a proposal for you. If you race for the Blues in the grand chariot race next week, he and his associates will make certain you win. You both stand to gain from this, with the glorious [Root.GetTitle] winning as a champion of the great Blue team.;Un jour, au Palais impérial, alors que vous êtes cerné de conseillers parlant à tue-tête et agitant sous votre nez maints décrets et édits que vous devez signer, un petit nain approche, affirmant qu'il est un représentant des Venetoi - les « Bleus », l'une des deux plus importantes équipes de Course de chars à Constantinople. Ses membres n'ont certes plus autant d'influence politique que celle dont ils jouissaient lors du règne de Justinien le Grand, mais ils sont encore populaires auprès des foules. Vous demandez à vos conseillers de quitter la salle et décidez d'écouter l'homme.\n    Celui-ci se présente comme Anaximandros et il souhaite vous soumettre une proposition. Si vous acceptez de courir pour les Bleus lors de la grande course se tenant la semaine prochaine, lui et ses associés s'assureront de votre victoire. Vous avez tous deux à y gagner, dans cette affaire, le glorieux [Root.GetTitle] remportant la victoire avec les champions de l'équipe des Bleus.;Eines Tages im Kaiserpalast, umgeben von schreienden Ratgebern, die mit Beschlüssen und Erlassen wedeln, die Eure Unterschrift benötigen, werdet Ihr von einem kleinen Mann angesprochen, der behauptet, die Venetoi zu vertreten, die "Blauen", eine der zwei großen Streitwagenmannschaften, die in Konstantinopel Rennen bestreiten. Sie haben nicht mehr den politische Einfluss, den sie noch unter Justinian dem Großen hatten, aber sie sind immer noch beliebt beim Volk. Ihr entscheidet Euch, ihm zuzuhören und schickt Eure Ratgeber weg.\n\nDer Mann stellt sich als Anaximandros vor und erklärt, dass er einen Vorschlag für Euch hat. Wenn Ihr im Rennen nächste Woche für die Blauen fahrt, wird er sicherstellen, dass Ihr gewinnt. Wenn der ruhmreiche [Root.GetTitle] ein Rennen als Vertreter der Blauen gewinnt, könntet ihr beide profitieren.;;Un día en el Palacio Imperial, mientras estás rodeado de consejeros chillones agitando decretos y edictos que requieren de tu afirmación, un hombre pequeño se acerca afirmando ser un representante de la Venetoi  - "los Azules", uno de los dos principales equipos de carreras de carros en Constantinopla. Ya no tienen la influencia política que disfrutaban en la época de Justiniano el Grande, pero siguen siendo populares para la mayoría de la gente. Tú te deshaces de tus asesores y decides escuchar al representante de los Azules.\n\nEl hombre se presenta como Anaximandros y te explica que tiene una propuesta para ti. Si compites para los Azules en la gran carrera de carros la semana que viene, él y sus compañeros se asegurarán de que lo ganes. Ambos os beneficiaréis de esto, con el glorioso [Root.GetTitle] ganando como campeón del gran equipo Azul.;;;;;;;;;x
EVTDESCLoR.401;You practise hard at chariot racing to better prepare for the upcoming event at the Hippodrome. Despite managing well enough and only falling off the chariot a handful of times, you simply cannot see how you are supposed to beat the other professional racers. When you mention this to Anaximandros, the little gnome of a man smiles and tells you not to worry. He assures you that the Greens, your main opponents, will not be a problem, and the other Blue racers have been instructed to let you win.\n\n"You had better be right about this," you tell Anaximandros. "If I am made to look the fool, I swear I will not be the only one to suffer.";Vous vous entraînez ardemment à la course de chars pour être fin prêt en vue de la prochaine course à l'hippodrome. Vous vous en tirez bien et n'êtes tombé de votre char qu'un petit nombre de fois. Malgré cela, vous pensez que c'est impossible de battre les autres coureurs professionnels expérimentés. Quand vous parlez de cela à Anaximandros, le petit nain sourit et vous dit de ne pas vous inquiéter. Il vous assure que les Verts, vos principaux adversaires, ne seront pas un problème, et que les autres coureurs des bleus ont reçu l'ordre de vous laisser gagner.\n    « Vous feriez mieux d'avoir raison à ce sujet, répliquez-vous à Anaximandros. Si je passe pour un bouffon, je le jure, je ne serai pas le seul à souffrir. »;Ihr übt ohne Unterlass, um für die kommenden Ereignisse im Hippodrom vorbereitet zu sein. Auch wenn Ihr Euch wacker schlagt und nur einige wenige Male vom Streitwagen fallt, so fällt es Euch doch recht schwer zu glauben, dass Ihr die Fahrer schlagen sollt, die mit dem Fahren ihr Brot verdienen. Als Ihr mit Anaximandros über Eure Sorgen sprecht, lächelt der kleine Zwerg von einem Mann und beruhigt Euch. Er versichert, dass die Grünen, die stärksten Gegner, kein Problem wären und die anderen blauen Fahrer Anweisung erhalten hätten, Euch gewinnen zu lassen.\n\n"Ihr behaltet besser Recht", teilt Ihr Anaximandros mit. "Ich schwöre euch, wenn ich wegen euch wie ein Trottel dastehe, dann werde ich nicht der Einzige sein, der leidet.";;Estás entrenando duro en las carreras de carros para prepararte mejor para el próximo espectáculo en el Hipódromo. A pesar de conducir bastante bien, sólo habiendo caído del carro un par de veces, te preguntas cómo se supone que debes vencer a los corredores profesionales. Cuando mencionas ésto a Anaximandros, el pequeño hombre-gnomo sonríe y te dice que no tienes que preocuparte por este asunto. Él te asegura que "los Verdes", tus principales rivales, no serán un problema, y los otros corredores los Azules han recibido instrucciones para dejar que ganes tú.\n\n"Mejor que estés en lo cierto", dices a Anaximandros. "Si me dejas en ridículo, te juro que no seré el único que sufrirá.";;;;;;;;;x
