approve_plan_tooltip;You approve of your son's plan.;Vous approuvez le plan de votre fils.;Ihr stimmt dem Plan Eures Sohnes zu.;;Apruebas el plan de tu hijo.;;;;;;;;;x
battle_tooltip;This time he has gone too far. You will sink his precious ship.;Cette fois il est allé trop loin. Vous allez couler son précieux navire.;Diesmal ist er zu weit gegangen. Ihr werdet sein kostbares Schiff versenken.;;Esta vez ha ido demasiado lejos. Hundirás su precioso barco.;;;;;;;;;x
continue_feud_tooltip;You blame the rival family for the death of your child.;Vous reprochez la mort de votre fils à la famille rivale.;Ihr macht die rivalisierende Familie für den Tod Eures Kindes verantwortlich.;;Culpas a la familia rival de la muerte de tu hijo.;;;;;;;;;x
deny_hansa_tooltip;You refuse the formation of the Hanseatic League.;Vous refusez la création de la Ligue hanséatique.;Ihr lehnt die Bildung der Hanse ab.;;Deniegas la constitución de la Liga Hanseática.;;;;;;;;;x
end_feud_tooltip;You decide that enough lives have been lost - this feud between your families must come to an end.;Vous décidez qu'assez de vies ont été perdues, cette vendetta entre vos familles a assez duré.;Ihr habt beschlossen, dass genug Leben verloren gegangen sind - diese Fehde zwischen Euren Familien muss zu einem Ende kommen.;;Decides que ya se han perdido bastantes vidas, esta pelea entre familias debe llegar a su fin.;;;;;;;;;x
feud_begins_tooltip;This will be the start of a great vendetta between your two families...;Ce sera le début d'une sanglante vendetta entre vos deux familles...;Dies ist der Beginn einer großen Fehde zwischen unseren zwei Familien ...;;Esto será el comienzo de una gran vendetta entre vuestras dos familias...;;;;;;;;;x
feud_continues_tooltip;You cannot forgive the crimes committed against your family.;Vous ne pouvez pas pardonner les crimes qui ont été commis à l'encontre de votre famille.;Ihr könnt ihm die Verbrechen nicht verzeihen, die er gegen Eure Familie begangen hat.;;No puedes perdonar los crímenes cometidos contra tu familia.;;;;;;;;;x
feud_over_tooltip;You shake his hand, ending the feud.;Vous lui serrez la main, mettant ainsi un terme à votre vendetta.;Ihr schüttelt seine Hand und beendet die Fehde.;;Estrechas su mano y pones fin al enfrentamiento.;;;;;;;;;x
flagship_plan_approved_tooltip;You approve the plan.;Vous approuvez le plan.;Ihr stimmt dem Plan zu.;;Apruebas el plan.;;;;;;;;;x
flagship_plan_refused_tooltip;You reject the plan as being too risky.;Vous rejetez le plan car il est trop risqué.;Ihr lehnt den Plan als zu riskant ab.;;Rechazas el plan por considerarlo demasiado arriesgado.;;;;;;;;;x
flee_ship_tooltip;You leap over the railing and swim to the safety of the shore.;Vous sautez par-dessus la rambade et nagez jusqu'à la terre ferme. ;Ihr springt über die Reling und schwimmt zur sicheren Küste.;;Saltas por la borda y nadas en busca de la seguridad de la orilla.;;;;;;;;;x
flotsam_tooltip;As the only survivors of the battle, the two of you drift aimlessly on the sea...;Seuls survivants de la bataille, vous dévirez tout deux sur la mer, sans but...;Als einzige Überlebende des Kampfes, treibt ihr zwei ziellos im Meer ...;;Únicos supervivientes de la batalla, ambos vais a la deriva en mar abierto, sin rumbo...;;;;;;;;;x
fobid_daughter_tooltip;You make it clear to your daughter that continuing this relationship is out of the question.;Vous mettez les choses au clair avec votre fille, il est hors de question qu'elle continue cette relation.;Ihr macht Eurer Tochter deutlich, dass es außer Frage steht, diese Beziehung weiterzuführen.;;Le dejas claro a tu hija que no piensas tolerar esta relación.;;;;;;;;;x
forbid_son_tooltip;You make it clear to your son that continuing this relationship is out of the question.;Vous mettez les choses au clair avec votre fils, il est hors de question qu'il continue cette relation.;Ihr macht Eurem Sohn deutlich, dass es außer Frage steht, diese Beziehung weiterzuführen.;;Le dejas claro a tu hijo que no piensas tolerar esta relación.;;;;;;;;;x
no_ball_tooltip;You stay at home, fiddling your thumbs.;Vous restez chez vous à vous tourner les pouces.;Ihr bleibt zu Hause und dreht Däumchen.;;Te quedas en casa, contando las horas.;;;;;;;;;x
no_battle_tooltip;You tell your crew to give the other ship the right of way.;Vous dites à votre équipage d'accorder le droit de passage à l'autre navire.;Ihr befehlt Eurer Mannschaft, dem anderen Schiff Vorfahrt zu gewähren.;;Das órdenes a tu tripulación de ceder el paso al otro barco.;;;;;;;;;x
no_own_ball_tooltip;You decide to just forget about this whole thing.;Vous décidez de tirer un trait sur cette affaire.;Ihr entschließt Euch, die ganze Angelegenheit einfach zu vergessen.;;Decides simplemente ignorar toda esta historia.;;;;;;;;;x
permit_hansa_tooltip;You permit the formation of the Hanseatic League.;Vous permettez la création de la Ligue hanséatique.;Ihr bewilligt die Bildung der Hanse;;Autorizas la constitución de la Liga Hanseática.;;;;;;;;;x
permit_love_tooltip;Despite your previous anger, you decide to not to forbid this young couple from seeing each other.;Malgré votre accès de colère, vous décidez de ne pas empêcher ces jeunes gens de se fréquenter.;Trotz Eures vorherigen Ärgers entschließt Ihr Euch, diesem jungen Paar nicht zu verbieten, sich sehen zu dürfen.;;A pesar de tu enfado inicial, decides no prohibir los encuentros de esta joven pareja.;;;;;;;;;x
refuse_plan_tooltip;You disapprove of your son's plan.;Vous désapprouvez le plan de votre fils.;Ihr lehnt den Plan Eures Sohnes ab.;;Desapruebas el plan de tu hijo.;;;;;;;;;x
rescue_rival_tooltip;You decide not to abandon your former rival to the mercy of these pirates.;Vous n'avez pas l'intention d'abandonner votre ancien rival aux mains des pirates. ;Ihr entschließt Euch dazu, Euren früheren Rivalen nicht der Gnade dieser Piraten auszuliefern.;;Decides no abandonar a tu antiguo rival a merced de estos piratas.;;;;;;;;;x
forbid_daughter_tooltip;You order your daughter to end this disgraceful affair.;Vous ordonnez à votre fille de cesser cette relation ignominieuse.;Ihr befehlt Eurer Tochter, diese unwürdige Affäre zu beenden.;;Ordenas a tu hija que ponga fin a este vergonzoso asunto.;;;;;;;;;x
tp_spare;You decide not to move against the Trade Post.;Vous décidez de ne pas agir contre le comptoir.;Ihr entscheidet Euch, nichts gegen den Handelsposten zu unternehmen.;;Decidiste no tomar decisión alguna sobre el puesto comercial;;;;;;;;;x
