ukon_juhla_begins;You watch as the dancing flames rise towards the sky.;Vous observez les flammes qui dansent vers le ciel.;Ihr beobachtet, wie die tanzenden Flammen in den Himmel aufsteigen.;;Puedes ver como las llamas se elevan hacia el cielo.;;;;;;;;;x
uzgavenes_begins;It looks like spring shall come this year.;Le printemps viendra cette année, semble-t-il.;Wie es aussieht, wird es dieses Jahr einen Frühling geben.;;Parece que la primavera vendrá este año.;;;;;;;;;x
varangians_organized;The Varangian Guard is formed.;La Garde varègue est formée.;Die Warägergarde wurde aufgestellt.;;La Guardia Varangiana está formada.;;;;;;;;;x
runestone_carved;The craftsmen start the process of carving and painting the runestone.;Les sculpteurs ont commencé à graver et à peindre la pierre runique.;Die Handwerker beginnen mit der Herstellung und Bemalung des Runensteins.;;Los artesanos comienzan el proceso de tallado y pintura de la piedra rúnica.;;;;;;;;;x
runestone_traits;You will raise a runestone in honor of your own person.;Vous érigerez une pierre runique en votre honneur.;Ihr werdet einen Runenstein zu eigenen Ehren errichten.;;Levantarás una piedra rúnica en honor a ti mismo.;;;;;;;;;x
seraphims;You have the chest buried and vow never to speak a word of it to another soul.;Vous avez fait enterrer le coffre et jurer de ne jamais raconter cela à âme qui vive.;Ihr lasst die Truhe vergraben und schwört, niemals zu irgendeiner Seele davon zu sprechen.;;Haces enterrar el cofre y juras no hablar nunca de esto con nadie.;;;;;;;;;x
preacher_allowed;You allow the preacher to continue his missionary work.;Vous autorisez le prêcheur à poursuivre sa mission.;Ihr gestattet dem Prediger, mit seiner Missionarsarbeit fortzufahren.;;Permites al predicador continuar con su trabajo misionero.;;;;;;;;;x
preacher_banished;You banish the preacher from your lands.;Vous bannissez le prêcheur de vos terres.;Ihr verbannt den Prediger aus Euren Landen.;;Destierras al predicador de tus tierras.;;;;;;;;;x
preacher_convert;You and your closest family convert to the new faith, and a new religious advisor appears at your court.;Vos proches parents et vous vous êtes convertis à une nouvelle croyance et un nouveau conseiller religieux apparaît à votre cour.;Ihr und Eure nächsten Verwandten konvertieren zum neuen Glauben und ein neuer religiöser Ratgeber erscheint an Eurem Hofe.;;Tú y tu familia cercana os convertís a la nueva fe, y un nuevo tutor aparece en tu corte.;;;;;;;;;x
preacher_imprisoned;You throw the preacher into your dungeons.;Vous jetez le prêcheur au cachot.;Ihr werft den Prediger in Euer Verlies.;;Lanzas al predicador a tus mazmorras.;;;;;;;;;x
prepare_blot;You begin preparations for the blot.\n;Vous commencez les préparatifs pour le blót.\n;Ihr beginnt mit Vorbereitungen für das Opfer.\n;;Empiezas la preparación de la mancha.\n;;;;;;;;;x
prepare_jarilo;You begin preparations for the Jarilo festival.\n;Vous commencez les préparatifs de la fête d'Yarilo.\n;Ihr beginnt mit den Vorbereitungen für das Jarilofest\n;;Empiezas las preparaciones para el festival Jarilo.\n;;;;;;;;;x
prepare_nerge;Preparations for the Great Hunt begin.\n;Les préparatifs pour la grande chasse commencent.\n;Die Vorbereitungen für die Nerge beginnen.\n;;Los preparativos para la Gran Cacería comienzan.\n;;;;;;;;;x
prepare_ukon_juhla;You begin preparations for the Ukon juhla festival.\n;Vous commencez les préparatifs pour la fête d'Ukko Ylijumala.\n;Ihr beginnt die Vorbereitungen für das Ukon Juhla Fest.\n;;Empiezas las preparaciones para el festival Ukon Juhla.\n;;;;;;;;;x
prepare_uzgavenes;You begin preparations for the Užgavenes festival.\n;Vous commencez les préparatifs pour la fête de l'Užgavenes.\n;Ihr beginnt die Vorbereitungen für das Užgavenes Fest.\n;;Empiezas las preparaciones para el festival Užgavenes.\n;;;;;;;;;x
pet_bear;You keep the bear as a pet.;Vous gardez l'ours comme animal de compagnie.;Behaltet den Bären als Haustier.;;Te quedas el oso como mascota.;;;;;;;;;x
pagan_subjugation_tip;§Y[Root.GetTitledFirstName]§! takes or vassalizes all titles held by §Y[From.GetTitledFirstName]§! within the §Y[This.GetFullBaseName]§!.\n;[Root.Get_Le_TitledFirstNameJ] prend ou vassalise tous les titres détenus par [From.Get_le_TitledFirstNameJ] au sein de §Y[This.GetFullBaseName]§!.\n;§Y[Root.GetTitledFirstName]§! übernimmt oder fordert alle von §Y[From.GetTitledFirstName]§! gehaltenen Titel innerhalb von §Y[This.GetFullBaseName]§!.\n;;§Y[Root.GetTitledFirstName]§! toma o vasalliza todos los títulos en posesión de §Y[From.GetTitledFirstName]§! en el §Y[This.GetFullBaseName]§!.\n;;;;;;;;;x
opens_chest;You hurry to the chest...;Vous accourez vers le coffre...;Ihr eilt zur Truhe...;;Te apresuras hacia el cofre…;;;;;;;;;x
