EVTOPTA_CM_4013;Spare me your lamentations!;Épargnez-moi vos lamentations !;Verschont mich mit Eurem Gejammer!;;¡Ahórrate tus lamentos!;;;;;;;;;x
EVTDESC_CM_4002;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Knights of the Sun in their holy mission to protect the faithful, even though this will forever disinherit him.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à joindre les Chevaliers du Soleil dans leur sainte mission de protection des croyants, même s'il s'en verra déshérité.;Mein [GetFromRelation], [From.GetTitledFirstName], hat darum ersucht, den Rittern der Sonne in ihrer heiligen Mission zum Schutz der Gläubigen beitreten zu dürfen, auch wenn er dadurch auf ewig auf sein Erbrecht verzichten muss.;;Mi [GetFromRelation], [From.GetTitledFirstName], ha solicitado unirse a los Caballeros del Sol en su santa misión de proteger la fe, aunque esto suponga quedar desheredado para siempre.;;;;;;;;;x
EVTDESC_CM_4013;Your Majesty, why this unreasonable enmity towards our Order? The Knights of the Sun seek only to serve [Root.Religion.GetRandomGodName] and protect the faithful! Where is your dedication to our faith?\n\nWith sadness,\n\n[From.GetTitledFirstName];Votre Majesté, pourquoi cette hostilité déraisonnable envers notre Ordre ? Les Chevaliers du Soleil ne cherchent qu'à servir [Root.Get_le_HighGod] et à protéger les fidèles ! Où est votre dévouement pour notre foi ?\n\nTristement,\n[From.GetTitledFirstName];Eure Majestät, warum diese unbegreifliche Feindschaft gegen unseren Orden? Die Ritter der Sonne wollen nur [Root.Religion.GetRandomGodName] dienen und die Gläubigen schützen! Wo bleibt Eure Hingabe für den Glauben?\n\nIn Trauer,\n[From.GetTitledFirstName];;Su Majestad, ¿Cuál es la razón de esa enemistad irracional hacia nuestra Orden? ¡Los Caballeros del Sol solo buscan servir a [Root.Religion.GetRandomGodName] y proteger a los fieles! ¿Dónde está vuestra dedicación a nuestra fe?\n\nCon tristeza,\n\n[From.GetTitledFirstName];;;;;;;;;x
EVTDESC_CM_4353;Most wise [Root.GetTitledFirstName], the Order needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPeace be upon you,\n\n[target_grandmaster.GetTitledName];Très sage [Root.GetTitledFirstName], l'Ordre a besoin de nouveaux châteaux afin de lever des troupes et de générer le revenu nécessaire à son fonctionnement. Il m'est apparu que vous possédiez un emplacement approprié sur votre domaine, en [target_province.GetName] pour être précis. Je suis disposé à vous payer 100 or en échange du droit d'y construire une forteresse.\nQue la paix soit avec vous,\n\n[target_grandmaster.GetTitledName];Euer Hochwohlgeboren, der Orden braucht weitere Burgen zur Ausbildung von Truppen und zum Erwirtschaften von Einnahmen. Ich habe erfahren, dass es in Eurem Reich einen geeigneten Standort gibt, nämlich in [target_province.GetName]. Ich zahle Euch 100 Gold für das Recht, dort eine Festung zu errichten.\nFriede sei mit Euch!\n\n[target_grandmaster.GetFirstName];;El más sabio [Root.GetTitledFirstName], la Orden necesita más castillos para entrenar tropas y generar ganancias. He sido informado de que hay una localización disponible en sus dominios, concretamente en [target_province.GetName]. Estoy dispuesto a pagarle 100 oros a cambio del derecho a construir una fortaleza ahí.\nQue la paz sea contigo,\n\n[target_grandmaster.GetTitledName];;;;;;;;;x
EVTDESC_CM_4010;Most righteous [Root.GetTitledFirstName], our Order needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nIn His light,\n\n[target_grandmaster.GetTitledFirstName];Très juste [Root.GetTitledFirstName], notre Ordre a besoin de plus de châteaux afin d'entraîner les troupes et de générer un revenu. On m'a rapporté qu'il y aurait un endroit parfait pour cela sur votre domaine, en [target_province.GetName], plus précisément. Je suis prêt à payer 100 or pour avoir le droit d'y construire une forteresse.\n\nDans Sa lumière,\n[target_grandmaster.GetTitledFirstName];Über alles rechtschaffener [Root.GetTitledFirstName], unser Orden braucht weitere Burgen zur Ausbildung der Truppen und zum Erwirtschaften eines eigenen Einkommens. Mir ist berichtet worden, dass es in Eurem Herrschaftsgebiet einen geeigneten Standort gebe, genauer in [target_province.GetName]. Ich bin bereit, Euch 100 Gold für das Recht zu zahlen, dort eine Festung zu errichten.\n\nIn Seinem Licht,\n[target_grandmaster.GetTitledFirstName];;El más recto [Root.GetTitledFirstName], nuestra Orden necesita más castillos para entrenar tropas y generar ingresos que la financie. Ha llegado a mis oídos que hay una localización disponible en vuestros dominios – Para ser exactos en [target_province.GetName], estoy dispuesto a pagarle 100 oros a cambio del derecho a construir ahí una fortaleza.\n\nIn Su luz,\n\n[target_grandmaster.GetTitledFirstName];;;;;;;;;x
EVTDESC_CM_4324;The Haruriyyah have constructed a castle in [Root.GetName]!;Les Haruriyyah ont édifié un château en [Root.GetName] !;Die Haruriyyah haben in [Root.GetName] eine Burg errichtet!;;¡Los haruriyyah han construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_CM_4011;The Knights of the Sun have constructed a castle in [Root.GetName]!;Les Chevaliers du Soleil ont construit un château en [Root.GetName] !;Die Ritter der Sonne haben in [Root.GetName] eine Burg errichtet!;;¡Los Caballeros del Sol han construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_CM_4399;Your Highness, this extremely generous donation will not be forgotten. You have my friendship, as well as that of the Priesthood. Rest assured that you will be rewarded in Heaven, if not on Earth!\nPraise [Root.Religion.GetRandomGodName],\n\n[target_grandmaster.GetTitledFirstName];[Root.PrimaryTitle.GetFOA], ce don des plus généreux ne sera pas oublié. Recevez ma reconnaissance, ainsi que celle du clergé. Vivez avec l'assurance que vous obtiendrez récompense au paradis, si ce n'est en ce bas monde !\nGloire à [Root.Religion.GetRandomGodName],\n\n[target_grandmaster.GetFirstName];Eure Hoheit, diese äußerst großzügige Spende wird unvergessen bleiben! Ihr verdient meine Freundschaft wie auch die aller Priester! Seid versichert, dass Ihr im Himmel belohnt werdet, wenn nicht schon auf Erden!\nLobet [Root.Religion.GetRandomGodName],\n\n[target_grandmaster.GetTitledFirstName];;Su Alteza, esta donación extremadamente generosa no quedará en el olvido. Tiene mi amistad, así como la del Clero. Tened la certeza de que seréis recompensados en el Paraíso, ¡si no en la Tierra!\n Alabado sea [Root.Religion.GetRandomGodName],\n\n[target_grandmaster.GetTitledFirstName];;;;;;;;;x
EVTDESC_CM_4006;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly as we ride into battle against the enemies of [Root.Religion.GetRandomGodName]! May His light always shine upon you and illuminate your being!\n\nFor the Knights of the Sun,\n\n[target_grandmaster.GetTitledFirstName];Ô grand [Root.PrimaryTitle.GetRulerTitle], votre don si généreux nous aidera grandement à mener le combat contre les ennemis [Root.Get_du_HighGod]! Que Sa lumière vous éclaire et illumine votre vie !\n\nAu nom des Chevaliers du Soleil,\n[target_grandmaster.GetTitledFirstName];Großer [Root.PrimaryTitle.GetRulerTitle], Eure äußerst großzügige Spende wird uns sehr helfen, wenn wir gegen die Feinde von [Root.Religion.GetRandomGodName] in den Kampf reiten! Möge Sein Licht allzeit über Euch leuchten und Euer Wesen erhellen!\n\nFür die Ritter der Sonne,\n[target_grandmaster.GetTitledFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡tu donación extremadamente generosa nos será de gran ayuda para cargar en batalla contra nuestros enemigos de [Root.Religion.GetRandomGodName]! ¡Que Su luz siempre brille sobre ti e ilumine tu ser!\n\nPara los Caballeros del Sol,\n\n[target_grandmaster.GetTitledFirstName];;;;;;;;;x
EVTOPTA_CM_4399;Praised be [Root.Religion.GetRandomGodName].;Que [Root.Religion.GetRandomGodName] soit loué !;Gepriesen sei [Root.Religion.GetRandomGodName].;;Alabado sea [Root.Religion.GetRandomGodName].;;;;;;;;;x
EVTTITLE_CM_4000;The Knights of the Sun;Les Chevaliers du Soleil;Die Ritter der Sonne;;Los Caballeros del Sol;;;;;;;;;x
EVTTITLE_CM_4309;The Haruriyyah;Les Haruriyyah;Die Haruriyyah ;;Los Haruriyyah;;;;;;;;;x
EVTDESC_CM_4000;A new holy order has been founded for the defense and preservation of the reformed and expanding Zunist religion. They call themselves 'Knights of the Sun' and are sworn to stand steadfast in battle, protect the faithful and help spread the light of Zun the Justice-Giver to new lands. Many young warriors are already flocking to their golden standard.;Un nouvel ordre saint a été fondé afin de défendre et préserver la religion zuniste en pleine expansion. Ils se nomment les 'Chevaliers du Soleil' et ont juré de ne jamais fléchir durant une bataille, de protéger les croyants et de la répandre la lumière de Zun le Justicier sur de nouveaux territoires. De nombreux jeunes guerriers adhèrent à ces règles d'or.;Ein neuer heiliger Orden zum Schutz und zur Bewahrung der erneuerten und wachsenden zunistischen Religion ist gegründet worden. Sie nennen sich die "Ritter der Sonne" und haben einen Eid abgelegt, fest im Kampf zu stehen, die Gläubigen zu beschützen und das Licht Zuns, des Gebers der Gerechtigkeit, in neue Lande zu verbreiten. Viele junge Krieger scharen sich schon um ihr goldenes Banner.;;Se ha fundado una nueva orden sagrada para la defensa y la preservación de la reformada y expansiva religión Zunita. Se autodenominan "Los Caballeros del Sol" y han jurado mantenerse inamovibles en batalla, proteger la fe y extender la gracia de Zun, el que Imparte Justicia, a nuevas tierras. Multitud de jóvenes guerreros acuden en masa junto a su dorado estandarte.;;;;;;;;;x
EVTOPTA_CM_4000;Praise [target_grandmaster.Religion.GetRandomGodName]!;Louons [target_grandmaster.Get_le_HighGod] !;Gepriesen sei [target_grandmaster.Religion.GetRandomGodName]!;;¡Alabar a [target_grandmaster.Religion.GetRandomGodName]!;;;;;;;;;x
