EVTDESC_SoA_5000;I shall go on a pilgrimage to seek God's grace at one of the holy places of Christianity.;Je dois accomplir un pèlerinage et ainsi chercher la grâce de Dieu dans un des lieux saints du christianisme.;Ich begebe mich auf Pilgerfahrt, um Gottes Gnade an einer der heiligen Stätten der Christenheit zu suchen.;;Iré de peregrinación en busca de la gracia de Dios a uno de los lugares santos del cristianismo.;;;;;;;;;x
EVTDESC_SoA_5011;There are several different holy places that you could visit on your pilgrimage. All of them are considered most sacred by the holy church, but a somewhat closer destination might mean a safer journey.;Il existe plusieurs lieux saints dans lesquels vous pourriez vous rendre en pèlerinage. Tous sont considérés comme sacrés par l'Église, mais une destination plus proche, rendrait votre voyage moins risqué.;Ihr könnt auf Eurer Pilgerfahrt mehrere heilige Stätten besuchen. Alle werden von der Heiligen Kirche als höchst heilig eingestuft, doch ein näher liegendes Ziel könnte eine sicherere Reise bedeuten. ;;Hay varios tipos de lugares santos para visitar durante la peregrinación. La Santa Iglesia los considera todos igualmente importantes, si bien un destino algo más cercano puede suponer un viaje más seguro.;;;;;;;;;x
EVTDESC_SoA_5016;I am blessed to be living in [Root.Capital.GetName], but I shall make my pilgrimage to the most holy of our Lord's places – Jerusalem!;Bien que j'ai la chance de vivre à [Root.Capital.GetName] j'accomplirai tout de même un pèlerinage dans le lieu le plus saint de tous, Jérusalem !;Ich bin gesegnet, in [Root.Capital.GetName] leben zu dürfen, doch ich unternehme eine Pilgerfahrt zur allerheiligsten Stätte unseres Herrn - nach Jerusalem!;;Tengo la suerte de vivir en [Root.Capital.GetName], pero iré de peregrinación al más sagrado de los lugares de nuestro Señor: ¡Jerusalén!;;;;;;;;;x
EVTDESC_SoA_5017;I am blessed to live near the holy places of our Lord in Palestine, but I shall follow in the footsteps of the apostles and make a pilgrimage to Rome.;Bien que j'ai la chance de vivre près des lieux saints de Palestine, je suivrai tout de même le chemin des apôtres et ferai mon pèlerinage à Rome.;Ich bin gesegnet, nahe den Heiligen Stätten unseres Herrn in Palästina zu leben, doch ich folge den Spuren der Apostel und pilgere nach Rom!;;Tengo la suerte de vivir cerca de los lugares sagrados de nuestro Señor en Palestina, pero seguiré los pasos de los apóstoles e iré de peregrinación a Roma.;;;;;;;;;x
EVTDESC_SoA_5018;There are a number of different holy places that you could visit on your pilgrimage. All of them are considered most sacred by the holy church, but a somewhat closer destination might mean a safer journey.;Il existe plusieurs lieux saints dans lesquels vous pourriez vous rendre en pèlerinage. Tous sont considérés comme sacrés par l'Église, mais une destination plus proche, rendrait votre voyage plus sûr.;Sie könnten auf Ihrer Pilgerfahrt mehrere heilige Stätten besuchen. Alle werden von der Heiligen Kirche als höchst heilig eingestuft, doch ein näher liegendes Ziel könnte eine sicherere Reise bedeuten. ;;Hay distintos tipos de lugares santos para visitar durante la peregrinación. La Santa Iglesia los considera todos igualmente importantes, si bien un destino algo más cercano puede suponer un viaje más seguro.;;;;;;;;;x
EVTDESC_SoA_5019;A pilgrimage in the west is just as worthy as a journey to Jerusalem or Rome.;Un pèlerinage à l'ouest est aussi digne qu'un voyage à Jérusalem ou à Rome.;Eine Pilgerfahrt im Westen ist genauso wertvoll wie eine Reise nach Jerusalem oder Rom.;;Ir de peregrinación a occidente es tan digno como viajar a Jerusalén o Roma.;;;;;;;;;x
EVTDESC_SoA_5020;Jerusalem and Rome are the two oldest and holiest places of the [catholic.GetName] church.;Jérusalem et Rome sont les deux lieux saints les plus anciens et les plus sacrés du [GetFrenchCatholicisme].;Jerusalem und Rom sind die ältesten und heiligsten Stätten der [catholic.GetName]en Kirche.;;Jerusalén y Roma son los dos lugares más antiguos y sagrados de la Iglesia [GetSpanishCatolica].;;;;;;;;;x
EVTDESC_SoA_5021;My things are packed, everything is in order. Soon, I shall see fair Canterbury and the tomb of Thomas Becket.;Mes bagages sont prêts, tout est en ordre. Je verrai bientôt la belle ville de Cantorbéry, ainsi que le tombeau de Thomas Becket.;Mein Sachen sind gepackt und alles ist bereit. Bald fahre ich nach Canterbury zum Grab von Thomas Becket.;;El equipaje está listo, todo está bajo control. Pronto, voy a ver Canterbury y la tumba de Thomas Becket.;;;;;;;;;x
EVTDESC_SoA_5022;My things are packed, everything is in order. At the end of my journey the Holy Land awaits.;Mes bagages sont prêts, tout est en ordre. La Terre sainte m'attend au terme du voyage.;Mein Sachen sind gepackt und alles ist bereit. Am Ziel meiner Reise wartet das Heilige Land auf mich.;;El equipaje está listo, todo está bajo control. Al final del viaje me espera Tierra Santa.;;;;;;;;;x
EVTDESC_SoA_5023;My things are packed, everything is in order. Soon I will see Köln and the Shrine of the Three Kings.;Mes bagages sont prêts, tout est en ordre. Je verrai bientôt Cologne et la châsse des rois mages.;Meine Sachen sind gepackt und alles ist bereit. Bald bin ich in Köln und sehe den Schrein der Heiligen Drei Könige.;;El equipaje está listo, todo está bajo control. Pronto podré ver Colonia y el santuario de los Reyes Magos.;;;;;;;;;x
EVTDESC_SoA_5024;My things are packed, everything is in order. Soon I will walk the streets of the Eternal City and see all its marvels.;Mes bagages sont prêts, tout est en ordre. Je marcherai bientôt dans les rues de la ville éternelle et en verrai les merveilles.;Meine Sachen sind gepackt und alles ist bereit. Bald gehe ich durch die Straßen Roms und bestaune die Wunder der ewigen Stadt.;;El equipaje está listo, todo está bajo control. Pronto caminaré por las calles de la Ciudad Eterna y veré todas sus maravillas.;;;;;;;;;x
