EVTDESC_RoI_3000;You have sent messengers out in all directions, their mission to try and find a wise guru and convince him to come to your court.;Vous avez envoyé des messagers dans toutes les directions, avec la mission de trouver un gourou sage et de le convaincre de rejoindre votre cour.;Ihr habt Botschafter in alle Richtungen entsandt. Ihre Aufgabe ist es, einen weisen Guru zu finden und ihn zu überzeugen, an Euren Hof zu kommen.;;Has enviado mensajeros en todas direcciones, su misión es intentar encontrar a un sabio gurú para convencerlo de que venga a tu corte.;;;;;;;;x
EVTDESC_RoI_3003;My [Root.GetLordLady], the wise guru [New.GetFirstNameWithNick] has agreed to come and take up residence at your court.;M[Root.GetOnA][Root.GetLordLady], le sage gourou [From.GetFirstNameWithNick] a accepté de venir s'installer à votre Cour.;Mein [Root.GetLordLady]. Der weise Guru [From.GetFirstNameWithNick] hat sich einverstanden erklärt, an Euren Hof zu kommen.;;Mi [Root.GetLordLady], el sabio gurú [From.GetFirstNameWithNick] ha accedido a venir y residir en vuestra corte.;;;;;;;;x
EVTDESC_RoI_3100;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be a drunkard.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain d'être un ivrogne ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen Herrscher, ein Trunkenbold zu sein." Er verbeugt sich und schaut Euch gelassen an.;;Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea un borracho.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3101;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be such a hedonist.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain d'être un hédoniste ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher ein Hedonist zu sein." Er verbeugt sich und schaut Euch gelassen an.;;Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea tan hedonista.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3102;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be known as an impaler.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain d'être un empaleur ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher als Pfähler bekannt zu sein." Er verbeugt sich und schaut Euch gelassen an.;;Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un noble gobernante sea conocido como un empalador. Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3103;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so lecherous and lustful.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain de faire preuve de luxure ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher lüstern und unzüchtig zu sein." Er verbeugt sich und schaut Euch gelassen an.;;Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea tan libidinoso y lujurioso.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3104;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be gluttonous.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain de faire preuve de gourmandise ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher gefräßig zu sein." Er verbeugt sich und schaut Euch gelassen an.;;Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea glotón.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3105;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so greedy.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain de faire preuve d'avarice ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher gierig zu sein." Er verbeugt sich und schaut Euch gelassen an.;;Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea tan avaro.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3106;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be consumed by envy.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain d'envier les autres ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher dem Neid erlegen zu sein." Er verbeugt sich und schaut Euch gelassen an.;;Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea consumido por la envidia.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3107;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so wroth.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain de s'emporter constamment ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher ein zornig zu sein." Er verbeugt sich und schaut Euch gelassen an.;;Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea tan iracundo.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3108;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to have so much pride.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain d'avoir tellement d'orgueil ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher Stolz zu sein." Er verbeugt sich und schaut Euch gelassen an.;;Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble tenga tanto orgullo.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3109;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so arbitrary in [Root.GetHerHis] rule.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain de faire preuve de partialité ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher willkürlich zu sein." Er verbeugt sich und schaut Euch gelassen an.;;Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea tan arbitrario en [Root.GetHerHis] gobierno.' Se inclina y te mira en silencio.;;;;;;;;;x
