EVTTITLE_WoL_5001;The White [Root.GetHuntingQuarryCap];[Root.GetHuntingQuarryCap] blanc;Der Weiße [Root.GetHuntingQuarryCap];;El [Root.GetHuntingQuarry] blanco;;;;;;;;;x

EVTDESC_WoL_5001;Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white [Root.GetHuntingQuarry], powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.;Ces derniers temps, les paysans et les voyageurs font courir le bruit qu'une bête mythique a été aperçue dans vos terres. C'est un [Root.GetHuntingQuarry] blanc, puissant et insaisissable. Le peuple dit que cette créature vient d'un autre monde et que le chasseur qui abattra l'animal recevra un pouvoir divin.;Seit Kurzem verbreitet sich unter Bauern und Reisenden das Gerücht, dass ein seltsames, mythisches Tier in Eurem Reich gesichtet wurde. Es handelt sich um einen weißen [Root.GetHuntingQuarryAkk], mächtig und scheu. Das gemeine Volk behauptet, er stamme aus einer anderen Welt und wer ihn erlegte, der werde von göttlicher Macht erfüllt.;;Últimamente, has escuchado rumores persistentes de campesinos y viajeros de las regiones desoladas que se ha visto una bestia extraña, mítica en tu reino. Se trata de un [Root.GetHuntingQuarry] blanco, poderoso y evasivo. El pueblo llano afirmar que proviene de otro mundo y que el cazador que lo reclame se imbuirá de poder divino.;;;;;;;;;x
EVTDESC_WoL_5004;Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white [Root.GetHuntingQuarry] in the county of [target_province.GetName].;Bonne nouvelle, M[Root.GetOnA][Root.GetLordLady] ! Des personnes dignes de confiance disent avoir récemment croisé le grand [Root.GetHuntingQuarry] blanc dans le comté de [target_province.GetName].;Gute Nachrichten, oh [Root.GetLordLady]! Wir haben glaubwürdige Berichte erhalten, dass ein großer weißer [Root.GetHuntingQuarry] vor kurzem in der Provinz [target_province.GetName] gesichtet wurde.;;Buenas noticias, mi [Root.GetLordLady]! Hemos recibido informes creíbles de un avistamiento reciente del gran [Root.GetHuntingQuarry] blanco en la provincia de [target_province.GetName].;;;;;;;;;x
EVTDESC_WoL_5007_fearsome;On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a fearsome great white [Root.GetHuntingQuarry]! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.;Pendant la chasse, vous perdez votre groupe de vue et vous vous retrouvez seul dans la nature. Alors que vous essayez de vous repérer, vous entrevoyez quelque chose d'étrange au loin... Vous chevauchez dans sa direction et découvrez un terrifiant [Root.GetHuntingQuarry] blanc ! Vous vous approchez doucement, mais la bête vous aperçoit et s'enfuit. Vous tentez de la suivre mais le terrain accidenté vous empêche de la rattraper.\n\nVous rejoignez votre groupe de chasse sans parvenir à chasser l'étrange animal de votre mémoire.;Auf der Jagd werdet Ihr in der Wildnis von Eurer Jagdgesellschaft getrennt. Beim Versuch, die Gruppe wiederzufinden, erblickt Ihr in der Ferne etwas Seltsames... Ihr reitet näher heran und seht einen furchterregenden großen weißen [Root.GetHuntingQuarryAkk]! Während Ihr Euch ihm vorsichtig nähert, wird er auf Euch aufmerksam und ergreift die Flucht. Ihr versucht, ihn zu verfolgen, aber aufgrund des schwierigen Geländes könnt Ihr ihn nicht einholen.\n\nWährend Ihr zu Eurer Jagdgesellschaft zurückkehrt, müsst Ihr ständig an dieses seltsame Tier denken.;;Durante la caza, te separas de tus compañeros en el páramo. Mientras das vueltas y tratas de encontrar tu rumbo, vislumbras a algo extraño en la distancia… ¡Cabalgas cerca y ves un tremendo [Root.GetHuntingQuarry] blanco! Como te lo acercas cautelosamente, te ve y se escapa. Tratas de seguirlo pero eres incapaz de alcanzarlo en este terreno difícil.\n\nCuando vuelvas con los tuyos, descubres que no puedes dejar de pensar en este extraño animal.;;;;;;;;;x
EVTDESC_WoL_5007_majestic;On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a majestic great white [Root.GetHuntingQuarry]! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.;Pendant la chasse, vous perdez votre groupe de vue et vous vous retrouvez seul dans la nature. Alors que vous essayez de vous repérer, vous entrevoyez quelque chose d'étrange au loin... Vous chevauchez dans sa direction et découvrez un majestueux [Root.GetHuntingQuarry] blanc ! Vous vous approchez doucement, mais la bête vous aperçoit et s'enfuit. Vous tentez de la suivre mais le terrain accidenté vous empêche de la rattraper.\n\nVous rejoignez votre groupe de chasse sans parvenir à chasser l'étrange animal de votre mémoire.;Auf der Jagd werdet Ihr in der Wildnis von Eurer Jagdgesellschaft getrennt. Beim Versuch, die Gruppe wiederzufinden, erblickt Ihr in der Ferne etwas Seltsames... Es scheint sich um einen majestätischen weißen [Root.GetHuntingQuarryAkk] zu handeln! Doch dann, beim Versuch sich ihm zu nähern, wird er auf Euch aufmerksam und ergreift die Flucht. Ihr versucht, ihn zu verfolgen, könnt ihn aber aufgrund des schwierigen Geländes nicht einholen.\n\nWährend Ihr zur Jagdgesellschaft zurückkehrt, müsst Ihr ständig an dieses seltsame Tier denken.;;Durante la caza, te separas de tus compañeros en el páramo. Mientras das vueltas y tratas de encontrar tu rumbo, vislumbras a algo extraño en la distancia… ¡Cabalgas cerca y ves un majestuoso [Root.GetHuntingQuarry] blanco! Como te lo acercas cautelosamente, te ve y se escapa. Tratas de seguirlo pero eres incapaz de alcanzarlo en este terreno difícil.\n\nCuando vuelves con los tuyos, descubres que no puedes dejar de pensar en este extraño animal.;;;;;;;;;x
EVTDESC_WoL_5010;You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white [Root.GetHuntingQuarry].;Vous avez rassemblé votre suite et vos chiens de chasse, fait seller vos chevaux et préparer vos armes. Vous êtes maintenant prêt à chasser le grand [Root.GetHuntingQuarry] blanc.;Ihr habt Eure Getreuen und Eure Jagdhunde versammelt, das Pferd gesattelt und die Waffen vorbereitet. Nun seid Ihr bereit, die Jagd auf den weißen [Root.GetHuntingQuarryAkk] zu beginnen.;;Has reunido a los tuyos, tus perros de caza, ensillado tu caballo y preparado tus armas. Estás list[Root.GetOA] para cazar al gran [Root.GetHuntingQuarry] blanco. ;;;;;;;;;x
EVTDESC_WoL_5030;After many days of hard hunting and tracking, you have finally managed to trap the white [Root.GetHuntingQuarry] in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...;Après plusieurs jours de rude traque, vous parvenez à acculer [Root.GetTheHuntingQuarry] blanc entre deux rochers. Le bel animal est à votre merci. Il vous regarde de ses yeux intelligents et, soudain, sa grande beauté vous frappe.;Jagd und Aufspüren des Tieres erweisen sich als schwierig und langwierig. Doch nach zwei Tagen schafft Ihr es schließlich, den weißen [Root.GetHuntingQuarryAkk] in einer Sackgasse zwischen zwei Felsen in die Enge zu treiben. Das große Tier ist Euch ausgeliefert und es sieht Euch mit klugen Augen an. Plötzlich werdet Ihr seiner enormen Schönheit gewahr...;;Después de muchos días de difícil caza y rastreo, por fin, has logrado atrapar al [Root.GetHuntingQuarry] blanco en un callejón sin salida entre dos rocas. El gran animal está a tu merced... Te mira con ojos inteligentes y de repente te sientes impresionado por su gran belleza... ;;;;;;;;;x
EVTDESC_WoL_5035;During your hunt, you come to a deep gorge. Right on the other side is the white [Root.GetHuntingQuarry], staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.;Au cours de la chasse, vous atteignez une profonde gorge. De l'autre côté de la faille, c'est [Root.GetTheHuntingQuarry] blanc qui vous regarde ! Vous en êtes si proche et si loin à la fois... Il s'enfuit soudain et vous comprenez qu'une fois de plus, vous rentrerez bredouille.;Während der Jagd gelangt Ihr an eine tiefe Schlucht. Genau auf der anderen Seite befindet sich der weiße [Root.GetHuntingQuarry] und starrt Euch an! Ihr seid ihm so nah und doch könnt Ihr ihn nicht erreichen. Als er wegläuft, wird Euch klar, dass Ihr dieses Mal keinen Sieg davontragen werdet.;;Durante la caza, llegas a un profundo barranco. ¡Justo al otro lado está el [Root.GetHuntingQuarry] blanco, mirándote fijamente! Estás tan cerca, mas no puedes alcanzarlo. Al escaparse, te das cuenta que esta vez deberás volver a casa sin una victoria.;;;;;;;;;x
EVTDESC_WoL_5040;Scouring the countryside for your prey, you come upon a lone rider. As you strike up conversation, it turns out he also hunts the same great animal that you are after. His lack of success thus far seems to match yours, but he invites you to talk and share experiences.;Alors que vous parcourez la campagne à la recherche de votre proie, vous croisez un cavalier solitaire. Parlant avec lui, vous comprenez qu'il chasse également le magnifique animal qui vous obsède. Son manque de succès vaut bien le vôtre, mais il vous invite à discuter et à échanger vos expériences respectives.;Während Ihr in der Wildnis nach Eurer Beute Ausschau haltet, begegnet Ihr einem einsamen Reiter. Als ihr ins Gespräch kommt, stellt sich heraus, dass ihr das gleiche Tier jagt und dass ihm genauso wenig Erfolg beschieden ist wie Euch. Er lädt Euch zum Meinungs- und Erfahrungsaustausch ein.;;Dando una batida por el campo en busca de tu presa, encuentras a un jinete solitario. Al entablar conversación, resulta que él también busca el mismo gran animal que tú. Su falta de éxito hasta el momento parece coincidir con la tuya, pero te invita a hablar y compartir experiencias.;;;;;;;;;x
EVTDESC_WoL_5045;You spend weeks in the wilderness searching for any trace of your prey, but to no avail. You find plenty of bugs, snakes and riding sores, however.;Vous passez des semaines dans les étendues sauvages à la recherche d'un indice vous menant à votre proie, sans succès. En revanche, vous ne manquez pas d'insectes, de serpents et de muscles endoloris.;Ihr verbringt Wochen in der Wildnis und sucht nach einer Spur Eurer Beute, aber ohne Erfolg. Ihr findet jedoch jede Menge Insekten und Schlangen und Eure Oberschenkel sind wundgeritten.;;Pasas semanas en los páramos buscando algún rastro de tu presa, pero en vano. Sin embargo encuentras un montón de insectos, serpientes y llagas de montar a caballo.;;;;;;;;;x
