
enables_tribal_levy_laws;Enables Tribal Levy Laws.\n;Active les lois sur l'impôt tribal\n;Aktiviert Stammeslehnstruppengesetze.\n;;Activa leyes de reclutamiento tribal.\n;;;;;;;;;x
enables_tribal_tax_laws;Enables Tribal Tax Laws\n;Active les lois sur l'impôt tribal\n;Aktiviert Stammessteuergesetze.\n;;Activa leyes de impuestos tribales;;;;;;;;;x
becomes_pregnant_no_father;[Root.GetFirstName] becomes pregnant;[Root.GetFirstName] tombe enceinte;[Root.GetFirstName] wird schwanger;;[Root.GetFirstName] queda embarazada.;;;;;;;;;x
sky_burial_custom_tooltip;Perform a sky burial.;Organiser des funérailles célestes.;Führt ein Himmelsbegräbnis durch.;;Realiza un entierro celestial.;;;;;;;;;x
werewolf_killed_cow_tooltip;Killed a cow.;Vous avez tué une vache.;Kuh getötet.;;Mató a una vaca. ;;;;;;;;;x
werewolf_killed_dog_tooltip;Killed a dog.;Vous avez tué un chien.;Hund getötet.;;Mató a un perro. ;;;;;;;;;x
werewolf_killed_pig_tooltip;Killed a pig.;Vous avez tué un cochon.;Schwein getötet.;;Mató a un cerdo. ;;;;;;;;;x
werewolf_killed_someone_tooltip;Killed someone.;Vous avez tué quelqu'un.;Unbekannten getötet.;;Mató a alguien. ;;;;;;;;;x
wolves_continue_alone_tooltip;You press forward to meet the beasts alone.;Vous accélérez le pas afin afin de ne pas rencontrer les bêtes.;Ihr geht voran, um Euch den Wölfen alleine zu nähern.;;Avanzas para ver a las bestias a solas.;;;;;;;;;x
wolves_go_out_alone_tooltip;A wolf among wolves.;Loup parmi les loups.;Ein Wolf unter Wölfen.;;Un lobo entre los lobos.;;;;;;;;;x
wolves_go_out_with_guards_tooltip;A large group of armed and armored men set out.;Un important détachement d'hommes en armes a pris la route.;Eine gut bewaffnete Eskorte zieht los.;;Sale un gran grupo de hombres armados y protegidos.;;;;;;;;;x
wolves_ignore_tooltip;You ignore the wolves from now on.;Désormais, vous ne faites plus attention aux loups.;Ihr ignoriert die Wölfe von nun an.;;No haces caso de los lobos de aquí en adelante.;;;;;;;;;x
wolves_run_with_wolves_tooltip;You join the wolfpack.;Vous rejoignez la meute.;Ihr schließt Euch dem Wolfsrudel an.;;Te unes a la manada de lobos.;;;;;;;;;x
wrestling_win_vs_horse;You win!;Victoire !;Ihr seid der Sieger!;;¡Has ganado!;;;;;;;;;x
adopt_wolf_child;The child is adopted with full right of inheritance.;L'enfant est adopté et jouit de son droit entier de succession.;Das Kind wird mit allen Erbrechten adoptiert.;;El niño es adoptado con pleno derecho de la herencia.;;;;;;;;;x
liberate_nomad_cb_succ_tip;§Y[Root.GetTitledFirstName]§! vassalizes non-nomadic lords and takes all other titles in the §Y[This.GetFullBaseName]§!.\n;[Root.Get_Le_TitledFirstNameJ] vassalise les seigneurs non-nomades et s'empare de tous les autres titres en §Y[This.GetFullBaseName]§!.;§Y[Root.GetTitledFirstName]§! unterwirft die nicht-nomadischen Herrscher und übernimmt alle anderen Titel in §Y[This.GetFullBaseName]§!.\n;;§Y[Root.GetTitledFirstName]§! hace vasallos a los señores no nómadas y toma todos los demás títulos en el §Y[This.GetFullBaseName]§!;;;;;;;;;x
recently_adopted_faith_tooltip;Has not adopted the faith of another clan in 10 years\n;N'a pas adopté la religion d'un autre clan depuis 10 ans\n;Hat in den letzten Jahren nicht den Glauben eines anderen Klans angenommen\n;;No se ha adoptado la fe de otro clan en 10 años\n;;;;;;;;x
tooltip_not_busy;Is NOT already busy\n;Est disponible\n;Ist NICHT bereits beschäftigt\n;;Ya NO está ocupado/a \n;;;;;;;;;x
