EVTDESCA_ZE_14100;I have finished my education in diplomacy. I found the lessons rather tedious.;J'ai terminé ma formation en diplomatie. J'ai trouvé les leçons vraiment pénibles.;Ich habe meine diplomatische Lehrzeit abgeschlossen. Es hatte durchaus seine Längen.;;He terminado mis estudios de diplomacia. Encontré las lecciones algo tediosas.;;;;;;;;;x
EVTDESCA_ZE_14110;Young [From.GetFirstName] has finished [From.GetHerHis] education in diplomacy. It turned out less well than expected.;[From.GetFirstName] a terminé sa formation en diplomatie. Ça s'est moins bien passé que prévu.;Die diplomatische Lehrzeit von Klein [From.GetFirstName] ist abgeschlossen. Die Ergebnisse sind nicht so gut wie erhofft.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis] estudios de diplomacia. Resultó menos bien de lo esperado.;;;;;;;;;x
EVTDESCA_ZE_14200;I have finished my education in the ways of war. I found the lessons rather tedious.;J'ai terminé ma formation en stratégie militaire. J'ai trouvé les leçons vraiment pénibles.;Ich habe meine militärische Lehrzeit abgeschlossen. Es hatte durchaus seine Längen.;;He terminado mi educación en los asuntos bélicos. Encontré las lecciones algo tediosas.;;;;;;;;;x
EVTDESCA_ZE_14210;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of war. It turned out less well than expected.;[From.GetFirstName] a terminé sa formation en stratégie militaire. Ça s'est moins bien passé que prévu.;Die militärische Lehrzeit von Klein [From.GetFirstName] ist abgeschlossen. Die Ergebnisse sind nicht so gut wie erhofft.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis] estudios en los asuntos bélicos. Resultó menos bien de lo esperado.;;;;;;;;;x
EVTDESCA_ZE_14300;I have finished my education in stewardship. I found the lessons rather tedious.;J'ai terminé ma formation en intendance. J'ai trouvé les leçons vraiment pénibles.;Ich habe meine verwalterische Lehrzeit abgeschlossen. Es hatte durchaus seine Längen.;;He terminado mis estudios de administración. Encontré las lecciones algo tediosas.;;;;;;;;;x
EVTDESCA_ZE_14310;Young [From.GetFirstName] has finished [From.GetHerHis] education in stewardship. It turned out less well than expected.;[From.GetFirstName] a terminé sa formation en intendance. Ça s'est moins bien passé que prévu.;Die verwalterische Lehrzeit von Klein [From.GetFirstName] ist abgeschlossen. Die Ergebnisse sind nicht so gut wie erhofft.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis] estudios de administración. Resultó menos bien de lo esperado.;;;;;;;;;x
EVTDESCA_ZE_14400;I have finished my education in the ways of intrigue. I found the lessons rather tedious.;J'ai terminé ma formation en intrigues. J'ai trouvé les leçons vraiment pénibles.;Ich habe meine Lehrzeit im Bereich der Intrige abgeschlossen. Es hatte durchaus seine Längen.;;He terminado mis estudios en los asuntos de intriga. Encontré las lecciones algo tediosas.;;;;;;;;;x
EVTDESCA_ZE_14410;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of intrigue. It turned out less well than expected.;[From.GetFirstName] a terminé sa formation en intrigues. Ça s'est moins bien passé que prévu.;Die Lehrzeit von Klein [From.GetFirstName] im Bereich der Intrige ist abgeschlossen. Die Ergebnisse sind nicht so gut wie erhofft.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis] estudios en los asuntos de intriga. Resultó menos bien de lo esperado.;;;;;;;;;x
EVTDESCA_ZE_14500;I have finished my education in the ways of faith and learning. I found the lessons rather tedious.;J'ai terminé ma formation en foi et érudition. J'ai trouvé les leçons vraiment pénibles.;Ich habe meine religiöse Lehrzeit abgeschlossen. Es hatte durchaus seine Längen.;;He terminado mis estudios en los caminos de la fe y conocimiento. Encontré las lecciones algo tediosas.;;;;;;;;;x
EVTDESCA_ZE_14510;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of faith and learning. It turned out less well than expected.;[From.GetFirstName] a terminé sa formation en foi et érudition. Ça s'est moins bien passé que prévu.;Die Lehrzeit in Religion und Bildung von Klein [From.GetFirstName] ist abgeschlossen. Die Ergebnisse sind nicht so gut wie erhofft.;;[From.GetElLaCap] joven [From.GetFirstName] ha terminado [From.GetHerHis]  estudios en los caminos de la fe y conocimiento.  Resultó menos bien de lo esperado.;;;;;;;;;x
EVTDESCA_ZE_14700;I have finished my education but without any clear purpose. I found some joy in studying diplomacy but without guidance I didn't do very well.;J'achève mon instruction sans avoir au préalable choisi un domaine précis. J'ai certes eu une affinité pour la diplomatie, mais faute de conseils, le résultat n'est pas bon.;Ich habe meine Ausbildung ohne klare Aufgabe abgeschlossen. Das Studium der Diplomatie war phasenweise anregend, aber wenn ich keine Hilfe hatte, waren meine Ergebnisse nicht besonders gut.;;He terminado mi educación, pero sin ninguna finalidad clara. Encontré alguna alegría en el estudio de la diplomacia pero sin guía no lo hago muy bien.;;;;;;;;;x
