EoD_UPRISING;[Root.Religion.GetName] Reckoning;Jour du Jugement [Root.Religion.GetName];[Root.Religion.GetName] – Abrechnung;;El juicio de [Root.Religion.GetName];;;;;;;;;x

EVTDESC_RIP_5051;Being at sea for a long time has made me feel ill. And it is not a matter of being seasick mind you. I feel very tired, have constant pain in my legs and whenever I wake up, my joints ache all over.;Être en mer pendant une longue période m'a rendu[Root.Get_E] malade. Et ce n'est pas une question d'avoir le mal de mer. Je me sens très fatigué[Root.Get_E], avec une douleur constante dans mes jambes, et, à chaque fois que je me réveille, mes articulations me font mal.;Die lange Zeit auf See ließ mich krank werden. Und es geht hier nicht um Seekrankheit. Ich bin sehr müde, meine Beine schmerzen stetig und beim Aufwachen schmerzen alle Gelenke.;;Llevar mucho tiempo en el mar hace que me sienta enfermo. Y no es cuestión de mareo. Me siento muy cansado, las piernas me duelen constantemente y cuando me despierto, me duelen las articulaciones por todas partes;;;;;;;;;x
EVTDESC_RIP_5054;After being examined by my physician [From.GetFirstName], [From.GetSheHe] told me to take it easy during the coming weeks. I am also instructed to eat a special diet consisting mostly of fruit and vegetables in order to cure my Scurvy.;Après avoir été examiné[Root.Get_E] par mon physicien [From.GetFirstName], [From.GetIlElle] m'a dit de ne pas m'inquiéter durant les semaines à venir. J'ai aussi comme instruction de suivre un régime particulier composé principalement de fruits et de légumes afin de soigner mon scorbut.;Nachdem mein Arzt [From.GetFirstName] mich untersucht hat, empfahl [From.GetSheHe] mir, es in den nächsten Wochen ruhig angehen zu lassen. Zudem soll ich eine leichte Diät aus Früchten und Gemüse zu mir nehmen, um den Skorbut zu heilen.;;Después de ser examinado por mi médico [From.GetFirstName], dijo que me tomase las cosas con calma durante las próximas semanas. También me ha mandado una dieta especial que consiste principalmente en frutas y verduras para curarme del escorbuto.;;;;;;;;;x
EVTDESC_RIP_5055;After eating plenty of different fruit and vegetables, I finally feel well. The pain is gone and I am in a much better state! I am sure to avoid scurvy if I eat an orange.;Après avoir mangé en abondance différents fruits et légumes, les douleurs ont finalement disparu et je me sens bien. Je suis certain[Root.Get_E] d'éviter le scorbut si je bois du jus d'orange.;Nach einer Diät aus Früchten und Gemüse geht es mir endlich besser. Der Schmerz ist weg! Skorbut lässt sich gut mit Orangen vermeiden.;;Después de comer muchas verduras y frutas diferentes, finalmente me siento bien. ¡El dolor se ha ido y estoy en un estado mucho mejor! Si como naranjas, puedo evitar el escorbuto.;;;;;;;;;x
EVTDESC_RIP_11001;Your Infection has put you in grave danger on multiple occasions. The pain and foul smell have finally subsided and your wound looks clean.;Votre infection vous a mis en grave danger à plusieurs reprises. La douleur et l'odeur fétide ont finalement disparu et votre plaie a l'air propre.;Eure Infektion brachte Euch mehrmals in Lebensgefahr, doch die Schmerzen und der üble Geruch sind endlich verflogen und die Wunde sieht sauber aus.;;La infección te ha puesto en grave peligro durante unos días. El dolor y el mal olor por fin han pasado y tu herida parece limpia.;;;;;;;;;x
EVTDESC_RIP_11002;You realize you have been free from your Cough for a few days now. Being able to sleep at night without waking up coughing is a blessing.;Vous réalisez que vous ne toussez plus depuis quelques jours. Être capable de dormir sans se réveiller à cause de la toux est une bénédiction.;Ihr stellt fest, dass Euch Euer Husten schon seit einigen Tagen nicht mehr quält. Die gesamte Nacht ohne Hustenanfälle durchschlafen zu können ist ein wahrer Segen.;;Te das cuenta que llevas días libres de Tos. Poder dormir de noche sin despertar tosiendo es una bendición.;;;;;;;;;x
EVTDESC_RIP_11003;Your Fever has passed and you regain some strength and focus in your daily routine.;Votre fièvre a passé et vous retrouvez un peu de force ce qui vous permet de vous consacrer à la routine quotidienne.;Euer Fieber ist gefallen und Ihr fühlt Euch im Alltag stärker und konzentrierter.;;La Fiebre ha pasado, recuperas algunas fuerzas y te concentras en tu rutina diaria.;;;;;;;;;x
EVTDESC_RIP_11004;After a very troublesome period, your Diarrhea has finally stopped.;Après une période très troublée, votre diarrhée a finalement cessé.;Nach einer äußerst beschwerlichen Leidenszeit ist Euer Durchfall endlich verschwunden.;;Tras un periodo muy difícil, la Diarrea se ha detenido por fin.;;;;;;;;;x
EVTDESC_RIP_11005;Your Vomiting has finally stopped and you can start eating regular meals again.;Vos vomissements ont finalement cessé et vous pouvez recommencer à manger des repas habituels.;Ihr müsst Euch endlich nicht mehr übergeben und könnt wieder regelmäßige Mahlzeiten zu Euch nehmen.;;Tus vómitos han terminado y puedes volver a empezar a comer regularmente.;;;;;;;;;x
EVTDESC_RIP_11006;The Chest Pains you have been experiencing lately seem to have stopped. The Pains have been occurring less frequently, until recently they just disappeared.;Les douleurs dans la poitrine que vous avez eues dernièrement semblent avoir cessé. Les douleurs sont devenues un temps moins fréquentes, jusqu'à ce qu'elles disparaissent totalement récemment.;Die Schmerzen in der Brust, die Euch in letzter Zeit geplagt hatten, scheinen verschwunden zu sein, nachdem sie eine Zeit lang weitaus seltener aufgetreten waren.;;Los dolores de pecho que habías experimentado parecen haber parado. Los Dolores han ido ocurriendo con menos frecuencia, hasta que acaban de desaparecer.;;;;;;;;;x
EVTDESC_RIP_11007;You haven't had any severe Cramps for some time now, whatever caused them must have been dealt with.;Vous n'avez pas eu de crampe grave depuis un certain temps. Ainsi, quelles qu'en fussent les raisons, elles semblent avoir disparu.;Ihr hattet schon längere Zeit keine schweren Krämpfe mehr. Was auch immer der Auslöser war, scheint sich erledigt zu haben.;;Hace un tiempo que no sufres calambres graves. Fuera lo que fuera lo que los causase ya te habrás librado de ello.;;;;;;;;;x
EVTDESC_RIP_11008;Whatever was left of your Rash is no longer visible, and the spot where it was is no longer itching or causing pain.;La rougeur irritante que vous aviez n'est plus visible, et l'endroit où elle se trouvait ne vous démange plus et n'est plus douloureux.;Die letzten Reste Eures Ausschlags sind verschwunden, und die betroffene Stelle juckt und schmerzt nun nicht mehr.;;Lo que queda de tu sarpullido ya no es visible y el punto donde estuvo ya ni pica ni causa dolor.;;;;;;;;;x
EVTDESC_RIP_11009;Your pressing Headache has gone away, and you can focus your mind of things again.;Votre mal de tête lancinant a disparu, et vous pouvez de nouveau vous concentrer.;Eure drückenden Kopfschmerzen sind verflogen, und Ihr könnt wieder klare Gedanken fassen.;;Tu dolor de cabeza constante se ha ido y puedes volver a concentrarte en cosas de nuevo.;;;;;;;;;x
EVTDESC_RIP_11010;Excruciating Abdominal Pains have been disabling you lately, but now that you come to think of it, they are no longer there.;Des douleurs abdominales insoutenables vous ont rendu infirme dernièrement, mais maintenant que vous y repensez, elles ne sont plus là.;Unerträgliche Schmerzen im Unterlaub machten Euch in letzter Zeit das Leben schwer, aber jetzt, wo Ihr darüber nachdenkt, scheinen sie verschwunden zu sein.;;Unos dolores abdominales atroces te habían dejado inválido últimamente, pero ahora que lo piensas, ya no están ahí.;;;;;;;;;x
EVTDESC_RIP_11011;The sense of Fatigue that has been present lately now seems to have disappeared, and you once again have the energy to carry out your duties.;La fatigue que vous avez éprouvée dernièrement semble avoir disparu et vous avez retrouvé la force de faire ce que vous avez à faire.;Die Erschöpfung, die Euch diese Tage gequält hatte, scheint verschwunden zu sein, und Ihr seid wieder voller Energie und Tatendrang, um Eure Pflichten anzugehen.;;La sensación de fatiga que había estado presente últimamente parece haber desaparecido ya, y de nuevo tienes fuerzas para llevar a cabo tus deberes.;;;;;;;;;x
EVTDESC_RIP_11012;Your Malaise is no more. If it wasn't just imagination then whatever caused it must have disappeared.;Votre malaise n'est plus. Si cela n'était pas dû à l'imagination, alors, quelle qu'en fut la cause, elle doit avoir disparu à présent.;Euer Unwohlsein ist wie verflogen. Wenn es nicht die ganze Zeit nur Eure Einbildung war, muss die Ursache wohl beseitigt worden sein.;;Ya no tienes malestar. Si no fue solo imaginación, entonces lo que lo causaba habrá desaparecido.;;;;;;;;;x
EVTDESC_RIP_11015;You have recovered well from the Flu, now the coughing, fever, and headache are just unpleasant memories.;Vous vous remettez bien de la grippe. La toux, la fièvre et la migraine ne sont plus que de mauvais souvenirs.;Ihr habt Euch gut von der Grippe erholt. Husten, Fieber und Kopfschmerzen sind nur noch unangenehme Erinnerungen.;;Te has recuperado muy bien de la Gripe y ahora la tos, fiebre y dolor de cabeza no son más que recuerdos desagradables.;;;;;;;;;x
EVTDESC_RIP_11016;After some very worrying dehydration and abdominal pains, your Dysentery has finally ended.;Après une déshydratation très inquiétante et des douleurs abdominales, la dysenterie a finalement cessé.;Nachdem Euer Körper bedenklich ausgetrocknet war und die Schmerzen im Unterleib Euch das Leben zur Hölle gemacht hatten, leidet Ihr nun nicht mehr an der Ruhr.;;Tras una deshidratación preocupante y dolores abdominales, por fin ha terminado tu Disentería.;;;;;;;;;x
EVTDESC_RIP_11017;Excruciating pain and stiff joints have been tormenting you, but they are now much less severe. Gout is no longer a problem.;Les douleurs insoutenables et les articulations ankylosées vous ont fait souffrir, mais elles sont à présent beaucoup moins graves. La goutte n'est plus un problème.;Quälende Schmerzen und steife Gelenke haben Euch sehr geplagt, doch die Symptome sind nun weitaus schwächer. Die Gicht sollte kein Problem mehr sein.;;Dolores atroces y articulaciones agarrotadas te habían estado atormentando pero ahora ya son mucho menos graves. La Gota no es un problema.;;;;;;;;;x
EVTDESC_RIP_11018;Your violent vomiting and diarrhea have gone away, you have recovered from what must have been Food Poisoning.;Vos diarrhées et vos vomissements violents ont cessé, vous avez récupéré de ce qui devait être une intoxication alimentaire.;Heftiges Erbrechen und Durchfall plagen Euch nicht mehr. Von der Lebensmittelvergiftung, die Euch wohl plagte, habt Ihr Euch gut erholt.;;Tus violentos vómitos y la diarrea han desaparecido, te has recuperado de lo que debió ser una Intoxicación alimentaria.;;;;;;;;;x
EVTDESC_RIP_11019;The violent outbursts coupled with losses of consciousness, which seemed like a nightmare, is now just a memory. You have survived Rabies.;Vos brusques emportements et les pertes de conscience, lesquelles étaient comme un cauchemar, ne sont à présent plus que des mauvais souvenirs.;Die albtraumhaften Gewaltausbrüche und Ohnmachtsanfälle sind nur mehr böse Erinnerungen. Ihr habt die Tollwut überlebt.;;Los estallidos violentos, unidos a las pérdidas de sentido, que parecieron una pesadilla ya no son más que un recuerdo. Has sobrevivido a la Rabia.;;;;;;;;;x
