RIP.11704.a;Invite them in!;Invitons-les !;Ladet sie ein!;;¡Invitémoslos!;;;;;;;;;x
RIP.11704.b;Begone!;Hors d'ici !;Hinfort!;;¡Atrás!;;;;;;;;;x
RIP.11704.d;As commerce in [Root.GetName] grows, a number of Jewish merchants have requested permission to settle their families in one of the towns so they can manage their business more effectively. This would likely lead to increased tax revenues, but local religious authorities will disapprove.;Alors que le commerce en [Root.GetName] se développe, des marchands juifs ont demandé la permission pour que leurs familles s'installent dans une des villes, afin qu'ils puissent gérer leurs affaires plus efficacement. Cela mènerait à plus de revenus d'impôt, mais les autorités religieuses locales désapprouveront.;Der Handel in [Root.GetName] floriert, und einige jüdische Kaufleute bitten um Erlaubnis, sich mit ihren Familien in einer der Städte niederlassen zu dürfen, um ihre Geschäfte effizienter abwickeln zu können. Dies würde höchstwahrscheinlich zu höheren Steuereinnahmen führen, doch den ansässigen religiösen Autoritäten wäre es ein Dorn im Auge.;;Según el comercio en [Root.GetName] crece, un número de comerciantes judíos han pedido permiso para instalar a sus familias en uno de los pueblos para dirigir sus negocios con más eficacia. Probablemente esto llevaría a un aumento de ingresos tributarios, pero las autoridades religiosas locales no lo aprobarían.;;;;;;;;;x
RIP.11705.a;I know a good deal when I see one!;Je sais reconnaître une bonne affaire quand j'en vois une !;Einen guten Handel erkenne ich sofort!;;¡Reconozco un buen negocio cuando lo veo!;;;;;;;;;x
RIP.11705.b;It's too expensive;C'est trop coûteux.;Das wäre zu teuer.;;Es demasiado caro.;;;;;;;;;x
RIP.11705.d;As the prosperity of [Root.GetName] increases, land which was previously considered marginal is increasing in value. With the proper incentives, it should be possible to clear enough land to found a new holding upon.;Alors que la prospérité économique en [Root.GetName] s'intensifie, la terre jusqu'alors considérée comme à faible rendement augmente en valeur. Avec des incitations appropriées, il pourrait être possible de défricher assez de terres pour y établir une nouvelle propriété.;Der Wohlstand in [Root.GetName] wächst immer weiter, und die Preise für vormals unbedeutendes Land steigen. Mit den richtigen Anreizen sollte es möglich sein, genug Land bebaubar zu machen, um eine neue Liegenschaft zu errichten.;;Según aumenta la prosperidad de [Root.GetName], tierras que antes habían sido consideradas poco rentables. Con los incentivos adecuados, sería posible despejar tierra suficiente para fundar nuevos terrenos.;;;;;;;;;x
RIP.11706.a;Make it so;Faisons-le;So soll es sein!;;Que así sea.;;;;;;;;;x
RIP.11706.b;Leave it to chance;Laissons les choses se faire d'elles-mêmes;Überlassen wir es dem Zufall.;;Dejémoslo al azar.;;;;;;;;;x
RIP.11706.d;The workshops of [Root.GetName] have a need for large numbers of new workers. By offering a bonus, it would be possible to make sure these workers are [Root.Holder.Culture.GetName].;Les ateliers de [Root.GetName] ont besoin d'un grand nombre de travailleurs. En offrant une prime, ce serait possible de s'assurer qu'ils soient de culture [Root.Holder.Culture.GetName].;Die Werkstätten in [Root.GetName] benötigen eine große Menge an neuen Arbeitern. Wenn Ihr einen Bonus anbietet, könntet Ihr sicherstellen, dass diese Arbeiter Angehörige der [Root.Holder.Culture.GetName]en Kultur sind.;;Los talleres de [Root.GetName] necesitan un gran número de nuevos trabajadores. Si ofreciendo bonificaciones, sería posible asegurarnos de que estos trabajadores sean [Root.Holder.Culture.GetName].;;;;;;;;;x
RIP.11707.a;I am great!;Telle est ma grandeur !;Ich bin großartig!;;¡Soy genial!;;;;;;;;;x
RIP.11707.b;Don't make a fuss;Ne me racontez pas d'histoires;Ich möchte kein Aufheben machen.;;No armemos un escándalo.;;;;;;;;;x
