attempting_suicide_tooltip;Has not attempted to commit suicide recently.;N'a pas tenté de se suicider récemment.;Hat in letzter Zeit nicht versucht	Selbstmord zu begehen.;;No ha tratado de suicidarse últimamente.;;;;;x
CHESS_BAD_MOVE;you making a bad move.;vous faites un mauvais coup.;Ihr macht einen schlechten Zug.;;estás haciendo una mala jugada.;;;;;x
CHESS_BAD_TRICK;of you botching the attempt to cheat.;votre tentative de tricherie avorte.;wie Ihr Euren Schummelversuch verpatzt.;;la trampa te sale como un churro.;;;;;x
CHESS_GOOD_MOVE;you making a good move.;vous faites un bon coup.;Ihr macht einen guten Zug.;;estás haciendo una buena jugada.;;;;;x
CHESS_GOOD_TRICK;of you cheating successfully.;vous trichez avec succès.;wie Ihr erfolgreich schummelt.;;haces trampas y funciona.;;;;;x
CHESS_GREAT_MOVE;you making a great move.;vous faites un coup génial.;Ihr macht einen tollen Zug.;;estás haciendo una gran jugada.;;;;;x
CHESS_NEUTRAL_MOVE;you making a neutral move.;vous faites un coup moyen.;Ihr macht einen neutralen Zug.;;estás haciendo una jugada ni buena ni mala.;;;;;x
chess_score_number;[Root.chess_score.GetValue];[Root.chess_score.GetValue];[Root.chess_score.GetValue];;[Root.chess_score.GetValue];;;;;x
CHESS_TERRIBLE_MOVE;you making a terrible move.;vous faites une gaffe.;Ihr macht einen katastrophalen Zug.;;estás haciendo una malísima jugada.;;;;;x
commit_suicide_allow_tooltip;§Y[Root.GetTitledFirstName]§! must have a reason to commit suicide.\n;[Root.Get_Le_TitledFirstNameJ] doit avoir une raison de commettre un suicide.\n;§Y[Root.GetTitledFirstName]§! muss einen Grund haben, um Selbstmord zu begehen.\n;;§Y[Root.GetTitledFirstName]§! debe de tener una razón para querer suicidarse.\n;;;;;x
crazymurderdog_court_tooltip;The Court is shocked! ;La Cour est sous le choc ! ;Der Hof ist schockiert!;;¡La Corte está conmocionada!;;;;;;;;;x
crazymurderdog_tooltip;Their family will be rather upset. ;Sa famille sera très contrariée. ;Seine Familie wird ziemlich sauer sein.;;Su familia se disgustará.;;;;;;;;;x
immortal_hunter_tooltip;You are, or you believe yourself to be, a great hunter and trainer of unusual creatures. Creatures which get hungry... ;Vous êtes, ou vous croyez être, un grand chasseur et dompteur d'animaux rares. Des créatures qui ont faim... ;Sie sind, oder Sie glauben, ein großer Jäger zu sein und ein Dompteur von ungewöhnlichen Kreaturen. Kreaturen, die Hunger bekommen... ;;Usted es, o que creen que son, un gran cazador y entrenador de criaturas inusuales. Criaturas, que da hambre... ;;;;;;;;;x
IMMORTAL_RIVAL_COMING_TOOLTIP;How ominous.;Cela ne présage rien de bon.;Wie bedrohlich.;;¿Cómo de mal agüero.;;;;;;;;;x
pick_main_deity_timer_tooltip;Has not picked a patron deity for 10 years.\n;N'a pas choisi de divinité protectrice depuis 10 ans.\n;Hat seit 10 Jahren keine Schutzgottheit ausgewählt.\n;;No ha elegido a una deidad protectora en 10 años.\n;;;;;;x
pick_main_deity_tooltip;§Y[Root.GetTitledFirstName]§! gets to pick a new patron deity to worship.;[Root.Get_Le_TitledFirstNameJ] a à choisir une divinité protectrice à adorer.;§Y[Root.GetTitledFirstName]§! darf eine neue Schutzgottheit zum Anbeten auswählen.;;§Y[Root.GetTitledFirstName]§! puede elegir a una nueva deidad protectora a la que adorar.;;;;;;x
CHESS_GOOD_MOVE_100;§Y100%§! chance of you making a good move.;§Y100%§! de chance que vous fassiez un bon coup.;§Y100%§! Chance, dass Ihr einen guten Zug macht.;;§Y100%§! de posibilidades de hacer un buen movimiento;;;;;x
CHESS_GREAT_MOVE_100;§Y100%§! chance of you making a great move.;§Y100%§! de chance que vous fassiez un excellent coup.;100% Chance, dass Ihr einen großartigen Zug macht.;;§Y100%§! de posibilidades de hacer un gran movimiento;;;;;x
3_year_physician_cooldown;Can only look for a Physician once every §Y3§! years;Peut seulement rechercher un physicien tous les §Ytrois ans§!;Es kann nur alle §Y3§! Jahre nach einem Hofarzt gesucht werden.;;Solo puedes buscar un Médico una vez cada §Y3§! años;;;;;;;;;x
245.d2;[Root.GetBestName] received a crushing blow to the head in battle and suffered terrible injury to [Root.GetPossPronoun] face.;[Root.Get_only_Le_Title][Root.GetBestName] a reçu un grand coup à la tête durant la bataille et souffre d'une terrible blessure au visage.;[Root.GetBestName] erlitt im Kampf einen schrecklichen Schlag gegen den Kopf und ist nun durch eine grässliche Gesichtsverletzung entstellt.;;[Root.GetBestName] recibió un horrendo golpe en la cabeza en la batalla y [Root.GetPossPronoun] cara sufrió una herida horrible.;;;;;;;;;x
add_symptom_tooltip;You begin to feel unwell;Vous commencez à vous sentir mal;Ihr fühlt Euch nicht so gut;;Empiezas a sentirte mal;;;;;;;;;x
become_bedridden_ill;Becomes bedridden with illness;Souffre d'une maladie et doit rester au lit;Wird durch eine Krankheit ans Bett gefesselt;;Guarda cama por enfermedad;;;;;;;;;x
become_mild_ill;Suffers a mild illness;Souffre d'une maladie bénigne;Leidet an einer leichten Krankheit;;Sufre una enfermedad suave;;;;;;;;;x
become_normal_ill;Suffers a normal illness;Souffre d'une maladie ordinaire;Leidet an einer normalen Krankheit;;Sufre una enfermedad normal;;;;;;;;;x
become_severe_ill;Suffers a severe illness;Souffre d'une maladie grave;Leidet an einer schweren Krankheit;;Sufre una enfermedad grave;;;;;;;;;x
become_vaishya;Become Vaishya Caste;Appartenir à la caste des vaishya;Zur Vaishyakaste wechseln;;Convertirse en casta Vaishya.;;;;;;;;;x
