#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTTITLEHF25200;The Arm-wrestling Challenge;Le défi du bras de fer;Die Armdrücken-Herausforderung;;El desafío del pulso;;;;;;;;x
EVTTITLEHF25226;The Dice Game;Le jeu de dés;Das Würfelspiel;;El juego de dados;;;;;;;;x
EVTTITLEHF25250;The Flyting;La joute verbale;Der Dichterwettstreit;;El duelo de ingenios;;;;;;;;x
EVTTITLEHF25280;The Drinking Contest;Le concours de boisson;Der Trinkwettbewerb;;El concurso de bebida;;;;;;;;x

EVTDESCHF25200;Spirits are high at the Lodge tonight, and I am itching for a challenge. Many important warriors have gathered in the large hall to celebrate a recent hunt, giving me no shortage of capable warriors to test my strength with.;Les esprits s'échauffent ce soir à la Loge et je suis impatient[Root.Get_E] de relever un défi. Beaucoup de guerriers importants se sont rassemblés dans la grande salle pour célébrer une chasse récente. Je ne risque pas de manquer d'adversaires contre qui tester ma force.;Die Stimmung ist der Loge ist heute hoch und ich bin auf der Suche nach einer Herausforderung. Viele wichtige Krieger haben sich in der großen Halle versammelt, um eine kürzliche Jagd zu feiern und mir fehlt es daher nicht an fähigen Kriegern an denen ich meine Stärke testen kann.;;La logia está muy animada esta noche y me muero por un desafío. Se han reunido muchos guerreros importantes en la logia para celebrar una cacería reciente y no hay pocos guerreros capaces contra los que medir mis fuerzas.;;;;;;;;x
EVTDESCHF25201;Many important warriors have gathered in the Lodge tonight in order to celebrate a recent hunt. I have barely joined some of my friends in the festivities when [From.GetTitledFirstName] barges in, claiming that [From.GetSheHe] is twice as strong as I am and challenging me to an arm-wrestling match to prove it.;Beaucoup de guerriers importants se sont rassemblés dans la Loge ce soir pour célébrer une récente chasse. Je viens à peine de rejoindre des amis quand [From.Get_le_TitledFirstName] fait irruption. [From.GetIlElleCap] affirme être deux fois plus fort[From.Get_E] que moi et me défie au bras de fer pour le prouver.;Viele wichtige Krieger haben sich heute Nacht in der Loge versammelt, um eine kürzlich stattgefundene Jagd zu feiern. Ich habe mich kaum einigen meiner Freunde bei den Feierlichkeiten angeschlossen, als auch schon [From.GetTitledFirstName] hereinkommt, behauptet [From.GetSheHe] sei doppelt so stark wie ich und mich zum Armdrücken herausfordert um dies zu beweisen.;;Esta noche se han reunido muchos guerreros importantes en la logia para celebrar una cacería reciente. Apenas me había unido a los festejos cuando entra [From.GetTitledFirstName], afirmando que es el doble de fuerte que yo y me desafía a un duelo de pulso para demostrarlo.;;;;;;;;x
EVTDESCHF25202;[From.GetTitledFirstName] was too much of a coward to meet my challenge. [From.GetSheHeCap] excused [From.GetHerselfHimself] and left the hall in a hurry rather than test [From.GetHerHis] strength against mine.;[From.Get_Le_TitledFirstName] était trop lâche pour relever mon défi. Il s'est excusé et a quitté la salle à la hâte plutôt que de confronter sa force à la mienne.;[From.GetTitledFirstName] war zu feige, um meine Herausforderung anzunehmen. [From.GetSheHeCap] entschuldigte sich und verließ die Halle in Eile statt [From.GetHerHis]e Stärke gegen die meine zu testen.;;[From.GetTitledFirstName] fue demasiado cobarde para aceptar mi desafío, se excusó y salió corriendo del salón principal antes de medir sus fuerzas con las mías.;;;;;;;;x
EVTDESCHF25203;[From.GetFirstName] and I sit one in front of the other, preparing ourselves for the game. We put our arms on the table while a third fighter holds our fists still. The crowd around us chants a disjointed countdown, and cheers as we start pushing against each other.;[From.GetFirstName] et moi sommes assis l'un en face de l'autre, bientôt prêts pour le match. Nous mettons nos bras sur la table tandis qu'un troisième combattant tient encore nos poings. La foule autour de nous compte à rebours et nous encourage, tandis que nous commençons à pousser nos poings.;[From.GetFirstName] und ich sitzen voreinander und bereiten uns auf das Spiel vor. Wir legen unsere Waffen auf den Tisch, während ein dritter Krieger unsere Fäuste zusammen hält. Die Menge um uns herum zählt rückwärts herunter und jubelt, als wir anfangen uns gegeneinander zu drücken.;;[From.GetTitledFirstName] y yo nos sentamos frente a frente, preparándonos para el duelo. Ponemos los brazos en la mesa mientras un tercer luchador nos retiene los puños. La concurrencia que nos rodea canta una cuenta atrás deshilvanada y vitorea cuando empezamos a empujar, ;;;;;;;;x
EVTDESCHF25206;For a while, it seemed as if victory was assured. I was slowly pushing [From.GetFirstName]'s hand closer and closer to the table. Yet, all of a sudden, [From.GetSheHe] has started to gain back ground, getting [From.GetHerHis] hand back up and starting to push on the opposite side.;Pendant un moment, la victoire me semblait assurée. Je poussais lentement la main de [From.GetFirstName] de plus en plus près de la table. Pourtant, tout d'un coup, il a commencé à gagner du terrain, à remonter sa main et même à pousser du côté opposé.;Für eine Weile schien es, als sei der Sieg sicher. Ich drücke die Hand von [From.GetFirstName] langsam immer näher zum Tisch, doch plötzlich hat [From.GetSheHe] wieder an Boden gut gemacht, [From.GetHerHis]e Hand wieder hoch bekommen und drückt nun auf die andere Seite.;;Por un momento pareció que la victoria era segura. Estaba llevando lentamente la mano de [From.GetFirstName] cada vez más cerca de la mesa. Sin embargo, de repente [From.GetFirstName] ha empezado a recuperar terreno, subiendo la mano y empezando a empujar hacia el otro lado.;;;;;;;;x
EVTDESCHF25212;Things are not looking great for [From.GetFirstName]. I am slowly managing to get [From.GetHerHis] knuckles on the table, despite [From.GetHerHis] best efforts to push my hand back. When [From.GetSheHe] suddenly shouts a semi-coherent warning about something dangerous behind me, I am baffled.;Les choses ne se passent pas très bien pour [From.GetFirstName]. Je réussis lentement à rapprocher ses doigts de la table, malgré tous ses efforts pour repousser ma main. Soudain, [From.GetIlElle] crie un avertissement semi-cohérent au sujet de quelque chose de dangereux derrière moi, ce qui me déconcerte.;Die Dinge sehen nicht gut aus für [From.GetFirstName]. Ich schaffe es langsam seinen Knöchel auf den Tisch zu bekommen, trotzt [From.GetHerHis]er besten Bemühungen meine Hand zurückzudrücken. Als [From.GetSheHe] dann aber plötzlich eine halb-schlüssige Warnung von etwas Gefährlichem hinter mir ruft, bin ich verblüfft.;;Las cosas no pintan bien para [From.GetFirstName], Lentamente logro llevar sus nudillos contra la mesa, a pesar de sus mejores esfuerzos por volver a empujarme la mano. Cuando de repente grita una amenaza semicoherente, quedo perplej[Root.GetOA].;;;;;;;;x
EVTDESCHF25215;With a loud thud, I slam [wl_arm_wrestling_loser.GetFirstName]'s fist against the table, earning a shower of cheers from the other warriors gathered around us. My opponent glares at me and mumbles something about accepting defeat as [wl_arm_wrestling_loser.GetSheHe] rubs [wl_arm_wrestling_loser.GetHerHis] hand.;Je claque le poing de [wl_arm_wrestling_loser.GetFirstName] contre la table et reçois une pluie d'acclamations de la part des autres guerriers rassemblés autour de nous. Mon adversaire me lance un regard noir et marmonne quelque chose à propos de l'acceptation de la défaite tandis qu'[wl_arm_wrestling_loser.GetIlElle] se masse la main.;Mit einem lauten Knall schlage ich die Faust von [wl_arm_wrestling_loser.GetFirstName] gegen den Tisch und ernte Jubel von den anderen Krieger, die sich um uns versammelt hatten. Mein Gegner starrt mich an und murmelt etwas über die Akzeptanz der Niederlage während [wl_arm_wrestling_loser.GetSheHe] [wl_arm_wrestling_loser.GetHerHis]e Hände reibt.;;Con un fuerte golpe, estampo el puño de [wl_arm_wrestling_loser.GetFirstName] contra la mesa, recibiendo aclamaciones de los guerreros que nos rodean. Mi oponente me mira con odio y murmura algo de aceptar la derrota mientras se frota la mano.;;;;;;;;x
EVTDESCHF25216;With a loud thud, [wl_arm_wrestling_winner.GetFirstName] slams my fist against the table, earning a shower of cheers from the other warriors gathered around us. As if defeating me wasn't enough, [wl_arm_wrestling_winner.GetSheHe] starts mocking me openly.;[wl_arm_wrestling_winner.GetFirstName] claque mon poing contre la table et reçoit une pluie d'acclamations de la part des autres guerriers rassemblés autour de nous. Comme si me battre ne suffisait pas, [wl_arm_wrestling_winner.GetIlElle] se moque ouvertement de moi.;Mit einem lauten Knall schlägt [wl_arm_wrestling_winner.GetFirstName] meine Faust auf den Tisch und erntet dadurch den Jubel der anderen Krieger, die sich um uns versammelt haben. Als ob der Sieg nicht genug wäre, beginnt [wl_arm_wrestling_winner.GetSheHe] anschließend auch noch mich offen zu beleidigen.;;Con un fuerte golpe, [wl_arm_wrestling_winner.GetFirstName] me estampa el puño contra la mesa, recibiendo aclamaciones de los guerreros que nos rodean. Como si vencerme no fuera bastante, ahora empieza a burlarse abiertamente de mí.;;;;;;;;x
