#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ADD_WONDER_EFFECT;$TYPE|Y$ is constructed.\n;$TYPE|Y$ est construit.\n;$TYPE|Y$ wird gebaut.\n;;$TYPE|Y$ construido.\n;;;;;;;;;x
ANY_OWNED_WONDER_STARTS;Any Demesne Great Work;Tout grand ouvrage du domaine;Beliebiges Großes Bauwerk in der Domäne;;Cualquier gran obra de la heredad;;;;;;;;;x
ANY_OWNED_WONDER_UPGRADE_STARTS;Any Demesne Great Work Feature;Toute caractéristique de grand ouvrage du domaine;Beliebige Verbesserung eines Großes Bauwerks in der Domäne;;Cualquier elemento de gran obra de la heredad;;;;;;;;;x
ANY_PREVIOUS_WONDER_OWNER_STARTS;Any Previous Owner of Great Work;Tout précédent détenteur de grand ouvrage;Beliebige vorherige Besitzer Gr0ßer Bauwerke;;Cualquier expropietario de gran obra;;;;;;;;;x
ANY_REALM_WONDER_STARTS;Any Great Work in Realm;Tout grand ouvrage du pays;Beliebiges Großes Bauwerk im Reich;;Cualquier gran obra del reino;;;;;;;;;x
ANY_REALM_WONDER_UPGRADE_STARTS;Any Great Work Feature in Realm;Toute caractéristique de grand ouvrage du pays;Beliebige Verbesserung eines Großes Bauwerks im Reich;;Cualquier elemento de gran obra del reino;;;;;;;;;x
ANY_UPGRADE_ON_WONDER;Any Feature on Great Work;Toute caractéristique d'un grand ouvrage;Beliebige Verbesserung bei einem Großen Bauwerk;;Cualquier elemento de gran obra;;;;;;;;;x
ANY_WONDER_OWNER_STARTS;Any Great Work Owner;Tout détenteur de grand ouvrage;Beliebiger Besitzer Großer Bauwerke;;Cualquier propietario de gran obra;;;;;;;;;x
ANY_WONDER_STARTS;Any Great Work;Tout grand ouvrage;Beliebiges Großes Bauwerk;;Cualquier gran obra;;;;;;;;;x
ANY_WONDER_UPGRADE_STARTS;Any Great Work Feature;Toute caractéristique de grand ouvrage;Beliebige Verbesserung eines Großes Bauwerks;;Cualquier elemento de gran obra;;;;;;;;;x
AVAILABE_FEAT_SCORE;Available score;Score disponible;Mögliche Punkte;;Puntuación alcanzable;;;;;;;;;x
AVAILABLE_CAP;Available;Disponible;Verfügbar;;Terminada;;;;;;;;;x
