#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTTITLE_LT_21110;King Henry of England is Dead!;Le roi Henri d'Angleterre est mort !;König Heinrich von England ist tot!;;¡El rey Enrique de Inglaterra ha muerto!;;;;;;;;;x

EVTDESC_LT_21110;Henry I just died without a male heir. You, together with the other nobles of the realm promised to accept his daughter Matilda as queen. But not all are happy with having a woman sitting on the English Throne. As a nephew of the late king, if you depart immediately to London you can claim the throne for yourself. Or, you can let Matilda know that she has your support.;Henri Ier vient de mourir sans héritier mâle. Vous, ainsi que les autres nobles du Royaume, avez promis d’accepter sa fille Mathilde comme reine. Cependant, tout le monde n'est pas content d'avoir une femme assise sur le trône anglais. En tant que neveu du roi décédé, vous pourriez revendiquer le trône en partant immédiatement pour Londres ou alors faire savoir à Mathilde qu'elle a votre soutien.;Heinrich I. starb ohne einen männlichen Erben. Ihr habt zusammen mit den anderen Adeligen des Reiches versprochen, seine Tochter Matilda als Königin zu akzeptieren. Doch nicht alle sind glücklich mit einer Frau, die auf dem englischen Thron sitzt. Wenn Ihr als Neffe des verstorbenen Königs sofort nach London abreisen, könnt Ihr vielleicht den Thron für Euch beanspruchen. Ihr könnt aber auch Matilda wissen lassen, dass sie Eure Unterstützung genießt.;;Enrique acaba de morir sin un heredero varón. Tú, junto con otros nobles de reino, prometiste aceptar a su hija Matilde como reina. Pero no a todos les hace gracia tener una mujer en el trono de Inglaterra. Como sobrino del difunto rey, si partes inmediatamente a Londres, podrás reclamar el trono para ti. O puedes hacer saber a Matilde que cuenta con tu apoyo.;;;;;;;;;x
EVTDESC_LT_21120;Your father, [FromFrom.GetTitledName], just died without a male heir. A few years prior, he made his nobles promise to support you and your oldest son as his only living legitimate heirs. Granted, not all are happy having a woman sitting on the English Throne, but your cousin, the powerful [From.GetTitledName], announced [From.GetHerHis] support to your claim, followed by most of the nobility.;Votre père, [FromFrom.Get_le_TitledName], vient de mourir sans héritier mâle. Quelques années auparavant, il a fait promettre aux nobles de vous soutenir, vous ainsi que votre fils aîné, en tant que ses seuls héritiers légitimes. Certes, tous ne sont pas contents d'avoir une femme assise sur le trône anglais, mais votre cousin, le puissant [From.GetTitledName], ainsi que la plus grande partie de la noblesse, ont annoncé soutenir votre revendication.;Euer Vater, [FromFrom.GetTitledName], ist ohne einen männlichen Erben gestorben. Vor einigen Jahren gab er sein Versprechen ab, Euch und Euren ältesten Sohn als seine einzigen lebenden legitimen Erben zu unterstützen. Zugegeben, nicht alle sind erfreut darüber, wenn eine Frau auf dem englischen Thron sitzt, aber Euer Cousin, [From.GetTitledName], kündigte [From.GetHerHis]e Unterstützung für Euren Anspruch an, zusammen mit einem Großteil des Adels.;;Tu padre, [FromFrom.GetTitledName], acaba de morir sin un heredero varón. Pocos años antes, hizo que sus nobles prometieran que te apoyarían a ti y a tu hijo mayor como sus únicos herederos legítimos vivos. Aunque no a todos les hace gracia tener una mujer en el trono de Inglaterra, tu primo, el poderoso [From.GetTitledName], ha anunciado que apoya tus derechos, seguido por el resto de la nobleza.;;;;;;;;;x
EVTDESC_LT_21121;[FromFromFrom.GetTitledName] just died without a male heir. The nobles of the realm, keeping an oath given to the king, have accepted his only living legitimate heir, [From.GetFirstName], as Queen. It is likely to also strengthen her husband, [matilda_spouse.GetTitledName], and upset the balance of power in France.;[FromFromFrom.Get_Le_TitledName] vient de mourir sans héritier mâle. Les nobles du Royaume, respectant le serment prêté au roi, ont accepté son seul héritier légitime vivant, [From.GetFirstName], en tant que reine. Cela devrait également rendre plus puissant son mari, [matilda_spouse.Get_le_TitledName], et ainsi bouleverser les rapports de force en France.;[FromFromFrom.GetTitledName] starb ohne einen männlichen Erben. Die Adligen des Reiches, die dem König einen Eid geleistet haben, haben seine einzig lebende legitime Erbin [From.GetFirstName] als Königin akzeptiert. Dies wird wahrscheinlich auch ihren Ehemann [matilda_spouse.GetTitledName] stärken und das Machtgleichgewicht in Frankreich stören.;;[FromFromFrom.GetTitledName] acaba de morir sin un heredero varón. Los nobles del reino, cumpliendo una promesa hecha al rey, han aceptado a [From.GetFirstName], su única heredera legítima viva, como reina. Es probable que también refuerce a su marido, [matilda_spouse.GetTitledName], y altere el equilibrio del poder en Francia.;;;;;;;;;x
EVTDESC_LT_21130;Your father, [FromFrom.GetTitledName] just died without a male heir. A few years prior, he made his nobles promise to support you and your oldest son, as his only living legitimate heirs. However, not all were happy to have a woman sit on the English Throne – your cousin, the powerful [From.GetTitledName], took to England and in claiming the Kingdom for himself, usurped your rights, and was accepted by most of the nobility in the process.;Votre père, [FromFrom.Get_le_TitledName], vient de mourir sans héritier mâle. Quelques années auparavant, il a fait promettre aux nobles de vous soutenir, vous ainsi que votre fils aîné, en tant que ses seuls héritiers légitimes. Cependant, ils n'étaient pas tous contents de voir une femme s'asseoir sur le trône anglais. Votre cousin, le puissant [From.GetTitledName], s'est rendu en Angleterre et a revendiqué le trône, usurpant vos droits, ce qui a été accepté par la plupart des nobles.;Euer Vater, [FromFrom.GetTitledName], ist ohne einen männlichen Erben gestorben. Ein paar Jahre zuvor hat er den Adel dazu gebracht zu versprechen, Euch und Euren ältesten Sohn als seine einzigen lebenden legitimen Erben zu unterstützen. Es sind allerdings nicht alle glücklich, eine Frau auf dem englischen Thron sitzen zu lassen. Euer Cousin, [From.GetTitledName], machte sich nach England auf, möchte das Königreich für sich beanspruchte und damit Euer Recht auf den Thron untergraben. Schlimmer noch hat ein Großteil des Adels diesem Prozess zugestimmt.;;Tu padre, [FromFrom.GetTitledName], acaba de morir sin un heredero varón. Pocos años antes, hizo que sus nobles prometieran que te apoyarían a ti y a tu hijo mayor como sus únicos herederos legítimos vivos. Sin embargo, no a todos les hace gracia tener una mujer en el trono inglés, y tu primo, el poderoso [From.GetTitledName], ha marchado a Inglaterra y reclamado el reino para sí, usurpando tus derechos, con el apoyo de paso de la mayoría de la nobleza.;;;;;;;;;x
EVTDESC_LT_21131;Your father in law, [FromFrom.GetTitledName] just died without a male heir. A few years prior, he made his nobles promise to support your wife [matilda.GetFirstName] and your oldest son as his only living legitimate heirs. But not all are happy having a woman on the English Throne, and [FromFrom.GetFirstName]'s nephew [From.GetFirstName] has come to England, claiming the Kingdom for himself and usurping your rights in the process. Most of the English nobles seem ready to recognize his illegitimate claim, but perhaps decisive action could change things.;Votre père, [FromFrom.Get_le_TitledName], vient de mourir sans héritier mâle. Quelques années auparavant, il a fait promettre aux nobles de vous soutenir, vous ainsi que votre fils aîné, en tant que ses seuls héritiers légitimes. Ils ne sont pas tous contents d'avoir une femme assise sur le trône anglais et le neveu de [FromFrom.GetFirstName] est arrivé en Angleterre pour revendiquer le Royaume, usurpant ainsi vos droits. La plupart des nobles anglais semblent prêts à reconnaître sa revendication illégitime, mais une intervention de votre part pourrait être décisive.;Euer Schwiegervater, [FromFrom.GetTitledName], starb ohne einen männlichen Erben. Vor einigen Jahren hat er seinem Adel das Versprechen abgenommen, Eure Frau [matilda.GetFirstName] und Euren ältesten Sohn als seine einzigen lebenden legitimen Erben zu unterstützen. Doch nicht alle sind froh darüber, eine Frau auf dem englischen Thron zu haben und der Neffe von [FromFrom.GetFirstName], [From.GetFirstName], ist daher nach England aufgebrochen, um das Königreich für sich zu beansprucht. Die meisten englischen Adligen scheinen bereit zu sein, seine unrechtmäßige Behauptung anzuerkennen, aber entscheidendes Handeln eurerseits könnte die Dinge ändern.;;Tu suegro, [FromFrom.GetTitledName], acaba de morir sin un heredero varón. Pocos años antes, hizo que sus nobles prometieran que apoyar a tu esposa [matilda.GetFirstName] y a vuestro hijo mayor como sus únicos herederos legítimos vivos. Pero, no a todos les hace gracia tener una mujer en el trono inglés, y [From.GetFirstName], el sobrino de [FromFrom.GetFirstName] ha llegado a Inglaterra, reclamando el trono para sí y con ello usurpando vuestros derechos. La mayoría de los nobles ingleses parecen listos para reconocer sus derechos ilegítimos, pero una acción decidida puede cambiar las cosas.;;;;;;;;;x

EVTOPTA_LT_21110;Let Matilda know that [Root.GetTitledName] is a man of his word.;Dites à Mathilde que [Root.Get_le_TitledName] est un homme de parole.;Lasst Matilda wissen, dass [Root.GetTitledName] sein Wort hält.;;Que Matilde sepa que [Root.GetTitledName] es un hombre de palabra.;;;;;;;;;x
EVTOPTA_LT_21120;I will thus assume the mantle of my father.;Je vais donc endosser le rôle de mon père.;Ich werde den Mantel meines Vaters überstreifen.;;Así pues, reclamaré el trono de mi padre.;;;;;;;;;x
EVTOPTA_LT_21121;Interesting news.;Intéressantes nouvelles.;Interessante Neuigkeiten.;;Interesantes noticias.;;;;;;;;;x
