#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

evt_TITLE_LT_60001;A Town is Born;Une ville est née;Eine Stadt ist geboren;;Nace una ciudad;;;;;;;;x
evt_TITLE_LT_60101;[target_wonder.GetName];[target_wonder.GetName];[target_wonder.GetName];;[target_wonder.GetName];;;;;;;;x
evt_TITLE_LT_60201;Fountain of Youth;Fontaine de jeunesse;Jungbrunnen;;Fuente de la juventud;;;;;x
evt_TITLE_LT_60301;Evening at the Tavern;Un soir à l'auberge;Ein Abend in der Taverne;;Tarde en la taberna;;;;;;;;;x
evt_TITLE_LT_60302;Another!;Un autre !;Noch eins!;;¡Otra!;;;;;;;;;x
evt_TITLE_LT_60401;Deadly Traps;Pièges mortels;Tödliche Fallen;;Trampas mortales;;;;;;;;;x
evt_TITLE_LT_60601;Crumbling Masterwork;Chef d’œuvre tombant en ruines;Zerbröckelndes Meisterwerk;;Obra maestra derrumbándose;;;;;;;;;x
evt_TITLE_LT_60701;Herbs in the [target_province.GetName];Herbes de [target_province.GetName];Kräuter aus [target_province.GetName];;Hierbas en [target_province.GetName];;;;;;;;;x

EVTDESC_LT_60001;The [target_wonder.GetName] has become a center for travelers and commerce, and some people have decided to settle close to the [target_wonder.GetWonderAdj] construction. The latest reports mention children, dogs, and cattle — they are obviously putting down deep roots.;Le [target_wonder.GetName] est important pour les voyageurs et le commerce et des personnes ont décidé de s’installer près de cette majestueuse construction. Les derniers rapports mentionnent des enfants, des chiens et du bétail — ils semblent être là pour longtemps.;[target_wonder.GetName] hat sich zu einem Zentrum für Reisende und Handel entwickelt und einige haben sich entschieden, sich nahe an der Konstruktion [target_wonder.GetWonderAdj] niederzulassen. Die neuesten Meldungen berichten von Kindern, Hunden und Vieh. Sie haben sich offensichtlich tief verwurzelt.;;El/La [target_wonder.GetName] se ha convertido en un centro para viajeros y el comercio y algunos han decidido asentarse cerca de la construcción [target_wonder.GetWonderAdj]. Los últimos informes mencionan niños, perros y ganado. Es obvio que están echando raíces.;;;;;;;;x
EVTDESC_LT_60101;My scribes have been frequenting the [target_wonder.GetName] during their toil to finish my book. As they present me with a new extract it is clear that it has been a great help – the quality of the text is beyond reproach!;Mes scribes ont fréquenté le [target_wonder.GetName] pendant leur dur labeur pour finir mon livre. Lorsqu'ils me présentent un nouvel extrait, il est clair que cela a été d'une grande aide – la qualité du texte est irréprochable !;Meine Schreiber haben während ihrer Arbeit oft das [target_wonder.GetName] besucht, um mein Buch zu beenden. Jetzt, wo sie mir einen neuen Auszug daraus präsentieren, wird offensichtlich, dass es eine große Hilfe dabei war. Die Qualität des Textes kann nicht beanstandet werden!;;Mis escribanos han estado frecuentando el/la [target_wonder.GetName] en su tarea por terminar mi libro. Cuando me presenta el nuevo extracto, está claro que fue de una gran ayuda. ¡La calidad del texto es irreprochable!;;;;;;;;x
EVTDESC_LT_60201_1;I kneel beside a fountain in the [target_wonder.GetName] and lower a cup into the water. As I drink deeply a tingling sensation spreads in my whole body, and I am left with energy and vigor I haven't felt in years!;Je m'agenouille à côté d'une fontaine dans le [target_wonder.GetName] et plonge une coupe dans l'eau. Buvant à grandes gorgées, une sensation de picotement se propage dans tout mon corps et une vigueur que je n'ai pas ressentie depuis des années m'envahit !;Ich knie neben dem Brunnen von [target_wonder.GetName] nieder und führe meinen Becher durch das Wasser. Als ich einen tiefen Schluck nahm, breitet sich ein Kribbeln in meinem ganzen Körper aus und ich fühle Energie und Kraft, die ich seit Jahren nicht mehr empfunden habe!;;Me arrodillo junto a una fuente en el/la [target_wonder.GetName] y meto una copa en sus aguas. ¡Cuando la bebo, noto un hormigueo por todo el cuerpo y me queda una energía y un vigor que no había sentido en años!;;;;;;;;;x
EVTDESC_LT_60201_2;I jump into the [target_wonder.GetName], laughing with glee, and I am soon choking on the life-giving water as I swallow mouthful after mouthful. As I drag myself up onto the ledge with shaking arms I soon stop smiling...;Je saute dans la [target_wonder.GetName], riant de joie et je m'étouffe bientôt en avalant abondamment de l'eau source de vie. Puis, je me traîne sur le rebord avec les bras tremblants et arrête de sourire...;Ich springe in den [target_wonder.GetName] und lache vor Freude, doch Schluck für Schluck ersticke ich immer mehr an dem lebensbringendem Wasser. Als ich mich mit zitternden Armen auf die Kante ziehe, höre ich auf zu lächeln ...;;Salto a la [target_wonder.GetName] riendo alegre y pronto me ahogo con las aguas vivificantes tragando un sorbo tras otro. Cuando me arrastro al borde con los brazos temblorosos voy dejando de sonreír…;;;;;x
EVTDESC_LT_60301;Warm light, accompanied by the lively murmur of conversation, spills out of the tavern close to the [target_wonder.GetName] as [drinking_buddy.GetTitledName] and I walk past.\n\n"What do you say about a cup of something soothing?";Une lumière chaude accompagnée du murmure de conversations émane de l'auberge près du [target_wonder.GetName] tandis que [drinking_buddy.Get_le_TitledName] et moi-même passons devant.\n\n« Que diriez-vous de prendre un verre ? »;Warmes Licht, begleitet vom lebhaften Murmeln der Unterhaltungen, strömt aus der Taverne in der Nähe von [target_wonder.GetName], während [drinking_buddy.GetTitledName] und ich vorbeigehen.\n\n"Was sagst du zu einem Becher mit etwas Beruhigendem?";;Una cálida luz, acompañada por el animado murmullo de la conversación, sale de la taberna cerca del/de la [target_wonder.GetName] mientras [drinking_buddy.GetTitledName] y yo pasamos por delante.\n\n"¿Qué te parece una copa de algo relajante?";;;;;;;;;x
EVTDESC_LT_60302;After my initial visit to the tavern close to the [target_wonder.GetName] I have not been able to keep away. More often than not I find myself seeking the comfort of a big cup of [Root.GetAlcohol] after a long day.;Lors de ma première visite à l'auberge proche du [target_wonder.GetName], je ne peux pas résister. Je me retrouve à chercher le réconfort dans un grand verre [Root.GetAlcohol] après une longue journée.;Nach meinem ersten Besuch in der Taverne in der Nähe von [target_wonder.GetName] konnte ich mich nicht fernhalten. Meistens suche ich nach einem langen Tag den Komfort eines großen Bechers voller [Root.GetAlcohol] auf.;;Tras mi visita inicia a la taberna cercana al/a la [target_wonder.GetName], no he sido capaz de alejarme de ella. A menudo me encuentro buscando el consuelo de un buen trago de [Root.GetAlcohol] tras un día largo.;;;;;;;;;x
