#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ACCEPT_SECRETLY_WORSHIP_OLD_RELIGION;Accept, but secretly worship [Root.Religion.GetHighGodName];Vous acceptez, mais vous adorez [Root.Get_le_HighGod] en secret;Annehmen, aber heimlich [Root.Religion.GetHighGodName] verehren;;Aceptar, pero venerar secretamente a [Root.Religion.GetHighGodName];;;;;;;;;x
accessible_lab_tooltip;The plans for your laboratory will only be dictated by what is most efficient but your secrets will not be as well guarded.;Votre projet de laboratoire sera seulement guidé par ce qui est le plus efficace, mais vos secrets ne seront pas si bien gardés.;Die Pläne für Euer Labor werden ausschließlich darauf ausgerichtet sein, was am effizientesten ist, doch Eure Geheimnisse werden nicht allzu gut geschützt sein.;;Los planos de tu laboratorio se dictarán únicamente por lo que resulte más eficaz, pero es posible que tus secretos no se guarden tan bien.;;;;;;;;;x
accomodate_gossipers_tooltip;[Root.GetFullName] will make changes to [Root.GetHerHis] laboratory to placate the frightened locals rather than to increase efficiency.;[Root.GetFullName] va apporter des changements à son laboratoire pour apaiser les locaux effrayés plutôt que d'en accroître l'efficacité.;[Root.GetFullName] wird Änderungen an [Root.GetHerHis]em Labor vornehmen, aber nicht, um dessen Effizienz zu steigern, sondern um die verängstigten Einheimischen zu beschwichtigen.;;[Root.GetFullName] hará cambios a su laboratorio para aplacar a los campesinos asustados en lugar de aumentar su eficiencia.;;;;;;;;;x
acquire_ingredients_decision_apprentice_requirement;Has a vassal with the apprentice minor title;A un vassal avec le titre mineur d'apprenti;Hat einen Vasallen mit dem niedrigen Titel eines Lehrlings;;Tiene un vasallo con el título menor de aprendiz.;;;;;;;;;x
acquire_ingredients_decision_cooldown_timer_tt;Has NOT recently ventured to acquired ingredients;Ne s'est pas aventuré récemment à acquérir des ingrédients;Hat sich in letzter Zeit NICHT dazu aufgemacht, Zutaten zu erwerben;;No se ha marchado recientemente en busca de ingredientes.;;;;;;;;;x
acquire_ingredients_decision_too_many_ingredients;Does NOT have a full stockpile of ingredients;N'a pas une réserve remplie d'ingrédients;Hat NICHT einen vollen Vorrat an Zutaten;;No tiene un acopio completo de ingredientes.;;;;;;;;;x
acquire_ingredients_effect_tooltip;You call upon your apprentice to accompany you in a venture to gather ingredients with alchemical properties.\n;Vous appelez votre apprenti pour qu'il vous accompagne à la recherche d'ingrédients aux propriétés alchimiques.\n;Ihr bittet Euren Lehrling, Euch bei einem Unterfangen zu begleiten, um Zutaten mit alchemistischen Eigenschaften zu sammeln.\n;;Llamas a tu aprendiz para que viaje contigo y te ayude a reunir ingredientes con propiedades alquímicas.\n;;;;;;;;;x
ACTION_DESC_OFF_MAP;In $LIEGE|Y$'s court of $WHERE|Y$ to $ACTION|Y$;Se trouve à la cour de $LIEGE|Y$ en $WHERE|Y$ pour $ACTION|Y$;Befindet sich am Hof von $LIEGE|Y$ in $WHERE|Y$ mit folgendem Ziel: $ACTION|Y$;;$ACTION|Y$ (en la corte de $LIEGE|Y$ en $WHERE|Y$);;;;;;;;;x
ACTOR;Actor;Acteur;Darsteller;;Actor;;;;;;;;;x
ACTRESS;Actress;Actrice;Darstellerin;;Actriz;;;;;;;;;x
ADD_ARTIFACT_TO;Adds $ARTIFACT|Y$ to the treasury of $CHAR|Y$\n;Ajoute '$ARTIFACT|Y$' au trésor de $CHAR|Y$\n;Fügt der Schatzkammer von $CHAR|Y$ "$ARTIFACT|Y$" hinzu\n;;Añade $ARTIFACT|Y$ a la cámara del tesoro de $CHAR|Y$.;;;;;;;;;x
ADD_SOCIETY_MODIFIER_EFFECT_DESC;$MODIFIER|Y$ is added to $SOCIETY|Y$ society until $DATE|Y$;'$MODIFIER|Y$' est ajouté à la société '$SOCIETY|Y$' jusqu'au $DATE|Y$;$MODIFIER|Y$ wird "$SOCIETY|Y$"-Zirkel bis zum $DATE|Y$ hinzugefügt;;[Root.Society.GetNameCap] contará con el modificador $MODIFIER|Y$ hasta el $DATE|Y$.;;;;;;;;;x
ADD_SOCIETY_MODIFIER_EFFECT_ETERNAL_DESC;$MODIFIER|Y$ is added to $SOCIETY|Y$ society;'$MODIFIER|Y$' est ajouté à la société '$SOCIETY|Y$';$MODIFIER|Y$ wird "$SOCIETY|Y$"-Zirkel hinzugefügt;;[Root.Society.GetNameCap] está recibiendo el modificador $MODIFIER|Y$.;;;;;;;;;x
AIREASON_HARD_TO_CONVERT;Religion is resistant to conversion;La religion est résistante à la conversion;Religion ist resistent gegenüber Konvertierung;;Religión de difícil conversión.;;;;;;;;;x
AIREASON_MORE_HELP_USEFUL;The more the merrier;Plus on est de fous, plus on rit;Je mehr, desto besser;;Cuantos más, mejor.;;;;;;;;;x
AIREASON_OBEDIENT;Obedient;Obéissance;Gehorsam;;Obediente;;;;;;;;;x
AIREASON_PRESTIGIOUS;§Y[GetTitledFirstName]§! is Prestigious;§Y[GetTitledFirstName]§! est prestigieu[GetXSe];§Y[GetTitledFirstName]§! ist prestigeträchtig;;§Y[GetTitledFirstName]§! tiene prestigio;;;;;;;;;x
AIREASON_STATIC_BACKER;Scripted Backer;Soutien scripté du complot;Angeworbener Unterstützer;;Colaborador reclutado;;;;;;;;;x
alchemy_bad_ste_penalty;Divine Advice;Conseil divin;Göttlicher Rat;;Consejo divino;;;;;;;;;x
alchemy_bad_ste_penalty_desc;This character has received advice on alchemy from a divine source. So far, it seems to be working out very poorly!;Ce personnage a reçu des conseils sur l'alchimie par une source divine. Jusqu'à présent, il semble que cela fonctionne très mal !;Diese Person hat aus göttlicher Quelle Hilfe in der Alchemie erhalten. Bis jetzt scheint sich das sehr schlecht zu bewähren!;;Este personaje ha recibido consejos sobre alquimia de una fuente divina. ¡Hasta ahora parece que está yendo muy mal!;;;;;;;;;x
alchemy_good_ste_bonus;Divine Advice;Conseil divin;Göttlicher Rat;;Consejo divino;;;;;;;;;x
alchemy_good_ste_bonus_desc;This character has received advice on alchemy from a divine source. So far, it seems to be working out very well!;Ce personnage a reçu des conseils sur l'alchimie par une source divine. Jusqu'à présent, il semble que cela fonctionne très bien !;Diese Person hat aus göttlicher Quelle Hilfe in der Alchemie erhalten. Bis jetzt scheint sich das sehr gut zu bewähren!;;Este personaje ha recibido consejos sobre alquimia de una fuente divina. ¡Hasta ahora parece que está yendo muy bien!;;;;;;;;;x
alchemy_ste_bonus;Divine Advice;Conseil divin;Göttlicher Rat;;Consejo divino;;;;;;;;;x
alchemy_ste_bonus_desc;This character has received advice on alchemy from a divine source. So far, it seems to be working out rather well.;Ce personnage a reçu des conseils sur l'alchimie par une source divine. Jusqu'à présent, il semble que cela fonctionne plutôt bien.;Diese Person hat aus göttlicher Quelle Hilfe in der Alchemie erhalten. Bis jetzt scheint sich das ziemlich gut zu bewähren.;;Este personaje ha recibido consejos sobre alquimia de una fuente divina. Hasta ahora parece que está yendo muy bien.;;;;;;;;;x
alchemy_ste_penalty;Divine Advice;Conseil divin;Göttlicher Rat;;Consejo divino;;;;;;;;;x
alchemy_ste_penalty_desc;This character has received advice on alchemy from a divine source. So far, it seems to be working out rather poorly.;Ce personnage a reçu des conseils sur l'alchimie par une source divine. Jusqu'à présent, il semble que cela fonctionne plutôt mal.;Diese Person hat aus göttlicher Quelle Hilfe in der Alchemie erhalten. Bis jetzt scheint sich das ziemlich schlecht zu bewähren.;;Este personaje ha recibido consejos sobre alquimia de una fuente divina. Hasta ahora parece que está yendo bastante mal.;;;;;;;;;x
ALL_ARTIFACTS;All Artifacts;Tous les artefacts;Alle Artefakte;;Todos los artefactos;;;;;;;;;x
ALL_CONTROLLED_UNITS;All controlled armies;Toutes les armées contrôlées;Alle kontrollierten Armeen;;Todos los ejércitos controlados;;;;;;;;;x
ALL_QUEST_TARGETS;All quest targets;Toutes les cibles de quête;Alle Missionsziele;;Todos los objetivos de misión;;;;;;;;;x
ALL_QUESTERS;All characters with a mission:;Tous les personnages avec une mission:;Alle Personen mit einer Mission:;;Personajes con misiones:;;;;;;;;;x
ALL_QUESTERS_TARGETTING;All characters with a mission targeting:;Tous les personnages avec une mission ciblant:;Alle Personen mit Missionsziel:;;Personajes con el objetivo de misión:;;;;;;;;;x
ALLY_ORDER;Owner has the following order: $ORDER$;Le propriétaire a pour ordre: $ORDER$;Besitzer hat die folgenden Befehle: $ORDER$;;El propietario tiene esta orden: $ORDER$.;;;;;;;;;x
ALLY_ORDER_ATTACH_TITLE;§YAllied Order: Attach Army§!;§YOrdre allié: se joindre à l'armée§!;§YBefehl an Verbündete: Truppen anschließen§!;;§YOrden aliado: Unirse al ejército§!;;;;;;;;;x
