#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
AZTEC_DISEASE_INFO;This county has suffered an outbreak of Syphilis, a virulent strain of Great Pox brought here by the Aztecs.;Ce comté a souffert d'une épidémie de syphilis, une souche virulente de la grande vérole amenée par la mer par l'envahisseur aztèque.;Dieses Land leidet unter einem Ausbruch von Syphilis, einer ansteckenden Krankheit, die von den Azteken eingeschleppt wurde.;;Este condado sufre un brote de Sífilis, una virulenta variante de la Peste traida de allende los mares por los conquistadores Aztecas.;;;;;;;;;x
DEATH_SACRIFICED_NO_KILLER;was offered up in sacrifice to the Gods;a été offert[Get_E] aux dieux;wurde in einem Opferritual den Göttern geopfert;;fue ofrecido en sacrificio a los Dioses;;;;;;;;;x
GOD_HUITZILOPOCHTLI;Huitzilopochtli;Huitzilopochtli;Huitzilopochtli;;Huitzilopochtli;;;;;;;;;x
GOD_MICTLANTECUHTLI;Mictlantecuhtli;Mictlantecuhtli;Mictlantecuhtli;;Mictlantecuhtli;;;;;;;;;x
GOD_QUETZALCOATL;Quetzalcoatl;Quetzalcoatl;Quetzalcoatl;;Quetzalcoatl;;;;;;;;;x
GOD_TEZCATLIPOCA;Tezcatlipoca;Tezcatlipoca;Tezcatlipoca;;Tezcatlipoca;;;;;;;;;x
GOD_TLALOC;Tlaloc;Tlaloc;Tlaloc;;Tlaloc;;;;;;;;;x
GOD_XIPE_TOTEC;Xipe-Totec;Xipe Totec;Xipe-Totec;;Xipe-Totec;;;;;;;;;x
has_aztec_disease;Syphilitic;Syphilitique;Syphilitisch;;Sifilítico;;;;;;;;;x
has_aztec_disease_death;of Syphilis;de la syphilis;an Syphilis;;de sífilis;;;;;;;;;x
has_aztec_disease_desc;This character suffers from Syphilis, a virulent strain of Great Pox brought from across the sea by the Aztec conquerors.;Ce personnage souffre de la syphilis, une souche virulente de la grande vérole amenée par la mer par l'envahisseur aztèque.;Dieser Charakter leidet an Syphilis, einer ansteckenden Krankheit, die von den aztekischen Eroberern eingeschleppt wurde.;;Este personaje sufre de Sífilis, una virulenta variante de la Peste traida de allende los mares por los conquistadores Aztecas.;;;;;;;;;x
HAS_HORDE_CULTURE;Is of a Horde Culture;Est d'une culture de horde;gehört einer Horden-Kultur an;;Es de una Cultura Horda;;;;;;;;;x
HAS_NOT_HORDE_CULTURE;Is NOT of a Horde Culture;N'est pas d'une culture de horde;gehört KEINER Horden-Kultur an;;NO es de una Cultura Horda;;;;;;;;;x
IS_TRIBAL_TYPE_TITLE;Is Tribal;Est tribal;ist stammeszugehörig;;Es Tribal ;;;;;;;;;x
ISNT_TRIBAL_TYPE_TITLE;Is NOT Tribal;N'est pas tribal;ist NICHT stammeszugehörig;;NO es Tribal ;;;;;;;;;x
RETTYPE_CUL_NAHUA;Jaguar Warrior;Guerrier jaguar;Jaguar-Krieger;;Guerrero Jaguar;;;;;;;;;x
syphilis;Syphilis;Syphilis;Syphilis;;Sífilis;;;;;;;;;x
