#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ACCEPT;Accept;Accepter;Annehmen;;Aceptar;;;;;;;;;x
AIREASON_KINGDOMS_DONT_ACCEPT_VASSALAGE;I am a King!;J'ai un rang royal !;Ich bin ein König!;;¡Soy un Rey!;;;;;;;;;x
CONTESTED_TITLE;Contested title: $TITLE$;Titre contesté : $TITLE$;Umstrittener Titel: $TITLE$;;Título disputado: $TITLE$;;;;;;;;;x
DECLINE;Decline;Refuser;Ablehnen;;Declinar;;;;;;;;;x
HAS_LESS_RAISED_TROOP_DAYS;Troops Raised less than §Y$DAYS$§! days\n;Troupes levées depuis moins de §Y$DAYS$§! jours\n;Aufgestellte Truppen in den letzten §Y$DAYS$§! Tagen\n;;Tropas reclutadas menos de §Y$DAYS$§! Días\n;;;;;;;;;x
HAS_MORE_RAISED_TROOP_DAYS;Troops Raised for at least §Y$DAYS$§! days\n;Troupes levées depuis au moins §Y$DAYS$§! jours\n;Aufgestellte Truppen seit mindestens §Y$DAYS$§! Tagen\n;;Tropas reclutadas al menos §Y$DAYS$§! Días\n;;;;;;;;;x
INGAME_STORE;Ingame Store;Boutique en jeu;Ingame Store;;Tienda del Juego;;;;;;;;;x
LOADING_TIP_0;A 'demesne' is the collection of Castles, Cities and Temples held by one person.;Un 'domaine' est l'ensemble des châteaux, cités et temples possédés par une personne.;Eine "Domäne" ist die Ansammlung von Burgen, Städten und Tempeln, die einer Person gehören.;;Una «heredad» es un conjunto de Castillos, Villas y Templos pertenecientes a una persona.;;;;;;;;;x
LOADING_TIP_49;Carefully check the traits of your wife;Vérifiez bien les traits de votre femme;Wähle die Eigenschaften der zukünftigen Gattin weise aus.;;Comprueba cuidadosamente los rasgos de tu esposa;;;;;;;;;x
MONTHLY_PROJECTED_COST;Projected Monthly Cost: §Y$COST$§!;Estimation du coût mensuel : §Y$COST$§!;Geschätzte monatliche Kosten: §Y$COST$§!;;Coste Mensual Presupuestado: §Y$COST$§!;;;;;;;;;x
OPT_draw_citysprawl;Render city sprawl;Rendu de l'extension urbaine ;Stadtausbreitung rendern;;Dibujar ciudades;;;;;;;;;x
OPT_draw_rivers;Render rivers;Rendu des fleuves;Flüsse rendern;;Dibujar ríos;;;;;;;;;x
OPT_draw_trees;Render trees;Rendu des arbres;Bäume rendern;;Dibujar árboles;;;;;;;;;x
OPT_legacy_shaders;Legacy graphics mode;Mode graphique hérité;Legacy-Grafikmodus;;Modo de gráficos legado;;;;;;;;;x
PER_MONTH;§Y$VAL$§! / Month;§Y$VAL$§! / Mois;§Y$VAL$§! / Monat;;§Y$VAL$§! / Mes;;;;;;;;;x
PRESSABLE_CLAIM;$COUNTY$, for $CLAIMANT$;$COUNTY$, pour $CLAIMANT$;$COUNTY$, für $CLAIMANT$;;$COUNTY$, por $CLAIMANT$;;;;;;;;;x
REINFORCE_TOOLTIP;Next month, $NUM$ new soldier(s) will have been recruited;Le mois prochain, le nombre de soldats recrutés sera de $NUM$;Nächsten Monat werden $NUM$ neue Soldaten rekrutiert;;El Próximo mes, $NUM$ nuevos soldados habrán sidos reclutados;;;;;;;;;x
SET_RAISED_TROOP_OPINION;§Y$ACTIVE$'s§! raised levy opinion days vs §Y$PASSIVE$§! set to §Y$MUCH$§!.\n;Le nombre de jours pendant lesquels §Y$ACTIVE$§! augmente l'opinion sur la levée de troupes contre §Y$PASSIVE$§! passe à §Y$MUCH$§!.\n;§Y$ACTIVE$s§! Missfallen bezüglich der Zwangseinberufung durch §Y$PASSIVE$§! währt noch §Y$MUCH$§! Tage.\n;;Días de leva reclutada §Y$ACTIVE$§! contra §Y$PASSIVE$§! Puesta a §Y$MUCH$§!.\n;;;;;;;;;x
TECH_GROWTH_PROG_LOG;Progress of $TECH$ advancement in $PROV$ increased to §Y$PROG$§!;Avancée de la technologie $TECH$ en $PROV$ augmentée de §Y$PROG$§!;$TECH$-Fortschritt in $PROV$ erhöht auf §Y$PROG$§!.;;El progreso de $TECH$ desarrollado en $PROV$ aumenta a §Y$PROG$§!;;;;;;;;;x
