#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CHAR_STATUS_PILGRIM;§Y$NAME$§! is on a Pilgrimage;§Y$NAME$§! est en pèlerinage;§Y$NAME$§! ist auf Pilgerfahrt;;§Y$NAME$§! está peregrinando;;;;;;;;;x
DEC_GAIN;Gain: ;Gain : ;Anstieg: ;;Aumento: ;;;;;;;;;x
DEC_GAINREDUCTION;Gain Reduction: ;Réduction : ;Senkung: ;;Reducción del aumento: ;;;;;;;;;x
DEC_MEMBER_CONTR;Monthly Decadence Gain: ;Gain mensuel de décadence : ;Monatlicher Dekadenzanstieg: ;;Aumento de la Decadencia mensual: ;;;;;;;;;x
DECADENCE_CHANGE;Decadence Change per Month;Variation de décadence mensuelle;Dekadenzanstieg pro Monat;;Cambio mensual de la decadencia;;;;;;;;;x
DECADENT_RELATIVES;Decadent Relatives;Parents décadents;Dekadente Verwandte;;Familiares Decadentes;;;;;;;;;x
DEMESNE_FRACTION_DESC;Head of Dynasty Demesne Multiplier: ;Multiplicateur du domaine du chef de la dynastie : ;Domänenmultiplikator für Dynastie-Oberhaupt;;Multiplicador de la Heredad por Jefe de la Dinastía: ;;;;;;;;;x
DYNA_F_ALL;All;Tous;Alle;;Todos;;;;;;;;;x
DYNA_F_ONLYALIVE;Only Alive;En vie;Lebende;;Sólo vivos;;;;;;;;;x
DYNA_F_ONLYALIVE_TT;Filters away all dead characters that had no children;Afficher ou masquer les personnages morts sans enfant;Filtert alle toten Charaktere ohne Kinder heraus;;Descartar a todos los personajes muertos y sin hijos;;;;;;;;;x
DYNA_F_ONLYLANDED;Only Landed;Terriens;Landtitel;;Sólo gobernantes;;;;;;;;;x
DYNA_F_ONLYLANDED_TT;Filters away all unlanded characters that have no children;Afficher ou masquer les personnages sans terre ni enfant;Filtert alle landlosen Charaktere ohne Kinder heraus;;Descartar a todos los personajes no gobernantes y sin hijos;;;;;;;;;x
DYNA_F_ONLYMEN;Only Men;Hommes;Männer;;Sólo hombres;;;;;;;;;x
DYNA_F_ONLYMEN_TT;Filters away all childless women;Afficher ou masquer les femmes sans enfant;Filtert alle kinderlosen Frauen heraus;;Descartar a todas las mujeres sin hijos;;;;;;;;;x
DYNA_FILTER;Filter;Filtre;Filter;;Filtrar;;;;;;;;;x
EVENTS;Events;Événements;Ereignisse;;Eventos;;;;;;;;;x
GAIN_SETTLEMENT_UNDER_TITLE_EFFECT;Gain all Holdings owned by $GIVER$ in the $REGION$;Obtenir toutes les propriétés possédées par $GIVER$ en $REGION$;Erhalte alle Besitztümer von $GIVER$ in $REGION$;;Gana todas las posesiones de $GIVER$ en $REGION$;;;;;;;;;x
HAS_A_JOB_DEC;Has a Job: ;Possède une charge;Hat ein Amt: ;;Tiene un Trabajo: ;;;;;;;;;x
HEAD_OF_DYNASTY;Head of Dynasty;Chef de la dynastie;Dynastie-Oberhaupt;;Jefe de la Dinastía;;;;;;;;;x
HOLDINGS_DEC_LOSS;Holdings: ;Propriétés : ;Besitztümer: ;;Posesiones: ;;;;;;;;;x
INHERIT_EFFECT_UNKNOWN;§Y$ABDICATOR$§! abdicates.\n;§Y$ABDICATOR$§! abdique.\n;§Y$ABDICATOR$§! dankt ab.\n;;§Y$ABDICATOR$§! abdica. \n;;;;;;;;;x
IS_IN_REVOLT;Is in revolt;Est en train de se révolter;Ist in Revolte;;Está llevando a cabo una revuelta;;;;;;;;;x
IS_NOT_IN_REVOLT;Is NOT in revolt;Ne s'est pas révolté;Ist NICHT in Revolte;;NO está llevando a cabo una revuelta;;;;;;;;;x
NUM_OF_REALM_COUNTIES_AT_LEAST;At least §Y$NUM$§! Counties held within the §Y$TITLE$§!;Au moins §Y$NUM$§! comtés contrôlés par §Y$TITLE$§!;Hält mindestens §Y$NUM$§! Grafschaften innerhalb von §Y$TITLE$§!;;Al menos §Y$NUM$§! condados dominados por §Y$TITLE$§!;;;;;;;;;x
NUM_OF_REALM_COUNTIES_LESS;Less than §Y$NUM$§! Counties held within the §Y$TITLE$§!;Moins de §Y$NUM$§! comtés contrôlés par §Y$TITLE$§!;Hält weniger als §Y$NUM$§! Grafschaften innerhalb von §Y$TITLE$§!;;Menos de §Y$NUM$§! condados dominados por §Y$TITLE$§!;;;;;;;;;x
ON_JOB_DEC;Is on Job Action: ;Est en mission : ;führt eine Amtsaufgabe aus: ;;Está en una Misión: ;;;;;;;;;x
