#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
AGE_FACTOR;Age Factor;Critère d'âge;Alters-Faktor;;Factor de Edad;;;;;;;;;x
AN_UNKNOWN_FATHER;an unknown father;un père inconnu;eines unbekannten Vaters;;padre desconocido;;;;;;;;;x
approve_plan_tooltip;You approve of your son's plan.;Vous approuvez le plan de votre fils.;Ihr stimmt dem Plan Eures Sohnes zu.;;Apruebas el plan de tu hijo.;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_4;Marrying a woman as noble as §Y[RecipientExtra.GetFirstName]§! will require a Bride Price of §R$DOWRY$§!¤.;Épouser une femme aussi noble que §Y[RecipientExtra.GetFirstName]§! exige une dot de §R$DOWRY$§!¤.;Die Eheschließung mit einer Frau, die so adelig ist wie §Y[RecipientExtra.GetFirstName]§!, erfordert einen Brautpreis von §R$DOWRY$§!¤.;;Desposarse con una mujer noble como §Y[RecipientExtra.GetFirstName]§! Requerirá una dote de §R$DOWRY$§!¤.;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_LETTER_BRIDE_PRICE;We propose that [ActorExtra.GetBestName] and [RecipientExtra.GetBestName] should get betrothed. Of course, for such a noble Lady, we also offer a Bride Price of $DOWRY$¤;Nous proposons les fiançailles [ActorExtra.Get_only_du_Title][ActorExtra.GetBestName] et [RecipientExtra.Get_only_du_Title][RecipientExtra.GetBestName]. Bien sûr, pour une si noble dame, nous offrons une dot de $DOWRY$¤;Wir schlagen vor, dass sich [ActorExtra.GetBestName] und [RecipientExtra.GetBestName] verloben. Selbstverständlich bieten wir für eine so edle Dame einen Brautpreis von $DOWRY$¤;;Proponemos que [ActorExtra.GetBestName] y [RecipientExtra.GetBestName] se prometan. Por supuesto, para tan noble dama, también ofrecemos una dote de $DOWRY$¤.;;;;;;;;;x
battle_tooltip;This time he has gone too far. You will sink his precious ship.;Cette fois il est allé trop loin. Vous allez couler son précieux navire.;Diesmal ist er zu weit gegangen. Ihr werdet sein kostbares Schiff versenken.;;Esta vez ha ido demasiado lejos. Hundirás su precioso barco.;;;;;;;;;x
ca_barracks_1_desc;These quarters are the home of the castle's levies.;Les levées du château habitent dans ces quartiers.;Diese Quartiere sind die Behausung für das Burgheer. ;;Estos cuartos son el hogar de las levas del castillo. ;;;;;;;;;x
ca_con_wall_1;Huge Stone Wall;La muraille romaine;Riesige Steinmauer;;Gran muralla de piedra;;;;;;;;;x
ca_con_wall_2;Anastasian Wall;Le Mur d'Anastase;Anastasianische Mauern;;Muralla de Anastasio;;;;;;;;;x
ca_con_wall_3;Constantinian Walls;Le Mur de Constantin;Konstantinische Mauern;;Murallas de Constantino;;;;;;;;;x
ca_con_wall_4;Theodosian Walls;Le Mur de Théodose;Theodosianische Mauern;;Murallas Teodosianas;;;;;;;;;x
ca_con_wall_4_desc;The Theodosian Walls were built during the reign of Emperor Theodosius II in the early 5th century, but they still remain some of the most formidable fortifications built by human hands.;Les murs théodosiens ont été érigés pendant le règne de l'empereur Théodose II au début du Ve siècle. Même aujourd'hui, ce sont toujours parmi les plus formidables fortifications jamais construites par l'homme.;Die Theodosianischen Mauern wurden während der Regentschaft des Herrschers Theodosius II. im frühen 5. Jahrhundert erbaut, doch sie sind weiterhin einige der beeindruckensten Befestigungen, die von Menschenhand erbaut wurden.;;Las Murallas Teodosianas fueron construidas durante el reinado del emperador Teodosio II, a inicios del siglo V, pero aún son una de las fortificaciones más formidables construidas por el hombre.;;;;;;;;;x
ca_con_wall_5;Upgraded Theodosian Walls;Murs théodosiens renforcés;Verbesserte Theodosianische Mauern;;Murallas Teodosianas mejoradas;;;;;;;;;x
ca_con_wall_5_desc;The great Theodosian Walls have been upgraded, repaired and reinforced to make them even stronger than when they were first built all those centuries ago.;Les grands Murs théodosiens ont été renforcés, réparés et fortifiés pour les rendre plus solides qu'ils ne l'étaient lors de leur construction initiale il y de cela plusieurs siècles.;Die große Theodosianische Mauer wurde aufgerüstet, repariert und verstärkt, um sie noch widerstandsfähiger zu machen als damals, als sie vor all den Jahrhunderten erbaut wurde.;;Las grandes Murallas Teodosianas han sido mejoradas, reparadas y reforzadas para ser aún más fuertes que cuando se levantaron por primera vez hace tantos siglos.;;;;;;;;;x
ca_culture_frank_norman_german_1_desc;Here knights face off against each other in jousting tournaments and other chivalrous competitions.;Ici, les écuyers s'affrontent continuellement, en joutes, tournois et autres compétitions chevaleresques.;Hier treten Ritter auf Turnierkämpfen beim Lanzenstechen, oder anderen ritterlichen Wettbewerben, gegeneinander an. ;;Aquí los caballeros se enfrentan unos contra otros en torneos de justas y otras competiciones caballerescas. ;;;;;;;;;x
ca_culture_group_arabic_1_desc;Camels make adaptable and sturdy mounts, especially in desert environments. Not only do their smell often frighten horses, but they are excellent pack animals that free up faster mounts for use in battle when the situation dictates.;Les chameaux sont des montures robustes qui s'adaptent particulièrement bien au désert. En plus d'effrayer les chevaux par leur odeur, ils sont d'excellentes bêtes de somme, ce qui permet de libérer les montures plus rapides lorsque la situation l'exige.;Kamele sind, insbesondere in Wüstenregionen, anpassungsfähige und robuste Reittiere. Nicht nur, dass ihr Geruch häufig Pferde verschreckt, sie sind auch hervorragende Packtiere, die im Kampf den Platz der schnelleren Pferde einnehmen, wenn die Umstände es verlangen.;;Los camellos son una montura adaptable y resistente, sobre todo en parajes desérticos. El olor que desprenden suele asustar a los caballos y, además, son excelentes animales de carga y permiten liberar monturas más rápidas para acudir a la batalla cuando la situación lo requiere. ;;;;;;;;;x
ca_culture_group_byzantine_1_desc;Both the horse and rider are clad in iron scales in these heavily armored cavalry formations. The cataphracts are a fearsome sight on the battlefield, and few armies can withstand one of their massed charges.;Le cheval et le cavalier sont tous deux revêtus de très lourde armures d'écailles de fer. Les cataphractaires offrent un terrifiant spectacle sur les champs de bataille, et peu d'armées peuvent résister lorsqu'ils chargent de front.;Sowohl Pferd als auch Reiter sind in diesen schweren Kavallerieformationen in Eisenschuppen gewandet. Die Kataphrakte sind ein beängstigender Anblick auf dem Schlachtfeld und nur wenige Armeen können einem ihrer geballten Vorstöße standhalten.;;En estas formaciones de caballería fuertemente acorazadas, tanto el caballo como el jinete están revestidos con una armadura. Los catafractos son temibles en el campo de batalla y son pocos los ejércitos que pueden resistir sus cargas masivas. ;;;;;;;;;x
ca_culture_group_north_germanic_1_desc;Housecarls are trained here, providing excellent if somewhat ill-tempered heavy infantry, usually equipped with powerful battle axes.;Les huscarls s'entraînent ici. Habituellement équipés de puissantes haches de combat, ils forment une infanterie lourde qui peut avoir très mauvais caractère.;Die Huscarl werden hier ausgebildet. Sie leisten ausgezeichnete Arbeit, auch wenn sie eine etwas übellaunige, schwere Infanterie sind, die normalerweise mit mächtigen Kampfäxten ausgerüstet ist.;;Aquí se entrenan los huscarles, que constituyen una excelente infantería pesada, a pesar de su mal carácter. Suelen equiparse con potentes hachas de guerra. ;;;;;;;;;x
ca_culture_hungarian_1_desc;The hussars make excellent light cavalry, and are trained to hit the enemy relentlessly from different directions before regrouping and doing it again.;Les hussards forment une excellente cavalerie légère. Ils sont entraînés à frapper l'ennemi de tous côtés et avec acharnement, puis ils se regroupent au loin avant de recommencer inlassablement.;Die Husaren geben eine hervorragende leichte Kavallerie ab und sind darin geübt, den Feind schonungslos aus unterschiedlichen Richtungen anzugreifen, bevor sie sich neu gruppieren und erneut attackieren.;;Los húsares constituyen una caballería ligera excelente y son entrenados para atacar al enemigo sin descanso desde distintos puntos, para después reagruparse y atacar de nuevo.;;;;;;;;;x
ca_culture_west_african_1_desc;These free warriors from the horon caste come armed with bows and poisoned arrows.;Ces guerriers libres de la caste des Horon sont armés d'arcs et de flèches empoisonnées.;Diese freien Krieger der Horon-Kaste kommen bewaffnet mit Bögen und vergifteten Pfeilen. ;;Estos guerreros libres de la casta de los horones van armados con arcos y flechas envenenadas. ;;;;;;;;;x
ca_keep_1_desc;This keep serves as the fortified residence of the castle's inhabitants.;Ce lieu sert de résidence fortifiée aux habitants du château.;Dieser wehrhafte Wohnturm dient den Burgbewohnern als befestigte Wohnstätte.;;Esta fortaleza sirve como residencia fortificada a los habitantes del castillo. ;;;;;;;;;x
ca_militia_barracks_1_desc;This simple training ground readies the peasants for war.;Ce simple camp de miliciens prépare les paysans à se défendre.;Dieser einfache Übungsplatz bereitet die Bauern auf den Krieg vor.;;En este sencillo campo de entrenamiento se prepara a los campesinos para la guerra. ;;;;;;;;;x
ca_militia_barracks_2_desc;An archery range where the levies can master the art of the bow.;Une archerie permet aux archers de maîtriser leur art.;Ein Bogenschießplatz, auf dem das Heer seine Bogenkünste verbessern kann.;;Campo de prácticas de tiro, donde los levas pueden aprender el arte del tiro con arco.;;;;;;;;;x
ca_militia_barracks_3_desc;An expanded archery range where the levies can master the art of the bow.;Une guilde des archers est un vaste bâtiment où les troupes peuvent exercer leur art.;Ein erweiterter Bogenschießplatz, auf dem das Heer seine Bogenkünste verbessern kann. ;;Campo de prácticas de tiro ampliado, donde las levas pueden aprender el arte del tiro con arco.;;;;;;;;;x
