#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ANY_TRADE_POST_STARTS;Any Trade Post;N'importe quel comptoir;Beliebiger Handelsposten;;Cualquier Puesto Comercial;;;;;;;;;x
CANT_BUILD_TRADEPOST_HOSTILE;Is not Hostile to $WHO$;N'est pas hostile envers $WHO$;Keine Feindschaft gegenüber $WHO$;;No es hostil a $WHO$;;;;;;;;;x
forbid_daughter_tooltip;You order your daughter to end this disgraceful affair.;Vous ordonnez à votre fille de cesser cette relation ignominieuse.;Ihr befehlt Eurer Tochter, diese unwürdige Affäre zu beenden.;;Ordenas a tu hija que ponga fin a este vergonzoso asunto.;;;;;;;;;x
PATRICIAN_WEALTH_PRESTIGE;Patrician Treasury: $GOLD$;Trésorerie patricienne : $GOLD$;Patrizische Schatzkammer: $GOLD$;;Tesoro patricio: $GOLD$;;;;;;;;;x
petition_doge_for_tp;Petition [Root.Liege.GetTitle] for Trade Posts;Demander à votre [Root.Liege.GetTitle] des comptoirs;Bittet [Root.Liege.GetTitle] um Handelsposten;;Solicitar Puestos Comerciales al [Root.Liege.GetTitle];;;;;;;;;x
petition_doge_for_tp_desc;Petition the [Root.Liege.GetTitle] for some Trade Posts in the name of equity.;Présenter une requête à votre [Root.Liege.GetTitle] pour l'acquisition de comptoirs au nom de l'équité;Bittet den [Root.Liege.GetTitle] um einige Handelsposten im Zeichen der Gleichberechtigung.;;Solicitar algunos Puestos Comerciales al [Root.Liege.GetTitle] en nombre de la equidad.;;;;;;;;;x
religious_cb_succ_tip;§Y[Root.GetTitledFirstName]§! vassalizes lords of [Root.GetPossPronoun] religion and takes all other titles in the §Y[Prev.GetFullBaseName]§!.\n;[Root.Get_Le_TitledFirstNameJ] vassalise les seigneurs de sa religion et acquiert tous les autres titres de §Y[Prev.GetFullBaseName]§!.\n;§Y[Root.GetTitledFirstName]§! unterwirft die Herrscher der [Root.GetPossPronoun]en Religion und übernimmt alle anderen Titel in §Y[Prev.GetFullBaseName]§!.\n;;§Y[Root.GetTitledFirstName]§! somete a los señores de [Root.GetPossPronoun] religión y toma todos los demás títulos del §Y[Prev.GetFullBaseName]§!.\n;;;;;;;;;x
SongsOfProsperityDLC;Songs of Prosperity;Musiques de la Prospérité;Songs of Prosperity;;;;;;;;;;;x
succ_tanistry;Tanistry;Tanistrie;Thanwahl;;Tanistría;;;;;;;;;x
succ_tanistry_desc;The ruler and all vassals at one and two ranks below can nominate an heir - the Tanist - from among the members of the ruler's dynasty. Vassals will tend to favor older members from other branches of the family, especially claimants.;Le seigneur et tous ses vassaux (à deux rangs en dessous de lui) peuvent nommer un héritier, le taniste, parmi les membres de la dynastie du seigneur. Les vassaux auront tendance à favoriser des membres plus âgés issus d'autres branches de la famille, et plus particulièrement les prétendants.;Der Herrscher und alle Vasallen ein oder zwei Ränge darunter können einen Erben - den Than - aus den Mitgliedern der Dynastie des Herrschers nominieren. Vasallen bevorzugen ältere Mitglieder aus entfernten Zweigen der Dynastie, vor allem wenn ein Anspruch besteht.;;El gobernante y todos los vasallos de uno o dos rangos inferiores pueden nombrar un heredero -el tanista- entre los miembros de la dinastía del gobernante. Los vasallos tenderán a favorecer a miembros más ancianos de otras ramas de la familia, especialmente a los pretendientes. ;;;;;;;;;x
succ_ultimogeniture;Ultimogeniture;Ultimogéniture;Ultimogenitur;;Ultimogenitura;;;;;;;;;x
succ_ultimogeniture_desc;This succession law is the opposite of the far more common Primogeniture. With Ultimogeniture, the youngest child inherits.;Cette règle de succession est l'inverse de la primogéniture si commune. Dans le cas de l'ultimogéniture, c'est le plus jeune enfant qui devient l'héritier.;Dieses Erbfolgerecht ist das Gegenteil der Primogenitur. Bei der Ultimogenitur erbt das jüngste Kind.;;Esta ley de sucesión se opone a la mucho más frecuente primogenitura. En la ultimogenitura, el heredero es el hijo más joven.;;;;;;;;;x
tanistry;Tanistry;Tanistrie;Thanwahl;;Tanistría;;;;;;;;;x
TRIGGER_ULTIMOGENITURE_HEIR;The Ultimogeniture Heir;L'héritier par l'ultimogéniture;Der ultimogene Erbe;;El heredero ultimogénito;;;;;;;;;x
ultimogeniture;Ultimogeniture;Ultimogéniture;Ultimogenitur;;Ultimogenitura;;;;;;;;;x
usurp_tp;Usurp Trade Posts from Patrician;Usurper les comptoirs des Patriciens;Übernehme Handelsposten von Patrizier;;Usurpar Puestos Comerciales a los patricios;;;;;;;;;x
usurp_tp_desc;As [Root.GetTitle], use the powers of your office to usurp Trade Posts from a rival family.;En tant qu[Root.Get_only_e_Title][Root.GetTitle], utilisez les pouvoirs de votre charge pour usurper les comptoirs d'une famille rivale.;Als [Root.GetTitle], nutzt die Macht Eures Amtes, um Handelsposten rivalisierender Familien zu übernehmen.;;Como [Root.GetTitle], utiliza los poderes de tu posición para usurpar los Puestos Comerciales de una familia rival.;;;;;;;;;x
