#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
AIREASON_MINOR_IN_WARS;Minor participant in a war;Belligérant secondaire dans une guerre;Sekundärer Teilnehmer in einem Krieg;;Contendiente adicional en una guerra;;;;;;;;;x
AIREASON_PRIMARY_IN_WARS;Primary participant in a war;Belligérant principal dans une guerre;Primärer Teilnehmer in einem Krieg;;Contendiente principal en una guerra;;;;;;;;;x
AIREASON_REPUBLICS_REFUSE_REVOKE;Merchant Republics will not give up titles;Les républiques maritimes ne vont pas abandonner de titre;Handelsrepubliken werden Titel nicht aufgeben;;Las repúblicas mercantiles no reparten títulos;;;;;;;;;x
AIREASON_SUPPORT_FOR_CONQUEROR;Home Support for Conqueror;Renforts pour le conquérant;Heimatliche Unterstützung des Eroberers;;Apoyo local para el Conquistador;;;;;;;;;x
ANY_ATTACKER_STARTS;Any Attacker;Tout assaillant;Jeder Angreifer;;Cualquier atacante;;;;;;;;;x
ANY_DEFENDER_STARTS;Any Defender;Tout défenseur;Jeder Verteidiger;;Cualquier defensor;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_0;Select a rival Merchant Republic to embargo.;Choisissez une république marchande rivale à mettre sous embargo.;Wählt eine rivalisierende Handelsrepublik für ein Embargo aus.;;Selecciona a que republica mercantil embargar;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_1;Have §Y[Recipient.GetTitledFirstName]§! declare an Embargo War on §Y[ThirdPartyCharacter.GetTitledFirstName]§! and §Y[ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName]§! together with you. Offer §Y$GOLD$§!¤ to sweeten the deal. §RIf you lose the war, you will pay the war reparations.§!;Demander [Recipient.Get_au_TitledFirstNameJ] de mettre, conjointement à vous, [ThirdPartyCharacter.Get_le_TitledFirstNameJ] et §Y[ThirdPartyCharacter.TopLiege.PrimaryTitle.Get_le_Realm]§! sous embargo. Appuyer votre requête avec §Y$GOLD$§!¤. §RSi vous perdez cette guerre, vous serez tenu de payer les réparations de guerre.§!; Lasst §Y[Recipient.GetTitledFirstName]§! zusammen mit Euch einen Handelskrieg gegen §Y[ThirdPartyCharacter.GetTitledFirstName]§! und §Y[ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName]§! führen. Biete §Y$GOLD$§!¤, um das Angebot zu versüßen. §RFalls Ihr den Krieg verliert, müsst Ihr die Reparationszahlungen leisten.§! ;;Convencer a §Y[Recipient.GetTitledFirstName]§! para que junto a ti declareis una Guerra por Embargo sobre §Y[ThirdPartyCharacter.GetTitledFirstName]§! y sobre §Y[ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName]§!. Ofrece §Y$GOLD$§!¤ para endulzar el acuerdo. §RSi pierdes la guerra tendrás que pagar las indemnizaciones pertinentes.§!;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetTitledName]§! and §Y[Actor.GetTitledName]§! have declared a joint Embargo War on §Y[ThirdPartyCharacter.GetDynName]§!;[Recipient.Get_Le_TitledNameJ] et [Actor.Get_le_TitledNameJ] ont conjointement déclaré un embargo contre §Y[ThirdPartyCharacter.GetDynName]§!;§Y[Recipient.GetTitledName]§! und §Y[Actor.GetTitledName]§! haben einen gemeinsamen Embargokrieg gegen §Y[ThirdPartyCharacter.GetDynName]§! erklärt.;;§Y[Recipient.GetTitledName]§! y §Y[Actor.GetTitledName]§! declararon una Guerra conjunta de Embargo sobre §Y[ThirdPartyCharacter.GetDynName]§!;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_ACCEPT_SETUP;Embargo Request Accepted;Requête d'embargo acceptée;Embargoaufforderung akzeptiert.;;Petición de embargo aceptada;;;;;;;;;x
