#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ACQUISITION_CREATED;Created;Création du titre;wurde erschaffen;;Fue creado;;;;;;;;;x
ACQUISITION_ELECTION;Elected;Par élection;durch Wahl erworben;;Obtenido a través de elección;;;;;;;;;x
ACQUISITION_GRANT;Granted;Par octroi;wurde dem Halter verliehen;;Fue concedida al propietario;;;;;;;;;x
ACQUISITION_HOLY_WAR;Conquered in a Holy War;Obtenu dans une guerre sainte;durch Heiligen Krieg erworben;;Obtenido a través de guerra santa;;;;;;;;;x
ACQUISITION_INHERITANCE;Inherited;Par héritage;durch Erbschaft erworben;;Obtenido a través de herencia;;;;;;;;;x
ACQUISITION_INVASION;Conquered in a War;Obtenu dans une guerre;durch Invasion erworben;;Obtenido a través de invasión;;;;;;;;;x
ACQUISITION_REVOKE;Revoked;Par révocation;durch Widerruf erworben;;Obtenido a través de revocación;;;;;;;;;x
ACQUISITION_UNKNOWN; ; ; ;;;;;;;;;;;x
AIREASON_MARRY_NICE_REL_BOY;Why can't you marry a nice [Root.Religion.GetName] boy?;Pourquoi ne pouvez-vous pas épouser un joli garçon de religion [Root.Religion.GetName] ?;Warum kannst du nicht einen netten [Root.Religion.GetName]en Knaben heiraten?;;¿Por qué no puedes casarte con un buen chico [Root.Religion.GetName]?;;;;;;;;;x
AIREASON_MARRY_NICE_REL_GIRL;Why can't you marry a nice [Root.Religion.GetName] girl?;Pourquoi ne pouvez-vous pas épouser une jolie fille de religion [Root.Religion.GetName] ?;Warum kannst du nicht ein nettes [Root.Religion.GetName]es Mädchen heiraten?;;¿Por qué no puedes casarte con una buena chica [Root.Religion.GetName]?;;;;;;;;;x
AIREASON_STRATEGIC_INTEREST;For the good of the realm;Pour le bien du pays;Zum Wohl des Reiches;;Por el bien del reino;;;;;;;;;x
AUNT;Aunt;Tante;Tante;;Tía;;;;;;;;;x
baron_vice_royalties;Allows Barony Viceroyalties;Autorise la création de vice-royautés à partir de baronnies.;Ermöglicht Vizebaroniewürden;;Permite Virreinatos en la Baronía;;;;;;;;;x
BORDERS_MAJOR_RIVER;Borders major river;Borde un fleuve majeur;Grenzt an einen beschiffbaren Fluss an;;Limita con un río importante;;;;;x
cancel_murder_attempt;You must find another way to murder your target.;Vous devez trouver un autre moyen d'assassiner votre cible.;Ihr müsst einen anderen Weg finden, um Eure Zielperson zu ermorden.;;Deberás encontrar otra forma de asesinar a tu objetivo.;;;;;;;;;x
CAP_WAR_UNDECIDED_NO_MAJOR_BATTLE;Score is capped at §Y$CAP$§! because less than §Y$MONTHS$§! months have passed and §Y$ATTACKER$§! has not yet won a major battle;Le score est plafonné à §Y$CAP$§! car moins de §Y$MONTHS$§! mois se sont écoulés et §Y$ATTACKER$§! n'a pas encore remporté de bataille majeure.;Die Punktzahl wird bei §Y$CAP$§! begrenzt, weil weniger als §Y$MONTHS$§! Monate vergangen sind und §Y$ATTACKER$§! noch keine größere Schlacht gewonnen hat.;;La puntuación tiene un tope de §Y$CAP$§! porque han pasado menos de §Y$MONTHS$§! meses y los §Y$ATTACKER$§! aún no han ganado ninguna batalla importante.;;;;;;;;;x
CHANGE_VARIABLE;Change §Y$VAR$§! by §Y$VALUE$§!;Changer §Y$VAR$§! de §Y$VALUE$§!;§Y$VAR$§! um §Y$VALUE$§! ändern;;Cambiar §Y$VAR$§! con §Y$VALUE$§!;;;;;;;;;x
CHAR_STATUS_IN_HIDING;§Y$NAME$§! is in hiding;§Y$NAME$§! se cache;§Y$NAME$§! versteckt sich;;§Y$NAME$§! está en la clandestinidad;;;;;;;;;x
CHARACTER_HAS_CLAIMS;This person holds claims to these titles;Cette personne détient des revendications sur ces titres;Diese Person hat Anspruch auf folgende Titel:;;Esta persona posee reclamaciones sobre esos títulos;;;;;;;;;x
CLIMATE_DESC;Climate: §Y$CLIMATE$§!;Climat: §Y$CLIMATE$§!;Klima: §Y$CLIMATE$§!;;Clima: §Y$CLIMATE$§!;;;;;;;;;x
come_out_of_hiding_info_tooltip;[Root.GetTitledName] comes out of hiding.\n;[Root.Get_Le_TitledName] sort de sa cachette.\n;[Root.GetTitledName] kommt aus dem Versteck.\n;;[Root.GetTitledName] vuelve de la clandestinidad.\n;;;;;;;;;x
CONFIRMCONVERTTEXT;The game will be exported with the name $NAME$. This might take a couple of minutes.;La partie exportée sera nommée $NAME$. Ceci peut prendre quelques minutes.;Das Spiel wird mit dem Namen $NAME$ exportiert. Dies kann einige Minuten dauern.;;La partida se exportará con el nombre $NAME$. Esta operación puede tardar un par de minutos.;;;;;;;;;x
CONFIRMCONVERTTEXT_WARNING;The game will be exported with the name $NAME$.\n\n THIS NAME IS ALREADY IN USE!\nAre you sure you want to continue?;La partie exportée sera nommée $NAME$.\n\nCE NOM EST DÉJÀ UTILISÉ !\nVoulez-vous continuer ?;Das Spiel wird mit dem Namen $NAME$ exportiert.\n\n DIESER NAME IST BEREITS VERGEBEN:\nSeid Ihr sicher, dass Ihr fortfahren wollt?;;La partida se exportará con el nombre $NAME$.\n\n ¡ESTE NOMBRE YA ESTÁ EN USO!\n¿Seguro que quieres continuar?;;;;;;;;;x
CONFIRMCONVERTTITLE;Export CK2 Game to EU4;Exporter la partie CK2 à EU4;CK2-Spiel zu EU4 exportieren;;Exportar partida a EU4;;;;;;;;;x
CONFIRMEXPORTTEXT;The chronicle will be exported with the name $NAME$. This might take a couple of minutes.;La chronique exportée sera nommée $NAME$. Ceci peut prendre quelques minutes.;Die Chronik unter dem Namen $NAME$ exportiert. Dies kann einige Minuten dauern.;;La crónica se exportará con el nombre $NAME$. Esto puede tardar un par de minutos. ;;;;;;;;;x
CONFIRMEXPORTTEXT_WARNING;The chronicle will be exported with the name $NAME$.\n\n THIS NAME IS ALREADY IN USE!\nAre you sure you want to continue?;La chronique exportée sera nommée $NAME$.\n\nCE NOM EST DÉJÀ UTILISÉ !\nVoulez-vous continuer ?;Die Chronik wird mit dem Namen $NAME$ exportiert.\n\n DIESER NAME IST BEREITS VERGEBEN:\nSeid Ihr sicher, dass Ihr weitermachen wollt?;;La crónica se exportará con el nombre $NAME$.\n\n ¡ESTE NOMBRE YA ESTÁ EN USO!\n¿Seguro que quieres continuar?;;;;;;;;;x
CONFIRMEXPORTTITLE;Export Chronicle to a .txt file;Exporter la chronique au format .txt;Chronik in eine .txt-Datei exportieren;;Exportar Crónica a archivo .txt;;;;;;;;;x
COST_DAYS_PRESTIGE;Cost: §Y$AMOUNT$§! §BPrestige§!\nBuildtime: §Y$TIME$§! §BDays§!;Coût : §Y$AMOUNT$§! §BPrestige§!\nTemps de construction : §Y$TIME$§! §Bjours§!;Kosten: §Y$AMOUNT$§! §BPrestige§!\nBauzeit: §Y$TIME$§! §BTage§!;;Coste: §Y$AMOUNT$§! §BPrestigio§!\nTiempo de construcción: §Y$TIME$§! §B Días§!;;;;;;;;;x
COST_MONTHS_PRESTIGE;This building has cost $AMOUNT$ Prestige and has a buildtime of $TIME$ Months.;Ce bâtiment a coûté $AMOUNT$ en Prestige et la construction durera $TIME$ mois.;Dieses Bauwerk hat $AMOUNT$ Prestige gekostet, die Bauzeit beträgt $TIME$ Monate.;;Este edificio ha costado $AMOUNT$ Prestigio y su construcción ha durado $TIME$ meses.;;;;;;;;;x
count_vice_royalties;Allows County Viceroyalties;Autorise la création de vice-royautés à partir de comtés.;Ermöglicht Vizegrafschaftswürden;;Permite Virreinatos en el Condado;;;;;;;;;x
CURRENT_WINTER;Current Winter: §Y$WINTER$§!;Hiver actuel: §Y$WINTER$§!;Derzeitiger Winter: §Y$WINTER$§!;;Invierno actual: §Y$WINTER$§!;;;;;;;;;x
CUSTOM_GAME;Custom Game Setup;Personnaliser;Spiel anpassen;;Personalizar;;;;;;;;;x
DARK_AGES;Early Middle Ages;Haut Moyen Âge;Frühmittelalter;;Temprana Edad Media;;;;;;;;;x
DARK_AGES_INFO;The Early Middle Ages started with the fall of the Western Roman Empire in the early 5th century. The earlier part of this era saw the great Germanic and Slavic migrations across Europe, with peoples such as the Goths and Lombards settling in Southern Europe, the Franks settling in Gaul and Saxons crossing the sea and settling in Britain. The Eastern Roman Empire was violently shaken by the pressure from the Goths and Avars, and fought bitterly with the ancient Persian enemy. The rise of Islam saw the Arabs conquering immense amounts of territory in the Middle East and North Africa, and in India several great dynasties vied for dominance, with the Rashtrakutas rising towards the end of the 8th century. In the steppes, the Khazars grew in power, and in Scandinavia things were about to change in a way that was to affect the entire continent...;Le haut Moyen Âge commence avec la chute de l'Empire romain d'Occident à la fin du Ve siècle. Cette période s'ouvre avec les grandes migrations germaniques et slaves qui traversent l'Europe, et avec l'installation de peuples tels les Goths et les Lombards dans le Sud. Les Francs, eux, s'installent en Gaule et les Saxons traversent la mer et s'installent sur l'île de Bretagne. L'Empire romain d'Orient est violemment ébranlé par les attaques des Goths et des Avars, et affronte son vieil ennemi perse dans une lutte sanglante. La montée de l'islam voit les Arabes déferler sur d'immenses territoires du Moyen-Orient et d'Afrique du Nord, tandis qu'en Inde, plusieurs grandes dynasties luttent pour asseoir leur domination. Dans les steppes, les Khazars gagnent en puissance et en Scandinavie, de grands changements se préparent qui vont toucher tout le continent.;Das Frühmittelalter beginnt mit dem Fall Westroms zu Beginn des 5. Jahrhunderts. In seine frühe Phase fallen die Wanderungen der germanischen und slawischen Stämme durch Europa, in deren Folge sich Goten und Lombarden in Südeuropa ansiedelten, während die Franken sich in Gallien niederließen und die Sachsen über das Meer nach England wanderten. Der östliche Teil des Römischen Reiches erzitterte unter dem Druck der Goten und Awaren und kämpfte einen erbitterten Krieg gegen seinen alten Feind Persien. Der Aufstieg des Islam führte zu weitreichenden Eroberungen der Araber im Nahen Osten und in Nordafrika, während in Indien mehrere mächtige Dynastien um die Vorherrschaft stritten, wobei gegen Ende des 8. Jh. die Dynastie der Rashtrakuta zu Bedeutung gelangte. In den Steppen erlebten die Khasaren einen Aufschwung und in Skandinavien fand eine Entwicklung statt, die den ganzen europäischen Kontinent beeinflussen sollte ...;;La Temprana Edad Media se inició con la caída del Imperio romano de Occidente a principios del siglo V. Al inicio de esta época tuvieron lugar las grandes migraciones germánicas y eslavas a través de Europa, con pueblos como los godos y los lombardos estableciéndose en el sur de Europa, los francos asentándose en la Galia y los sajones cruzando el mar y situándose en la Bretaña. El Imperio romano de Oriente fue violentamente sacudido por la presión de godos y ávaros, y lucharon implacablemente con el antiguo enemigo persa. El auge del islam vio cómo los árabes conquistaban enormes extensiones de territorio en Oriente Medio y norte de África, y varias dinastías compitieron por el dominio de la India, donde los Rashtrakutas se hicieron con el poder a finales del siglo VIII. En las estepas, los jázaros acumularon poder, y en Escandinavia  las cosas iban a cambiar de una manera que iba a afectar el continente entero...;;;;;;;;;x
DIVIDE_VARIABLE;Divide §Y$VAR$§! by §Y$VALUE$§!;Diviser §Y$VAR$§! par §Y$VALUE$§!;§Y$VAR$§! durch §Y$VALUE$§! teilen;;Dividir §Y$VAR$§! entre §Y$VALUE$§!;;;;;;;;;x
DONT_BORDERS_MAJOR_RIVER;Does NOT border major river;Ne borde pas un fleuve majeur;Grenzt NICHT an einen beschiffbaren Fluss an;;NO limita con un río importante;;;;;x
DONT_SHOW_AGAIN;Don't show this again;Ne plus afficher;Nicht wieder anzeigen;;No mostrar esto de nuevo;;;;;;;;;x
EARLY_MED;High Middle Ages;Moyen Âge classique;Hochmittelalter;;Plena Edad Media;;;;;;;;;x
